"Sample8Vslow - RawData"
"Wavelength nm.","T%"
200.00,0.30982
201.00,0.22591
202.00,0.18539
203.00,0.19955
204.00,0.16746
205.00,0.18964
206.00,0.13441
207.00,0.14279
208.00,0.12630
209.00,0.12553
210.00,0.13697
211.00,0.14353
212.00,0.10478
213.00,0.12745
214.00,0.13558
215.00,0.13860
216.00,0.15572
217.00,0.15262
218.00,0.16529
219.00,0.13899
220.00,0.17106
221.00,0.17636
222.00,0.21831
223.00,0.19401
224.00,0.23214
225.00,0.25835
226.00,0.26393
227.00,0.32667
228.00,0.38337
229.00,0.45667
230.00,0.54208
231.00,0.67785
232.00,0.82917
233.00,0.96346
234.00,1.13132
235.00,1.34292
236.00,1.58774
237.00,1.87252
238.00,2.13368
239.00,2.45079
240.00,2.85328
241.00,3.29452
242.00,3.77819
243.00,4.39242
244.00,5.11823
245.00,5.98264
246.00,6.86406
247.00,7.94281
248.00,9.16735
249.00,10.53463
250.00,12.18923
251.00,14.08201
252.00,16.27268
253.00,18.73547
254.00,21.34990
255.00,24.17134
256.00,27.13623
257.00,29.88866
258.00,32.56475
259.00,35.27341
260.00,37.64092
261.00,40.13638
262.00,42.40630
263.00,44.50572
264.00,46.45849
265.00,48.18313
266.00,49.68880
267.00,51.10304
268.00,52.10671
269.00,52.74294
270.00,53.30994
271.00,53.46327
272.00,53.76046
273.00,53.54469
274.00,53.57088
275.00,53.34541
276.00,53.11002
277.00,53.07937
278.00,52.87843
279.00,52.86046
280.00,52.97328
281.00,53.07562
282.00,53.31290
283.00,53.77008
284.00,53.96214
285.00,54.53669
286.00,54.82083
287.00,55.38347
288.00,55.82100
289.00,56.41923
290.00,57.00500
291.00,57.46008
292.00,57.77469
293.00,58.09005
294.00,58.49789
295.00,58.79900
296.00,58.78663
297.00,58.88799
298.00,58.95897
299.00,58.78804
300.00,58.85541
301.00,58.55355
302.00,58.40932
303.00,58.12402
304.00,58.13223
305.00,57.77627
306.00,57.53303
307.00,57.28762
308.00,57.17473
309.00,57.00585
310.00,56.89397
311.00,56.78695
312.00,56.60762
313.00,56.59372
314.00,56.52670
315.00,56.71386
316.00,56.73186
317.00,56.83851
318.00,56.97708
319.00,57.21940
320.00,57.26945
321.00,57.76553
322.00,57.98616
323.00,58.11071
324.00,58.29748
325.00,58.61667
326.00,58.95807
327.00,59.24451
328.00,59.44459
329.00,59.68925
330.00,59.86023
331.00,60.26419
332.00,60.21597
333.00,60.37948
334.00,60.60991
335.00,60.53540
336.00,60.70324
337.00,60.56415
338.00,60.67262
339.00,60.60299
340.00,60.59572
341.00,60.46625
342.00,60.48653
343.00,60.25095
344.00,60.23799
345.00,59.98398
346.00,59.87362
347.00,59.61776
348.00,59.47431
349.00,59.33603
350.00,59.22420
351.00,59.05517
352.00,58.95740
353.00,58.73260
354.00,58.65931
355.00,58.46643
356.00,58.41981
357.00,58.36763
358.00,58.15423
359.00,58.19882
360.00,58.08223
361.00,58.10905
362.00,58.06248
363.00,58.08144
364.00,58.26529
365.00,58.15367
366.00,58.24014
367.00,58.41915
368.00,58.54105
369.00,58.51907
370.00,58.81858
371.00,58.84581
372.00,59.04669
373.00,59.08979
374.00,59.27034
375.00,59.46839
376.00,59.66017
377.00,59.81643
378.00,59.92665
379.00,60.16607
380.00,60.25280
381.00,60.45771
382.00,60.61870
383.00,60.80204
384.00,60.92861
385.00,61.05096
386.00,61.20438
387.00,61.30550
388.00,61.43469
389.00,61.50077
390.00,61.62695
391.00,61.68978
392.00,61.77446
393.00,61.85895
394.00,61.84374
395.00,61.89695
396.00,61.93612
397.00,61.88630
398.00,61.90251
399.00,61.86355
400.00,61.85812
401.00,61.82638
402.00,61.77862
403.00,61.75700
404.00,61.72189
405.00,61.63481
406.00,61.48952
407.00,61.44841
408.00,61.33029
409.00,61.21420
410.00,61.15117
411.00,61.08017
412.00,60.95374
413.00,60.84978
414.00,60.77615
415.00,60.68746
416.00,60.52659
417.00,60.46519
418.00,60.37754
419.00,60.29250
420.00,60.15648
421.00,60.09855
422.00,60.01030
423.00,59.95869
424.00,59.90514
425.00,59.88887
426.00,59.79429
427.00,59.74615
428.00,59.69568
429.00,59.65786
430.00,59.63246
431.00,59.62045
432.00,59.60381
433.00,59.63699
434.00,59.62778
435.00,59.61070
436.00,59.62667
437.00,59.61885
438.00,59.67482
439.00,59.72283
440.00,59.75453
441.00,59.86246
442.00,59.86555
443.00,59.92026
444.00,60.00252
445.00,60.11345
446.00,60.12610
447.00,60.23565
448.00,60.30757
449.00,60.41519
450.00,60.47774
451.00,60.57358
452.00,60.68196
453.00,60.79326
454.00,60.85730
455.00,60.94148
456.00,61.11727
457.00,61.18525
458.00,61.31317
459.00,61.36972
460.00,61.48269
461.00,61.66588
462.00,61.72379
463.00,61.82393
464.00,61.96582
465.00,62.01375
466.00,62.13107
467.00,62.23878
468.00,62.35539
469.00,62.42004
470.00,62.53331
471.00,62.54860
472.00,62.65673
473.00,62.73426
474.00,62.79961
475.00,62.86495
476.00,62.91444
477.00,62.99564
478.00,63.04085
479.00,63.06833
480.00,63.12662
481.00,63.21462
482.00,63.22665
483.00,63.25086
484.00,63.27236
485.00,63.27746
486.00,63.31999
487.00,63.32446
488.00,63.34699
489.00,63.35115
490.00,63.32403
491.00,63.39643
492.00,63.32446
493.00,63.30374
494.00,63.29461
495.00,63.29549
496.00,63.24254
497.00,63.27850
498.00,63.22117
499.00,63.18372
500.00,63.13357
501.00,63.10077
502.00,63.05143
503.00,63.00725
504.00,62.97168
505.00,62.95282
506.00,62.91460
507.00,62.84311
508.00,62.75051
509.00,62.74540
510.00,62.70131
511.00,62.61793
512.00,62.57429
513.00,62.50793
514.00,62.43175
515.00,62.38500
516.00,62.32475
517.00,62.32843
518.00,62.25389
519.00,62.20643
520.00,62.18593
521.00,62.07684
522.00,62.02148
523.00,61.95597
524.00,61.94688
525.00,61.87369
526.00,61.83271
527.00,61.79659
528.00,61.76833
529.00,61.70797
530.00,61.67176
531.00,61.61770
532.00,61.59890
533.00,61.57333
534.00,61.54695
535.00,61.50339
536.00,61.46115
537.00,61.47028
538.00,61.41737
539.00,61.40182
540.00,61.39522
541.00,61.37503
542.00,61.36299
543.00,61.33617
544.00,61.30101
545.00,61.35301
546.00,61.33243
547.00,61.31551
548.00,61.32992
549.00,61.36760
550.00,61.38424
551.00,61.36539
552.00,61.38763
553.00,61.38124
554.00,61.44514
555.00,61.41039
556.00,61.45539
557.00,61.46905
558.00,61.50500
559.00,61.54759
560.00,61.55587
561.00,61.60339
562.00,61.61687
563.00,61.65681
564.00,61.68960
565.00,61.76468
566.00,61.76032
567.00,61.83701
568.00,61.88871
569.00,61.91859
570.00,61.93715
571.00,62.02422
572.00,62.07386
573.00,62.11675
574.00,62.14753
575.00,62.23098
576.00,62.30073
577.00,62.31615
578.00,62.38286
579.00,62.46119
580.00,62.50553
581.00,62.57816
582.00,62.63272
583.00,62.70426
584.00,62.75241
585.00,62.82033
586.00,62.86851
587.00,62.91037
588.00,62.99547
589.00,63.08599
590.00,63.15234
591.00,63.17743
592.00,63.28611
593.00,63.33278
594.00,63.40938
595.00,63.44540
596.00,63.58239
597.00,63.60547
598.00,63.63559
599.00,63.70776
600.00,63.79377
601.00,63.83148
602.00,63.90060
603.00,63.97507
604.00,63.98574
605.00,64.07765
606.00,64.13018
607.00,64.17075
608.00,64.26650
609.00,64.31577
610.00,64.35087
611.00,64.40851
612.00,64.45512
613.00,64.54152
614.00,64.56953
615.00,64.60380
616.00,64.64327
617.00,64.69707
618.00,64.72768
619.00,64.80673
620.00,64.83094
621.00,64.87449
622.00,64.95382
623.00,64.94069
624.00,65.03273
625.00,65.00489
626.00,65.07053
627.00,65.11768
628.00,65.14598
629.00,65.20157
630.00,65.15182
631.00,65.25967
632.00,65.24929
633.00,65.25746
634.00,65.30700
635.00,65.32465
636.00,65.34741
637.00,65.35041
638.00,65.36558
639.00,65.37213
640.00,65.41319
641.00,65.39495
642.00,65.42333
643.00,65.43435
644.00,65.43138
645.00,65.43742
646.00,65.42240
647.00,65.47513
648.00,65.46575
649.00,65.48051
650.00,65.44443
651.00,65.46805
652.00,65.48048
653.00,65.46897
654.00,65.42637
655.00,65.48073
656.00,65.45882
657.00,65.46391
658.00,65.45568
659.00,65.48061
660.00,65.43000
661.00,65.40611
662.00,65.37840
663.00,65.39105
664.00,65.37830
665.00,65.37768
666.00,65.32896
667.00,65.32134
668.00,65.34202
669.00,65.29586
670.00,65.28480
671.00,65.24532
672.00,65.22110
673.00,65.23716
674.00,65.22250
675.00,65.21299
676.00,65.14433
677.00,65.09134
678.00,65.09656
679.00,65.11795
680.00,65.11976
681.00,65.07279
682.00,65.00663
683.00,65.01762
684.00,64.87877
685.00,64.99991
686.00,64.96032
687.00,64.95820
688.00,64.95522
689.00,64.89496
690.00,64.84668
691.00,64.87564
692.00,64.79816
693.00,64.74789
694.00,64.74718
695.00,64.71707
696.00,64.69236
697.00,64.73765
698.00,64.59591
699.00,64.67770
700.00,64.63575
701.00,64.59171
702.00,64.59427
703.00,64.55928
704.00,64.60316
705.00,64.44997
706.00,64.53966
707.00,64.54418
708.00,64.40909
709.00,64.35469
710.00,64.40466
711.00,64.41862
712.00,64.34666
713.00,64.33676
714.00,64.39258
715.00,64.32932
716.00,64.29662
717.00,64.22265
718.00,64.23591
719.00,64.28425
720.00,64.28392
721.00,64.22962
722.00,64.15719
723.00,64.14143
724.00,64.15859
725.00,64.17198
726.00,64.19695
727.00,64.21282
728.00,64.08444
729.00,64.13431
730.00,64.13330
731.00,64.11905
732.00,64.20974
733.00,64.06857
734.00,64.16987
735.00,64.13486
736.00,64.08124
737.00,64.11232
738.00,64.04282
739.00,64.01335
740.00,63.97890
741.00,64.10196
742.00,64.21094
743.00,64.14320
744.00,64.01173
745.00,63.91302
746.00,63.99764
747.00,64.03108
748.00,64.10964
749.00,64.05076
750.00,64.07785
751.00,64.02144
752.00,64.05246
753.00,64.07379
754.00,64.20122
755.00,64.08988
756.00,64.18631
757.00,64.07580
758.00,64.08911
759.00,64.18707
760.00,64.08918
761.00,64.22580
762.00,64.01499
763.00,64.15759
764.00,64.27011
765.00,64.19374
766.00,64.15691
767.00,64.31080
768.00,64.29024
769.00,64.25431
770.00,64.24271
771.00,64.19948
772.00,64.32126
773.00,64.33268
774.00,64.23396
775.00,64.30942
776.00,64.39151
777.00,64.31856
778.00,64.43989
779.00,64.37187
780.00,64.38513
781.00,64.50023
782.00,64.41917
783.00,64.51744
784.00,64.37357
785.00,64.51983
786.00,64.56254
787.00,64.66257
788.00,64.54998
789.00,64.66721
790.00,64.65898
791.00,64.53533
792.00,64.79902
793.00,64.76534
794.00,64.75837
795.00,64.77666
796.00,64.62376
797.00,64.66609
798.00,64.87922
799.00,64.89316
800.00,64.86529
