"1345TestOnFront - RawData"
"Wavelength nm.","T%"
200.00,0.15862
201.00,0.10922
202.00,0.13577
203.00,0.06460
204.00,0.10782
205.00,0.07255
206.00,0.20350
207.00,0.16707
208.00,0.16808
209.00,0.26537
210.00,0.16674
211.00,0.29650
212.00,0.28297
213.00,0.34307
214.00,0.21994
215.00,0.25292
216.00,0.24244
217.00,0.27489
218.00,0.30500
219.00,0.38916
220.00,0.33038
221.00,0.32125
222.00,0.34904
223.00,0.48144
224.00,0.66032
225.00,0.67658
226.00,0.95356
227.00,1.18241
228.00,1.83641
229.00,2.62411
230.00,3.57261
231.00,4.89500
232.00,6.51926
233.00,7.94992
234.00,10.22482
235.00,12.98748
236.00,15.73997
237.00,18.53385
238.00,21.23329
239.00,24.10632
240.00,25.61070
241.00,27.87455
242.00,28.94419
243.00,30.24624
244.00,30.86622
245.00,30.90861
246.00,31.47132
247.00,31.58661
248.00,32.24172
249.00,32.69220
250.00,33.69545
251.00,33.61129
252.00,34.45196
253.00,34.82677
254.00,36.06451
255.00,36.22767
256.00,37.41871
257.00,37.20798
258.00,37.27484
259.00,38.28873
260.00,37.86726
261.00,37.96429
262.00,38.00663
263.00,38.77464
264.00,37.88030
265.00,37.53275
266.00,37.56467
267.00,37.26650
268.00,37.15898
269.00,36.55052
270.00,37.33611
271.00,36.25838
272.00,36.43970
273.00,36.54721
274.00,36.10662
275.00,35.70686
276.00,36.55431
277.00,35.79593
278.00,35.03601
279.00,36.16978
280.00,36.86612
281.00,36.31037
282.00,36.96963
283.00,36.17815
284.00,38.25903
285.00,37.54016
286.00,38.27479
287.00,39.52371
288.00,38.32273
289.00,39.47612
290.00,39.53544
291.00,40.25152
292.00,40.02858
293.00,40.16424
294.00,40.45449
295.00,41.28072
296.00,40.98833
297.00,40.59514
298.00,40.81756
299.00,40.69930
300.00,41.07074
301.00,40.51448
302.00,40.37598
303.00,41.06506
304.00,40.54175
305.00,40.31553
306.00,40.11480
307.00,41.04540
308.00,40.34539
309.00,39.80038
310.00,39.82965
311.00,39.93858
312.00,40.04489
313.00,39.67068
314.00,40.15025
315.00,39.82542
316.00,38.43137
317.00,39.52650
318.00,39.31168
319.00,38.69120
320.00,38.51024
321.00,38.70450
322.00,39.20107
323.00,39.40687
324.00,38.80146
325.00,38.74493
326.00,38.99722
327.00,39.87808
328.00,39.54169
329.00,39.09315
330.00,39.54054
331.00,39.55107
332.00,39.92125
333.00,40.04585
334.00,39.61441
335.00,40.89833
336.00,40.15135
337.00,40.53847
338.00,41.18696
339.00,40.91583
340.00,41.13011
341.00,41.78236
342.00,41.66776
343.00,42.35418
344.00,42.17297
345.00,42.56021
346.00,42.18822
347.00,43.23763
348.00,42.80927
349.00,43.17736
350.00,42.92029
351.00,43.11712
352.00,43.81355
353.00,43.94527
354.00,43.88905
355.00,44.43919
356.00,44.35646
357.00,44.01739
358.00,44.35106
359.00,44.91124
360.00,44.93933
361.00,44.49964
362.00,44.44537
363.00,45.40591
364.00,44.30822
365.00,44.33293
366.00,44.06542
367.00,44.32348
368.00,44.24994
369.00,44.02591
370.00,44.75121
371.00,44.37597
372.00,44.56838
373.00,43.96675
374.00,44.33863
375.00,44.10126
376.00,44.21077
377.00,44.06124
378.00,43.71170
379.00,43.51234
380.00,43.86002
381.00,43.37242
382.00,43.56573
383.00,43.43030
384.00,43.38625
385.00,43.11253
386.00,43.09155
387.00,43.12097
388.00,42.59337
389.00,42.69114
390.00,42.54447
391.00,42.35288
392.00,42.38594
393.00,42.26379
394.00,42.40178
395.00,42.24295
396.00,42.36404
397.00,42.07874
398.00,42.26075
399.00,42.28601
400.00,42.08339
401.00,42.12974
402.00,42.05526
403.00,42.38476
404.00,42.30627
405.00,42.24134
406.00,42.23393
407.00,42.24638
408.00,42.17598
409.00,42.44787
410.00,42.26626
411.00,42.46771
412.00,42.68897
413.00,42.34226
414.00,42.65811
415.00,42.75775
416.00,42.81135
417.00,43.00885
418.00,43.05940
419.00,43.36705
