"SamDTestFront - RawData"
"Wavelength nm.","T%"
200.00,0.11515
201.00,0.34241
202.00,0.21502
203.00,0.21651
204.00,0.22229
205.00,0.17691
206.00,0.21192
207.00,0.12774
208.00,0.10490
209.00,0.20878
210.00,0.22100
211.00,0.15960
212.00,0.15915
213.00,0.13739
214.00,0.10042
215.00,0.14776
216.00,0.20302
217.00,0.18703
218.00,0.14713
219.00,0.17599
220.00,0.23904
221.00,0.24974
222.00,0.23377
223.00,0.27199
224.00,0.29337
225.00,0.26934
226.00,0.31099
227.00,0.36217
228.00,0.38649
229.00,0.44110
230.00,0.48143
231.00,0.58541
232.00,0.61204
233.00,0.63107
234.00,0.79235
235.00,0.79452
236.00,0.96672
237.00,1.05087
238.00,1.20434
239.00,1.56963
240.00,1.58148
241.00,1.88805
242.00,2.24155
243.00,2.55292
244.00,3.06758
245.00,3.66310
246.00,3.96900
247.00,4.81144
248.00,5.68344
249.00,6.49841
250.00,7.66746
251.00,8.82525
252.00,9.85557
253.00,11.17748
254.00,12.66038
255.00,14.09514
256.00,16.09570
257.00,17.26381
258.00,18.84817
259.00,20.63925
260.00,22.37519
261.00,24.43470
262.00,25.75984
263.00,27.48928
264.00,28.81348
265.00,29.94055
266.00,31.56186
267.00,31.77754
268.00,32.69490
269.00,33.22344
270.00,34.09533
271.00,33.97435
272.00,33.68634
273.00,34.13431
274.00,33.36297
275.00,34.63116
276.00,34.77208
277.00,34.42419
278.00,34.47546
279.00,34.43705
280.00,35.50132
281.00,35.59336
282.00,35.49531
283.00,36.11521
284.00,37.21479
285.00,36.88693
286.00,38.24513
287.00,38.31647
288.00,38.31452
289.00,39.06977
290.00,39.44531
291.00,40.02830
292.00,40.15354
293.00,39.61098
294.00,39.88931
295.00,40.86465
296.00,40.96462
297.00,40.03206
298.00,40.32052
299.00,39.64571
300.00,40.29451
301.00,39.61104
302.00,39.58704
303.00,39.55083
304.00,39.07686
305.00,39.58459
306.00,39.29585
307.00,40.34484
308.00,39.27024
309.00,39.78401
310.00,38.98669
311.00,39.33080
312.00,39.55627
313.00,40.05708
314.00,40.33272
315.00,39.18127
316.00,38.58856
317.00,38.97152
318.00,39.01753
319.00,39.52687
320.00,39.67236
321.00,41.10237
322.00,40.81746
323.00,41.07116
324.00,40.71066
325.00,40.18166
326.00,40.91588
327.00,40.80250
328.00,40.94091
329.00,41.89985
330.00,40.87467
331.00,41.52887
332.00,42.60317
333.00,42.16749
334.00,42.30891
335.00,43.10375
336.00,42.56759
337.00,42.54730
338.00,43.76632
339.00,43.31117
340.00,42.88550
341.00,43.91292
342.00,43.80165
343.00,43.78046
344.00,43.83741
345.00,43.42675
346.00,43.59228
347.00,44.15051
348.00,43.59958
349.00,43.54798
350.00,43.25123
351.00,43.04746
352.00,43.33396
353.00,43.66598
354.00,43.38307
355.00,43.28471
356.00,43.49609
357.00,42.96957
358.00,42.82794
359.00,43.23432
360.00,43.03447
361.00,42.75429
362.00,42.81292
363.00,42.90895
364.00,42.34211
365.00,42.28637
366.00,42.17640
367.00,42.36643
368.00,42.20881
369.00,41.97281
370.00,42.25942
371.00,42.30806
372.00,42.37252
373.00,42.22943
374.00,42.43740
375.00,42.23371
376.00,42.23292
377.00,42.44749
378.00,42.76943
379.00,42.46879
380.00,42.96944
381.00,42.52099
382.00,42.74437
383.00,42.85173
384.00,42.83874
385.00,42.97951
386.00,43.18118
387.00,43.57364
388.00,43.22409
389.00,43.55039
390.00,43.50882
391.00,43.75338
392.00,43.97230
393.00,44.05687
394.00,44.01271
395.00,44.41056
396.00,44.31850
397.00,44.67598
398.00,44.67125
399.00,45.29145
400.00,44.99953
401.00,45.46262
402.00,45.45498
403.00,45.85537
404.00,45.85038
405.00,45.79033
406.00,45.96182
407.00,45.85771
408.00,46.27506
409.00,46.43458
410.00,46.22358
411.00,46.66497
412.00,46.51584
413.00,46.75000
414.00,47.07572
415.00,46.94039
416.00,46.95775
417.00,47.32865
418.00,47.47821
419.00,47.45756
420.00,47.96812
421.00,48.06398
422.00,48.42424
423.00,48.85619
424.00,48.76028
425.00,48.99329
426.00,49.16168
427.00,49.14765
428.00,49.62589
429.00,49.63433
430.00,49.92098
431.00,49.69083
432.00,49.66214
433.00,50.06119
434.00,49.72306
435.00,49.85346
436.00,49.95986
437.00,49.82727
438.00,49.80926
439.00,49.96660
440.00,49.72586
441.00,49.87458
442.00,50.03927
443.00,49.98991
444.00,49.96789
445.00,50.11703
446.00,49.87939
447.00,49.88919
448.00,49.93320
449.00,49.83323
450.00,49.56518
451.00,49.82017
452.00,49.63064
453.00,49.61612
454.00,49.86321
455.00,49.52778
456.00,49.79573
457.00,49.72621
458.00,49.53130
459.00,49.70485
460.00,49.36614
461.00,49.66817
462.00,49.40059
463.00,49.70221
464.00,49.72625
465.00,49.55207
466.00,49.57475
467.00,49.98726
468.00,49.84294
469.00,49.97150
470.00,49.81266
471.00,49.87406
472.00,49.88748
473.00,49.89797
474.00,49.86704
475.00,50.14502
476.00,49.74221
477.00,50.07007
478.00,50.00607
479.00,50.18708
480.00,49.94508
481.00,50.02629
482.00,50.18919
483.00,50.04551
484.00,50.18343
485.00,50.18726
486.00,50.22392
487.00,50.10136
488.00,50.34971
489.00,50.56798
490.00,50.83548
491.00,50.48056
492.00,50.57403
493.00,50.87366
494.00,50.64318
495.00,50.94320
496.00,50.92566
497.00,50.96098
498.00,51.00397
499.00,51.05540
500.00,51.15968
501.00,51.17260
502.00,51.18994
503.00,51.21924
504.00,51.14627
505.00,51.40458
506.00,51.54962
507.00,51.51194
508.00,51.62387
509.00,51.53489
510.00,51.94048
511.00,51.80078
512.00,51.86405
513.00,51.95777
514.00,51.91875
515.00,52.02885
516.00,52.21398
517.00,52.15837
518.00,52.30057
519.00,52.63134
520.00,52.11846
521.00,52.52990
522.00,52.57035
523.00,52.58284
524.00,52.65868
525.00,52.79623
526.00,52.97623
527.00,52.69864
528.00,52.94158
529.00,52.93868
530.00,52.88754
531.00,52.90372
532.00,52.98320
533.00,53.28530
534.00,52.95394
535.00,53.37012
536.00,53.24192
537.00,53.04149
538.00,52.82445
539.00,52.86474
540.00,53.15586
541.00,53.00808
542.00,53.29982
543.00,53.03631
544.00,53.23206
545.00,53.17402
546.00,53.05845
547.00,53.34889
548.00,53.30806
549.00,53.03677
550.00,52.99965
551.00,53.12186
552.00,53.24566
553.00,53.03531
554.00,53.35749
555.00,53.24064
556.00,53.25515
557.00,53.15541
558.00,53.27645
559.00,53.22764
560.00,53.13430
561.00,53.07322
562.00,52.91337
563.00,53.11137
564.00,53.04770
565.00,53.13344
566.00,53.27298
567.00,52.98642
568.00,53.06839
569.00,53.09526
570.00,53.20721
571.00,52.99056
572.00,53.14076
573.00,53.01993
574.00,53.09760
575.00,52.97152
576.00,52.77383
577.00,52.80823
578.00,52.83065
579.00,52.77748
580.00,52.68846
581.00,52.64571
582.00,52.73944
583.00,52.79941
584.00,52.53456
585.00,52.46056
586.00,52.46658
587.00,52.44652
588.00,52.59589
589.00,52.37057
590.00,52.38826
591.00,52.46448
592.00,52.20219
593.00,52.11677
594.00,52.27035
595.00,52.40908
596.00,52.30108
597.00,52.31018
598.00,52.41529
599.00,52.26217
600.00,52.18709
601.00,52.09373
602.00,52.13825
603.00,51.97566
604.00,52.08479
605.00,52.15438
606.00,52.09172
607.00,52.04518
608.00,52.16996
609.00,52.19712
610.00,52.02826
611.00,52.14161
612.00,51.96720
613.00,51.94291
614.00,51.95093
615.00,52.09180
616.00,52.20104
617.00,52.20033
618.00,52.19606
619.00,52.09593
620.00,52.25503
621.00,52.07630
622.00,52.15301
623.00,52.28383
624.00,52.31897
625.00,52.23682
626.00,51.95219
627.00,52.41749
628.00,52.30384
629.00,52.72334
630.00,52.31113
631.00,52.55852
632.00,52.68313
633.00,52.67295
634.00,52.75335
635.00,52.68747
636.00,53.13375
637.00,52.81575
638.00,52.98707
639.00,53.11251
640.00,53.05050
641.00,52.93019
642.00,53.26478
643.00,53.70420
644.00,53.72893
645.00,53.83866
646.00,53.48836
647.00,53.65770
648.00,53.65903
649.00,53.88477
650.00,54.09032
651.00,53.98215
652.00,54.09968
653.00,54.15887
654.00,54.33643
655.00,54.24967
656.00,54.39705
657.00,54.49022
658.00,54.74678
659.00,54.62564
660.00,54.70093
661.00,55.16878
662.00,55.13830
663.00,55.39283
664.00,55.51802
665.00,55.45784
666.00,55.89187
667.00,55.81887
668.00,56.09720
669.00,56.38849
670.00,56.39021
671.00,56.57235
672.00,56.70092
673.00,56.87891
674.00,56.90489
675.00,57.19135
676.00,57.28089
677.00,57.89374
678.00,58.21313
679.00,58.08094
680.00,58.18407
681.00,58.53376
682.00,58.86261
683.00,58.80193
684.00,58.94763
685.00,59.36257
686.00,59.58238
687.00,59.68161
688.00,59.80964
689.00,60.22996
690.00,60.37888
691.00,60.44171
692.00,60.51597
693.00,60.66949
694.00,61.37231
695.00,61.25719
696.00,61.66178
697.00,61.58560
698.00,61.94145
699.00,62.26374
700.00,62.06243
701.00,62.41937
702.00,62.01936
703.00,62.75263
704.00,62.61097
705.00,62.92956
706.00,63.32269
707.00,63.18207
708.00,63.40461
709.00,63.53415
710.00,63.46148
711.00,63.90996
712.00,63.83794
713.00,64.20414
714.00,64.02292
