"SamDBaseline - RawData"
"Wavelength nm.","T%"
200.00,0.44379
201.00,0.11512
202.00,-0.01566
203.00,0.15876
204.00,0.01913
205.00,0.01336
206.00,0.12123
207.00,0.06288
208.00,0.19048
209.00,0.21629
210.00,0.04366
211.00,0.18287
212.00,0.08285
213.00,0.04813
214.00,0.13633
215.00,0.16244
216.00,0.09591
217.00,0.09831
218.00,0.07836
219.00,0.05452
220.00,0.10659
221.00,0.05458
222.00,0.12073
223.00,0.08051
224.00,0.14570
225.00,0.09595
226.00,0.11888
227.00,0.10399
228.00,0.10223
229.00,0.09388
230.00,0.16989
231.00,0.16062
232.00,0.21803
233.00,0.30171
234.00,0.37944
235.00,0.47663
236.00,0.58569
237.00,0.75071
238.00,0.84560
239.00,1.04104
240.00,1.25355
241.00,1.49758
242.00,1.80674
243.00,2.09030
244.00,2.54691
245.00,3.01563
246.00,3.52678
247.00,4.13529
248.00,4.91415
249.00,5.77709
250.00,7.07005
251.00,8.50455
252.00,10.31463
253.00,12.38529
254.00,14.92336
255.00,17.91116
256.00,21.25990
257.00,25.26226
258.00,28.98596
259.00,33.04646
260.00,37.03633
261.00,40.48516
262.00,43.24457
263.00,45.36690
264.00,47.12586
265.00,47.94784
266.00,48.55525
267.00,49.15574
268.00,49.95311
269.00,50.86907
270.00,52.51492
271.00,53.08149
272.00,54.35113
273.00,55.12816
274.00,56.02506
275.00,56.06978
276.00,56.60549
277.00,56.65773
278.00,56.19787
279.00,55.63126
280.00,55.35114
281.00,54.98824
282.00,54.79123
283.00,55.16347
284.00,54.92964
285.00,55.06302
286.00,56.20779
287.00,56.46320
288.00,57.37679
289.00,58.02819
290.00,58.47245
291.00,59.11013
292.00,59.60261
293.00,60.24365
294.00,59.88594
295.00,59.75059
296.00,59.37021
297.00,59.19635
298.00,58.75081
299.00,58.47359
300.00,57.96422
301.00,57.90870
302.00,57.59571
303.00,57.61294
304.00,57.42271
305.00,57.68385
306.00,57.95122
307.00,57.87247
308.00,58.32613
309.00,58.83279
310.00,59.35197
311.00,59.70164
312.00,60.20645
313.00,60.79360
314.00,60.87961
315.00,60.88582
316.00,61.70704
317.00,61.18987
318.00,60.99910
319.00,60.82802
320.00,61.19723
321.00,60.73239
322.00,60.04637
323.00,60.18043
324.00,59.96608
325.00,59.18090
326.00,59.79005
327.00,58.86204
328.00,58.88151
329.00,59.05523
330.00,58.41928
331.00,58.75949
332.00,59.15760
333.00,58.96536
334.00,59.03363
335.00,59.17582
336.00,59.59847
337.00,60.14206
338.00,60.11871
339.00,60.99548
340.00,61.57789
341.00,61.24257
342.00,61.81840
343.00,61.68449
344.00,61.93371
345.00,61.91636
346.00,62.25981
347.00,62.37473
348.00,62.11462
349.00,62.04854
350.00,61.73334
351.00,61.65929
352.00,61.44904
353.00,61.44937
354.00,61.24271
355.00,60.79387
356.00,60.58333
357.00,60.22454
358.00,60.16163
359.00,60.12204
360.00,59.83403
361.00,59.65028
362.00,59.65975
363.00,59.47133
364.00,59.51904
365.00,59.53410
366.00,59.55080
367.00,59.82711
368.00,59.89568
369.00,60.25200
370.00,60.33920
371.00,60.73368
372.00,60.77015
373.00,61.19177
374.00,61.29226
375.00,61.42536
376.00,61.56921
377.00,62.06329
378.00,62.07591
379.00,62.40523
380.00,62.51439
381.00,62.76932
382.00,62.97305
383.00,62.79079
384.00,62.89924
385.00,62.98530
386.00,62.86308
387.00,62.69031
388.00,62.65271
389.00,62.79371
390.00,62.26616
391.00,62.16701
392.00,62.25787
393.00,62.03152
394.00,61.77718
395.00,61.50936
396.00,61.48558
397.00,61.21072
398.00,61.01620
399.00,60.94001
400.00,60.78670
401.00,60.55630
402.00,60.44732
403.00,60.62480
404.00,60.35618
405.00,60.19868
406.00,60.44168
407.00,60.46984
408.00,60.13376
409.00,60.42452
410.00,60.46189
411.00,60.75628
412.00,60.67142
413.00,60.65661
414.00,60.85514
415.00,61.06327
416.00,61.15642
417.00,61.43073
418.00,61.44812
419.00,61.72884
420.00,61.87062
421.00,62.12986
422.00,62.23441
423.00,62.39377
424.00,62.69863
425.00,62.90564
426.00,62.95063
427.00,63.20768
428.00,63.15131
429.00,63.41133
430.00,63.52605
431.00,63.57847
432.00,63.43539
433.00,63.61780
434.00,63.72430
435.00,63.80935
436.00,63.72592
437.00,63.52347
438.00,63.52724
439.00,63.46811
440.00,63.67392
441.00,63.37152
442.00,63.28037
443.00,63.06928
444.00,62.95774
445.00,62.87993
446.00,62.75147
447.00,62.58131
448.00,62.55540
449.00,62.49555
450.00,62.36276
451.00,61.95679
452.00,61.99333
453.00,61.97336
454.00,61.64953
455.00,61.66588
456.00,61.56909
457.00,61.44911
458.00,61.32225
459.00,61.27645
460.00,61.42321
461.00,61.18324
462.00,61.24770
463.00,61.06982
464.00,61.15057
465.00,61.24214
466.00,61.24422
467.00,61.15959
468.00,61.15783
469.00,61.28991
470.00,61.40714
471.00,61.23982
472.00,61.44949
473.00,61.55372
474.00,61.64846
475.00,61.82163
476.00,61.94609
477.00,62.07350
478.00,62.27790
479.00,62.26220
480.00,62.44727
481.00,62.60131
482.00,62.69290
483.00,62.73850
484.00,62.99150
485.00,62.99096
486.00,63.20505
487.00,63.36508
488.00,63.34981
489.00,63.57169
490.00,63.74695
491.00,63.76975
492.00,63.84778
493.00,63.97675
494.00,64.09940
495.00,64.13618
496.00,64.23782
497.00,64.19482
498.00,64.33828
499.00,64.39878
500.00,64.41085
501.00,64.50660
502.00,64.61545
503.00,64.51456
504.00,64.59153
505.00,64.55945
506.00,64.42744
507.00,64.47256
508.00,64.43603
509.00,64.49540
510.00,64.30031
511.00,64.28949
512.00,64.09051
513.00,64.18517
514.00,64.04455
515.00,63.76860
516.00,63.67716
517.00,63.71862
518.00,63.65657
519.00,63.57738
520.00,63.62761
521.00,63.46129
522.00,63.36703
523.00,63.45292
524.00,63.17524
525.00,63.06901
526.00,62.97823
527.00,62.82609
528.00,62.58166
529.00,62.60638
530.00,62.71592
531.00,62.64803
532.00,62.54474
533.00,62.28725
534.00,62.34094
535.00,62.33503
536.00,62.30109
537.00,62.12620
538.00,62.01843
539.00,62.08956
540.00,61.99145
541.00,62.09182
542.00,62.09495
543.00,62.06046
544.00,62.11993
545.00,62.10853
546.00,62.17355
547.00,62.12729
548.00,62.10244
549.00,62.14457
550.00,62.22835
551.00,62.29491
552.00,62.23762
553.00,62.30128
554.00,62.34965
555.00,62.40833
556.00,62.59711
557.00,62.66088
558.00,62.63838
559.00,62.76102
560.00,62.72050
561.00,62.97576
562.00,62.99272
563.00,63.08020
564.00,63.08448
565.00,63.29082
566.00,63.45000
567.00,63.55463
568.00,63.49948
569.00,63.75679
570.00,63.89945
571.00,63.91268
572.00,63.89791
573.00,64.07948
574.00,64.23987
575.00,64.20025
576.00,64.33321
577.00,64.49495
578.00,64.40643
579.00,64.62285
580.00,64.61136
581.00,64.87833
582.00,64.75283
583.00,65.00922
584.00,65.01983
585.00,64.98252
586.00,65.17946
587.00,65.24518
588.00,65.22073
589.00,65.37701
590.00,65.47522
591.00,65.27576
592.00,65.37259
593.00,65.54069
594.00,65.62855
595.00,65.72481
596.00,65.63802
597.00,65.73085
598.00,65.59219
599.00,65.54983
600.00,65.78428
601.00,65.82643
602.00,65.72156
603.00,65.82122
604.00,65.57395
605.00,65.62530
606.00,65.49260
607.00,65.53242
608.00,65.52224
609.00,65.51632
610.00,65.48719
611.00,65.59868
612.00,65.33467
613.00,65.33201
614.00,65.41907
615.00,65.31710
616.00,65.18891
617.00,65.19157
618.00,65.09464
619.00,64.96187
620.00,64.91956
621.00,64.86810
622.00,64.83281
623.00,64.87911
624.00,64.72392
625.00,64.66659
626.00,64.55762
627.00,64.50040
628.00,64.56707
629.00,64.55104
630.00,64.49829
631.00,64.24425
632.00,64.34982
633.00,64.26602
634.00,64.25004
635.00,64.11957
636.00,64.02347
637.00,63.96742
638.00,64.00034
639.00,64.03488
640.00,63.62286
641.00,63.80452
642.00,63.90638
643.00,63.58528
644.00,63.74972
645.00,63.61963
646.00,63.52532
647.00,63.58474
648.00,63.61248
649.00,63.63364
650.00,63.47277
651.00,63.44008
652.00,63.41746
653.00,63.50045
654.00,63.42818
655.00,63.47614
656.00,63.40761
657.00,63.48197
658.00,63.43853
659.00,63.52023
660.00,63.30496
661.00,63.45491
662.00,63.59397
663.00,63.51883
664.00,63.58224
665.00,63.54089
666.00,63.54466
667.00,63.68667
668.00,63.63352
669.00,63.65499
670.00,63.69876
671.00,63.61756
672.00,63.56148
673.00,63.76281
674.00,63.85399
675.00,63.77094
676.00,63.73284
677.00,63.98784
678.00,63.92975
679.00,63.96839
680.00,64.01871
681.00,64.23178
682.00,64.04326
683.00,64.27124
684.00,64.11313
685.00,64.34492
686.00,64.53373
687.00,64.50279
688.00,64.47914
689.00,64.44866
690.00,64.69810
691.00,64.86175
692.00,64.66115
693.00,64.90476
694.00,64.97506
695.00,64.89776
696.00,65.35037
697.00,65.31984
698.00,65.27418
699.00,65.23744
700.00,65.40453
701.00,65.30426
702.00,65.55662
703.00,65.26052
704.00,65.39211
705.00,65.45483
706.00,65.65872
707.00,66.00829
708.00,65.87564
709.00,65.71147
710.00,66.03129
711.00,66.07616
712.00,66.33526
713.00,66.31720
714.00,66.08113
715.00,66.43184
716.00,66.38678
717.00,66.39984
718.00,66.08601
719.00,66.37422
720.00,66.41256
721.00,66.75160
722.00,66.54446
723.00,66.98512
724.00,66.70173
725.00,66.57892
726.00,66.83643
727.00,67.02477
728.00,66.83868
729.00,66.97962
730.00,67.34283
731.00,67.26728
732.00,66.78678
733.00,67.32996
734.00,66.88892
735.00,67.21613
736.00,67.45329
737.00,67.35290
738.00,67.27959
739.00,67.24453
740.00,67.10039
741.00,67.04067
742.00,67.29240
743.00,67.30917
744.00,67.63595
745.00,67.21799
746.00,67.70925
747.00,67.25771
748.00,67.19626
749.00,66.78640
750.00,67.37003
751.00,67.15372
752.00,67.34116
753.00,67.62055
754.00,67.44919
755.00,67.35117
756.00,67.31862
757.00,67.37578
758.00,67.26995
759.00,67.38541
760.00,67.20200
761.00,67.29953
762.00,67.05686
763.00,67.10585
764.00,67.35198
765.00,67.11065
766.00,67.13798
767.00,67.09151
768.00,67.20021
769.00,67.57847
770.00,66.74770
771.00,66.74857
772.00,67.19633
773.00,67.01571
774.00,67.00928
775.00,66.61401
776.00,67.18491
777.00,66.90925
778.00,67.25062
779.00,66.36985
780.00,66.98588
781.00,67.03431
782.00,66.96901
783.00,66.78088
784.00,67.07795
785.00,67.12787
786.00,66.56988
787.00,66.40245
788.00,66.49582
789.00,66.01547
790.00,66.67884
791.00,66.76674
792.00,66.68417
793.00,66.40614
794.00,66.33913
795.00,66.40940
796.00,66.27514
797.00,66.70431
798.00,65.71636
799.00,65.99714
800.00,66.28802
