λ (nm),TM,Tm,TM Corrected,Tm Corrected,n1,Δn1,d1 (nm),Δd1 (nm),m,Δm,d2 (nm),Δd2 (nm),n2,Δn2,κ,α1 (cm^-1),α2 (cm^-1),discarded
274.0,0.7135401511033649,0.6896232256036177,0.7339057329928294,0.7026300268034048,2.1236429929801783,0.010101963187767654,1200.1891723423075,15.435184784910568,12.0,0.1543275191005467,774.1414189834801,9.95594371872478,2.1554859587614343,0.027720900039309625,0.0023742936425867472,1088.914374454814,1088.9143744548137,yes
279.0,0.718085560523142,0.6976921886922164,0.7186523793361523,0.7044295504937684,2.0309046846509973,0.009656427859936994,713.5956931784219,5.267595734820766,11.5,0.08489029786687981,789.9189027060046,5.83099573403405,2.103368825634447,0.015526574446262383,0.002922719451194826,1316.4149041401658,1316.414904140166,no
291.0,0.7588750611010757,0.7258228266604706,0.764098565485304,0.7180156436803882,2.134170976083399,0.009674605496321726,888.358952360567,7.457596185971895,11.0,0.09234280560544753,749.9399148128307,6.295595979029736,2.09845211496209,0.017616086884025862,0.0021452808457776097,926.4052982792903,926.4052982792903,no
300.0,0.7462658980886321,0.7310173794463316,0.7478382903465481,0.735433796050072,1.9735654157495581,0.008918148747235828,1110.2829913811831,10.80125245316819,10.5,0.10214796735486414,798.0480339952737,7.763712811825021,2.06501848239006,0.020089280050130567,0.002260248148219505,946.7705303648441,946.7705303648443,yes
313.0,0.7811344344556046,0.7365912032712446,0.7847449137733103,0.7320239256022291,2.1193497081348527,0.009309066609295603,653.2347836980288,3.487330915497783,10.0,0.05338556675986614,738.4340554996411,3.942172056763478,2.051907253930441,0.010954223168975714,0.0019974535008162758,801.9406062685784,801.9406062685783,no
326.0,0.7676300451001303,0.7409261548717939,0.7689014130042595,0.7435371968074567,1.997798333583012,0.00843736404166293,877.8118200610731,5.692284019091734,9.5,0.061603975869918365,775.1032594079682,5.026257104133005,2.030273726972069,0.013165571966917533,0.0022252024284104364,857.7520983858153,857.7520983858151,no
342.0,0.786339953125294,0.7463677838308767,0.7886111396152153,0.7454168313668935,2.0539370024608954,0.008978982087936505,712.7399082163255,3.4305164496169356,9.0,0.04331825353208871,749.2926989270212,3.6064501224293015,2.0178180599354305,0.009712039366878927,0.002061688061933266,757.5419964167634,757.5419964167633,no
359.0,0.7849853755599067,0.7531527679121813,0.7860636329226436,0.7548101502111259,1.9955437127912714,0.00807431629189449,861.0049551862134,4.47501388706017,8.5,0.04417816391287188,764.5785908973418,3.973844507404162,2.0004456822264345,0.010397178499787793,0.0021032145248501707,736.2053816370634,736.2053816370634,no
379.0,0.7945535834026384,0.7568257070033849,0.7959851375906156,0.7579580715111103,2.010271172701712,0.008685860337581702,708.441533706678,2.7240404008149364,8.0,0.03456592505739733,754.1271150809797,3.2583876679550494,1.9876622344783057,0.008588172979549504,0.0020638087827063198,684.2898691466245,684.2898691466245,no
401.0,0.8001417153492975,0.7625711006303348,0.8010761546161592,0.7635015241239613,1.9961382342635692,0.0077760052661164595,766.6170717479291,2.820247162690307,7.5,0.0292164332583857,753.3295912017712,2.9346138297218043,1.9716009796152718,0.007680419791079661,0.0020738811710673,649.9042245828656,649.9042245828656,no
429.0,0.8053995573956189,0.7685288154621879,0.8061981642864198,0.7705612805670791,1.9727011722899848,0.00840575975484108,715.5353486236966,2.142115067360158,7.0,0.029827284086612844,761.1391026127911,3.2432446061516123,1.9686509532118575,0.008388501606975891,0.0019536298338979343,572.2619239167924,572.2619239167923,no
458.0,0.8147040804578976,0.7736242344501353,0.8155154831600558,0.7741419632184126,1.981163606023063,0.007504705568313238,762.6158481909077,2.114894788947487,6.5,0.024622189730184346,751.3261375661834,2.8460453397540233,1.9516063562143522,0.007392741843283618,0.0019400324794376779,532.2962257752838,532.2962257752838,no
497.0,0.8154603819592606,0.7814004878948796,0.8158975783001845,0.7832479191033188,1.9380979863363572,0.008137446742689469,755.8799578773526,1.7493915490955447,6.0,0.025192059844420724,769.3109484203534,3.2300879085956016,1.954884163329257,0.008207926471916831,0.0017703792249661916,447.6306130560788,447.6306130560788,no
536.0,0.8289580943780184,0.7859743028048561,0.8296592984959182,0.7862424258971606,1.9671449973418478,0.00725269217995712,732.1726262278452,1.4135073756539953,5.5,0.020278020706997312,749.3092791796122,2.762638014390801,1.9325950749479042,0.007125309626915386,0.0016654161334258716,390.45217089109224,390.4521708910923,no
593.0,0.8295890279204889,0.7957803227384908,0.8298084851766261,0.796429097086798,1.9202009133540379,0.007872148413276792,816.6639408766548,1.3958031279879268,5.0,0.020498241508297217,772.0546270392609,3.165152440529821,1.9437396191385805,0.007968648828469654,0.001336852377868487,283.29481343984384,283.29481343984384,no
648.0,0.8435836522955643,0.8037948096232015,0.8441793076078843,0.803916049273413,1.9356716282016666,0.007007055582476067,931.948929346922,1.204153685360979,4.5,0.016289823987572127,753.2269310340376,2.7266520287208005,1.911617109412513,0.006919979165324721,0.0010342742370595558,200.57212005824005,200.57212005824005,yes
739.0,0.8558328630968904,0.8125090101023763,0.8559213125461788,0.8108656819917093,1.9405148980686873,0.007596195949453745,878.1077250855695,1.0864261080940525,4.0,0.015658103850712857,761.6535185949828,2.981512473105274,1.9378395663317518,0.007585723293910734,5.151911378173075e-05,8.76059915432433,8.760599154324328,yes
