λ (nm),T,hv,α (cm^-1),k
200.0,0.0016963778119913763,6.207668999999998,92810.60366954905,1.4578655533174458
200.06,0.0016850279556014966,6.205807257822653,92908.2716029475,1.4598375375430135
200.12,0.0016736780992116168,6.203946632020787,93006.59962711339,1.4618208171699048
200.18,0.0016623282428217371,6.202087121590568,93105.59672526892,1.4638155427650548
200.24,0.0016509783864318574,6.200228725529364,93205.27206527333,1.46582186796848
200.3,0.001639628530041978,6.198371442835746,93305.63500471775,1.4678399495777799
200.36,0.0016282786736520982,6.196515272509482,93406.69509619709,1.4698699476355654
200.42,0.001616928817262224,6.194660213551542,93508.46209276603,1.4719120255199376
200.48,0.0016055789608723442,6.192806264964086,93610.9459535877,1.473966350038152
200.54,0.0015942291044824645,6.190953425750473,93714.15684978208,1.4760330915235895
200.6,0.0015828792480925848,6.189101694915253,93818.10517048386,1.478112423936193
200.66,0.001571529391702705,6.187251071464168,93922.80152911798,1.4802045249665055
200.72,0.0015601795353128254,6.1854015544041445,94028.25676990274,1.4823095761434733
200.78,0.0015488296789229457,6.1835531427433015,94134.48197459031,1.4844277629461753
200.84,0.001537479822533066,6.181705835490937,94241.48846945507,1.4865592749196554
200.9,0.0015261299661431865,6.17985963165754,94349.28783254087,1.4887043057950344
200.96,0.0015147801097533068,6.178014530254776,94457.89190117882,1.4908630536140988
201.02,0.0015037893255036151,6.176170530295491,94563.83842742204,1.4929808675267269
201.08,0.001493516685534299,6.174327630793712,94663.5647887202,1.4950014462263015
201.14,0.0014832440455649879,6.172485830764642,94763.97945600144,1.4970338383375323
201.2,0.0014729714055956719,6.170645129224652,94865.09199663936,1.4990782047767732
201.26,0.0014626987656263558,6.168805525191294,94966.91217888237,1.501134709815931
201.32,0.0014524261256570396,6.166967017683289,95069.44997751694,1.5032035211767436
201.38,0.0014421534856877236,6.165129605720527,95172.71557973156,1.5052848101283955
201.44,0.0014318808457184076,6.163293288324066,95276.71939119037,1.5073787515886092
201.5,0.0014216082057490916,6.161458064516127,95381.4720423254,1.509485524228377
201.56,0.0014113355657797756,6.159623933320103,95486.98439485714,1.5116053105804765
201.62,0.0014010629258104596,6.157790893760539,95593.26754855296,1.5137382971519464
201.68,0.0013907902858411435,6.155958944863149,95700.33284823467,1.5158846745406886
201.74,0.0013805176458718273,6.1541280856548015,95808.19189104544,1.5180446375563883
201.8,0.0013702450059025113,6.152298315163527,95916.85653398828,1.5202183853459361
201.86,0.0013599723659331953,6.150469632418506,96026.33890174815,1.522406121523565
201.92,0.001349699725963884,6.148642036450079,96136.65139481073,1.5246080543059093
201.98,0.001339427085994568,6.146815526289731,96247.80669789117,1.526824396652215
202.04,0.0013302340496718567,6.144990100970105,96348.0053417391,1.5288679243224401
202.1,0.001321580815172448,6.143165759524987,96442.9551525825,1.5308290821576018
202.16,0.0013129275806730391,6.141342500989316,96538.52870702095,1.5328010384307362
202.22,0.0013042743461736304,6.139520324399168,96634.73425425855,1.5347839329763233
202.28,0.0012956211116742214,6.1376992287917735,96731.5802082368,1.5367779084015256
202.34,0.0012869678771748126,6.135879213205495,96829.07515205049,1.538783110160246
202.4,0.0012783146426754038,6.1340602766798416,96927.22784251237,1.540799686629676
202.46,0.001269661408175995,6.132242418255457,97026.04721487318,1.5428277891894417
202.52,0.0012610081736765862,6.130425636974126,97125.54238770269,1.5448675723034455
202.58,0.0012523549391771774,6.128609931878763,97225.72266793912,1.5469191936045252
202.64,0.0012437017046777728,6.126795302013423,97326.59755611327,1.5489828139820363
202.7,0.001235048470178364,6.124981746423286,97428.17675175556,1.551058597672493
202.76,0.0012263952356789552,6.123169264154665,97530.47015899247,1.553146712353379
202.82,0.0012177420011795464,6.121357854255003,97633.48789234171,1.5552473292402822
202.88,0.0012090887666801377,6.1195475157728705,97737.24028271374,1.55736062318748
202.94,0.0012004355321807289,6.117738247757957,97841.73788362884,1.5594867727921329
203.0,0.00119178229768132,6.115930049261083,97946.99147765918,1.5616259605022387
203.06,0.001184672515436432,6.114122919334186,98034.04479481424,1.5634758768174803
203.12,0.0011775627331915436,6.112316857030327,98121.62213586208,1.5653349733479962
203.18,0.0011704529509466554,6.110511861403681,98209.72984782966,1.5672033587860774
203.24,0.0011633431687017672,6.108707931509544,98298.37439376065,1.5690811437955632
203.3,0.001156233386456879,6.106905066404328,98387.56235556015,1.5709684410599962
203.36,0.0011491236042119907,6.105103265145554,98477.30043692751,1.5728653653322644
203.42,0.0011420138219671058,6.103302526791859,98567.59546637977,1.574772033485777
203.48,0.0011349040397222177,6.101502850402988,98658.45440036993,1.576688564567238
203.54,0.0011277942574773295,6.099704235039795,98749.88432650272,1.5786150798510679
203.6,0.0011206844752324413,6.097906679764244,98841.89246685247,1.5805517028955498
203.66,0.001113574692987553,6.096110183639398,98934.48618138637,1.582498559600754
203.72,0.0011064649107426648,6.094314745729433,99027.67297149736,1.5844557782683126
203.78,0.0010993551284977766,6.092520365099617,99121.46048365104,1.5864234896631215
203.84,0.0010922453462528883,6.0907270408163265,99215.85651315059,1.5884018270770324
203.9,0.0010851355640080001,6.088934771947032,99310.86900802508,1.5903909263946292
203.96,0.001078025781763112,6.087143557560306,99406.50607304504,1.59239092616115
204.02,0.0010712934065211588,6.085353396725811,99497.64965842257,1.594319825146
204.08,0.0010653158452850757,6.083564288514307,99579.05583402053,1.5960935079843095
204.14,0.0010593382840489954,6.081776231997648,99660.92007284253,1.5978753022395202
204.2,0.001053360722812912,6.079989226248776,99743.24755901146,1.5996652975294332
204.26,0.001047383161576829,6.078203270341722,99826.04356515798,1.6014635849894558
204.32,0.0010414056003407459,6.076418363351604,99909.31345444698,1.603270257307211
204.38,0.0010354280391046626,6.074634504354633,99993.06268266232,1.6050854087581286
204.44,0.0010294504778685795,6.072851692428094,100077.29680035166,1.6069091352420715
204.5,0.0010234729166324961,6.071069926650367,100162.02145503394,1.6087415343210212
204.56,0.001017495355396413,6.0692892061008985,100247.24239347158,1.6105827052578678
204.62,0.00101151779416033,6.067509529860227,100332.96546400938,1.612432749056339
204.68,0.0010055402329242466,6.065730897009965,100419.19661898294,1.6142917685021065
204.74,0.0009995626716881635,6.063953306632802,100505.94191719884,1.6161598682051213
204.8,0.0009935851104520804,6.062176757812498,100593.20752648918,1.6180371546432097
204.86,0.000987607549215997,6.0604012496338955,100680.99972634304,1.6199237362069836
204.92,0.0009816299879799168,6.058626781182899,100769.32491061813,1.6218197232461113
204.98,0.0009756524267438337,6.056853351546493,100858.18959033521,1.623725228117003
