λ (nm),α (cm^-1)
200.0,33850.63633155397
200.06,33635.441188824436
200.12,33420.246046094915
200.18,33205.05090336538
200.24,32989.85576063585
200.3,32774.660617906324
200.36,32559.465475176796
200.42,32344.270332447366
200.48,32129.07518971784
200.54,31913.88004698831
200.6,31698.684904258782
200.66,31483.48976152925
200.72,31268.294618799726
200.78,31053.099476070194
200.84,30837.904333340663
200.9,30622.709190611135
200.96,30407.51404788161
201.02,30198.092031156895
201.08,30000.216266441814
201.14,29802.340501726823
201.2,29604.464737011745
201.26,29406.58897229666
201.32,29208.713207581583
201.38,29010.837442866497
201.44,28812.961678151416
201.5,28615.085913436335
201.56,28417.21014872125
201.62,28219.33438400617
201.68,28021.458619291087
201.74,27823.582854576005
201.8,27625.707089860924
201.86,27427.831325145842
201.92,27229.955560430855
201.98,27032.07979571577
202.04,26851.98831062073
202.1,26680.788965335716
202.16,26509.589620050705
202.22,26338.39027476569
202.28,26167.190929480676
202.34,25995.991584195664
202.4,25824.79223891065
202.46,25653.592893625635
202.52,25482.39354834062
202.58,25311.19420305561
202.64,25139.99485777068
202.7,24968.795512485663
202.76,24797.59616720065
202.82,24626.396821915638
202.88,24455.197476630623
202.94,24283.99813134561
203.0,24112.798786060597
203.06,23968.718151916157
203.12,23824.637517771716
203.18,23680.55688362728
203.24,23536.47624948284
203.3,23392.395615338402
203.36,23248.314981193962
203.42,23104.23434704959
203.48,22960.15371290515
203.54,22816.07307876071
203.6,22671.992444616273
203.66,22527.911810471833
203.72,22383.831176327396
203.78,22239.750542182956
203.84,22095.66990803852
203.9,21951.58927389408
203.96,21807.50863974964
204.02,21671.251693193946
204.08,21550.64212181573
204.14,21430.03255043757
204.2,21309.422979059353
204.26,21188.813407681137
204.32,21068.20383630292
204.38,20947.594264924704
204.44,20826.98469354649
204.5,20706.375122168272
204.56,20585.765550790053
204.62,20465.155979411837
204.68,20344.54640803362
204.74,20223.936836655404
204.8,20103.32726527719
204.86,19982.717693898972
204.92,19862.10812252081
204.98,19741.498551142595
205.04,19634.3912498059
205.1,19534.035083489976
205.16,19433.678917174053
205.22,19333.322750858126
205.28,19232.966584542202
205.34,19132.610418226275
205.4,19032.25425191035
205.46,18931.89808559443
205.52,18831.5419192785
205.58,18731.185752962578
205.64,18630.829586646698
205.7,18530.473420330774
205.76,18430.117254014847
205.82,18329.761087698924
205.88,18229.404921382997
205.94,18129.048755067073
206.0,18028.69258875115
206.06,17946.988241822335
206.12,17865.28389489352
206.18,17783.57954796471
206.24,17701.875201035895
206.3,17620.170854107084
206.36,17538.46650717827
206.42,17456.762160249495
206.48,17375.057813320684
206.54,17293.35346639187
206.6,17211.649119463058
206.66,17129.944772534243
206.72,17048.24042560543
206.78,16966.536078676618
206.84,16884.831731747803
206.9,16803.127384818992
206.96,16721.423037890178
207.02,16645.502538175813
207.08,16581.149732890328
207.14,16516.79692760488
207.2,16452.444122319394
207.26,16388.09131703391
207.32,16323.73851174843
207.38,16259.385706462946
207.44,16195.032901177465
207.5,16130.680095891985
207.56,16066.327290606501
207.62,16001.97448532102
207.68,15937.621680035536
207.74,15873.268874750054
207.8,15808.91606946457
207.86,15744.563264179089
207.92,15680.210458893636
207.98,15615.857653608155
208.04,15561.28461442958
208.1,15511.601458304462
208.16,15461.918302179343
208.22,15412.235146054225
208.28,15362.551989929107
208.34,15312.86883380399
208.4,15263.18567767887
208.46,15213.502521553752
208.52,15163.819365428635
208.58,15114.136209303517
208.64,15064.45305317842
208.7,15014.769897053304
208.76,14965.086740928185
208.82,14915.403584803069
208.88,14865.720428677949
208.94,14816.03727255283
209.0,14766.354116427714
209.06,14727.008939851643
209.12,14687.66376327557
209.18,14648.3185866995
209.24,14608.973410123428
209.3,14569.628233547357
209.36,14530.283056971288
209.42,14490.937880395235
209.48,14451.592703819162
209.54,14412.247527243091
209.6,14372.902350667022
209.66,14333.557174090949
209.72,14294.211997514878
209.78,14254.866820938807
