λ (nm),α (cm^-1)
200.0,41744.60087735781
200.06,41886.73008563886
200.12,42028.859293919915
200.18,42170.98850220096
200.24,42313.117710482016
200.3,42455.24691876307
200.36,42597.376127044125
200.42,42739.50533532511
200.48,42881.63454360616
200.54,43023.763751887214
200.6,43165.89296016827
200.66,43308.022168449315
200.72,43450.15137673037
200.78,43592.28058501143
200.84,43734.40979329248
200.9,43876.53900157353
200.96,44018.668209854586
201.02,44146.607973640654
201.08,44246.16884843677
201.14,44345.72972323285
201.2,44445.290598028965
201.26,44544.85147282508
201.32,44644.412347621204
201.38,44743.97322241732
201.44,44843.53409721344
201.5,44943.09497200956
201.56,45042.65584680568
201.62,45142.216721601806
201.68,45241.77759639792
201.74,45341.338471194045
201.8,45440.89934599017
201.86,45540.46022078628
201.92,45640.02109558236
201.98,45739.58197037847
202.04,45794.18917507361
202.1,45826.31954471823
202.16,45858.449914362856
202.22,45890.580284007476
202.28,45922.7106536521
202.34,45954.84102329673
202.4,45986.97139294135
202.46,46019.101762585975
202.52,46051.2321322306
202.58,46083.36250187522
202.64,46115.49287151983
202.7,46147.62324116445
202.76,46179.75361080908
202.82,46211.8839804537
202.88,46244.014350098325
202.94,46276.14471974295
203.0,46308.27508938757
203.06,46272.89892090187
203.12,46237.52275241616
203.18,46202.14658393046
203.24,46166.77041544476
203.3,46131.394246959055
203.36,46096.018078473346
203.42,46060.641909987666
203.48,46025.265741501964
203.54,45989.88957301626
203.6,45954.51340453055
203.66,45919.13723604485
203.72,45883.76106755915
203.78,45848.38489907345
203.84,45813.00873058774
203.9,45777.63256210204
203.96,45742.256393616335
204.02,45690.99040266862
204.08,45607.94476679691
204.14,45524.89913092523
204.2,45441.85349505352
204.26,45358.80785918181
204.32,45275.7622233101
204.38,45192.71658743838
204.44,45109.67095156667
204.5,45026.62531569496
204.56,44943.57967982325
204.62,44860.53404395154
204.68,44777.48840807982
204.74,44694.44277220811
204.8,44611.3971363364
204.86,44528.35150046469
204.92,44445.305864593014
204.98,44362.2602287213
205.04,44266.90329233595
205.1,44165.390705693775
205.16,44063.878119051595
205.22,43962.36553240942
205.28,43860.852945767256
205.34,43759.34035912508
205.4,43657.8277724829
205.46,43556.31518584073
205.52,43454.802599198556
205.58,43353.290012556376
205.64,43251.77742591425
205.7,43150.26483927208
205.76,43048.7522526299
205.82,42947.23966598773
205.88,42845.727079345554
205.94,42744.21449270337
206.0,42642.7019060612
206.06,42550.9753233739
206.12,42459.248740686606
206.18,42367.52215799931
206.24,42275.795575312004
206.3,42184.06899262471
206.36,42092.34240993741
206.42,42000.615827250156
206.48,41908.88924456285
206.54,41817.162661875554
206.6,41725.436079188265
206.66,41633.70949650096
206.72,41541.98291381366
206.78,41450.25633112636
206.84,41358.52974843907
206.9,41266.803165751764
206.96,41175.07658306447
207.02,41093.11549190347
207.08,41030.68538379506
207.14,40968.255275686686
207.2,40905.825167578274
207.26,40843.39505946987
207.32,40780.96495136146
207.38,40718.53484325305
207.44,40656.10473514464
207.5,40593.674627036235
207.56,40531.244518927815
207.62,40468.8144108194
207.68,40406.384302711
207.74,40343.954194602586
207.8,40281.52408649418
207.86,40219.09397838577
207.92,40156.66387027739
207.98,40094.23376216899
208.04,40055.824365607165
208.1,40029.425324818636
208.16,40003.02628403013
208.22,39976.62724324161
208.28,39950.22820245308
208.34,39923.82916166456
208.4,39897.43012087605
208.46,39871.03108008752
208.52,39844.632039299
208.58,39818.23299851049
208.64,39791.83395772198
208.7,39765.43491693347
208.76,39739.035876144946
208.82,39712.636835356425
208.88,39686.2377945679
208.94,39659.83875377939
209.0,39633.43971299087
209.06,39638.38684363949
209.12,39643.33397428811
209.18,39648.28110493673
209.24,39653.22823558535
209.3,39658.175366233976
209.36,39663.12249688259
209.42,39668.069627531215
209.48,39673.01675817984
209.54,39677.96388882846
209.6,39682.91101947708
209.66,39687.8581501257
209.72,39692.80528077432
209.78,39697.752411422945
209.84,39702.69954207156
209.9,39707.64667272019
209.96,39712.59380336881
210.02,39724.52655114416
210.08,39750.43053317297
210.14,39776.334515201765
210.2,39802.23849723057
210.26,39828.14247925939
210.32,39854.04646128819
210.38,39879.950443317
210.44,39905.85442534582
