λ (nm),α (cm^-1)
200.0,42489.01178387698
200.06,42117.45652398656
200.12,41745.901264096145
200.18,41374.34600420573
200.24,41002.7907443153
200.3,40631.235484424884
200.36,40259.680224534466
200.42,39888.12496464422
200.48,39516.569704753805
200.54,39145.01444486338
200.6,38773.45918497296
200.66,38401.90392508254
200.72,38030.34866519212
200.78,37658.7934053017
200.84,37287.238145411284
200.9,36915.682885520866
200.96,36544.12762563044
201.02,36189.18359017893
201.08,35867.46200360522
201.14,35545.74041703166
201.2,35224.01883045794
201.26,34902.297243884226
201.32,34580.57565731051
201.38,34258.8540707368
201.44,33937.132484163085
201.5,33615.41089758937
201.56,33293.68931101565
201.62,32971.967724441936
201.68,32650.246137868227
201.74,32328.52455129451
201.8,32006.802964720795
201.86,31685.08137814708
201.92,31363.35979157352
201.98,31041.638204999806
202.04,30774.07471670651
202.1,30533.590277553438
202.16,30293.10583840037
202.22,30052.621399247306
202.28,29812.136960094238
202.34,29571.652520941167
202.4,29331.1680817881
202.46,29090.683642635035
202.52,28850.199203481963
202.58,28609.714764328895
202.64,28369.230325175944
202.7,28128.745886022876
202.76,27888.261446869805
202.82,27647.777007716737
202.88,27407.29256856367
202.94,27166.808129410605
203.0,26926.323690257534
203.06,26772.250114086808
203.12,26618.176537916086
203.18,26464.10296174536
203.24,26310.02938557464
203.3,26155.955809403913
203.36,26001.882233233187
203.42,25847.80865706254
203.48,25693.735080891813
203.54,25539.661504721087
203.6,25385.58792855036
203.66,25231.51435237964
203.72,25077.440776208918
203.78,24923.367200038192
203.84,24769.293623867467
203.9,24615.22004769674
203.96,24461.146471526015
204.02,24330.545482428122
204.08,24246.889667475854
204.14,24163.233852523626
204.2,24079.578037571355
204.26,23995.922222619087
204.32,23912.266407666822
204.38,23828.61059271455
204.44,23744.954777762283
204.5,23661.298962810015
204.56,23577.643147857747
204.62,23493.98733290548
204.68,23410.331517953207
204.74,23326.67570300094
204.8,23243.019888048675
204.86,23159.364073096403
204.92,23075.708258144175
204.98,22992.052443191908
205.04,22938.90249038537
205.1,22901.00546865171
205.16,22863.10844691805
205.22,22825.21142518439
205.28,22787.314403450735
205.34,22749.417381717074
205.4,22711.520359983413
205.46,22673.623338249752
205.52,22635.72631651609
205.58,22597.82929478243
