λ (nm),TM,Tm,TM Corrected,Tm Corrected,n1,Δn1,d1 (nm),Δd1 (nm),m,Δm,d2 (nm),Δd2 (nm),n2,Δn2,κ,α1 (cm^-1),α2 (cm^-1),discarded
517.0,0.8528531587394818,0.8526317287585412,0.8819474991543582,0.852852430462249,1.9036834457274208,0.006862889187825813,1566.7946145834621,7.566577132651304,21.0,0.10141604924262584,2851.5770372346246,13.771222725110848,1.9228964145450929,0.009286312260284467,-0.0005755161114479416,-139.8868230365507,-139.8868230365507,yes
522.0,0.8537414351570856,0.8527448965960132,0.8776975110629395,0.8582433756785882,1.869574187610245,0.006479645907248638,1842.1880418823741,10.227632932052163,20.5,0.11381382917502231,2861.8816174602816,15.888863684329806,1.8952670656762491,0.010522322051410848,-0.000522750837536367,-125.84445906989747,-125.84445906989745,no
540.0,0.8569229510910529,0.8558797309851088,0.8624754421618022,0.8569227682521429,1.8160470731064928,0.0067982723223404175,2431.433651367468,16.43206625876108,19.0,0.12840541988092918,2824.816644881747,19.09061933540412,1.817161021758557,0.012280701262640305,-0.00021343347709833872,-49.668225457945645,-49.668225457945645,no
545.0,0.8577083730809087,0.8567460725643373,0.8628722316155595,0.8602372204019326,1.8040281375191525,0.006704872323149709,2569.088247982708,17.97736094872875,18.5,0.12945494488662676,2794.4408932183187,19.554280638946675,1.7857237818597125,0.012495717500723664,-0.00017795590900136941,-41.0322918445208,-41.0322918445208,no
569.0,0.861478398632217,0.8603095172220551,0.8647768209935944,0.8631338415214624,1.7965663707926027,0.0067012515714697145,3444.234148779657,29.787983811180602,18.0,0.1556757425424252,2850.4374139769384,24.65244227730945,1.813973019965998,0.015688422046396235,-0.0002830039068787559,-62.50144075834864,-62.50144075834865,no
575.0,0.8625759605578144,0.8612003783864846,0.8657930313860426,0.8652698768322076,1.7914250332963357,0.006660224840762467,3153.1081196253226,24.276589614506094,17.5,0.13473699668260647,2808.518306089639,21.623504096607956,1.7821815576457583,0.013721473749732512,-0.00024219880866063203,-52.93147812149159,-52.93147812149158,no
596.0,0.8664174272974053,0.8642452082678713,0.869349767759611,0.8670815765681229,1.7952950331521627,0.006640781360020866,2736.370596289895,16.946856805803566,17.0,0.10528419143564693,2821.820317246221,17.47606296929112,1.7944907867892494,0.011113618325048471,-0.0003242211824285805,-68.3604620708607,-68.3604620708607,no
607.0,0.8678145182287978,0.8658401191581215,0.8706120027398279,0.8680305621440785,1.7948674989497895,0.0065871673425032225,2953.892592106644,19.104989245881665,16.5,0.10671759812777468,2790.0388206539637,18.045226765056977,1.7738573307429655,0.011472835985347568,-0.00030038999736463806,-62.18800717842532,-62.18800717842532,no
633.0,0.8711252929132087,0.8695390341633632,0.8736032007530556,0.8712658256402238,1.7910837550909684,0.006577664279047485,2611.848535850546,13.613230969155284,16.0,0.08339369320876579,2827.3384679002916,14.736387299338675,1.7937823419464585,0.009349383394224023,-0.0004158898716801606,-82.56281614993961,-82.56281614993961,no
642.0,0.8722433727688984,0.8708156005256642,0.8746735585152079,0.8723823769928519,1.789690516014293,0.0065266019287581085,3162.476780223257,19.57371116047837,15.5,0.09593509899731077,2780.089605146158,17.206978805876858,1.762433657652963,0.010908338543427711,-0.00036614143482792584,-71.66774092400236,-71.66774092400235,no
677.0,0.8765793409897439,0.8762633970765236,0.8788244581294079,0.8765434246963617,1.7859807719026393,0.006499224817648483,1399.0284342060263,3.1760273476350513,15.0,0.054585342573913065,2842.9757362901746,10.34565363298146,1.7985643446352968,0.006545016726209541,-0.0005550193753936493,-103.02184888252197,-103.02184888252195,yes
679.0,0.8768271784210038,0.8765746997365726,0.8790367548647988,0.8767811988508479,1.7854821066167976,0.006462408768266212,3151.314319759451,4.573759815566545,14.5,0.05248158286918702,2757.0984787564307,9.979096020094143,1.743748424924354,0.0063113570665987466,-0.0004249925617633818,-78.654109565016,-78.65410956501601,yes
799.0,0.8918501322087892,0.8765746997365726,0.8919053680878393,0.8767811988508479,1.8222713309054284,0.006496979538364158,2497.354618291006,2.515706016538935,13.0,0.04634915369972276,2850.0146558413535,10.161212871542567,1.8396541455171667,0.006558954826531331,-0.0009290718021559381,-146.12090855121525,-146.12090855121528,yes
