λ (nm),TM,Tm,TM Corrected,Tm Corrected,n1,Δn1,d1 (nm),Δd1 (nm),m,Δm,d2 (nm),Δd2 (nm),n2,Δn2,κ,α1 (cm^-1),α2 (cm^-1),discarded
420.0,0.7883155426070532,0.7879591096041312,0.8573645864643701,0.7883148928819226,2.0777316617049024,0.008030765259868169,899.3313689073716,43.69461209451385,37.0,2.0920105355859997,3739.6551937916047,105.73604879869981,2.092491938692368,0.0661440135598726,-0.00017715235073471273,-53.003859393746275,-53.00385939374628,yes
423.0,0.7888228433238303,0.7881629300954472,0.8448611259497001,0.8054185079947984,1.9768092504124868,0.006990909299656955,1078.817103845986,57.15362617555052,35.5,1.973245210528566,3798.1661601559717,107.18534097981671,2.0220016214526346,0.06302769156103623,-9.540001731599829e-05,-28.34118142338338,-28.34118142338338,yes
432.0,0.7903313070445784,0.7895974452987642,0.8076819619027671,0.7903296884711426,1.8969169892802589,0.007990249529539863,2741.765281215569,391.68381207809443,33.0,1.8601351910585397,3757.6762927852496,106.47587127302927,1.9195987823679794,0.06055647872973582,0.0003508557251235636,102.05979338130622,102.05979338130622,no
435.0,0.7907824924627334,0.7900713760422103,0.8070783528421073,0.8048456430064999,1.8312792386570673,0.007661862195958147,2954.6190940766546,434.107628993674,31.5,1.783112323524412,3741.2371938559354,105.98987285373617,1.8450689054010407,0.058400125422376395,0.00038519891706839476,111.27706556623568,111.27706556623568,no
445.0,0.7922734959306759,0.791370176964897,0.8050836447542312,0.7922734942792118,1.8728480431692198,0.007951479032556094,4514.820714510818,1025.6011714413658,32.0,1.7831661377903745,3801.6965796923855,107.74459167367488,1.91744435051347,0.059939959272126246,0.0003705889977803097,104.65075711710786,104.65075711710789,no
449.0,0.7928978544732138,0.791893341264416,0.8063611698313857,0.8067358279848639,1.8142342397005735,0.007675951911865119,5011.63725694228,1208.5984197866426,30.5,1.7118283506381873,3774.1818835533,106.953748521014,1.843991689473786,0.05797277448933244,0.00039646410753280413,110.96024299662284,110.96024299662284,no
458.0,0.7943026611939242,0.7932233851178585,0.8092356012549834,0.7943026611939242,1.876838620994476,0.007911267851390763,3071.8870132410343,458.38313241997713,31.0,1.7359361372022586,3782.424296148845,107.17477668521293,1.9117889668953825,0.059993839490127945,0.0003613665750882653,99.14991943669857,99.14991943669858,no
462.0,0.7948932087944048,0.7938145157193885,0.8087756411675658,0.8066745460329968,1.8206694583940277,0.007630534134007302,3870.817829867663,697.4079785278707,29.5,1.6691838814762536,3742.854019208363,106.03618283123679,1.8351719840693876,0.05806664721081248,0.0004164770843557606,113.28150204333801,113.28150204333802,no
472.0,0.7963592946284339,0.7952868416133532,0.8076337502042756,0.7963583755894106,1.8573834915808727,0.007870845696160082,3690.1265754918422,637.1462251304918,29.0,1.667157096035538,3684.7533269367405,104.42061822130118,1.8431164515328915,0.05906870877886576,0.0004960511337054726,132.06699978423737,132.0669997842374,no
477.0,0.7969874607440581,0.796027430389676,0.8082797252001731,0.8059283627323759,1.8181672169698735,0.007640327408492321,3576.33338014931,575.7157053121773,28.5,1.6145402044360975,3738.5175227876903,105.91889709759042,1.8305264903831016,0.05797575982023332,0.00045055769606510055,118.69758892884383,118.69758892884386,no
