λ (nm),TM,Tm,TM Corrected,Tm Corrected,n1,Δn1,d1 (nm),Δd1 (nm),m,Δm,d2 (nm),Δd2 (nm),n2,Δn2,κ,α1 (cm^-1),α2 (cm^-1),discarded
273.0,0.5443189881981431,0.5375696779712722,0.5628366857552087,0.5443053643468757,2.111192059588269,0.016843045211526467,967.7842131278417,10.10958534718107,10.0,0.10446115167044599,646.5541558858489,6.7539791741148845,1.987559150397627,0.02076227178636693,0.012434563404831187,5723.711801203538,5723.711801203536,yes
277.0,0.5524289971767389,0.5411647341135343,0.5674165952395944,0.5412167979836584,2.1564028826064403,0.015498088687388327,516.3319598492789,2.826621751569992,10.5,0.07546360308185364,674.3869671711117,4.846825753731031,2.117514941000549,0.015218600669291442,0.011394014359578456,5169.003871039464,5169.003871039464,no
291.0,0.5809974207646568,0.5597359864666533,0.5835498442273047,0.5597917242945948,2.1000481040829313,0.015925138726019486,738.9453986345189,5.143937136466144,10.0,0.0758322568662008,692.8412721457079,5.253971731685866,2.1186070064678004,0.0160658750712999,0.010751924230485354,4643.046896831186,4643.046896831186,no
300.0,0.587914624675002,0.5716311252777097,0.5901642612116591,0.5716892163254228,2.044943606258853,0.014327536641323716,845.6867502759911,6.254096305387145,9.5,0.07025522734249774,696.8407322522618,5.153337270094237,2.0749243877777426,0.015344661534928236,0.010804176309143508,4525.6427894525505,4525.6427894525505,no
316.0,0.6001692719574095,0.5769130698521144,0.601882485536491,0.5769722434381307,2.066646374084564,0.014992313433690362,652.4236591696986,3.3705910843892877,9.0,0.06528974796812147,688.0712722948962,4.991555550248716,2.0705561259087366,0.015020676401603487,0.011123196776350883,4423.361174306026,4423.3611743060255,no
329.0,0.6039015349729694,0.5812166317018486,0.6053337690077103,0.5812766873059315,2.0481050198402015,0.013620172493780329,642.9426644829522,3.001959061725027,8.5,0.056526137612887446,682.7042492718929,4.54007462861718,2.0359740527791077,0.013539499939254119,0.011715562021267813,4474.835693457817,4474.835693457817,no
350.0,0.6099305752288737,0.588413614313241,0.6109089192304491,0.5884751743094294,2.020776443891623,0.01441400733536245,708.8597444185161,3.1969066065666154,8.0,0.05706324370093654,692.8030085821229,4.941698364432963,2.0385222055360277,0.014540586175534123,0.011908623598761199,4275.662218541054,4275.662218541054,no
368.0,0.6156316816543014,0.5945824565515775,0.6164546569009152,0.5946453060267133,2.004705355371773,0.013135343765241761,688.1456276245445,2.7107954663168656,7.5,0.04914192401159301,688.3804626461323,4.5104453848561965,2.009400459742656,0.013166107293537819,0.012465604425163814,4256.72296572294,4256.722965722941,no
394.0,0.6238666131576969,0.6013319913256401,0.624465166869366,0.6013962835988207,1.9969057988745602,0.013803417932610133,681.9664874326662,2.306005649285584,7.0,0.04838682204374758,690.5683787273256,4.7734870357883405,2.0079443724529873,0.0138797210033753,0.012847905523694036,4097.754883985067,4097.754883985066,no
419.0,0.6298928097517684,0.607832120657705,0.6303786630202812,0.6078978024153767,1.9780899958566642,0.012563614186974582,700.8877282822896,2.134936561301352,6.5,0.04128401255068693,688.4166053376445,4.3723999653631695,1.9828268667062041,0.012593699884759718,0.013517871204040912,4054.1904407434786,4054.190440743479,no
455.0,0.6385705328472315,0.6144292013417777,0.6388940974775992,0.6144963241072898,1.9724773125041761,0.013223477694715649,682.0712358910748,1.7020933840831585,6.0,0.04022396894774216,692.0231687060837,4.639319741525274,1.987559150397627,0.013324586257899158,0.01402795365985886,3874.295926392145,3874.2959263921452,no
490.0,0.6453756677481438,0.6208430297846262,0.645635050208188,0.6209115535299831,1.9637227720479342,0.0119791037178317,689.5538869374744,1.4926192367875524,5.5,0.033551105780254255,686.1966562595362,4.185937563676449,1.9620776228284267,0.011969067976833881,0.014963908246630043,3837.5921809473193,3837.5921809473193,no
543.0,0.6556903690759418,0.6298626478385099,0.6558524691268793,0.6299331907085717,1.9559151655826454,0.01258571179939321,662.931078588759,1.11486160201942,5.0,0.032173460334216655,694.0485067488169,4.4659884203810725,1.9766384957251126,0.01271906004745952,0.015387620811614955,3561.078195064085,3561.078195064085,no
593.0,0.6644690377651259,0.6383651093687457,0.6645977424702726,0.638437555593254,1.946517164173287,0.011307486997136467,608.6895577225393,0.8048987146261976,4.5,0.026140890213380223,685.4550396768141,3.9818677640888405,1.942784466240318,0.011285803431166367,0.016585284816801348,3514.617803585663,3514.617803585663,no
679.0,0.6795683479105226,0.6528980034674682,0.679639612620909,0.6529738185937476,1.9336748685877674,0.011715510621390262,818.7532562235893,1.0428337244972312,4.0,0.024234706282233523,702.2897292923896,4.254946328607589,1.9773665393699469,0.011980224323486803,0.01643442634286979,3041.547750499105,3041.547750499105,yes
754.0,0.6795683479105226,0.665578367683404,0.679639612620909,0.6656571222724756,1.8556348713750483,0.0108148755570577,751.3439083399631,0.913077627401348,3.5,0.020398444237929792,711.0773893908527,4.144249278954857,1.921307178717706,0.011197622099716382,0.018120087793657286,3019.9434851435444,3019.9434851435444,yes
