λ (nm),TM,Tm,n1,d1 (nm),m,d2 (nm),n2,κ,α (cm^-1),discarded
292.0,0.5546065729267562,0.5468622777134647,1.9950761291175874,4635.344560147489,63.0,4610.350385009234,5.6008660402289845,-0.0032437704813659063,-1395.9733581082958,yes
296.0,0.5610878335290757,0.5506723333862799,2.0087977615388155,2658.3744029283325,36.5,2689.1706589028963,3.289397515690039,0.0007885359658052856,334.76470233313756,yes
302.0,0.570809724432555,0.5560361239039282,2.0308248664537523,2165.840874608602,29.0,2156.266683717861,2.6664701446143426,0.002494791258106776,1038.095084597124,no
307.0,0.5757064054816811,0.5605059493353018,2.0257069750744408,4116.196434212666,54.5,4129.792760225143,5.094090571433532,-0.0027929122725327354,-1143.217286971937,yes
314.0,0.5826089558762323,0.564162265563545,2.0390307276545947,2683.1069129881125,35.0,2694.9078920064394,3.3460272766969203,0.00041107880606617057,164.51492448203118,yes
319.0,0.5902155717685126,0.5667739200122901,2.066138338265922,1236.0280220043023,16.5,1273.753045117389,1.6025308981705404,0.007748227464740206,3052.26012308094,no
327.0,0.602465583707486,0.5775480693604798,2.0625123783880475,1419.9769498013238,18.0,1426.900527161973,1.7920579208951841,0.006359384105740946,2443.8647569359578,no
333.0,0.6055097808060576,0.5855816620166113,2.022109572051902,1951.6602334387437,23.5,1934.9841641022463,2.38256018687823,0.0031978869537701055,1206.7817610780548,no
341.0,0.6095451118436988,0.5872370234237432,2.0307432890290937,1611.0310287911414,19.0,1595.228711330036,1.972603341739704,0.00524734029497213,1933.7250113278758,no
349.0,0.6119938704753067,0.5888923848308751,2.029856935170783,1571.4358329214779,18.5,1590.3830186576126,1.9657529674243552,0.0053609732085292275,1930.3145040695842,no
358.0,0.6147617655701818,0.5920414025408549,2.020873719446835,1746.7348171123822,20.0,1771.5109883164487,2.179941337684254,0.0042378138237095676,1487.540198418687,no
366.0,0.6170649241765662,0.5948537769321732,2.012278480560442,1776.5515481051639,19.5,1773.3628990586496,2.1729387328285643,0.004289103014983717,1472.6354669248828,no
376.0,0.6199309494747853,0.5964013852053625,2.014852506920892,1677.946119257613,18.0,1679.5274038055752,2.0605925940568475,0.004979413927845916,1664.1798100961091,no
386.0,0.6221532433018262,0.5979551963173221,2.0136016201438824,1619.6349678407223,16.5,1581.4945558955453,1.9391126228646665,0.00579701263598005,1887.2385813432254,no
397.0,0.6245977665115711,0.6001475530896895,2.00908477429964,1591.5548466928228,16.0,1580.819306695081,1.9339367844930697,0.0059215009549495635,1874.352030054861,no
408.0,0.6267148395530485,0.6023478965898251,2.002412172302906,1590.1137855835166,15.5,1579.0954748160025,1.9254118742339694,0.006064969667319987,1868.0062893232748,no
421.0,0.6292084519013585,0.6043498010837821,1.9982801801507717,1607.481508939141,15.0,1580.108751197124,1.92267172450783,0.006206225837321107,1852.4877431873779,no
434.0,0.6315628586569108,0.606357874774947,1.9935486482469327,1686.409820594777,15.5,1687.1923356160692,2.048109689748879,0.005480960988778475,1586.9997029455026,no
449.0,0.6342794818363942,0.6082330961219369,1.9915229645993682,1595.6781887547043,14.0,1578.1891827856841,1.9138423531680473,0.00653742555518256,1829.6595187128469,no
464.0,0.6375882328747826,0.6101083174689267,1.9937811938325045,1459.758652544963,12.5,1454.522697360554,1.7658742679565185,0.007830998369437282,2120.8454265256737,no
482.0,0.6415587341208487,0.6141014078035135,1.9868602893371692,1561.901806013774,13.0,1576.8597403721785,1.9077531315544043,0.006829767291643673,1780.6096887266074,no
499.0,0.6438508529482156,0.6178726597861788,1.973255506894466,1612.837300161915,12.5,1580.509968984365,1.8990759907549626,0.006982021779455005,1758.2900464560946,no
519.0,0.6465533393394927,0.6197755043027157,1.9732350031946473,1364.7299695024255,10.0,1315.0993144753268,1.5801530087404019,0.009996634297244735,2420.4510881578285,no
540.0,0.6484847887460802,0.6217695941107547,1.9679798783173212,1339.5628587279298,9.5,1303.3669847240246,1.5618853438994722,0.01047582808061532,2437.835891728204,yes
565.0,0.6507801077839753,0.6276220978013181,1.9411260808123572,1791.6155886268707,12.0,1746.4089702927963,2.0642461270250334,0.006086954836149114,1353.821776706472,no
590.0,0.6557107581785331,0.6334839729949887,1.9299791421000716,1920.9213109057837,12.5,1910.6424103565773,2.245400470030918,0.004708685770302766,1002.8998389183705,no
618.0,0.6612330866204378,0.6345381588751301,1.95074398088579,1590.2668145567968,10.0,1584.0110390072298,1.8815694786157386,0.007981832722207044,1623.020520535163,no
649.0,0.6637323698423664,0.6357037077176276,1.9540477002986203,1583.8245939517008,9.5,1577.6226954587084,1.8771547929458472,0.008365185632959002,1619.7230034156478,no
685.0,0.6666382504638599,0.6389885065241638,1.946859742200417,1776.0406165032136,10.0,1759.2433218270419,2.0855584026727847,0.0066010488596660935,1210.9668089643376,no
722.0,0.6707579586192469,0.6423682522667422,1.9459111504275721,1833.1531798723204,9.5,1762.4134582128486,2.088298552398924,0.0067544092354967005,1175.6012428573677,no
769.0,0.675991101411225,0.6423682522667422,1.9691059504507136,1872.726431274935,10.0,1952.6628311289742,2.3413057104457975,0.004705135549710848,768.8748648694809,yes
