λ (nm),n1 fit,n2 fit
190.0,2.0395428002077285,2.2943858762885454
190.061,2.039470965276765,2.2941136566225113
190.122,2.039399199478691,2.293841698936715
190.183,2.039327502724826,2.2935700028950965
190.244,2.03925587492663,2.293298568162134
190.305,2.039184315995706,2.293027394402844
190.366,2.0391128258437985,2.292756481282779
190.427,2.039041404382792,2.292485828468028
190.488,2.0389700515247133,2.292215435625214
190.549,2.03889876718173,2.2919453024214924
190.61,2.0388275512661496,2.291675428524553
190.671,2.03875640369042,2.2914058136026165
190.732,2.0386853243671297,2.2911364573244333
190.793,2.0386143132090067,2.2908673593592837
190.854,2.038543370128917,2.290598519376977
190.915,2.0384724950398683,2.29032993704785
190.976,2.0384016878550053,2.290061612042764
191.037,2.0383309484876118,2.289793544033108
191.098,2.03826027685111,2.2895257326907936
191.159,2.0381896728590614,2.2892581776882577
191.22,2.038119136425163,2.2889908786984576
191.281,2.038048667463251,2.288723835394874
191.342,2.0379782658872996,2.288457047451505
191.403,2.0379079316114175,2.2881905145428725
191.464,2.037837664549853,2.287924236344012
191.525,2.037767464616989,2.2876582125304803
191.586,2.0376973317273457,2.2873924427783483
191.647,2.037627265795579,2.2871269267642034
191.708,2.03755726673648,2.286861664165147
191.769,2.0374873344649767,2.286596654658794
191.83,2.037417468896131,2.2863318979232723
191.891,2.0373476699451403,2.2860673936372202
191.952,2.0372779375273367,2.2858031414797884
192.013,2.037208271558187,2.2855391411306347
192.074,2.037138671953292,2.2852753922699276
192.135,2.0370691386283855,2.285011894578343
192.196,2.0369996714993372,2.2847486477370618
192.257,2.036930270482148,2.284485651427772
192.318,2.0368609354929537,2.2842229053326664
192.379,2.036791666448022,2.2839604091344414
192.44,2.0367224632637537,2.2836981625162953
192.501,2.0366533258566815,2.28343616516193
192.562,2.0365842541434716,2.2831744167555463
192.623,2.0365152480409203,2.282912916981847
192.684,2.036446307465957,2.282651665526032
192.745,2.036377432335642,2.2823906620738006
192.806,2.0363086225671667,2.282129906311349
192.867,2.036239878077854,2.281869397925369
192.928,2.0361711987851567,2.2816091366030475
192.989,2.0361025846066583,2.281349122032067
193.05,2.0360340354600726,2.2810893539006023
193.111,2.035965551263244,2.2808298318973206
193.172,2.035897131934145,2.280570555711381
193.233,2.0358287773908788,2.280311525032433
193.294,2.0357604875516775,2.280052739550615
193.355,2.0356922623349027,2.279794198956556
193.416,2.0356241016590433,2.2795359029413707
193.477,2.0355560054427175,2.2792778511966616
193.538,2.0354879736046727,2.2790200434145174
193.599,2.0354200060637826,2.278762479287512
193.66,2.0353521027390493,2.2785051585087013
193.721,2.0352842635496033,2.278248080771627
193.782,2.0352164884147004,2.277991245770312
193.843,2.035148777253726,2.277734653199261
193.904,2.0350811299861893,2.2774783027534578
193.965,2.035013546531729,2.2772221941283672
194.026,2.034946026810108,2.276966327019932
