λ (nm),n1 fit,n2 fit
190.0,2.3019058687510072,2.728436156374873
190.061,2.301678676444942,2.727855732902366
190.122,2.3014517027854398,2.727275868020947
190.183,2.301224947492028,2.726696561014072
190.244,2.3009984102846825,2.7261178111663473
190.305,2.3007720908838287,2.7255396177635234
190.366,2.30054598901034,2.724961980092497
190.427,2.300320104385537,2.724384897441305
190.488,2.300094436731184,2.7238083690991255
190.549,2.2998689857694945,2.7232323943562733
190.61,2.299643751223124,2.7226569725041987
190.671,2.2994187328151714,2.7220821028354862
190.732,2.2991939302691797,2.72150778464385
190.793,2.2989693433091323,2.720934017224134
190.854,2.2987449716594552,2.720360799872308
190.915,2.2985208150450127,2.7197881318854678
190.976,2.2982968731911106,2.71921601256183
191.037,2.298073145823491,2.7186444412007322
191.098,2.2978496326683353,2.718073417102631
191.159,2.297626333452261,2.7175029395690973
191.22,2.297403247902322,2.7169330079028167
191.281,2.2971803757460068,2.716363621407586
191.342,2.296957716711238,2.715794779388313
191.403,2.296735270526373,2.715226481151011
191.464,2.2965130369202003,2.7146587260028
191.525,2.296291015621941,2.714091513251902
191.586,2.2960692063612482,2.7135248422076423
191.647,2.2958476088682027,2.712958712180443
191.708,2.295626222873317,2.7123931224818234
191.769,2.295405048107531,2.711828072424399
191.83,2.295184084302212,2.7112635613218767
191.891,2.2949633311891557,2.710699588489055
191.952,2.2947427885005824,2.7101361532418196
192.013,2.2945224559691386,2.7095732548971445
192.074,2.2943023333278942,2.7090108927730867
192.135,2.2940824203103443,2.708449066188787
192.196,2.2938627166504055,2.707887774464464
192.257,2.293643222082417,2.7073270169214174
192.318,2.2934239363411395,2.706766792882021
192.379,2.293204859161754,2.7062071016697242
192.44,2.2929859902798606,2.7056479426090476
192.501,2.2927673294314785,2.705089315025582
192.562,2.2925488763530457,2.704531218245987
192.623,2.292330630781417,2.7039736515979866
192.684,2.292112592453863,2.7034166144103704
192.745,2.2918947611080704,2.702860106012989
192.806,2.2916771364821416,2.7023041257367533
192.867,2.291459718314592,2.7017486729136326
192.928,2.2912425063443504,2.7011937468766507
192.989,2.2910255003107594,2.7006393469598864
193.05,2.2908086999535717,2.700085472498471
193.111,2.290592105012952,2.6995321228285842
193.172,2.290375715229475,2.6989792972874547
193.233,2.290159530344124,2.6984269952133566
193.294,2.289943550098292,2.6978752159456088
193.355,2.28972777423378,2.697323958824571
193.416,2.2895122024927947,2.696773223191644
193.477,2.289296834617951,2.696223008389266
193.538,2.2890816703522674,2.6956733137609117
193.599,2.288866709439169,2.6951241386510905
193.66,2.2886519516224832,2.694575482405342
193.721,2.288437396646442,2.6940273443702374
193.782,2.2882230442556795,2.6934797238933768
193.843,2.288008894195232,2.692932620323386
193.904,2.287794946210535,2.6923860330099143
193.965,2.2875812000474265,2.691839961303635
194.026,2.2873676554521425,2.691294404556241
194.087,2.2871543121713187,2.690749362120445
194.148,2.2869411699519873,2.690204833349974
194.209,2.2867282285415795,2.6896608175995724
194.27,2.2865154876879217,2.6891173142249962
194.331,2.2863029471392364,2.6885743225830128
194.392,2.2860906066441418,2.688031842031398
194.453,2.2858784659516487,2.687489871928935
194.514,2.2856665248111625,2.686948411635413
194.575,2.285454782972482,2.6864074605116244
194.636,2.285243240185796,2.685867017919362
194.697,2.2850318962016867,2.685327083221419
194.758,2.2848207507711256,2.6847876557815873
194.819,2.2846098036454747,2.684248734964653
194.88,2.284399054576484,2.683710320136397
194.941,2.284188503316293,2.683172410663592
195.002,2.283978149617428,2.682635005914001
195.063,2.2837679932328028,2.682098105256377
195.124,2.283558033915717,2.6815617080604564
195.185,2.283348271419856,2.6810258136969627
195.246,2.2831387054992898,2.6804904215376024
195.307,2.2829293359084715,2.6799555309550613
195.368,2.2827201624022386,2.6794211413230054
195.429,2.282511184735811,2.6788872520160782
195.49,2.2823024026647905,2.6783538624098986
195.551,2.282093815945159,2.6778209718810593
195.612,2.2818854243332796,2.677288579807124
195.673,2.281677227585896,2.676756685566627
