λ (nm),n1 fit,n2 fit
190.0,2.5660873503423205,2.4505355863885576
190.061,2.565685685534865,2.450248549052615
190.122,2.565284407283764,2.4499617879572204
190.183,2.564883515093156,2.44967530274802
190.244,2.564483008467972,2.449389093071229
190.305,2.564082886913938,2.4491031585736303
190.366,2.563683149937572,2.448817498902571
190.427,2.563283797046181,2.448532113705964
190.488,2.5628848277478617,2.448247002632286
190.549,2.5624862415514973,2.4479621653305754
190.61,2.562088037966758,2.4476776014504327
190.671,2.5616902165040973,2.447393310642019
190.732,2.5612927766747506,2.4471092925560542
190.793,2.5608957179907366,2.4468255468438165
190.854,2.560499039964852,2.446542073157142
190.915,2.560102742110672,2.446258871148422
190.976,2.559706823942549,2.445975940470604
191.037,2.5593112849756103,2.4456932807771876
191.098,2.5589161247257577,2.4454108917222275
191.159,2.5585213427096636,2.445128772960329
191.22,2.558126938444773,2.4448469241466486
191.281,2.557732911449299,2.4445653449368927
191.342,2.557339261242223,2.4442840349873154
191.403,2.5569459873432936,2.4440029939547205
191.464,2.5565530892730224,2.443722221496456
191.525,2.556160566552686,2.4434417172704177
191.586,2.5557684187043224,2.443161480935044
191.647,2.5553766452507305,2.442881512149319
191.708,2.554985245715468,2.4426018105727665
191.769,2.55459421962285,2.442322375865454
191.83,2.5542035664979483,2.442043207687989
191.891,2.5538132858665894,2.441764305701517
191.952,2.5534233772553527,2.4414856695677236
192.013,2.55303384019157,2.4412072989488305
192.074,2.5526446742033233,2.440929193507596
192.135,2.552255878819443,2.440651352907314
192.196,2.5518674535695087,2.4403737768118123
192.257,2.551479397983844,2.440096464885452
192.318,2.551091711593519,2.439819416793126
192.379,2.550704393930347,2.4395426322002596
192.44,2.550317444526882,2.439266110772807
192.501,2.54993086291642,2.438989852177252
192.562,2.549544648632994,2.438713856080607
192.623,2.5491588012113775,2.4384381221504112
192.684,2.548773320187078,2.43816265005473
192.745,2.548388205096339,2.4378874394621537
192.806,2.5480034554761373,2.437612490041797
192.867,2.5476190708641817,2.4373378014632983
192.928,2.5472350507989114,2.4370633733968172
192.989,2.5468513948194964,2.436789205513035
193.05,2.546468102465832,2.436515297483154
193.111,2.5460851732785432,2.436241648978894
193.172,2.5457026067989776,2.4359682596724945
193.233,2.5453204025692076,2.4356951292367115
193.294,2.544938560132029,2.435422257344818
193.355,2.5445570790309566,2.435149643670601
193.416,2.544175958810227,2.434877287888363
193.477,2.5437951990147942,2.4346051896729195
