λ (nm),n1 fit,n2 fit
190.0,1.7110550016649195,1.849369420145091
190.061,1.7112318437884926,1.8494388679656424
190.122,1.7114085157217842,1.8495082489506238
190.183,1.711585017683109,1.8495775631857698
190.244,1.711761349890432,1.8496468107566775
190.305,1.711937512561369,1.849715991748807
190.366,1.7121135059131867,1.8497851062474815
190.427,1.7122893301628042,1.8498541543378872
190.488,1.7124649855267933,1.8499231361050745
190.549,1.7126404722213795,1.8499920516339574
190.61,1.7128157904624417,1.8500609010093136
190.671,1.7129909404655141,1.850129684315786
190.732,1.713165922445786,1.8501984016378816
190.793,1.713340736618103,1.850267053059973
190.854,1.7135153831969674,1.8503356386662968
190.915,1.7136898623965382,1.8504041585409563
190.976,1.7138641744306333,1.85047261276792
191.037,1.7140383195127291,1.8505410014310222
191.098,1.714212297855961,1.8506093246139634
191.159,1.7143861096731245,1.8506775824003108
191.22,1.7145597551766762,1.8507457748734986
191.281,1.7147332345787332,1.8508139021168273
191.342,1.7149065480910752,1.850881964213465
191.403,1.715079695925144,1.8509499612464475
191.464,1.715252678292045,1.8510178932986778
191.525,1.7154254954025476,1.8510857604529276
191.586,1.715598147467085,1.8511535627918363
191.647,1.715770634695756,1.8512213003979119
191.708,1.7159429572983256,1.8512889733535314
191.769,1.7161151154842247,1.8513565817409405
191.83,1.7162871094625514,1.8514241256422543
191.891,1.7164589394420713,1.8514916051394574
191.952,1.7166306056312188,1.8515590203144043
192.013,1.7168021082380966,1.8516263712488192
192.074,1.7169734474704779,1.8516936580242969
192.135,1.7171446235358054,1.851760880722302
192.196,1.717315636641193,1.8518280394241708
192.257,1.7174864869934257,1.85189513421111
192.318,1.7176571747989613,1.8519621651641978
192.379,1.7178277002639295,1.8520291323643834
192.44,1.717998063594134,1.8520960358924883
192.501,1.7181682649950523,1.8521628758292055
192.562,1.7183383046718363,1.8522296522551007
192.623,1.7185081828293134,1.8522963652506115
192.684,1.7186778996719863,1.8523630148960488
192.745,1.7188474554040352,1.852429601271596
192.806,1.719016850229316,1.8524961244573095
192.867,1.7191860843513633,1.8525625845331197
192.928,1.7193551579733897,1.8526289815788306
192.989,1.7195240712982864,1.8526953156741193
193.05,1.7196928245286247,1.852761586898538
193.111,1.7198614178666551,1.8528277953315129
193.172,1.72002985151431,1.8528939410523446
193.233,1.720198125673202,1.8529600241402089
193.294,1.7203662405446263,1.8530260446741562
193.355,1.7205341963295604,1.853092002733113
193.416,1.720701993228665,1.8531578983958807
193.477,1.7208696314422842,1.8532237317411369
193.538,1.7210371111704472,1.8532895028474348
193.599,1.7212044326128673,1.853355211793204
193.66,1.7213715959689437,1.853420858656751
193.721,1.7215386014377618,1.8534864435162588
193.782,1.7217054492180934,1.853551966449787
193.843,1.7218721395083976,1.8536174275352728
193.904,1.722038672506822,1.853682826850531
193.965,1.7222050484112017,1.8537481644732534
194.026,1.7223712674190617,1.8538134404810103
194.087,1.722537329727616,1.8538786549512496
194.148,1.7227032355337695,1.8539438079612984
194.209,1.7228689850341175,1.8540088995883615
194.27,1.7230345784249463,1.8540739299095226
194.331,1.7232000159022354,1.8541388990017451
194.392,1.7233652976616554,1.8542038069418711
194.453,1.7235304238985711,1.8542686538066222
194.514,1.7236953948080407,1.8543334396726001
194.575,1.7238602105848162,1.854398164616286
194.636,1.7240248714233455,1.8544628287140414
194.697,1.7241893775177708,1.8545274320421086
194.758,1.7243537290619313,1.8545919746766097
194.819,1.724517926249362,1.8546564566935486
194.88,1.7246819692732955,1.8547208781688096
194.941,1.7248458583266622,1.8547852391781583
195.002,1.7250095936020902,1.8548495397972422
195.063,1.725173175291907,1.8549137801015905
195.124,1.7253366035881397,1.8549779601666136
195.185,1.7254998786825146,1.8550420800676055
195.246,1.7256630007664593,1.855106139879741
195.307,1.725825970031102,1.8551701396780789
195.368,1.7259887866672727,1.85523407953756
195.429,1.726151450865504,1.8552979595330081
195.49,1.7263139628160307,1.855361779739131
195.551,1.7264763227087914,1.8554255402305193
195.612,1.7266385307334282,1.855489241081648
195.673,1.726800587079288,1.855552882366875
195.734,1.7269624919354225,1.8556164641604436
195.795,1.7271242454905886,1.8556799865364804
195.856,1.7272858479332505,1.855743449568997
195.917,1.7274472994515777,1.85580685333189
195.978,1.7276086002334476,1.8558701978989411
196.039,1.7277697504664449,1.8559334833438164
196.1,1.7279307503378636,1.8559967097400685
196.161,1.7280916000347049,1.8560598771611347
196.222,1.7282522997436809,1.856122985680339
196.283,1.7284128496512126,1.8561860353708908
196.344,1.728573249943432,1.8562490263058862
196.405,1.7287335008061824,1.8563119585583079
196.466,1.7288936024250177,1.856374832201025
196.527,1.7290535549852044,1.8564376473067936
196.588,1.7292133586717215,1.856500403948257
196.649,1.7293730136692615,1.856563102197946
196.71,1.7295325201622305,1.8566257421282786
196.771,1.729691878334748,1.8566883238115608
196.832,1.729851088370649,1.8567508473199865
196.893,1.730010150453484,1.8568133127256379
196.954,1.7301690647665187,1.8568757201004855
197.015,1.7303278314927353,1.8569380695163886
197.076,1.730486450814833,1.857000361045095
197.137,1.730644922915228,1.8570625947582413
197.198,1.7308032479760553,1.8571247707273542
197.259,1.7309614261791673,1.8571868890238488
197.32,1.7311194577061357,1.8572489497190305
197.381,1.731277342738252,1.8573109528840945
197.442,1.7314350814565274,1.8573728985901259
197.503,1.7315926740416934,1.8574347869080996
197.564,1.7317501206742032,1.8574966179088817
197.625,1.7319074215342307,1.8575583916632286
197.686,1.7320645768016727,1.8576201082417876
197.747,1.732221586656148,1.8576817677150967
197.808,1.7323784512769984,1.8577433701535857
197.869,1.73253517084329,1.8578049156275758
197.93,1.732691745533812,1.8578664042072794
197.99099999999999,1.7328481755270793,1.857927835962801
198.052,1.733004461001331,1.8579892109641376
198.113,1.733160602134533,1.8580505292811778
198.174,1.7333165991043757,1.8581117909837026
198.235,1.7334724520882776,1.8581729961413864
198.296,1.7336281612633835,1.8582341448237958
198.357,1.7337837268065663,1.8582952371003905
198.418,1.733939148894427,1.858356273040524
198.47899999999998,1.7340944277032948,1.8584172527134426
198.54,1.734249563409229,1.8584781761882863
198.601,1.734404556188018,1.8585390435340896
198.662,1.7345594062151797,1.85859985481978
198.723,1.7347141136659638,1.85866061011418
198.784,1.7348686787153507,1.8587213094860067
198.845,1.7350231015380522,1.8587819530038705
198.906,1.7351773823085126,1.8588425407362785
198.967,1.7353315212009086,1.8589030727516311
199.028,1.7354855183891502,1.8589635491182248
199.089,1.735639374046881,1.8590239699042514
199.15,1.7357930883474784,1.8590843351777981
199.211,1.7359466614640549,1.859144645006848
199.272,1.7361000935694575,1.8592048994592802
199.333,1.7362533848362691,1.8592650986028698
199.394,1.736406535436809,1.8593252425052882
199.455,1.7365595455431324,1.8593853312341033
199.516,1.7367124153270317,1.8594453648567804
199.577,1.736865144960037,1.8595053434406805
199.638,1.7370177346134161,1.8595652670530631
199.699,1.7371701844581757,1.8596251357610838
199.76,1.737322494665061,1.8596849496317962
199.821,1.7374746654045565,1.8597447087321517
199.882,1.7376266968468876,1.8598044131289992
199.943,1.7377785891620188,1.859864062889086
200.004,1.737930342519656,1.8599236580790572
200.065,1.7380819570892465,1.859983198765457
200.126,1.7382334330399796,1.8600426850147274
200.187,1.7383847705407862,1.8601021168932095
200.248,1.7385359697603406,1.8601614944671436
200.309,1.73868703086706,1.860220817802669
200.37,1.738837954029105,1.860280086965824
200.431,1.738988739414381,1.8603393020225472
200.492,1.7391393871905376,1.8603984630386763
200.553,1.7392898975249693,1.8604575700799488
200.614,1.7394402705848169,1.8605166232120027
200.675,1.7395905065369663,1.860575622500376
200.736,1.7397406055480502,1.8606345680105072
200.797,1.7398905677844485,1.8606934598077356
200.858,1.7400403934122883,1.8607522979573008
200.919,1.7401900825974443,1.8608110825243438
200.98,1.7403396355055403,1.8608698135739066
201.041,1.7404890523019476,1.8609284911709327
201.102,1.740638333151788,1.8609871153802673
201.163,1.7407874782199322,1.8610456862666562
201.224,1.7409364876710012,1.8611042038947487
201.285,1.7410853616693671,1.861162668329095
201.346,1.741234100379152,1.8612210796341475
201.407,1.7413827039642307,1.861279437874262
201.468,1.741531172588229,1.8613377431136962
201.529,1.7416795064145256,1.8613959954166102
201.59,1.7418277056062519,1.861454194847068
201.651,1.7419757703262926,1.8615123414690355
201.712,1.742123700737286,1.8615704353463833
201.773,1.742271497001625,1.8616284765428845
201.834,1.742419159281457,1.8616864651222162
201.895,1.742566687738684,1.861744401147959
201.956,1.742714082534964,1.8618022846835978
202.017,1.7428613438317113,1.8618601157925214
202.078,1.7430084717900958,1.8619178945380235
202.139,1.7431554665710445,1.8619756209833018
202.2,1.743302328335242,1.8620332951914587
202.261,1.7434490572431307,1.8620909172255016
202.322,1.7435956534549106,1.8621484871483431
202.383,1.743742117130541,1.8622060050228004
202.444,1.7438884484297394,1.862263470911597
202.505,1.7440346475119837,1.8623208848773611
202.566,1.744180714536511,1.862378246982627
202.627,1.744326649662319,1.862435557289835
202.688,1.7444724530481666,1.862492815861331
202.749,1.744618124852573,1.8625500227593677
202.81,1.7447636652338199,1.8626071780461038
