λ (nm),n1 fit,n2 fit
190.0,2.1636774801357,2.1516261793757283
190.061,2.1635621856966964,2.1515202247094103
190.122,2.1634470022153804,2.151414372012318
190.183,2.163331929549418,2.151308621153649
190.244,2.1632169675567057,2.1512029720028103
190.305,2.1631021160953647,2.151097424429417
190.366,2.1629873750237456,2.1509919783032947
190.427,2.1628727442004254,2.1508866334944763
190.488,2.1627582234842078,2.150781389873203
190.549,2.1626438127341214,2.150676247309924
190.61,2.162529511809421,2.1505712056752957
190.671,2.162415320569587,2.1504662648401816
190.732,2.162301238874324,2.1503614246756504
190.793,2.1621872665835604,2.1502566850529785
190.854,2.162073403557449,2.1501520458436474
190.915,2.1619596496563656,2.150047506919343
190.976,2.1618460047409096,2.149943068151958
191.037,2.161732468671902,2.1498387294135872
191.098,2.1616190413103866,2.1497344905765314
191.159,2.161505722517629,2.1496303515132946
191.22,2.161392512155115,2.1495263120965835
191.281,2.1612794100845525,2.149422372199309
191.342,2.1611664161678688,2.149318531694583
191.403,2.161053530267212,2.149214790455721
191.464,2.160940752244949,2.1491111483562393
191.525,2.1608280819636665,2.1490076052698557
191.586,2.16071551928617,2.1489041610704898
191.647,2.160603064075482,2.148800815632261
191.708,2.160490716194844,2.1486975688294887
191.769,2.160378475507716,2.1485944205366936
191.83,2.1602663418777728,2.148491370628594
191.891,2.160154315168907,2.1483884189801086
191.952,2.1600423952452275,2.1482855654663546
192.013,2.159930581971059,2.148182809962647
192.074,2.1598188752109415,2.1480801523444994
192.135,2.1597072748296298,2.147977592487623
192.196,2.159595780692093,2.1478751302679253
192.257,2.159484392663516,2.1477727655615113
192.318,2.1593731106092955,2.1476704982446826
192.379,2.1592619343950425,2.1475683281939366
192.44,2.159150863886581,2.147466255285967
192.501,2.1590398989499473,2.1473642793976615
192.562,2.15892903945139,2.1472624004061043
192.623,2.1588182852573694,2.1471606181885727
192.684,2.1587076362345567,2.14705893262254
192.745,2.1585970922498356,2.1469573435856715
192.806,2.158486653170298,2.146855850955827
