λ (nm),n1 fit,n2 fit
190.0,2.219377326740619,2.302876893806412
190.061,2.2191760016780346,2.302598668510742
190.122,2.218974870367755,2.30232071097504
190.183,2.2187739325612412,2.3020430208558325
190.244,2.218573188010352,2.3017655978101947
190.305,2.2183726364673433,2.3014884414957537
190.366,2.21817227768487,2.3012115515706832
190.427,2.21797211141598,2.3009349276937052
190.488,2.2177721374141193,2.3006585695240878
190.549,2.217572355433127,2.300382476721644
190.61,2.2173727652272364,2.3001066489467314
190.671,2.2171733665510738,2.299831085860252
190.732,2.216974159159658,2.2995557871236474
190.793,2.216775142808399,2.2992807523989023
190.854,2.216576317253098,2.2990059813485413
190.915,2.2163776822499464,2.2987314736356272
190.976,2.216179237555524,2.2984572289237617
191.037,2.2159809829268,2.2981832468770826
191.098,2.2157829181211315,2.297909527160265
191.159,2.215585042896262,2.2976360694385174
191.22,2.215387357010322,2.2973628733775833
191.281,2.215189860221827,2.297089938643738
191.342,2.2149925522896785,2.2968172649037903
191.403,2.2147954329731605,2.296544851825079
191.464,2.214598502031942,2.2962726990754714
191.525,2.2144017592260727,2.2960008063233666
191.586,2.2142052043159866,2.2957291732376888
191.647,2.2140088370624973,2.29545779948789
191.708,2.213812657226799,2.2951866847439484
191.769,2.2136166645704662,2.2949158286763667
191.83,2.2134208588554527,2.294645230956171
191.891,2.2132252398440895,2.294374891254911
191.952,2.2130298072990855,2.294104809244658
192.013,2.212834560983527,2.2938349845980026
192.074,2.212639500660877,2.293565416988058
192.135,2.212444626094972,2.293296106088454
192.196,2.212249937050024,2.2930270515733384
192.257,2.2120554332906206,2.2927582531173774
192.318,2.211861114581721,2.292489710395752
192.379,2.211666980688656,2.292221423084157
192.44,2.211473031377132,2.2919533908588035
192.501,2.211279266413222,2.2916856133964143
192.562,2.211085685563373,2.291418090374224
192.623,2.2108922885944,2.2911508214699774
192.684,2.210699075273487,2.2908838063619315
192.745,2.210506045368187,2.290617044728851
192.806,2.2103131986464213,2.290350536250008
192.867,2.2101205348764767,2.2900842806051838
192.928,2.2099280538270065,2.289818277474663
192.989,2.2097357552670305,2.2895525265392385
193.05,2.209543638965932,2.289287027480205
193.111,2.2093517046934608,2.289021779979362
193.172,2.209159952219727,2.2887567837190104
193.233,2.208968381315206,2.2884920383819525
193.294,2.2087769917507343,2.2882275436514914
193.355,2.20858578329751,2.2879632992114303
193.416,2.208394755727092,2.28769930474607
193.477,2.208203908811399,2.2874355599402088
193.538,2.2080132423227097,2.287172064479142
193.599,2.2078227560336607,2.286908818048661
193.66,2.2076324497172473,2.2866458203350515
193.721,2.2074423231468216,2.2863830710250928
193.782,2.2072523760960925,2.286120569806058
193.843,2.2070626083391254,2.285858316365711
193.904,2.2068730196503403,2.2855963103923083
193.965,2.2066836098045126,2.2853345515745946
194.026,2.206494378576771,2.285073039601805
194.087,2.206305325742598,2.2848117741636638
194.148,2.2061164510778286,2.28455075495038
194.209,2.2059277543586497,2.2842899816526514
194.27,2.205739235361599,2.2840294539616606
194.331,2.2055508938635664,2.2837691715690744
194.392,2.2053627296417906,2.2835091341670437
194.453,2.2051747424738597,2.2832493414482022
194.514,2.2049869321377105,2.282989793105665
194.575,2.2047992984116282,2.282730488833029
194.636,2.2046118410742457,2.2824714283243708
194.697,2.2044245599045413,2.282212611274246
194.758,2.2042374546818406,2.2819540373776874
194.819,2.2040505251858145,2.281695706330208
194.88,2.2038637711964784,2.281437617827795
194.941,2.203677192494191,2.2811797715669115
195.002,2.203490788859656,2.280922167244496
195.063,2.20330456007392,2.2806648045579596
195.124,2.2031185059183693,2.280407683205188
195.185,2.202932626174735,2.2801508028845365
195.246,2.2027469206250867,2.2798941632948346
195.307,2.202561389051836,2.27963776413538
195.368,2.2023760312377325,2.2793816051059395
195.429,2.202190846965866,2.2791256859067497
195.49,2.202005836019665,2.278870006238514
195.551,2.2018209981828933,2.2786145658024033
195.612,2.201636333239655,2.2783593643000533
195.673,2.2014518409743893,2.278104401433565
195.734,2.2012675211718706,2.277849676905504
195.795,2.201083373617209,2.277595190418899
195.856,2.2008993980958493,2.277340941677241
195.917,2.20071559439357,2.2770869303844825
195.978,2.200531962296484,2.2768331562450363
196.039,2.2003485015910353,2.276579618963776
196.1,2.200165212064001,2.276326318246033
196.161,2.1999820935024896,2.276073253797598
196.222,2.1997991456939405,2.275820425324717
196.283,2.1996163684261227,2.275567832534095
196.344,2.1994337614871355,2.275315475132891
196.405,2.199251324665407,2.2750633528287176
196.466,2.199069057749693,2.274811465329644
196.527,2.198886960529079,2.2745598123441906
196.588,2.198705032792976,2.2743083935813293
196.649,2.1985232743311216,2.2740572087504853
196.71,2.19834168493358,2.273806257561533
196.771,2.198160264390741,2.2735555397247964
196.832,2.197979012493318,2.2733050549510487
196.893,2.1977979290323497,2.273054802951511
196.954,2.197617013799198,2.2728047834378513
197.015,2.197436266585547,2.2725549961221843
197.076,2.1972556871834046,2.2723054407170697
197.137,2.197075275385099,2.272056116935512
197.198,2.196895030983281,2.27180702449096
197.259,2.1967149537709196,2.2715581630973043
197.32,2.196535043541307,2.2713095324688792
197.381,2.196355300088052,2.271061132320459
197.442,2.196175723205083,2.27081296236726
197.503,2.195996312686648,2.2705650223249365
197.564,2.1958170683273104,2.270317311909583
197.625,2.195637989921952,2.2700698308377314
197.686,2.1954590772657703,2.2698225788263517
197.747,2.1952803301542794,2.2695755555928487
197.808,2.195101748383308,2.2693287608550654
197.869,2.1949233317489996,2.2690821943312773
197.93,2.1947450800478117,2.268835855740195
197.99099999999999,2.194566993076516,2.268589744800962
198.052,2.1943890706321962,2.2683438612331552
198.113,2.1942113125122487,2.2680982047567824
198.174,2.194033718514382,2.2678527750922814
198.235,2.193856288436615,2.2676075719605215
198.296,2.193679022077278,2.267362595082801
198.357,2.193501919235011,2.2671178441808464
198.418,2.193324979708764,2.266873318976811
198.47899999999998,2.193148203297795,2.266629019193277
198.54,2.1929715898016706,2.266384944553251
198.601,2.1927951390202653,2.2661410947801657
198.662,2.1926188507537616,2.265897469597878
198.723,2.192442724802647,2.2656540687306688
198.784,2.1922667609677164,2.265410891903242
198.845,2.1920909590500695,2.2651679388407238
198.906,2.1919153188511116,2.264925209268661
198.967,2.191739840172551,2.2646827029130217
199.028,2.1915645228164022,2.2644404195001946
199.089,2.191389366584981,2.2641983587569863
199.15,2.191214371280906,2.263956520410622
199.211,2.1910395367070987,2.263714904188745
199.272,2.190864862666782,2.2634735098194145
199.333,2.19069034896348,2.263232337031107
199.394,2.1905159954010167,2.262991385552713
199.455,2.190341801783516,2.262750655113538
199.516,2.190167767915403,2.2625101454433025
199.577,2.1899938936013985,2.262269856272137
199.638,2.189820178646525,2.262029787330587
199.699,2.1896466228560993,2.2617899383496085
199.76,2.1894732260357386,2.261550309060568
199.821,2.189299987991354,2.261310899195242
199.882,2.189126908529156,2.2610717084858174
199.943,2.1889539874556463,2.260832736664887
200.004,2.188781224577626,2.2605939834654545
200.065,2.1886086197021877,2.260355448620928
200.126,2.1884361726367194,2.260117131865123
200.187,2.1882638831889016,2.2598790329322602
200.248,2.188091751166709,2.2596411515569654
200.309,2.1879197763784064,2.2594034874742683
200.37,2.1877479586325537,2.2591660404196015
200.431,2.1875762977379987,2.2589288101288
200.492,2.187404793503882,2.258691796338102
200.553,2.187233445739634,2.2584549987841442
200.614,2.1870622542549745,2.2582184172039668
200.675,2.1868912188599126,2.257982051335007
200.736,2.186720339364746,2.2577459009151024
200.797,2.18654961558006,2.2575099656824875
200.858,2.1863790473167293,2.257274245375796
200.919,2.1862086343859133,2.257038739734056
200.98,2.1860383765990594,2.2568034484966937
201.041,2.185868273767901,2.25656837140353
201.102,2.1856983257044553,2.2563335081947784
201.163,2.185528532221027,2.2560988586110495
201.224,2.185358893130204,2.255864422393345
201.285,2.1851894082448573,2.2556301992830585
201.346,2.185020077378143,2.255396189021977
201.407,2.1848509003434993,2.255162391352277
201.468,2.184681876954646,2.254928806016527
201.529,2.1845130070255863,2.254695432757682
201.59,2.1843442903706034,2.254462271319089
201.651,2.1841757268042628,2.254229321444482
201.712,2.184007316141409,2.2539965828779818
201.773,2.1838390581971665,2.2537640553640963
201.834,2.1836709527869402,2.2535317386477196
201.895,2.183502999726413,2.2532996324741315
