λ (nm),n1 fit,n2 fit
190.0,2.462823020183272,2.4021386092432184
190.061,2.46243946085795,2.4018103499150882
190.122,2.4620562706645295,2.4014824064989493
190.183,2.461673449129502,2.40115477858956
190.244,2.461290995780113,2.400827465782328
190.305,2.46090891014437,2.400500467673308
190.366,2.4605271917510336,2.400173783859204
190.427,2.460145840129621,2.3998474139373647
190.488,2.459764854810401,2.3995213575057828
190.549,2.459384235324395,2.3991956141630952
190.61,2.459003981203375,2.3988701835085804
190.671,2.4586240919798614,2.398545065142159
190.732,2.4582445671871214,2.3982202586643897
190.793,2.4578654063591694,2.3978957636764706
190.854,2.457486609030764,2.3975715797802364
190.915,2.457108174737406,2.3972477065781588
190.976,2.4567301030153397,2.396924143673343
191.037,2.4563523934015477,2.3966008906695278
191.098,2.4559750454337532,2.396277947171086
191.159,2.455598058650416,2.3959553127830207
191.22,2.455221432590731,2.3956329871109636
191.281,2.4548451667946303,2.3953109697611765
191.342,2.454469260802777,2.3949892603405485
191.403,2.454093714156567,2.3946678584565952
191.464,2.4537185263981263,2.394346763717457
191.525,2.4533436970703097,2.394025975731898
191.586,2.452969225716701,2.3937054941093057
191.647,2.4525951118816076,2.3933853184596887
191.708,2.4522213551100647,2.3930654483936755
191.769,2.4518479549478296,2.3927458835225153
191.83,2.451474910941381,2.392426623458073
191.891,2.45110222263792,2.3921076678128332
191.952,2.450729889585366,2.3917890161998936
192.013,2.4503579113323566,2.3914706682329676
192.074,2.449986287428246,2.3911526235263816
192.135,2.4496150174231035,2.390834881695074
192.196,2.4492441008677126,2.3905174423545947
192.257,2.4488735373135686,2.3902003051211027
192.318,2.4485033263128795,2.3898834696113664
192.379,2.4481334674185615,2.389566935442761
192.44,2.4477639601842403,2.3892507022332685
192.501,2.447394804164248,2.3889347696014753
192.562,2.447025998913624,2.3886191371665735
192.623,2.4466575439881093,2.388303804548356
192.684,2.4462894389441505,2.3879887713672185
192.745,2.4459216833388955,2.387674037244158
192.806,2.445554276730192,2.3873596018007692
192.867,2.4451872186765877,2.387045464659247
192.928,2.4448205087373265,2.3867316254423816
192.989,2.44445414647235,2.3864180837735613
193.05,2.4440881314422955,2.386104839276767
193.111,2.443722463208493,2.3857918915765755
193.172,2.4433571413329647,2.3854792402981553
193.233,2.442992165378425,2.385166885067266
193.294,2.4426275349082784,2.3848548255102586
193.355,2.4422632494866168,2.384543061254073
193.416,2.44189930867822,2.3842315919262367
193.477,2.441535712048554,2.383920417154865
193.538,2.441172459163769,2.3836095365686596
193.599,2.4408095495906994,2.383298949796906
193.66,2.4404469828968605,2.3829886564694736
193.721,2.440084758650449,2.382678656216815
193.782,2.4397228764203414,2.3823689486699644
193.843,2.4393613357760926,2.3820595334605357
193.904,2.439000136287933,2.381750410220723
193.965,2.438639277526771,2.381441578583298
194.026,2.4382787590641875,2.3811330381816096
194.087,2.4379185804724375,2.380824788649584
194.148,2.4375587413244473,2.3805168296217203
194.209,2.437199241193814,2.3802091607330933
194.27,2.4368400796548038,2.37990178161935
194.331,2.4364812562823523,2.3795946919167092
194.392,2.4361227706520596,2.37928789126196
194.453,2.435764622340194,2.378981379292462
194.514,2.435406810923686,2.3786751556461416
194.575,2.43504933598013,2.3783692199614954
194.636,2.434692197087782,2.3780635718775835
194.697,2.434335393825559,2.3777582110340334
194.758,2.4339789257730375,2.3774531370710363
194.819,2.4336227925104508,2.377148349629346
194.88,2.4332669936186906,2.376843848350279
194.941,2.4329115286793033,2.376539632875713
195.002,2.4325563972744897,2.376235702848086
195.063,2.4322015989871044,2.375932057910393
195.124,2.431847133400653,2.3756286977061905
195.185,2.4314930000992927,2.3753256218795884
195.246,2.4311391986678306,2.3750228300752547
195.307,2.43078572869172,2.3747203219384114
195.368,2.4304325897570633,2.374418097114834
195.429,2.4300797814506083,2.3741161552508516
195.49,2.429727303359747,2.3738144959933445
195.551,2.429375155072515,2.3735131189897434
195.612,2.4290233361775906,2.3732120238880285
195.673,2.428671846264292,2.37291121033673
195.734,2.4283206849225785,2.372610677984924
195.795,2.4279698517430472,2.372310426482235
195.856,2.4276193463169333,2.37201045547883
195.917,2.427269168236108,2.3717107646254245
195.978,2.4269193170930774,2.371411353573274
196.039,2.4265697924809815,2.3711122219741787
196.1,2.426220593993593,2.3708133694804796
196.161,2.4258717212253162,2.370514795745058
196.222,2.425523173771186,2.3702165004213342
196.283,2.4251749512268663,2.3699184831632683
196.344,2.4248270531886487,2.3696207436253567
196.405,2.424479479253452,2.3693232814626333
196.466,2.42413222901882,2.3690260963306655
196.527,2.4237853020829228,2.368729187885558
196.588,2.423438698044551,2.3684325557839467
196.649,2.4230924165031196,2.368136199683
196.71,2.4227464570586643,2.36784011924042
196.771,2.42240081931184,2.3675443141144368
196.832,2.4220555028639197,2.3672487839638108
196.893,2.421710507316796,2.366953528447832
196.954,2.4213658322729765,2.366658547226316
197.015,2.4210214773355845,2.3663638399596065
197.076,2.4206774421083566,2.366069406308572
197.137,2.4203337261956435,2.365775245934606
197.198,2.419990329202407,2.365481358499626
197.259,2.4196472507342204,2.365187743666071
197.32,2.4193044903972654,2.364894401096903
197.381,2.418962047798333,2.3646013304556033
197.442,2.4186199225448215,2.3643085314061745
197.503,2.418278114244735,2.3640160036131364
197.564,2.417936622506683,2.363723746741528
197.625,2.417595446939879,2.363431760456905
197.686,2.417254587154139,2.3631400444253376
197.747,2.4169140427598808,2.3628485983134127
197.808,2.416573813368123,2.362557421788231
197.869,2.416233898590484,2.3622665145174047
197.93,2.415894298039179,2.36197587616906
197.99099999999999,2.415555011327023,2.3616855064118334
198.052,2.415216038067425,2.3613954049148713
198.113,2.4148773778743897,2.3611055713478306
198.174,2.414539030362517,2.3608160053808747
198.235,2.414200995146998,2.3605267066846753
198.296,2.4138632718436157,2.360237674930412
198.357,2.413525860068745,2.3599489097897677
198.418,2.41318875943935,2.359660410934931
198.47899999999998,2.4128519695729826,2.3593721780385932
198.54,2.4125154900877823,2.3590842107739505
198.601,2.4121793206024758,2.3587965088146987
198.662,2.411843460736374,2.358509071835035
198.723,2.411507910109373,2.3582218995096573
198.784,2.411172668341951,2.357934991513763
198.845,2.410837735055169,2.3576483475230448
198.906,2.410503109870669,2.357361967213696
198.967,2.410168792410672,2.357075850262404
199.028,2.4098347822979784,2.356789996346353
199.089,2.4095010791559672,2.35650440514322
199.15,2.409167682608593,2.3562190763311777
199.211,2.408834592280386,2.3559340095888897
199.272,2.408501807796452,2.355649204595512
199.333,2.4081693287824693,2.3553646610306918
199.394,2.4078371548646893,2.3550803785745655
199.455,2.4075052856699344,2.354796356907759
199.516,2.407173720825598,2.3545125957113857
199.577,2.406842459959642,2.3542290946670477
199.638,2.4065115027005977,2.3539458534568323
199.699,2.4061808486775624,2.3536628717633126
199.76,2.405850497520201,2.353380149269546
199.821,2.405520448858742,2.353097685659074
199.882,2.4051907023239796,2.352815480615921
199.943,2.4048612575472696,2.3525335338245923
200.004,2.4045321141605314,2.352251844970076
200.065,2.404203271796245,2.3519704137378388
200.126,2.4038747300874492,2.3516892398138274
200.187,2.403546488667743,2.351408322884467
