λ (nm),n1 fit,n2 fit
190.0,2.4713416275998314,2.4141469023504163
190.061,2.4709455290195645,2.4137961686869116
190.122,2.470549811638796,2.413445772564371
190.183,2.4701544749685356,2.413095713549808
190.244,2.4697595185205756,2.412745991210929
190.305,2.469364941807492,2.412396605116134
190.366,2.4689707443426405,2.4120475548345137
190.427,2.468576925640157,2.4116988399358497
190.488,2.4681834852149533,2.4113504599906115
190.549,2.4677904225827203,2.411002414569956
190.61,2.467397737259921,2.4106547032457275
190.671,2.4670054287637946,2.4103073255904537
190.732,2.4666134966123496,2.409960281177346
190.793,2.4662219403243664,2.4096135695802987
190.854,2.4658307594193936,2.409267190373886
190.915,2.4654399534177474,2.408921143133362
190.976,2.4650495218405104,2.408575427434659
191.037,2.4646594642095287,2.4082300428543864
191.098,2.4642697800474127,2.4078849889698293
191.159,2.4638804688775338,2.4075402653589473
191.22,2.4634915302240223,2.407195871600372
191.281,2.4631029636117696,2.4068518072734078
191.342,2.462714768566422,2.4065080719580294
191.403,2.4623269446143836,2.406164665234881
191.464,2.4619394912828105,2.4058215866852732
191.525,2.461552408099614,2.4054788358911856
191.586,2.4611656945934555,2.405136412435261
191.647,2.4607793502937465,2.4047943159008085
191.708,2.4603933747306472,2.4044525458717976
191.769,2.460007767435065,2.4041111019328607
191.83,2.459622527938653,2.403769983669291
191.891,2.4592376557738094,2.4034291906670395
191.952,2.458853150473673,2.403088722512716
192.013,2.4584690115721264,2.4027485787935863
192.074,2.4580852386037915,2.402408759097572
192.135,2.4577018311040284,2.4020692630132476
192.196,2.457318788608935,2.401730090129842
192.257,2.4569361106553442,2.401391240037234
192.318,2.4565537967808244,2.401052712325954
192.379,2.4561718465236764,2.4007145065871818
192.44,2.4557902594229324,2.4003766224127427
192.501,2.4554090350183557,2.400039059395111
192.562,2.455028172850438,2.3997018171274056
192.623,2.454647672460398,2.3993648952033895
192.684,2.454267533390181,2.3990282932174685
192.745,2.453887755182457,2.39869201076469
192.806,2.4535083373806197,2.3983560474407426
192.867,2.453129279528784,2.398020402841954
192.928,2.452750581171785,2.397685076565289
192.989,2.4523722418551785,2.39735006820835
193.05,2.451994261125238,2.397015377369375
193.111,2.4516166385289515,2.396681003647237
193.172,2.4512393736140248,2.3963469466414407
193.233,2.4508624659288754,2.3960132059521246
193.294,2.4504859150226346,2.3956797811800574
193.355,2.4501097204451443,2.395346671926637
193.416,2.449733881746956,2.3950138777938896
193.477,2.4493583984793297,2.3946813983844697
193.538,2.4489832701942325,2.394349233301657
