λ (nm),n1 fit,n2 fit
190.0,2.1381597203762137,2.216978497146127
190.061,2.1379770660372905,2.216720344984072
190.122,2.1377945874822397,2.216462441263894
190.183,2.137612284485572,2.2162047856668994
190.244,2.137430156822158,2.2159473778749055
190.305,2.1372482042672303,2.21569021757024
190.366,2.1370664265963804,2.2154333044357384
190.427,2.136884823585561,2.215176638154745
190.488,2.1367033950110814,2.2149202184111103
190.549,2.13652214064961,2.2146640448891914
190.61,2.136341060278172,2.2144081172738503
190.671,2.13616015367415,2.2141524352504525
190.732,2.135979420615282,2.2138969985048673
190.793,2.1357988608796608,2.2136418067234653
190.854,2.1356184742457347,2.2133868595931188
190.915,2.1354382604923057,2.2131321568012003
190.976,2.1352582193985277,2.2128776980355807
191.037,2.135078350743909,2.2126234829846303
191.098,2.134898654308309,2.2123695113372164
191.159,2.134719129871938,2.2121157827827016
191.22,2.134539777215357,2.2118622970109447
191.281,2.1343605961194774,2.2116090537122997
191.342,2.134181586365558,2.211356052577613
191.403,2.134002747735209,2.211103293298223
191.464,2.1338240800103856,2.210850775565962
191.525,2.133645582973392,2.2105984990731504
191.586,2.1334672564068775,2.2103464635126002
191.647,2.133289100093839,2.2100946685776117
191.708,2.133111113817617,2.2098431139619716
191.769,2.1329332973618977,2.2095917993599565
191.83,2.13275565051071,2.209340724466326
191.891,2.1325781730484277,2.209089888976327
191.952,2.1324008647597648,2.208839292585689
192.013,2.132223725429779,2.208588934990625
192.074,2.1320467548438695,2.2083388158878323
192.135,2.1318699527877745,2.2080889349744868
192.196,2.1316933190475735,2.2078392919482464
192.257,2.1315168534096847,2.2075898865072485
192.318,2.131340555660865,2.207340718350108
192.379,2.13116442558821,2.2070917871759197
192.44,2.130988462979152,2.2068430926842533
192.501,2.1308126676214596,2.206594634575155
192.562,2.1306370393032386,2.2063464125491468
192.623,2.13046157781293,2.206098426307223
192.684,2.1302862829393088,2.205850675550854
192.745,2.1301111544714852,2.2056031599819788
192.806,2.129936192198902,2.2053558793030112
192.867,2.1297613959113364,2.205108833216834
192.928,2.1295867653988956,2.2048620214267993
192.989,2.129412300452021,2.2046154436367287
193.05,2.1292380008614833,2.2043690995509113
193.111,2.129063866418384,2.204122988874104
193.172,2.128889896914155,2.203877111311528
193.233,2.1287160921405563,2.2036314665688708
193.294,2.128542451889677,2.203386054352285
193.355,2.1283689759539346,2.2031408743683856
193.416,2.128195664126073,2.20289592632425
193.477,2.1280225161991635,2.202651209927418
193.538,2.1278495319666026,2.20240672488589
193.599,2.1276767112221138,2.2021624709081262
193.66,2.127504053759743,2.2019184477030453
193.721,2.127331559373862,2.2016746549800263
