λ (nm),Traw,TM,Tm,T true,hv,n true,α1 (cm^-1),α2 (cm^-1),α3 (cm^-1),k
200.0,0.004500249309106056,0.004500249309106056,0.004500249309106056,0.004500249309106056,6.207668999999998,580.9291568134139,2175.5990953176997,2175.5990953176997,69256.043410507,1.087871385975723
200.06,0.00448088782361689,0.00448088782361689,0.00448088782361689,0.00448088782361689,6.205807257822653,583.4291497456105,2175.5990953176997,2175.5990953176997,69311.30338659445,1.0890660294725873
200.12,0.004461526338127723,0.004461526338127723,0.004461526338127723,0.004461526338127723,6.203946632020787,585.9508387382054,2175.5990953176997,2175.5990953176997,69366.80265344663,1.090264954808262
200.18,0.004442164852638557,0.004442164852638557,0.004442164852638557,0.004442164852638557,6.202087121590568,588.4945074821685,2175.5990953176997,2175.5990953176997,69422.54329246838,1.0914681980896954
200.24,0.00442280336714939,0.00442280336714939,0.00442280336714939,0.00442280336714939,6.200228725529364,591.0604446360688,2175.5990953176997,2175.5990953176997,69478.52741234,1.0926757958920272
200.3,0.004403441881660224,0.004403441881660224,0.004403441881660224,0.004403441881660224,6.198371442835746,593.648943935284,2175.5990953176997,2175.5990953176997,69534.75714949588,1.0938877852667581
200.36,0.004384080396171057,0.004384080396171057,0.004384080396171057,0.004384080396171057,6.196515272509482,596.2603043041053,2175.5990953176997,2175.5990953176997,69591.23466861379,1.0951042037501044
200.42,0.0043647189106819,0.0043647189106819,0.0043647189106819,0.0043647189106819,6.194660213551542,598.8948299708223,2175.5990953176997,2175.5990953176997,69647.96216311482,1.096325089371533
200.48,0.004345357425192734,0.004345357425192734,0.004345357425192734,0.004345357425192734,6.192806264964086,601.5528305858944,2175.5990953176997,2175.5990953176997,69704.9418556746,1.0975504806624872
200.54,0.004325995939703567,0.004325995939703567,0.004325995939703567,0.004325995939703567,6.190953425750473,604.2346213432794,2175.5990953176997,2175.5990953176997,69762.17599874579,1.098780416665307
200.6,0.004306634454214401,0.004306634454214401,0.004306634454214401,0.004306634454214401,6.189101694915253,606.9405231050491,2175.5990953176997,2175.5990953176997,69819.66687509244,1.1000149369423484
200.66,0.004287272968725234,0.004287272968725234,0.004287272968725234,0.004287272968725234,6.187251071464168,609.6708625293764,2175.5990953176997,2175.5990953176997,69877.41679833627,1.1012540815853067
200.72,0.004267911483236068,0.004267911483236068,0.004267911483236068,0.004267911483236068,6.1854015544041445,612.4259722020046,2175.5990953176997,2175.5990953176997,69935.42811351534,1.1024978912247518
200.78,0.004248549997746901,0.004248549997746901,0.004248549997746901,0.004248549997746901,6.1835531427433015,615.2061907713138,2175.5990953176997,2175.5990953176997,69993.70319765549,1.1037464070398788
200.84,0.0042291885122577345,0.0042291885122577345,0.0042291885122577345,0.0042291885122577345,6.181705835490937,618.011863087096,2175.5990953176997,2175.5990953176997,70052.24446035468,1.1049996707684795
200.9,0.004209827026768568,0.004209827026768568,0.004209827026768568,0.004209827026768568,6.17985963165754,620.8433403431612,2175.5990953176997,2175.5990953176997,70111.05434438093,1.1062577247171435
200.96,0.0041904655412794015,0.0041904655412794015,0.0041904655412794015,0.0041904655412794015,6.178014530254776,623.7009802238942,2175.5990953176997,2175.5990953176997,70170.13532628394,1.1075206117716954
201.02,0.0041713011748495355,0.0041713011748495355,0.0041713011748495355,0.0041713011748495355,6.176170530295491,626.5559028849855,2175.5990953176997,2175.5990953176997,70228.88424151766,1.108778812958275
201.08,0.004152531046538271,0.004152531046538271,0.004152531046538271,0.004152531046538271,6.174327630793712,629.3781540484495,2175.5990953176997,2175.5990953176997,70286.68683599927,1.1100226227989554
201.14,0.0041337609182270155,0.0041337609182270155,0.0041337609182270155,0.0041337609182270155,6.172485830764642,632.226033228266,2175.5990953176997,2175.5990953176997,70344.7513005242,1.1112711143079128
201.2,0.0041149907899157515,0.0041149907899157515,0.0041149907899157515,0.0041149907899157515,6.170645129224652,635.0998911232024,2175.5990953176997,2175.5990953176997,70403.08001865793,1.1125243288528517
201.26,0.004096220661604487,0.004096220661604487,0.004096220661604487,0.004096220661604487,6.168805525191294,638.0000848600555,2175.5990953176997,2175.5990953176997,70461.67540665768,1.113782308363163
201.32,0.004077450533293222,0.004077450533293222,0.004077450533293222,0.004077450533293222,6.166967017683289,640.92697814161,2175.5990953176997,2175.5990953176997,70520.5399140734,1.1150450953401945
201.38,0.004058680404981958,0.004058680404981958,0.004058680404981958,0.004058680404981958,6.165129605720527,643.8809413986975,2175.5990953176997,2175.5990953176997,70579.67602436201,1.1163127328677522
201.44,0.004039910276670693,0.004039910276670693,0.004039910276670693,0.004039910276670693,6.163293288324066,646.8623519464946,2175.5990953176997,2175.5990953176997,70639.0862555162,1.1175852646228455
201.5,0.004021140148359428,0.004021140148359428,0.004021140148359428,0.004021140148359428,6.161458064516127,649.8715941451985,2175.5990953176997,2175.5990953176997,70698.77316070777,1.1188627348866849
201.56,0.004002370020048164,0.004002370020048164,0.004002370020048164,0.004002370020048164,6.159623933320103,652.9090595652245,2175.5990953176997,2175.5990953176997,70758.73932894591,1.1201451885559288
201.62,0.0039835998917369,0.0039835998917369,0.0039835998917369,0.0039835998917369,6.157790893760539,655.9751471570733,2175.5990953176997,2175.5990953176997,70818.98738575118,1.1214326711542035
201.68,0.003964829763425636,0.003964829763425636,0.003964829763425636,0.003964829763425636,6.155958944863149,659.0702634260222,2175.5990953176997,2175.5990953176997,70879.51999384527,1.1227252288438865
201.74,0.003946059635114371,0.003946059635114371,0.003946059635114371,0.003946059635114371,6.1541280856548015,662.1948226118059,2175.5990953176997,2175.5990953176997,70940.33985385708,1.124022908438173
201.8,0.003927289506803107,0.003927289506803107,0.003927289506803107,0.003927289506803107,6.152298315163527,665.3492468734441,2175.5990953176997,2175.5990953176997,71001.44970504566,1.125325757413425
201.86,0.003908519378491842,0.003908519378491842,0.003908519378491842,0.003908519378491842,6.150469632418506,668.5339664794008,2175.5990953176997,2175.5990953176997,71062.8523260407,1.1266338239218232
201.92,0.0038897492501805864,0.0038897492501805864,0.0038897492501805864,0.0038897492501805864,6.148642036450079,671.7494200032422,2175.5990953176997,2175.5990953176997,71124.5505356004,1.1279471568043118
201.98,0.003870979121869322,0.003870979121869322,0.003870979121869322,0.003870979121869322,6.146815526289731,674.9960545249996,2175.5990953176997,2175.5990953176997,71186.54719338815,1.1292658056038667
202.04,0.003853002748823297,0.003853002748823297,0.003853002748823297,0.003853002748823297,6.144990100970105,678.1337974690338,2175.5990953176997,2175.5990953176997,71246.20458802102,1.1305479188488352
202.1,0.003835423253409892,0.003835423253409892,0.003835423253409892,0.003835423253409892,6.143165759524987,681.2300544096869,2175.5990953176997,2175.5990953176997,71304.81467903935,1.131813970609224
202.16,0.0038178437579964876,0.0038178437579964876,0.0038178437579964876,0.0038178437579964876,6.141342500989316,684.3548226741848,2175.5990953176997,2175.5990953176997,71363.69402485844,1.1330848498792279
202.22,0.0038002642625830827,0.0038002642625830827,0.0038002642625830827,0.0038002642625830827,6.139520324399168,687.5084979302992,2175.5990953176997,2175.5990953176997,71422.8451108138,1.1343605999382445
202.28,0.0037826847671696777,0.0037826847671696777,0.0037826847671696777,0.0037826847671696777,6.1376992287917735,690.6914832010423,2175.5990953176997,2175.5990953176997,71482.2704568116,1.1356412646617453
202.34,0.003765105271756273,0.003765105271756273,0.003765105271756273,0.003765105271756273,6.135879213205495,693.9041890363776,2175.5990953176997,2175.5990953176997,71541.97261797288,1.1369268885323254
202.4,0.0037475257763428683,0.0037475257763428683,0.0037475257763428683,0.0037475257763428683,6.1340602766798416,697.1470336897625,2175.5990953176997,2175.5990953176997,71601.9541852926,1.1382175166510122
202.46,0.0037299462809294633,0.0037299462809294633,0.0037299462809294633,0.0037299462809294633,6.132242418255457,700.4204432996848,2175.5990953176997,2175.5990953176997,71662.2177863146,1.1395131947488413
202.52,0.0037123667855160584,0.0037123667855160584,0.0037123667855160584,0.0037123667855160584,6.130425636974126,703.724852076355,2175.5990953176997,2175.5990953176997,71722.76608582205,1.1408139691987011
202.58,0.003694787290102654,0.003694787290102654,0.003694787290102654,0.003694787290102654,6.128609931878763,707.0607024937297,2175.5990953176997,2175.5990953176997,71783.60178654463,1.142119887027462
202.64,0.003677207794689257,0.003677207794689257,0.003677207794689257,0.003677207794689257,6.126795302013423,710.428445487041,2175.5990953176997,2175.5990953176997,71844.72762988237,1.1434309959283895
202.7,0.003659628299275852,0.003659628299275852,0.003659628299275852,0.003659628299275852,6.124981746423286,713.8285406560274,2175.5990953176997,2175.5990953176997,71906.14639664703,1.1447473442738592
202.76,0.0036420488038624477,0.0036420488038624477,0.0036420488038624477,0.0036420488038624477,6.123169264154665,717.261456474033,2175.5990953176997,2175.5990953176997,71967.86090782103,1.146068981128371
202.82,0.0036244693084490427,0.0036244693084490427,0.0036244693084490427,0.0036244693084490427,6.121357854255003,720.7276705032101,2175.5990953176997,2175.5990953176997,72029.87402533504,1.147395956261882
202.88,0.003606889813035638,0.003606889813035638,0.003606889813035638,0.003606889813035638,6.1195475157728705,724.2276696160048,2175.5990953176997,2175.5990953176997,72092.18865286435,1.14872832016346
