λ (nm),TM,Tm,TM Corrected,Tm Corrected,n1,Δn1,d1 (nm),Δd1 (nm),m,Δm,d2 (nm),Δd2 (nm),n2,Δn2,κ,α1 (cm^-1),α2 (cm^-1),discarded
294.0,0.675324155466794,0.6706761454184175,0.7038280751516027,0.6753180826582595,2.066171943352697,0.01093850507081914,897.5563430433978,7.5817076391138,31.0,0.26185869960607444,2205.5279642436403,18.63021563424749,2.0714075546396513,0.0174972931810367,0.001549030477344862,662.0983357569128,662.0983357569128,yes
298.0,0.683596353987177,0.6721259099395772,0.706886724625349,0.6725166999385497,2.088188856937412,0.00998257576633705,749.6245099312995,5.168652400294782,30.5,0.2102971502671896,2176.2878318702806,15.00547964601576,2.065725615988566,0.014243154435289517,0.0016111281313388754,679.3970874370555,679.3970874370553,no
311.0,0.7106576667347614,0.6934220317650475,0.7168926583309205,0.6938381291238316,2.012396293897823,0.010363034460544148,5218.654645179133,231.58847635133893,28.0,1.2425572831932257,2163.589752775141,96.01372161260649,1.9791328709460263,0.08782807011432511,0.001625927875938887,656.9778868574231,656.9778868574232,no
316.0,0.7132637548966799,0.7016128478517668,0.7248309042155903,0.7020386788104784,2.003548879286843,0.009495169532646565,12980.898224246912,1383.8028161137584,27.5,2.9315827599700715,2168.651858170083,231.18481453776275,1.975041875117245,0.21054540768409738,0.0015343356406139332,610.1591869232558,610.159186923256,yes
321.0,0.7158907754936339,0.6991325816550876,0.7328329111113818,0.699555413571071,2.046348517267493,0.010194862501323907,2676.0962221455834,57.12594480686904,28.0,0.5977088721084547,2196.1068518283864,46.879733908428356,2.0427705838381818,0.043606503630080326,0.0013725010609734747,537.3008411462262,537.3008411462262,no
327.0,0.7152768143201991,0.6961780016040635,0.7341309285984647,0.6965972609552031,2.0606972389973044,0.009256571222254394,2313.397598825991,41.31470078017528,27.5,0.4911193268426486,2181.9071307087247,38.966427682430684,2.043793332795377,0.03649986930210759,0.0014282859133862202,548.8798205162003,548.8798205162003,no
332.0,0.7147689195288859,0.6977415139044628,0.7352047038618655,0.6981626606733178,2.054441955321058,0.010236356859401335,2017.600560460853,30.35000805914431,27.0,0.40615086734993794,2181.61432519011,32.817205570333805,2.0373159227331397,0.0306465788549594,0.0014473527345367121,547.8304479486304,547.8304479486304,no
337.0,0.7189072176395089,0.6993050262048621,0.7369171065433374,0.6997280603914325,2.0508789099070914,0.009187241686900396,2032.9319298404207,29.922438060637397,26.5,0.39004975866020997,2177.2372705330927,32.046447996884794,2.0297021249406852,0.02987489901831055,0.0014663570870518164,546.7889201449633,546.7889201449633,no
344.0,0.724740722205086,0.7021629384882196,0.7393309753834846,0.7025894424901498,2.043449115401733,0.010108380357105554,2195.954155716419,33.51810448870515,26.0,0.39685287347085846,2188.4567451638377,33.40366722249812,2.0327703718122714,0.031027337044620202,0.0014440046062324913,527.4970072895136,527.4970072895135,no
349.0,0.727258681065167,0.7042043044049037,0.7410399766779783,0.7046332868463764,2.038070621772105,0.009085870587814534,2062.245569851461,28.669544882507534,25.5,0.3545035592228717,2183.3149217032214,30.35266316267441,2.0226565210133396,0.028119173952336474,0.0014632521664079809,526.8701726460358,526.8701726460358,no
356.0,0.7308080929522692,0.7064935962282718,0.7434490507919032,0.7069253762401012,2.033674065584364,0.009985324452151566,2010.333443426205,26.14051814331771,25.0,0.3250768949399572,2188.1579134566578,28.452783205791434,2.0227701597863614,0.026302233708822058,0.0014541705684232608,513.3046713286527,513.3046713286528,no
362.0,0.7332101249045928,0.7084558463625874,0.7445653683355204,0.7088900242918653,2.0262188896230655,0.00900063027203339,2173.7556575925914,29.485014378685584,24.5,0.33232017119984275,2188.5592038997047,29.68581099269149,2.0157245558590158,0.027341466509991637,0.0014719444999837985,510.96685388298374,510.9668538829837,no
370.0,0.7364128341743577,0.7100511107013239,0.7460537917270103,0.7104872480875929,2.0216254771460336,0.009886102020787251,2413.787257812236,34.81176521880451,24.0,0.346129246704433,2196.252495921268,31.674467582748303,2.018224608865493,0.029106940147790087,0.0014712557328181155,499.6849947862984,499.6849947862983,no
377.0,0.7397229996404678,0.7114544635406636,0.7488956860455267,0.7118923246597743,2.023461957835783,0.008897466409215763,2258.801327394298,29.32651753645011,23.5,0.30510570086373734,2189.193615845336,28.42278521229407,2.013565419171603,0.02614256546601434,0.001482548927386958,494.17133356671565,494.17133356671565,no
385.0,0.743506045887451,0.7134504530480271,0.7521435652666884,0.7138907779207766,2.023833073623955,0.009792704801715188,2252.219387851927,27.98529539771545,23.0,0.2857900067903035,2187.680425674606,27.18335668298085,2.012542670214408,0.02500715579940657,0.0014755431217984213,481.61614872694753,481.61614872694753,no
393.0,0.746662964536291,0.7154564475153274,0.7548713547378111,0.7158992484913579,2.022345284842911,0.008757729589701255,2306.954283216677,28.132393192627607,22.5,0.27437858280898997,2186.199376108728,26.659834957982703,2.0097017008888653,0.0245075157581646,0.0014755358685081168,471.8099383830366,471.80993838303664,no
401.0,0.7498041379549624,0.7177194307556268,0.7575855392739158,0.7181650422975939,2.01891712312858,0.00967709680091395,1964.704061414078,19.55352981246172,22.0,0.21895290202868584,2184.8346073585085,21.744358078811356,2.0050425111949752,0.019954994387137437,0.001477887611450775,463.13425066983757,463.1342506698375,no
410.0,0.7549813603082193,0.7202652869009637,0.7621142708349399,0.7207140603296095,2.0209641174192594,0.00859258918140161,1845.9011306707614,16.543569015218324,21.5,0.1926900243557167,2180.889785231967,19.545846782952626,2.0034515683726712,0.01795558751187111,0.0014571765198891696,446.62000486510794,446.6200048651079,no
420.0,0.7607338295896159,0.726763896992858,0.7671461947916334,0.7272208378324351,2.0076902113303103,0.00943814639306685,2174.28071538962,21.81270759793092,21.0,0.21067512410625694,2196.554017702712,22.036156680267435,2.0045879561028883,0.020110324592089713,0.001370635089075284,410.0930596753623,410.09305967536227,no
429.0,0.7664720483246225,0.7325880006480688,0.7722222254251931,0.7330522611832708,1.998415145328886,0.008369607065020898,2149.772529655494,20.374226969306118,20.5,0.19428644059272088,2200.368632252499,20.853745831815203,1.9987923786787816,0.01894332959694431,0.001309219069790174,383.49958150046365,383.49958150046365,no
440.0,0.7734571527271028,0.7361891704349807,0.7784012516287947,0.7366580177213904,2.002111620076461,0.009198399745581846,2066.936182438986,17.900426652497494,20.0,0.17320734722805983,2197.679667745979,19.032713265366244,2.00004240518202,0.0173211019672603,0.0012496236609676264,356.89168300435244,356.89168300435244,no
451.0,0.7772056529301093,0.7397903402218925,0.7818132368044193,0.7402637742595098,1.9960031544755987,0.008166057259638817,2030.5250218688864,16.436865817550515,19.5,0.1578502505461523,2203.027580462552,17.833254130056282,1.9987923786787816,0.016179993731496686,0.0012146387183477655,338.4390309824445,338.4390309824445,no
463.0,0.781309202332672,0.7426053502984113,0.7855483972607951,0.7430824010397884,1.994765931944658,0.009040660537693092,2081.5029223582173,16.34380106060252,19.0,0.14918654055966138,2205.0206139784977,17.31365248748382,1.9993605725438899,0.015698825639431938,0.0011808703835864012,320.50226539238,320.50226539238,no
475.0,0.7830184626650281,0.7454297594069051,0.7868623977707802,0.7459104389278476,1.9852557941331208,0.008062211443035943,2365.191032742152,20.012742363216503,18.5,0.15653523482636492,2213.19087091171,18.726613659120627,1.9972014358564776,0.01689904841931605,0.0011726449028956077,310.22927260685117,310.22927260685117,no
489.0,0.7850187823528104,0.7451795484859434,0.7884001512891434,0.7456599054214479,1.98931982246608,0.008978983894495599,2287.7288786902573,17.67203562890671,18.0,0.13904472871909263,2212.3139528888105,17.089477412271563,2.000496960274107,0.01545325317470459,0.0011894491103029068,305.6658148667916,305.6658148667916,no
502.0,0.7865455262156867,0.7449478981468504,0.7894847018077334,0.7454279564262218,1.9919794067729044,0.008009412067922515,1908.9699253823799,11.640832632811005,17.5,0.10671439521677491,2205.0930773004557,13.446581379475154,1.996633241991369,0.01217540050793243,0.0012335500448111077,308.7897815628634,308.7897815628634,no
517.0,0.7883122205778134,0.7457492355243249,0.7907397055665334,0.746230327783732,1.990233547252896,0.008965990331366306,1834.1681898806196,10.126524119808982,17.0,0.09385775578626596,2208.0323216668185,12.190644612658005,1.9975423521755427,0.011028520133130314,0.0012481319405461858,303.37502012616403,303.375020126164,no
534.0,0.7873722771552796,0.746659700288318,0.7896558839538831,0.7471419673367908,1.9790921672342314,0.008006689541144465,2130.3837608861195,12.802570471361527,16.5,0.09915697662359212,2226.020633569915,13.377301571304592,2.002542458188498,0.012034306406930156,0.0012699470698081972,298.8506655398739,298.85066553987394,no
551.0,0.7864345427654662,0.747029114773651,0.7885746095130605,0.747511859267411,1.970914984667491,0.008936047063182193,2257.9370325287073,13.458320878101484,16.0,0.09536720065593149,2236.524677264892,13.330693604291461,2.003678845918715,0.011942827659298457,0.0013142207892830793,299.72750466836305,299.72750466836305,no
568.0,0.7881001206807325,0.7473985292589841,0.7899397065460263,0.7478817511980312,1.971792465808349,0.008001639247898915,2362.3036316118296,13.794924452428493,15.5,0.09051390606665945,2232.486469206267,13.036843262504792,2.000951515366194,0.01168477016166423,0.0013516734745730706,299.04277871626397,299.042778716264,no
588.0,0.7900638939353635,0.7478823661763355,0.7915492025766492,0.7483662141685166,1.9730558267108638,0.008916401656165852,2084.685588252086,10.013341291715506,15.0,0.07204929137619671,2235.1116173694822,10.735880545211742,2.0045879561028883,0.009628609449231442,0.001362849467420878,291.2597193740267,291.25971937402664,no
609.0,0.7947588612435166,0.7483894040647489,0.7961156531254399,0.7488739081305935,1.98522295288849,0.00787862972547395,2124.812848310085,9.709695784077251,14.5,0.06626023039209986,2224.057501237245,10.163211202569501,2.0069743703363443,0.0091712127013466,0.0013472392001375802,277.9951903960861,277.9951903960861,no
633.0,0.8001149657178036,0.7555790463455136,0.8013251433328614,0.7560729451311189,1.9722335417511123,0.008736238786752221,2009.1264137493006,8.004951228539364,14.0,0.06201463489254751,2246.6913305134194,9.95198161271725,2.014133613036712,0.008921840045519946,0.0011846411772133796,235.17598859232336,235.1759885923234,no
655.0,0.8108496312139467,0.7621580778747064,0.8119291704530178,0.7626605734937978,1.9810428902828119,0.007575233741834439,1821.2306259446466,6.157457704880733,13.5,0.051622130957581426,2231.779040063502,8.534014064780997,2.0097017008888653,0.007684821065848825,0.0010097303938622713,193.7197916008574,193.7197916008574,no
685.0,0.8255108986477144,0.778778119232164,0.8264120136808201,0.7793029686136302,1.9637774667589223,0.008223634940724096,2168.388315268104,7.944709560909446,12.0,0.05025193585277236,2092.9051634263164,8.764378001536276,1.8682214284768417,0.007823478615216083,0.0012715580795301484,233.26817642421372,233.26817642421372,yes
710.0,0.838485560544823,0.7926484806318835,0.8392794386325015,0.7931919854881535,1.95246685896475,0.00708996469971281,1707.1591713532987,4.587912508779736,11.5,0.0417597838715322,2090.9445818530567,7.592816854394341,1.855721163444454,0.006738653453153799,0.000939837019724319,166.34282122465612,166.34282122465615,yes
743.0,0.8556121142490065,0.8053771808588782,0.8562644395687211,0.8059384259565848,1.9587281129495007,0.007689457621126145,2163.2436916598804,2.559456101958721,11.0,0.0431831417914449,2086.3028273211685,8.190282801100219,1.8575393838128014,0.007292216963125581,0.0004847815286441103,81.99117571921221,81.99117571921222,yes
777.0,0.8556121142490065,0.8184915992745696,0.8562644395687211,0.8190711221967868,1.9091426845833042,0.006812023191485325,2087.78541422542,2.4029434418951223,10.5,0.03746511148076262,2136.6920518517195,7.623943421208009,1.8542438593951718,0.0066161383718818705,0.0002840272781747882,45.93554751778735,45.93554751778734,yes
