λ (nm),TM,Tm,TM Corrected,Tm Corrected,n1,Δn1,d1 (nm),Δd1 (nm),m,Δm,d2 (nm),Δd2 (nm),n2,Δn2,κ,α1 (cm^-1),α2 (cm^-1),discarded
295.0,0.6727883893530214,0.6692980667851162,0.7230821912250472,0.6727726266474022,2.1610948824372676,0.011021614086768279,522.5295569279681,2.621243874819145,34.0,0.1734004749145943,2320.58297891304,11.835005606536619,2.180511813510669,0.011120640706459803,0.0011702382645101663,498.4965335233637,498.49653352336384,yes
298.0,0.6780907613167787,0.6713254542121424,0.7206379976111942,0.6717392998186374,2.151306643784784,0.009604792942365019,552.9372184180429,2.8592303269896475,33.5,0.17322801353143216,2320.217814796721,11.997812627387354,2.170294061243969,0.011222559074876333,0.0012315397095580955,519.3283361277612,519.3283361277612,no
312.0,0.7030368200187506,0.6908252838049966,0.7091388048372947,0.6912636194489753,1.9870848486582537,0.010440529486679315,39728.08584230583,13372.276536077808,29.0,9.761256081794366,2276.701975285432,766.3265862995921,1.9670260108319575,0.6620911934924537,0.0016512452349888248,665.0692178866723,665.0692178866724,yes
316.0,0.7067435777206618,0.6963608987678754,0.7175460099458659,0.6968061866478872,1.9955046141116306,0.009689170213706591,9551.334739063479,749.2401829521931,29.5,2.314083424036386,2335.7500489043014,183.22442274107192,2.026593332556975,0.15897308603839846,0.001424474762525235,566.4708163510561,566.4708163510562,no
321.0,0.7114189354250824,0.6960947048024174,0.728150072670747,0.6965396523896203,2.040364640829068,0.010283429829862693,2481.619286353316,49.13957364549082,29.0,0.5742410383235332,2281.2098910461036,45.17118401614582,2.0237671457598023,0.04007345334848835,0.001416853827265637,554.6638722677019,554.6638722677018,no
327.0,0.7120050751658449,0.6957776052180671,0.730692460768293,0.6962221474365455,2.047850355947256,0.00934399253129834,2348.28816332447,42.5670947734941,28.5,0.5166155585126779,2275.4348170350468,41.246492240763295,2.02604983509598,0.03672592516254838,0.0014336638931294879,550.9465387611671,550.9465387611671,no
332.0,0.7124899548849475,0.6978936009966846,0.7327956323174256,0.6983408553178511,2.0433918707004683,0.010231128064465219,2019.4000931617954,30.403982845925285,28.0,0.4215665447222005,2274.649354656912,34.24700246061777,2.02094095896263,0.03042718204133737,0.0014379328070963466,544.2649570035701,544.2649570035701,no
337.0,0.7169384217901863,0.7000095967753022,0.7348466337361281,0.7004595631991566,2.038721352581625,0.009239142302888555,2075.5330899192763,31.185179871753625,27.5,0.4131914112275507,2272.870686389928,34.150205325352225,2.014745087907291,0.030271831495861427,0.0014449092423353509,538.7912475756359,538.7912475756358,no
344.0,0.7232091522469686,0.703141740988357,0.7377378044106847,0.7035957495423486,2.0320755981208642,0.010079456957480382,2343.3468636922717,38.153904601209135,27.0,0.4396085958053569,2285.3480472352894,37.20957948043037,2.019201767087447,0.03287623901766696,0.0014148526696727822,516.8477619716185,516.8477619716185,no
349.0,0.7267506245192175,0.7053789868548248,0.7397847990022242,0.7058358826446286,2.0272419858433426,0.009116761012058145,2222.312996251235,33.18439000643916,26.5,0.3957076868353166,2281.0547691356587,34.06154363167316,2.010614507203731,0.0300232307835139,0.001425421783665943,513.2486651956201,513.2486651956201,no
