"MN1534VSlow - RawData"
"Wavelength nm.","T%"
200.00,0.42616
201.00,0.37494
202.00,0.31113
203.00,0.32826
204.00,0.28131
205.00,0.28041
206.00,0.24995
207.00,0.23345
208.00,0.25033
209.00,0.22504
210.00,0.24750
211.00,0.23699
212.00,0.21826
213.00,0.21863
214.00,0.21562
215.00,0.18108
216.00,0.19152
217.00,0.20959
218.00,0.20898
219.00,0.21767
220.00,0.20938
221.00,0.18912
222.00,0.20037
223.00,0.19760
224.00,0.20067
225.00,0.18947
226.00,0.20326
227.00,0.20805
228.00,0.19832
229.00,0.19023
230.00,0.18919
231.00,0.20445
232.00,0.20574
233.00,0.27795
234.00,0.42616
235.00,0.83983
236.00,1.75883
237.00,3.51237
238.00,6.43647
239.00,10.74261
240.00,16.10342
241.00,22.40757
242.00,28.68956
243.00,34.39569
244.00,39.08814
245.00,43.10500
246.00,46.33535
247.00,48.67094
248.00,50.20425
249.00,51.62358
250.00,52.85704
251.00,53.61512
252.00,54.38058
253.00,54.86214
254.00,55.51367
255.00,56.00173
256.00,56.27030
257.00,56.81679
258.00,57.25725
259.00,57.73071
260.00,58.06414
261.00,58.38689
262.00,58.56711
263.00,58.81976
264.00,59.21128
265.00,59.55740
266.00,59.74318
267.00,59.78051
268.00,59.90993
269.00,59.93967
270.00,60.27346
271.00,60.47536
272.00,60.62167
273.00,60.52167
274.00,60.41514
275.00,60.73788
276.00,60.95386
277.00,61.17663
278.00,61.23099
279.00,61.42107
280.00,61.32362
281.00,61.20080
282.00,61.45551
283.00,61.55787
284.00,61.95795
285.00,61.92691
286.00,62.15103
287.00,62.14321
288.00,61.98602
289.00,62.09565
290.00,62.33293
291.00,62.57321
292.00,62.91544
293.00,63.04185
294.00,63.14170
295.00,62.93520
296.00,62.95743
297.00,62.90705
298.00,63.05808
299.00,63.34466
300.00,63.50676
301.00,63.58829
302.00,63.80020
303.00,63.60717
304.00,63.68211
305.00,63.60177
306.00,63.53976
307.00,63.74993
308.00,63.82130
309.00,63.99323
310.00,64.27560
311.00,64.26056
312.00,64.33503
313.00,64.10629
314.00,64.07654
315.00,63.97412
316.00,64.07940
317.00,64.30296
318.00,64.42828
319.00,64.46873
320.00,64.74148
321.00,64.82323
322.00,64.77193
323.00,64.69495
324.00,64.60252
325.00,64.56234
326.00,64.53565
327.00,64.69004
328.00,64.55522
329.00,64.84663
330.00,65.01138
331.00,65.00844
332.00,65.18306
333.00,65.18703
334.00,65.03783
335.00,64.90976
336.00,64.80290
337.00,64.93843
338.00,64.91969
339.00,65.05441
340.00,65.20712
341.00,65.24523
