"File_231003_183901 - RawData"
"Wavelength nm.","T%"
788.60,100.88670
788.80,100.93495
789.00,100.89868
789.20,100.84167
789.40,100.81680
789.60,100.84876
789.80,100.84562
790.00,100.85464
790.20,100.95999
790.40,100.95822
790.60,100.91341
790.80,100.88402
791.00,100.84286
791.20,100.80947
791.40,100.74770
791.60,100.71923
791.80,100.74785
792.00,100.80297
792.20,100.77912
792.40,100.80937
792.60,100.82058
792.80,100.79192
793.00,100.76787
793.20,100.79679
793.40,100.78166
793.60,100.81633
793.80,100.84560
794.00,100.90939
794.20,100.89005
794.40,100.88750
794.60,100.92863
794.80,100.93688
795.00,100.83579
795.20,100.84649
795.40,100.90109
795.60,100.88316
795.80,100.86291
796.00,100.92497
796.20,100.93940
796.40,100.84038
796.60,100.80709
796.80,100.78769
797.00,100.79055
797.20,100.78703
797.40,100.87841
797.60,100.94218
797.80,101.02779
798.00,101.05919
798.20,101.06703
798.40,101.07738
798.60,101.07266
798.80,100.96205
799.00,100.88397
799.20,100.84953
799.40,100.85127
799.60,100.81849
799.80,100.85959
800.00,100.90113
