"ItalyVslowResin - RawData"
"Wavelength nm.","T%"
200.00,0.59412
201.00,0.54612
202.00,0.54667
203.00,0.40171
204.00,0.48073
205.00,0.45536
206.00,0.44999
207.00,0.44079
208.00,0.43205
209.00,0.37527
210.00,0.35050
211.00,0.36185
212.00,0.33748
213.00,0.32323
214.00,0.34953
215.00,0.34692
216.00,0.33797
217.00,0.36738
218.00,0.32904
219.00,0.37312
220.00,0.34830
221.00,0.35126
222.00,0.36176
223.00,0.34790
224.00,0.36570
225.00,0.36851
226.00,0.35044
227.00,0.36726
228.00,0.36128
229.00,0.37355
230.00,0.37302
231.00,0.38658
232.00,0.39761
233.00,0.41742
234.00,0.43502
235.00,0.46090
236.00,0.47747
237.00,0.53632
238.00,0.57540
239.00,0.67287
240.00,0.74776
241.00,0.86888
242.00,1.03481
243.00,1.21515
244.00,1.52145
245.00,1.85893
246.00,2.26414
247.00,2.83219
248.00,3.46317
249.00,4.28389
250.00,5.27317
251.00,6.44057
252.00,7.83123
253.00,9.34959
254.00,11.09867
255.00,13.04142
256.00,15.06455
257.00,17.15213
258.00,19.43747
259.00,21.78874
260.00,24.26229
261.00,26.68850
262.00,29.20785
263.00,31.64494
264.00,33.81706
265.00,35.80258
266.00,37.39197
267.00,38.89884
268.00,39.88187
269.00,40.99520
270.00,41.87167
271.00,42.73465
272.00,43.50874
273.00,44.44414
274.00,45.54957
275.00,46.59781
276.00,47.54020
277.00,48.63212
278.00,49.62140
279.00,50.81493
280.00,51.71654
281.00,52.44531
282.00,53.07326
283.00,53.34187
284.00,53.68466
285.00,53.72382
286.00,53.80716
287.00,53.52936
288.00,53.46602
289.00,53.28739
290.00,52.97776
291.00,52.76510
292.00,52.63939
293.00,52.59988
294.00,52.62942
295.00,52.52482
296.00,52.79401
297.00,53.07239
298.00,53.23256
299.00,53.72372
300.00,54.17971
301.00,54.60232
302.00,55.14340
303.00,55.53648
304.00,56.05308
305.00,56.48048
306.00,56.70435
307.00,57.24790
308.00,57.41828
309.00,57.65233
310.00,57.49162
311.00,57.59720
312.00,57.63301
313.00,57.37634
314.00,57.30243
315.00,57.03804
316.00,56.71605
317.00,56.51764
318.00,56.29904
319.00,55.95136
320.00,55.73591
321.00,55.53232
322.00,55.12453
323.00,54.86414
324.00,54.78995
325.00,54.72373
326.00,54.52445
327.00,54.43256
328.00,54.71979
329.00,54.87389
330.00,54.99697
331.00,55.37447
332.00,55.42857
333.00,55.92316
334.00,55.97568
335.00,56.54305
336.00,56.78874
337.00,57.13204
338.00,57.52680
339.00,57.77511
340.00,58.01102
