"1091 - RawData"
"Wavelength nm.","T%"
200.00,0.50576
200.20,0.49216
200.40,0.51048
200.60,0.53484
200.80,0.48616
201.00,0.46683
201.20,0.49165
201.40,0.46017
201.60,0.44189
201.80,0.44751
202.00,0.46203
202.20,0.46349
202.40,0.48082
202.60,0.46622
202.80,0.45947
203.00,0.42492
203.20,0.45065
203.40,0.45109
203.60,0.48690
203.80,0.50975
204.00,0.54781
204.20,0.53196
204.40,0.55337
204.60,0.54213
204.80,0.55292
205.00,0.56884
205.20,0.56552
205.40,0.54796
205.60,0.53433
205.80,0.53320
206.00,0.52968
206.20,0.54932
206.40,0.55264
206.60,0.57796
206.80,0.58374
207.00,0.57196
207.20,0.55414
207.40,0.58927
207.60,0.58801
207.80,0.61326
208.00,0.63843
208.20,0.64467
208.40,0.62989
208.60,0.63220
208.80,0.62036
209.00,0.61437
209.20,0.63055
209.40,0.64925
209.60,0.65126
209.80,0.65808
210.00,0.67617
210.20,0.67087
210.40,0.66133
210.60,0.67632
210.80,0.69301
211.00,0.70680
211.20,0.74145
211.40,0.74999
211.60,0.76739
211.80,0.76052
212.00,0.76290
212.20,0.76851
212.40,0.77791
212.60,0.79518
212.80,0.81517
213.00,0.82605
213.20,0.82426
213.40,0.84084
213.60,0.84342
213.80,0.85639
214.00,0.86135
214.20,0.86509
214.40,0.87591
214.60,0.87721
214.80,0.88904
215.00,0.89746
215.20,0.91533
215.40,0.94475
215.60,0.94821
215.80,0.94963
216.00,0.96818
216.20,0.98675
216.40,0.98888
216.60,1.01152
216.80,1.03189
217.00,1.03405
217.20,1.01479
217.40,1.00596
217.60,1.02714
217.80,1.03787
218.00,1.04396
218.20,1.06310
218.40,1.08424
218.60,1.10536
218.80,1.12082
219.00,1.13577
219.20,1.16288
219.40,1.19302
219.60,1.19398
219.80,1.19753
220.00,1.21476
220.20,1.21649
220.40,1.23601
220.60,1.26857
220.80,1.28976
221.00,1.31426
221.20,1.36275
221.40,1.37082
221.60,1.36347
221.80,1.38367
222.00,1.41977
222.20,1.41157
222.40,1.41602
222.60,1.44285
222.80,1.46613
223.00,1.46629
223.20,1.49133
223.40,1.51334
223.60,1.53320
223.80,1.55318
224.00,1.58104
224.20,1.61165
224.40,1.64873
224.60,1.67750
224.80,1.70409
225.00,1.73395
225.20,1.77234
225.40,1.80164
225.60,1.84076
225.80,1.87587
226.00,1.90651
226.20,1.93093
226.40,1.95783
226.60,1.98357
226.80,2.02870
227.00,2.07384
227.20,2.12953
227.40,2.18377
227.60,2.23633
227.80,2.26441
228.00,2.30420
228.20,2.34636
228.40,2.38602
228.60,2.41770
228.80,2.47886
229.00,2.52558
229.20,2.54742
229.40,2.58479
229.60,2.64717
229.80,2.67943
230.00,2.74099
230.20,2.79649
230.40,2.85594
230.60,2.91164
230.80,2.97500
231.00,2.99543
231.20,3.07299
231.40,3.13142
231.60,3.18998
231.80,3.24804
232.00,3.34082
232.20,3.40345
232.40,3.46816
232.60,3.53865
232.80,3.60543
233.00,3.66608
233.20,3.71273
233.40,3.77239
233.60,3.82135
233.80,3.88025
234.00,3.95452
234.20,4.05275
234.40,4.15023
234.60,4.24648
234.80,4.33744
235.00,4.40838
235.20,4.47084
235.40,4.53728
235.60,4.60427
235.80,4.67433
236.00,4.76459
236.20,4.86949
236.40,4.96831
236.60,5.04857
236.80,5.15245
237.00,5.23756
237.20,5.32523
237.40,5.41729
237.60,5.53099
237.80,5.63216
238.00,5.73656
238.20,5.82722
238.40,5.90401
238.60,6.01364
238.80,6.14046
239.00,6.23398
239.20,6.36464
239.40,6.49287
239.60,6.56848
239.80,6.66182
240.00,6.76677
240.20,6.86166
240.40,6.96241
240.60,7.07845
240.80,7.16283
241.00,7.28350
241.20,7.39057
241.40,7.53635
241.60,7.65989
241.80,7.79108
242.00,7.91416
242.20,8.01863
242.40,8.12928
242.60,8.26279
242.80,8.40710
243.00,8.55510
243.20,8.69496
243.40,8.81293
243.60,8.97494
243.80,9.13651
244.00,9.26613
244.20,9.44737
244.40,9.60076
244.60,9.73802
244.80,9.85977
245.00,10.02131
245.20,10.15351
245.40,10.32233
245.60,10.45884
245.80,10.62229
246.00,10.79418
246.20,10.95953
246.40,11.13146
246.60,11.32041
246.80,11.47826
247.00,11.62321
247.20,11.77209
247.40,11.92631
247.60,12.06180
247.80,12.26762
248.00,12.48058
248.20,12.66421
248.40,12.84421
248.60,13.05501
248.80,13.22091
249.00,13.39228
249.20,13.60490
249.40,13.79333
249.60,13.98980
249.80,14.18326
250.00,14.39299
250.20,14.59941
250.40,14.81071
250.60,14.99878
250.80,15.19599
251.00,15.40089
251.20,15.61350
251.40,15.85636
251.60,16.10169
251.80,16.32688
252.00,16.53492
252.20,16.77884
252.40,16.97328
252.60,17.21406
252.80,17.44918
253.00,17.67378
253.20,17.89163
253.40,18.16084
253.60,18.37273
253.80,18.61000
254.00,18.86204
254.20,19.12290
254.40,19.36345
254.60,19.60766
254.80,19.86849
255.00,20.13584
255.20,20.36623
255.40,20.59986
255.60,20.86904
255.80,21.12275
256.00,21.36191
256.20,21.61109
256.40,21.85035
256.60,22.09820
256.80,22.33141
257.00,22.60486
257.20,22.83551
257.40,23.14274
257.60,23.37116
257.80,23.65868
258.00,23.91814
258.20,24.20259
258.40,24.42940
258.60,24.72953
258.80,25.01750
259.00,25.27058
259.20,25.52047
259.40,25.79874
259.60,26.05713
259.80,26.29442
260.00,26.53622
260.20,26.84611
260.40,27.11184
260.60,27.34893
260.80,27.60773
261.00,27.91648
261.20,28.18908
261.40,28.47301
261.60,28.80171
261.80,29.08264
262.00,29.38123
262.20,29.68298
262.40,29.96752
262.60,30.24559
262.80,30.58569
263.00,30.85718
263.20,31.11272
263.40,31.35976
263.60,31.64429
263.80,31.84379
264.00,32.12782
264.20,32.43032
264.40,32.77089
264.60,33.01715
264.80,33.37964
265.00,33.61070
265.20,33.87009
265.40,34.09221
265.60,34.34993
265.80,34.60812
266.00,34.89408
266.20,35.15896
266.40,35.43779
266.60,35.73976
266.80,36.01765
267.00,36.32658
267.20,36.62134
267.40,36.94431
267.60,37.25721
267.80,37.53257
268.00,37.80625
268.20,38.10356
268.40,38.39123
268.60,38.64396
268.80,38.92229
269.00,39.20743
269.20,39.44105
269.40,39.72268
269.60,40.04735
269.80,40.31602
270.00,40.63711
270.20,40.97291
270.40,41.24164
270.60,41.47566
270.80,41.80436
271.00,42.07042
271.20,42.34852
271.40,42.66514
271.60,42.99134
271.80,43.25538
272.00,43.49300
272.20,43.73114
272.40,43.95632
272.60,44.26043
272.80,44.43365
273.00,44.63037
273.20,44.91082
273.40,45.22397
273.60,45.44664
273.80,45.77843
274.00,46.06424
274.20,46.29013
274.40,46.47241
274.60,46.68843
274.80,46.93771
275.00,47.23860
275.20,47.44971
275.40,47.70555
275.60,47.93325
275.80,48.09830
276.00,48.35922
276.20,48.66521
276.40,48.91937
276.60,49.14047
276.80,49.45899
277.00,49.66402
277.20,49.79688
277.40,50.02407
277.60,50.32155
277.80,50.49118
278.00,50.68038
278.20,50.94653
278.40,51.15736
278.60,51.27507
278.80,51.49581
279.00,51.72621
279.20,51.87762
279.40,51.98410
279.60,52.18696
279.80,52.33504
280.00,52.50625
280.20,52.71962
280.40,52.97193
280.60,53.19593
280.80,53.37702
281.00,53.59950
281.20,53.75061
281.40,53.94824
281.60,54.11199
281.80,54.29389
282.00,54.38506
282.20,54.54493
282.40,54.65341
282.60,54.88279
282.80,55.08460
283.00,55.21358
283.20,55.43426
283.40,55.60871
283.60,55.71816
283.80,55.87469
284.00,56.07645
284.20,56.16181
284.40,56.31676
284.60,56.49354
284.80,56.64552
285.00,56.84211
285.20,57.09649
285.40,57.25123
285.60,57.32645
285.80,57.43811
286.00,57.52034
286.20,57.65160
286.40,57.71140
286.60,57.89825
286.80,58.01492
287.00,58.10297
287.20,58.20973
287.40,58.43921
287.60,58.51594
287.80,58.61188
288.00,58.81798
288.20,58.94536
288.40,59.00257
288.60,59.10336
288.80,59.30274
289.00,59.41173
289.20,59.46281
289.40,59.61095
289.60,59.72483
289.80,59.84646
290.00,59.95550
290.20,60.09617
290.40,60.18724
290.60,60.25931
290.80,60.26132
291.00,60.26744
291.20,60.33688
291.40,60.40136
291.60,60.49775
291.80,60.56314
292.00,60.70483
292.20,60.75601
292.40,60.85627
292.60,60.91517
292.80,60.90884
293.00,61.00062
293.20,61.06688
293.40,61.10519
293.60,61.17701
293.80,61.36375
294.00,61.39203
294.20,61.45747
294.40,61.40129
294.60,61.47155
294.80,61.52465
295.00,61.58195
295.20,61.69557
295.40,61.84487
295.60,61.95199
295.80,61.98461
296.00,61.97801
296.20,61.95603
296.40,62.06847
296.60,62.06864
296.80,62.17304
297.00,62.26424
297.20,62.36342
297.40,62.36548
297.60,62.48550
297.80,62.54382
298.00,62.58178
298.20,62.58356
298.40,62.59565
298.60,62.48575
298.80,62.49166
299.00,62.57321
299.20,62.65889
299.40,62.78976
299.60,62.95167
299.80,62.88990
300.00,62.91065
300.20,62.90020
300.40,62.82045
300.60,62.80994
300.80,62.90895
301.00,62.93525
301.20,62.97942
301.40,63.11774
301.60,63.14593
301.80,63.15382
302.00,63.12496
302.20,63.17867
302.40,63.11975
302.60,63.18536
302.80,63.20136
303.00,63.29277
303.20,63.27747
303.40,63.26272
303.60,63.23235
303.80,63.26856
304.00,63.23674
304.20,63.24055
304.40,63.26017
304.60,63.29572
304.80,63.38555
305.00,63.39795
305.20,63.42955
305.40,63.40135
305.60,63.43817
305.80,63.36476
306.00,63.41766
306.20,63.34835
306.40,63.37191
306.60,63.33387
306.80,63.36995
307.00,63.35943
307.20,63.49555
307.40,63.49304
307.60,63.44488
307.80,63.43878
308.00,63.41272
308.20,63.34584
308.40,63.41044
308.60,63.48683
308.80,63.45637
309.00,63.47301
309.20,63.41793
309.40,63.43204
309.60,63.40759
309.80,63.42837
310.00,63.33547
310.20,63.34553
310.40,63.34785
310.60,63.29954
310.80,63.31631
311.00,63.40182
311.20,63.46231
311.40,63.36918
311.60,63.40473
311.80,63.39317
312.00,63.40591
312.20,63.33337
312.40,63.42390
312.60,63.41282
312.80,63.40715
313.00,63.49007
313.20,63.51119
313.40,63.49506
313.60,63.48458
313.80,63.49784
314.00,63.44708
314.20,63.45190
314.40,63.33404
314.60,63.31971
314.80,63.27419
315.00,63.22522
315.20,63.17470
315.40,63.21664
315.60,63.18666
315.80,63.18210
316.00,63.14629
316.20,63.11934
316.40,63.14502
316.60,63.14306
316.80,63.09612
317.00,63.11191
317.20,63.09792
317.40,63.10171
317.60,63.09391
317.80,63.17592
318.00,63.17493
318.20,63.20606
318.40,63.23303
318.60,63.31408
318.80,63.26061
319.00,63.30270
319.20,63.21612
319.40,63.24239
319.60,63.15688
319.80,63.13855
320.00,63.05910
320.20,63.21352
320.40,63.11380
320.60,63.16648
320.80,63.23955
321.00,63.21726
321.20,63.19485
321.40,63.23580
321.60,63.23537
321.80,63.15792
322.00,63.12727
322.20,63.03466
322.40,63.05182
322.60,63.01172
322.80,63.06143
323.00,63.13120
323.20,63.27221
323.40,63.23266
323.60,63.16009
323.80,63.13140
324.00,63.15011
324.20,63.07166
324.40,63.08668
324.60,63.11649
324.80,63.04803
325.00,63.04406
325.20,63.01272
325.40,62.99508
325.60,63.16433
325.80,63.22228
326.00,63.18706
326.20,63.20509
326.40,63.16911
326.60,63.08582
326.80,63.02626
327.00,62.95341
327.20,62.97305
327.40,62.95117
327.60,62.90138
327.80,62.85128
328.00,62.83663
328.20,62.88303
328.40,62.81303
328.60,62.77034
328.80,62.80611
329.00,62.84901
329.20,62.76858
329.40,62.85930
329.60,62.91826
329.80,62.93397
330.00,62.89672
330.20,62.91893
330.40,62.91401
330.60,62.83168
330.80,62.87113
331.00,62.86778
331.20,62.82852
331.40,62.83668
331.60,62.80999
331.80,62.80336
332.00,62.78341
332.20,62.79615
332.40,62.79957
332.60,62.84506
332.80,62.88691
333.00,62.94701
333.20,62.85701
333.40,62.86003
333.60,62.90327
333.80,62.74951
334.00,62.69563
334.20,62.78757
334.40,62.79240
334.60,62.67374
334.80,62.83381
335.00,62.89386
335.20,62.82747
335.40,62.90745
335.60,62.99933
335.80,62.91552
336.00,62.79476
336.20,62.82497
