"MN1198sUBSlow - RawData"
"Wavelength nm.","T%"
200.00,26.75945
201.00,28.56698
202.00,28.69110
203.00,28.14383
204.00,29.96667
205.00,28.92185
206.00,29.90541
207.00,28.92489
208.00,28.58566
209.00,30.34763
210.00,29.76779
211.00,30.27017
212.00,30.33725
213.00,30.21747
214.00,31.12021
215.00,30.87147
216.00,30.50700
217.00,30.62383
218.00,31.67017
219.00,31.40208
220.00,30.37449
221.00,31.34964
222.00,31.25015
223.00,31.26932
224.00,31.41568
225.00,31.41876
226.00,31.18013
227.00,31.17842
228.00,31.28958
229.00,31.03139
230.00,31.31374
231.00,31.29207
232.00,31.53303
233.00,31.67366
234.00,31.47475
235.00,31.53257
236.00,31.32100
237.00,31.26948
238.00,31.62839
239.00,31.36307
240.00,31.35598
241.00,31.54766
242.00,31.28679
243.00,31.71801
244.00,31.43305
245.00,31.50608
246.00,31.60198
247.00,31.46633
248.00,31.40638
249.00,31.24061
250.00,31.50333
251.00,31.52525
252.00,31.40998
253.00,31.29129
254.00,31.31480
255.00,31.33056
256.00,31.08088
257.00,31.20047
258.00,31.32176
259.00,31.43661
260.00,31.19224
261.00,31.43357
262.00,31.45388
263.00,31.58261
264.00,31.59165
265.00,31.39260
266.00,31.67104
267.00,31.66963
268.00,31.75177
269.00,31.63557
270.00,31.86027
271.00,32.00110
272.00,32.09365
273.00,32.17064
274.00,32.33123
275.00,32.43599
276.00,32.58380
277.00,32.82261
278.00,32.87047
279.00,32.81064
280.00,33.47652
281.00,33.20616
282.00,33.53291
283.00,33.62889
284.00,33.76127
285.00,34.07778
286.00,34.46895
287.00,34.42770
288.00,34.80621
289.00,34.92678
290.00,35.00003
291.00,35.51582
292.00,35.95713
293.00,35.97028
294.00,36.41128
295.00,36.58398
296.00,36.66350
297.00,37.17950
298.00,36.99155
299.00,37.49593
300.00,37.66699
301.00,38.07047
302.00,38.44072
303.00,38.87810
304.00,38.93451
305.00,39.30518
306.00,40.79274
307.00,40.83554
308.00,41.29852
309.00,41.45028
310.00,42.19521
311.00,42.01295
312.00,42.29391
313.00,42.64738
314.00,43.07765
315.00,43.37598
316.00,43.23884
317.00,43.44738
318.00,44.16579
319.00,44.57527
320.00,44.45966
321.00,44.79147
322.00,44.93316
323.00,45.32207
324.00,45.28242
325.00,45.62564
326.00,45.81074
327.00,46.28161
328.00,46.05635
329.00,46.59142
330.00,47.02248
331.00,47.16413
332.00,47.13105
333.00,47.47301
334.00,47.71544
335.00,47.80888
336.00,47.87766
337.00,48.48066
338.00,48.36359
339.00,48.67309
340.00,48.91972
341.00,48.99193
342.00,49.15582
343.00,49.30298
344.00,49.44547
345.00,49.64811
346.00,49.91654
347.00,49.85892
348.00,50.01021
349.00,49.94471
350.00,50.06057
351.00,50.28132
352.00,50.42678
353.00,50.66754
354.00,50.57491
355.00,50.57799
356.00,50.56429
357.00,50.99346
358.00,50.88970
359.00,50.90289
360.00,51.08366
361.00,50.97481
362.00,51.06013
363.00,51.07766
364.00,51.01237
365.00,51.12470
366.00,51.17130
367.00,51.18699
368.00,51.40368
369.00,51.25061
370.00,51.13379
371.00,51.34629
372.00,51.65626
373.00,51.57450
374.00,51.44773
375.00,51.59896
376.00,51.47345
377.00,51.56908
378.00,51.55457
379.00,51.58121
380.00,51.73718
381.00,51.64776
382.00,51.89087
383.00,51.65087
384.00,51.76727
385.00,51.77539
386.00,51.69691
387.00,51.89866
388.00,51.60295
389.00,51.78748
390.00,51.73758
391.00,51.76140
392.00,51.85347
393.00,51.81401
394.00,51.88902
395.00,51.99305
396.00,51.83203
397.00,52.04771
398.00,51.96344
399.00,51.95996
400.00,52.12101
401.00,52.07393
402.00,52.00694
403.00,52.10552
404.00,52.15548
405.00,52.08061
406.00,52.22805
407.00,52.13163
408.00,52.17898
409.00,52.10320
