"MN1345VSlowTrans - RawData"
"Wavelength nm.","T%"
190.00,2.22965
191.00,1.47905
192.00,1.14833
193.00,0.88016
194.00,0.61743
195.00,0.44647
196.00,0.38928
197.00,0.36837
198.00,0.34125
199.00,0.32411
200.00,0.29877
201.00,0.27759
202.00,0.24454
203.00,0.23030
204.00,0.20751
205.00,0.23938
206.00,0.21295
207.00,0.25875
208.00,0.28392
209.00,0.31793
210.00,0.31539
211.00,0.33999
212.00,0.35391
213.00,0.39351
214.00,0.38973
215.00,0.40920
216.00,0.41337
217.00,0.41772
218.00,0.42467
219.00,0.43216
220.00,0.44768
221.00,0.46335
222.00,0.51088
223.00,0.59057
224.00,0.71879
225.00,0.89718
226.00,1.20172
227.00,1.67685
228.00,2.35735
229.00,3.35315
230.00,4.68840
231.00,6.49454
232.00,8.68732
233.00,11.37890
234.00,14.33185
235.00,17.77063
236.00,21.45452
237.00,25.37024
238.00,29.32485
239.00,33.53848
240.00,37.26958
241.00,40.89404
242.00,43.70438
243.00,45.88909
244.00,47.37870
245.00,48.44629
246.00,49.08363
247.00,49.41366
248.00,49.40530
249.00,49.64609
250.00,49.80737
251.00,49.99741
252.00,50.31024
253.00,50.81072
254.00,51.38687
255.00,52.04285
256.00,52.93375
257.00,53.88004
258.00,54.56631
259.00,55.53976
260.00,56.38638
261.00,57.21135
262.00,57.87822
263.00,58.41095
264.00,58.84748
265.00,59.28887
266.00,59.55063
267.00,59.54157
268.00,59.58786
269.00,59.53333
270.00,59.33816
271.00,59.04399
272.00,58.70784
273.00,58.29577
274.00,57.91271
275.00,57.53205
276.00,57.21123
277.00,56.77987
278.00,56.68243
279.00,56.43789
280.00,56.19706
281.00,56.00146
282.00,56.16692
283.00,56.08612
284.00,56.07131
285.00,56.33246
286.00,56.61513
287.00,56.73174
288.00,57.09317
289.00,57.46264
290.00,57.92919
291.00,58.32511
292.00,58.78659
293.00,59.06051
294.00,59.64170
295.00,60.04512
296.00,60.48432
297.00,60.95904
298.00,61.38091
299.00,61.68810
300.00,62.18243
301.00,62.47310
302.00,62.74286
303.00,63.00212
304.00,63.23491
305.00,63.29628
306.00,63.49931
307.00,63.39657
308.00,63.41691
309.00,63.35176
310.00,63.42720
311.00,63.42111
312.00,63.14454
313.00,62.95057
314.00,62.75915
315.00,62.55304
316.00,62.46386
317.00,62.17459
318.00,61.82387
319.00,61.57886
320.00,61.34956
321.00,61.23107
322.00,60.77073
323.00,60.60424
324.00,60.45969
325.00,60.28453
326.00,60.05208
327.00,59.71525
328.00,59.72973
329.00,59.45254
330.00,59.39084
331.00,59.38579
332.00,59.30037
333.00,59.28962
334.00,59.31409
335.00,59.16307
336.00,59.25357
337.00,59.37186
338.00,59.27075
339.00,59.48328
340.00,59.71673
341.00,59.74725
342.00,59.92087
343.00,60.03432
344.00,60.03681
345.00,60.42424
346.00,60.57884
347.00,60.79603
348.00,60.95102
349.00,61.21635
350.00,61.47556
351.00,61.75811
352.00,61.94671
353.00,62.21902
354.00,62.45096
355.00,62.61135
356.00,62.98349
357.00,63.07448
358.00,63.33354
359.00,63.61568
360.00,63.75508
361.00,63.87233
362.00,64.13319
363.00,64.32634
364.00,64.48240
365.00,64.54152
366.00,64.71136
367.00,64.70757
368.00,64.84299
369.00,64.90433
370.00,64.99481
371.00,65.13256
372.00,65.15725
373.00,65.11352
374.00,65.08301
375.00,65.18030
376.00,65.06118
377.00,65.00185
378.00,64.90170
379.00,64.84782
380.00,64.73709
381.00,64.70675
382.00,64.58787
383.00,64.52562
384.00,64.37148
385.00,64.34796
386.00,64.17440
387.00,63.99970
388.00,63.91094
389.00,63.77782
390.00,63.60943
391.00,63.45384
392.00,63.31024
393.00,63.15528
394.00,62.98705
395.00,62.86933
396.00,62.66046
397.00,62.53567
398.00,62.37438
399.00,62.24577
400.00,62.13639
401.00,62.02720
402.00,61.88346
403.00,61.72128
404.00,61.65836
405.00,61.54743
406.00,61.41777
407.00,61.40186
408.00,61.29151
409.00,61.18323
410.00,61.10414
411.00,61.00329
412.00,60.97203
413.00,60.92035
414.00,60.86842
415.00,60.81662
416.00,60.78963
417.00,60.80587
418.00,60.71950
419.00,60.73347
420.00,60.73151
421.00,60.76385
422.00,60.75774
423.00,60.77482
424.00,60.83601
425.00,60.87589
426.00,60.88062
427.00,60.93126
428.00,60.98080
429.00,61.01128
430.00,61.08997
431.00,61.16453
432.00,61.23279
433.00,61.28706
