"SampleMN1198VSlowTrans - RawData"
"Wavelength nm.","T%"
190.00,1.15140
191.00,0.72265
192.00,0.63889
193.00,0.46543
194.00,0.31120
195.00,0.27730
196.00,0.18276
197.00,0.24376
198.00,0.24234
199.00,0.26241
200.00,0.18084
201.00,0.15678
202.00,0.13582
203.00,0.10541
204.00,0.12923
205.00,0.09996
206.00,0.07679
207.00,0.10562
208.00,0.09037
209.00,0.09774
210.00,0.07684
211.00,0.08687
212.00,0.06317
213.00,0.06940
214.00,0.05727
215.00,0.07002
216.00,0.06386
217.00,0.06696
218.00,0.06515
219.00,0.06844
220.00,0.06363
221.00,0.06514
222.00,0.06167
223.00,0.06796
224.00,0.06625
225.00,0.06198
226.00,0.06240
227.00,0.05119
228.00,0.05099
229.00,0.05311
230.00,0.04936
231.00,0.05486
232.00,0.04977
233.00,0.04681
234.00,0.04383
235.00,0.04426
236.00,0.04944
237.00,0.04432
238.00,0.04495
239.00,0.04212
240.00,0.05132
241.00,0.05088
242.00,0.06276
243.00,0.08131
244.00,0.10221
245.00,0.12372
246.00,0.16971
247.00,0.24287
248.00,0.34292
249.00,0.50598
250.00,0.72704
251.00,1.03211
252.00,1.45509
253.00,2.05073
254.00,2.77305
255.00,3.74030
256.00,4.87916
257.00,6.24619
258.00,7.82046
259.00,9.57918
260.00,11.45031
261.00,13.52892
262.00,15.78239
263.00,17.97204
264.00,20.19799
265.00,22.39079
266.00,24.59899
267.00,26.67645
268.00,28.70039
269.00,30.51189
270.00,32.27920
271.00,33.78446
272.00,35.17433
273.00,36.58869
274.00,37.68053
275.00,38.75563
276.00,39.61548
277.00,40.42965
278.00,41.24490
279.00,42.13309
280.00,42.69783
281.00,43.26337
282.00,43.75789
283.00,44.11181
284.00,44.70719
285.00,45.02066
286.00,45.48215
287.00,45.81368
288.00,46.11970
289.00,46.58448
290.00,46.92544
291.00,47.17522
292.00,47.56840
293.00,47.86950
294.00,48.09343
295.00,48.43208
296.00,48.59873
297.00,48.76316
298.00,48.96395
299.00,49.18065
300.00,49.41470
301.00,49.70402
302.00,49.91436
303.00,50.07532
304.00,50.33687
305.00,50.61907
306.00,50.54734
307.00,50.70207
308.00,50.92579
309.00,51.17961
310.00,51.24135
311.00,51.44322
312.00,51.56302
313.00,51.60528
314.00,51.78869
315.00,51.80848
316.00,51.98941
317.00,52.10557
318.00,52.34715
319.00,52.52327
320.00,52.59910
321.00,52.72627
322.00,52.91277
323.00,52.98401
324.00,52.78086
325.00,52.97175
326.00,53.12983
327.00,53.25159
328.00,53.32143
329.00,53.43777
330.00,53.43525
331.00,53.45690
