λ,TM,Tm,n1,d1,m,ma,d2,d2a,n2,n2a
322.0,0.550453543965484,0.5502939503537937,1.889773814117995,539.789631115939,6.0,-,511.17228569010337,-,1.889773814117995,-
382.0,0.5758604545974376,0.5713316915966463,1.8880640302569693,539.789631115939,5.0,10.0,505.80911700861253,1011.6182340172251,1.4123043049727104,2.824608609945421
424.0,0.5886237363169415,0.5811701049193981,1.8895895343056273,1028.8131359677484,9.0,9.0,1009.7431031237893,1009.7431031237893,2.3566693914316708,2.3566693914316708
480.0,0.6011735849938568,0.5901953783615786,1.8932728650232544,976.0656567587906,8.0,8.0,1014.1168953881444,1014.1168953881444,2.211865209554167,2.211865209554167
558.0,0.6175355057324048,0.6004627066460786,1.916421989117403,980.6412404541245,7.0,6.0,1019.0866161473355,873.5028138405733,2.205697148685718,1.8905975560163297
666.0,0.6378161267711344,0.6154298521799967,1.9301051974812156,932.1538232512044,7.0,-,1019.0866161473355,-,2.205697148685718,-
324.0,0.5513089099567597,0.5504230762770679,1.8945423068267648,473.66425257561644,5.5,-,470.2982861820421,-,1.8945423068267648,-
392.0,0.5788993311973195,0.5749450811361803,1.8783670847501512,473.66425257561644,4.5,8.5,469.55678001423144,886.940584471326,1.4484378693550226,2.735938197670598
444.0,0.5931103072189388,0.5850670710275914,1.8845512113114673,913.629059015714,7.5,8.5,883.4994719200649,1001.2994015094068,2.2429713014045474,2.5420341415918206
509.0,0.6072568632171631,0.5943213735458917,1.9000245919355125,977.2745252496271,7.5,7.5,1004.5922605957427,1004.5922605957427,2.3355647708512497,2.3355647708512497
595.0,0.6244797406028884,0.6050956421427108,1.9240171456729338,1001.5715000668092,6.5,4.5,1005.0586110154762,695.8098076260989,2.344998207552134,1.6234602975360928
724.0,0.6378161267711344,0.6238665953222359,1.8704966582907452,769.1321530654989,6.5,-,1005.0586110154762,-,2.344998207552134,-
