"MN1345V6C - RawData"
"Wavelength nm.","T%"
190.00,0.17441
191.00,1.27801
192.00,1.28228
193.00,0.96252
194.00,0.76873
195.00,0.33853
196.00,0.63028
197.00,0.64208
198.00,0.38130
199.00,0.80980
200.00,0.19601
201.00,0.31336
202.00,0.22265
203.00,0.23655
204.00,0.27142
205.00,0.35398
206.00,0.45045
207.00,0.56000
208.00,0.66800
209.00,0.36600
210.00,0.65096
211.00,0.27242
212.00,0.81945
213.00,0.78954
214.00,1.11258
215.00,0.93616
216.00,0.95736
217.00,0.75570
218.00,1.08768
219.00,1.34193
220.00,1.75565
221.00,1.63870
222.00,1.75772
223.00,0.95044
224.00,1.82980
225.00,2.66569
226.00,2.11760
227.00,3.60017
228.00,5.08552
229.00,6.57534
230.00,8.45128
231.00,9.48252
232.00,12.64712
233.00,19.72822
234.00,21.52508
235.00,28.51434
236.00,28.62079
237.00,32.72966
238.00,35.61399
239.00,41.50752
240.00,44.53214
241.00,47.65707
242.00,51.21339
243.00,53.03458
244.00,53.76860
245.00,54.92423
246.00,54.77681
247.00,54.40017
248.00,54.30733
249.00,54.35651
250.00,54.57025
251.00,54.73835
252.00,54.57993
253.00,55.70790
254.00,55.77428
255.00,56.26517
256.00,57.39764
257.00,57.87857
258.00,58.99739
259.00,59.52613
260.00,60.65116
261.00,61.35823
262.00,61.58923
263.00,62.39919
264.00,62.77459
265.00,63.45591
266.00,63.48687
267.00,63.97243
268.00,63.98881
269.00,63.85131
270.00,63.13904
271.00,63.00,001
272.00,62.54266
273.00,62.21887
274.00,62.50366
275.00,62.06439
276.00,61.22093
277.00,61.17576
278.00,60.44737
279.00,60.68426
280.00,60.49648
281.00,60.97384
282.00,61.00403
283.00,60.90508
284.00,60.75446
285.00,60.70411
286.00,61.46877
287.00,61.71390
288.00,62.42090
289.00,63.07997
290.00,63.60990
291.00,64.23808
292.00,64.80065
293.00,65.36067
294.00,65.07967
295.00,65.71992
296.00,66.08253
297.00,66.50742
298.00,67.06098
299.00,67.77739
300.00,68.19674
301.00,68.85966
302.00,68.55551
303.00,68.69165
304.00,68.83320
305.00,68.30161
306.00,68.44172
307.00,68.20585
308.00,68.36144
309.00,68.55109
310.00,68.54819
311.00,68.26194
312.00,68.52917
313.00,67.94954
314.00,67.39151
315.00,67.19265
316.00,66.73451
317.00,66.25307
318.00,65.95978
319.00,65.88134
320.00,65.95551
321.00,65.81928
322.00,65.39011
323.00,64.98341
324.00,65.32395
325.00,65.14539
326.00,65.35105
327.00,65.10763
328.00,64.64860
329.00,63.73194
330.00,64.12400
331.00,63.77628
332.00,63.59583
333.00,63.40791
334.00,63.89672
335.00,63.81029
336.00,64.26476
337.00,64.45677
338.00,64.68350
339.00,64.80876
340.00,65.00486
341.00,65.00334
342.00,64.99088
343.00,65.24592
344.00,65.43906
345.00,65.59195
346.00,65.54682
347.00,65.75862
348.00,66.11716
349.00,66.33479
350.00,66.69321
351.00,67.06171
352.00,67.17280
353.00,67.68289
354.00,67.98617
355.00,68.29371
356.00,68.63431
357.00,68.67824
358.00,68.80427
359.00,68.90425
360.00,68.94876
361.00,69.09890
362.00,69.14686
363.00,69.26898
364.00,69.44400
365.00,69.18951
366.00,69.68433
367.00,69.40284
368.00,69.89376
369.00,69.90695
370.00,70.13978
371.00,70.32778
372.00,70.10003
373.00,70.28539
374.00,70.17887
375.00,70.05446
376.00,69.90180
377.00,69.65814
378.00,69.37397
379.00,69.42700
380.00,68.90856
381.00,68.75564
382.00,68.47891
383.00,68.52942
384.00,68.15555
385.00,68.17125
386.00,68.00853
387.00,67.82718
388.00,67.85348
389.00,67.74358
390.00,67.67403
391.00,67.48328
392.00,67.44512
393.00,67.29891
394.00,67.13249
395.00,67.00941
396.00,66.73714
397.00,66.61084
398.00,66.27119
399.00,66.18240
400.00,66.02144
401.00,65.73284
402.00,65.58824
403.00,65.46467
404.00,65.35816
405.00,65.13366
406.00,64.97922
407.00,64.89914
408.00,64.98356
409.00,64.91790
410.00,65.00079
411.00,64.88338
412.00,64.91523
413.00,64.92681
414.00,65.16216
415.00,64.99914
416.00,65.11401
417.00,65.02519
418.00,65.18073
419.00,65.29513
420.00,65.12442
421.00,65.09206
422.00,65.07436
423.00,65.15248
424.00,65.16797
425.00,65.09110
426.00,65.11613
427.00,65.10975
428.00,65.11533
429.00,65.14879
430.00,65.20527
431.00,65.28082
432.00,65.37152
433.00,65.51553
434.00,65.58297
435.00,65.75158
436.00,65.92534
437.00,66.04739
438.00,66.27301
439.00,66.30621
440.00,66.65380
441.00,66.70120
442.00,66.81396
443.00,66.98167
444.00,67.14893
445.00,67.28075
446.00,67.34679
447.00,67.37649
448.00,67.56573
449.00,67.67516
450.00,67.70336
451.00,67.81851
452.00,67.86251
453.00,67.89043
454.00,67.94870
455.00,68.00776
456.00,68.08617
457.00,68.20953
458.00,68.26150
459.00,68.34480
460.00,68.35857
461.00,68.59885
462.00,68.59190
463.00,68.81937
464.00,68.91443
465.00,69.08104
466.00,69.14596
467.00,69.31437
468.00,69.36142
469.00,69.64037
470.00,69.63363
471.00,69.81825
472.00,69.83408
473.00,69.96057
474.00,69.89943
475.00,70.09394
476.00,70.11673
477.00,70.18636
478.00,70.14697
479.00,70.19594
480.00,70.11843
481.00,70.09571
482.00,70.21186
483.00,70.14744
484.00,70.10833
485.00,69.93974
486.00,69.90873
487.00,69.91660
488.00,69.84421
489.00,69.84225
490.00,69.82558
491.00,69.58024
492.00,69.79918
493.00,69.62362
494.00,69.54644
495.00,69.50768
496.00,69.47697
497.00,69.51105
498.00,69.53984
499.00,69.44645
500.00,69.37200
501.00,69.38963
502.00,69.34174
503.00,69.24953
504.00,69.18206
505.00,69.28311
506.00,69.25504
507.00,69.17672
508.00,69.01726
509.00,69.03770
510.00,68.96817
511.00,68.93076
512.00,68.94618
513.00,68.78786
514.00,68.74185
515.00,68.62305
516.00,68.51490
517.00,68.44352
518.00,68.21036
519.00,68.19512
520.00,68.10807
521.00,68.01573
522.00,67.87250
523.00,67.69265
524.00,67.57226
525.00,67.46860
526.00,67.35087
527.00,67.21274
528.00,67.03903
529.00,67.06520
530.00,66.93287
531.00,66.81332
532.00,66.82071
533.00,66.61458
534.00,66.59605
535.00,66.44786
536.00,66.43560
537.00,66.31972
538.00,66.36809
539.00,66.28549
540.00,66.20933
541.00,66.15682
542.00,66.10134
543.00,66.21364
544.00,66.10038
545.00,66.00550
546.00,66.01136
547.00,65.94939
548.00,65.91078
549.00,65.96361
550.00,65.95666
551.00,65.87763
552.00,65.84777
553.00,65.82542
554.00,65.76025
555.00,65.78530
556.00,65.76023
557.00,65.71146
558.00,65.66575
559.00,65.56109
560.00,65.60199
561.00,65.52832
562.00,65.57315
563.00,65.24765
564.00,65.36344
565.00,65.30222
566.00,65.28715
567.00,65.26364
568.00,65.17857
569.00,65.13535
570.00,65.13617
571.00,65.14016
572.00,65.14065
573.00,65.03992
574.00,65.08066
575.00,65.14032
576.00,65.00017
577.00,64.95088
578.00,64.95025
579.00,64.88604
580.00,64.98478
581.00,64.90511
582.00,65.08776
583.00,65.03996
584.00,65.06978
585.00,65.03931
586.00,65.11585
587.00,65.21622
588.00,65.20060
589.00,65.22152
590.00,65.26712
591.00,65.27566
592.00,65.39395
593.00,65.48536
594.00,65.53287
595.00,65.66018
596.00,65.63182
597.00,65.66924
598.00,65.83093
599.00,65.84562
600.00,65.90131
601.00,65.94253
602.00,66.01318
603.00,66.07794
604.00,66.16587
605.00,66.24299
606.00,66.24710
607.00,66.31071
608.00,66.40845
609.00,66.41243
610.00,66.49473
611.00,66.49851
612.00,66.54001
613.00,66.61779
614.00,66.74130
615.00,66.68881
616.00,66.70196
617.00,66.69416
618.00,66.88059
619.00,66.91680
620.00,66.90479
621.00,66.91784
622.00,67.02414
623.00,67.16099
624.00,67.12472
625.00,67.10006
626.00,67.18764
627.00,67.14465
628.00,67.19984
629.00,67.22736
630.00,67.31703
631.00,67.38205
632.00,67.37634
633.00,67.54226
634.00,67.55983
635.00,67.58731
636.00,67.66549
637.00,67.64830
638.00,67.78035
639.00,67.82912
640.00,67.92431
641.00,67.97208
642.00,68.15183
643.00,68.09335
644.00,68.24543
645.00,68.22963
646.00,68.32154
647.00,68.36581
648.00,68.45704
649.00,68.55697
650.00,68.62166
651.00,68.74179
652.00,68.83901
653.00,68.87741
654.00,68.90754
655.00,68.96279
656.00,69.07574
657.00,69.27481
658.00,69.20518
659.00,69.31715
660.00,69.40822
661.00,69.37767
662.00,69.46619
663.00,69.43904
664.00,69.57052
665.00,69.73931
666.00,69.81165
667.00,69.74681
668.00,69.77692
669.00,69.89947
670.00,70.08094
671.00,70.06798
672.00,70.04089
673.00,70.05959
674.00,70.14745
675.00,70.06634
676.00,70.17312
677.00,70.32725
678.00,70.13046
679.00,70.26809
680.00,70.21778
681.00,70.44182
682.00,70.46683
683.00,70.48666
684.00,70.28848
685.00,70.49775
686.00,70.55566
687.00,70.54255
688.00,70.49174
689.00,70.42154
690.00,70.48820
691.00,70.27186
692.00,70.68582
693.00,70.55533
694.00,70.40812
695.00,70.55926
696.00,70.38055
697.00,70.43363
698.00,70.39160
699.00,70.54519
700.00,70.35105
701.00,70.53100
702.00,70.43554
703.00,70.59521
704.00,70.67478
705.00,70.66467
706.00,70.63389
707.00,70.56858
708.00,70.60497
709.00,70.78213
710.00,70.79412
711.00,70.73234
712.00,70.53660
713.00,70.58234
714.00,70.60401
715.00,70.67984
716.00,70.77576
717.00,70.84154
718.00,70.64496
719.00,70.52423
720.00,70.75729
721.00,70.72908
722.00,70.98052
723.00,70.75996
724.00,70.67825
725.00,70.61920
726.00,70.85832
727.00,70.85016
728.00,70.81005
729.00,70.94801
730.00,70.74393
731.00,71.11019
732.00,70.75160
733.00,70.75983
734.00,70.71443
735.00,70.87107
736.00,70.82612
737.00,70.87648
738.00,70.77194
739.00,70.96800
740.00,70.80253
741.00,70.99845
742.00,70.71672
743.00,70.82292
744.00,70.70773
745.00,70.40131
746.00,70.94210
747.00,70.60743
748.00,70.63259
749.00,70.71329
750.00,70.83577
751.00,70.67954
752.00,70.54266
753.00,70.47850
754.00,70.51231
755.00,70.45446
756.00,70.78269
757.00,70.79011
758.00,70.61983
759.00,70.50185
760.00,70.52803
761.00,70.49561
762.00,70.44787
763.00,70.15008
764.00,70.20147
765.00,70.33455
766.00,70.20249
767.00,70.16102
768.00,70.19970
769.00,69.72999
770.00,70.02984
771.00,69.90686
772.00,70.00210
773.00,69.84445
774.00,69.64393
775.00,69.96952
776.00,70.21908
777.00,69.81536
778.00,69.85078
779.00,69.39502
780.00,69.75755
781.00,69.97531
782.00,69.45990
783.00,68.96659
784.00,69.80001
785.00,69.59908
786.00,69.58015
787.00,69.24400
788.00,69.61160
789.00,69.16680
790.00,69.14363
791.00,69.13699
792.00,69.14566
793.00,69.20110
794.00,68.83478
795.00,69.11784
796.00,69.01701
797.00,69.07579
798.00,69.11810
799.00,69.09484
800.00,69.01377
