"1345Baseline - RawData"
"Wavelength nm.","T%"
200.00,0.24011
201.00,0.25718
202.00,0.17139
203.00,0.19772
204.00,0.23649
205.00,0.19670
206.00,0.33872
207.00,0.26260
208.00,0.31705
209.00,0.28922
210.00,0.33295
211.00,0.32081
212.00,0.33178
213.00,0.37086
214.00,0.35341
215.00,0.42441
216.00,0.46041
217.00,0.43140
218.00,0.42746
219.00,0.52050
220.00,0.44016
221.00,0.43581
222.00,0.51449
223.00,0.56341
224.00,0.64975
225.00,0.85799
226.00,1.20086
227.00,1.62555
228.00,2.37838
229.00,3.30455
230.00,4.61690
231.00,6.45942
232.00,8.52786
233.00,11.28454
234.00,14.25042
235.00,17.67969
236.00,21.40514
237.00,25.20171
238.00,29.50618
239.00,33.51878
240.00,37.76559
241.00,40.94360
242.00,43.81907
243.00,46.08561
244.00,47.87396
245.00,48.30345
246.00,48.62509
247.00,49.15871
248.00,49.58702
249.00,49.33701
250.00,49.38508
251.00,49.49742
252.00,50.19976
253.00,50.54769
254.00,51.37237
255.00,51.89999
256.00,52.75676
257.00,53.90165
258.00,54.59587
259.00,55.62155
260.00,56.03445
261.00,56.95288
262.00,57.79532
263.00,58.50241
264.00,59.07336
265.00,59.14098
266.00,59.51433
267.00,59.67808
268.00,59.83061
269.00,59.47767
270.00,59.39149
271.00,58.89238
272.00,58.67812
273.00,57.86229
274.00,57.77408
275.00,57.28312
276.00,56.92138
277.00,57.39002
278.00,56.59071
279.00,56.30086
280.00,56.34728
281.00,56.11152
282.00,56.00305
283.00,56.36939
284.00,56.41141
285.00,56.13620
286.00,56.58956
287.00,56.88978
288.00,57.15917
289.00,57.64490
290.00,57.99044
291.00,58.62420
292.00,58.85511
293.00,59.65099
294.00,59.95550
295.00,60.41970
296.00,60.77004
297.00,61.40848
298.00,61.60691
299.00,61.89579
300.00,62.65377
301.00,62.90421
302.00,63.08168
303.00,63.19781
304.00,63.22284
305.00,63.66630
306.00,63.93573
307.00,63.43364
