"Sam7Standard - RawData"
"Wavelength nm.","T%"
190.00,2.16389
191.00,0.22065
192.00,0.19698
193.00,1.09222
194.00,0.63181
195.00,0.53277
196.00,0.23917
197.00,0.34760
198.00,0.25123
199.00,0.24274
200.00,0.28325
201.00,0.25888
202.00,0.26785
203.00,0.05989
204.00,0.22035
205.00,0.10729
206.00,0.27562
207.00,0.21238
208.00,0.14983
209.00,0.06780
210.00,0.19809
211.00,0.07576
212.00,0.18405
213.00,0.07899
214.00,0.11679
215.00,0.09483
216.00,0.08477
217.00,0.10006
218.00,0.09748
219.00,0.15845
220.00,0.10056
221.00,0.15186
222.00,0.14845
223.00,0.05279
224.00,0.12904
225.00,0.16820
226.00,0.12307
227.00,0.13931
228.00,0.21015
229.00,0.22664
230.00,0.32032
231.00,0.37003
232.00,0.45612
233.00,0.62279
234.00,0.80723
235.00,0.99036
236.00,1.19467
237.00,1.46769
238.00,1.79638
239.00,2.03930
240.00,2.47733
241.00,2.88503
242.00,3.31719
243.00,3.88035
244.00,4.52429
245.00,5.23100
246.00,6.00745
247.00,6.97298
248.00,7.98987
249.00,9.27467
250.00,10.75773
251.00,12.47926
252.00,14.49900
253.00,16.89731
254.00,19.51660
255.00,22.65865
256.00,25.93762
257.00,29.27044
258.00,32.60278
259.00,35.87594
260.00,39.17947
261.00,41.51966
262.00,44.41801
263.00,46.57907
264.00,48.53969
265.00,50.48115
266.00,50.90314
267.00,52.20270
268.00,52.40784
269.00,53.09348
270.00,52.88632
271.00,52.97183
272.00,52.79391
273.00,52.96175
274.00,53.52546
275.00,53.86483
276.00,53.82833
277.00,53.99431
278.00,54.34204
279.00,55.62017
280.00,55.48263
281.00,56.25611
282.00,56.63934
283.00,56.62274
284.00,57.47258
285.00,57.43943
286.00,57.68297
287.00,58.00014
288.00,58.03497
289.00,57.68666
290.00,57.65150
291.00,57.50772
292.00,57.11104
293.00,57.23563
294.00,56.60679
295.00,57.08314
296.00,57.03302
297.00,56.66729
298.00,57.33234
299.00,56.98071
300.00,56.80792
301.00,57.88044
302.00,57.26737
303.00,58.33253
304.00,58.38684
305.00,58.45661
306.00,58.72536
307.00,59.09144
308.00,59.49980
309.00,59.57591
310.00,60.04307
311.00,60.05288
312.00,60.03398
313.00,60.03159
314.00,60.28644
315.00,60.14264
316.00,60.42827
317.00,60.30369
318.00,59.83387
319.00,59.81525
320.00,59.97829
321.00,59.31312
322.00,59.22929
323.00,59.54193
324.00,59.29587
325.00,58.85103
326.00,58.97686
327.00,58.83351
328.00,58.81616
329.00,58.04365
330.00,58.58256
331.00,58.27625
332.00,58.34477
333.00,58.49421
334.00,59.00666
335.00,58.67723
336.00,58.96789
337.00,59.01423
338.00,59.68832
339.00,59.56565
340.00,59.82521
341.00,60.13981
342.00,60.36115
343.00,60.62043
344.00,60.74274
345.00,60.98977
346.00,60.86159
347.00,61.09444
348.00,61.12908
349.00,61.34021
350.00,61.32282
351.00,61.66903
352.00,61.41965
353.00,61.53087
354.00,61.39060
355.00,61.21852
356.00,61.24588
357.00,61.50151
358.00,60.74168
359.00,60.85637
360.00,60.53614
361.00,60.85993
362.00,60.43785
363.00,60.24602
364.00,60.32766
365.00,60.01356
366.00,59.93502
367.00,59.95274
368.00,59.98467
369.00,59.83424
370.00,59.58149
371.00,59.66209
372.00,59.31883
373.00,59.50529
374.00,59.41849
375.00,59.46210
376.00,59.20646
377.00,59.48449
378.00,59.61648
379.00,59.73410
380.00,59.61173
381.00,59.89653
382.00,59.85753
383.00,60.20590
384.00,60.14751
385.00,60.40698
386.00,60.50383
387.00,60.81910
388.00,60.60349
389.00,61.05573
390.00,61.06957
391.00,61.20245
392.00,61.46992
393.00,61.56555
394.00,61.82639
395.00,61.98749
396.00,62.04317
397.00,62.12420
398.00,62.15262
399.00,62.27809
400.00,62.30400
401.00,62.32969
402.00,62.43125
403.00,62.43587
404.00,62.48674
405.00,62.51457
406.00,62.42901
407.00,62.36843
408.00,62.34435
409.00,62.40727
410.00,62.38931
411.00,62.16717
412.00,62.09539
413.00,62.02365
414.00,61.98308
415.00,61.80679
416.00,61.73189
417.00,61.70494
418.00,61.58390
419.00,61.37276
420.00,61.27992
421.00,61.25478
422.00,61.03774
423.00,60.95017
424.00,61.01149
425.00,60.80502
426.00,60.80803
427.00,60.71508
428.00,60.69473
429.00,60.58062
430.00,60.53578
431.00,60.60420
432.00,60.44009
433.00,60.45728
434.00,60.39286
435.00,60.38426
436.00,60.34765
437.00,60.32526
438.00,60.47817
439.00,60.47658
440.00,60.54479
441.00,60.54263
442.00,60.44071
443.00,60.68575
444.00,60.80480
445.00,60.76764
446.00,60.75078
447.00,61.03250
448.00,61.01925
449.00,61.03062
450.00,61.25043
451.00,61.40937
452.00,61.49428
453.00,61.54410
454.00,61.72545
455.00,61.89844
456.00,61.88096
457.00,62.01824
458.00,62.13554
459.00,62.20071
460.00,62.24782
461.00,62.46226
462.00,62.39160
463.00,62.69435
464.00,62.85304
465.00,62.77640
466.00,62.99948
467.00,63.00465
468.00,63.07342
469.00,63.25106
470.00,63.31825
471.00,63.37483
472.00,63.42730
473.00,63.32651
474.00,63.37299
475.00,63.44833
476.00,63.49126
477.00,63.53037
478.00,63.53310
479.00,63.62126
480.00,63.60762
481.00,63.57099
482.00,63.59324
483.00,63.50152
484.00,63.71484
485.00,63.48689
486.00,63.51429
487.00,63.38469
488.00,63.37726
489.00,63.46473
490.00,63.37027
491.00,63.14736
492.00,63.24556
493.00,63.16128
494.00,63.08042
495.00,63.04265
496.00,62.86717
497.00,62.89547
498.00,62.78457
499.00,62.82542
500.00,62.63265
501.00,62.67391
502.00,62.54145
503.00,62.44759
504.00,62.28752
505.00,62.36706
506.00,62.19104
507.00,62.23707
508.00,62.00882
509.00,62.10387
510.00,62.10474
511.00,61.98817
512.00,61.92145
513.00,61.82855
514.00,61.74804
515.00,61.75575
516.00,61.71330
517.00,61.72451
518.00,61.74330
519.00,61.69437
520.00,61.69559
521.00,61.72444
522.00,61.51583
523.00,61.58521
524.00,61.61639
525.00,61.60752
526.00,61.50374
527.00,61.47218
528.00,61.57085
529.00,61.65958
530.00,61.72968
531.00,61.67151
532.00,61.63028
533.00,61.63295
534.00,61.78961
535.00,61.67210
536.00,61.82019
537.00,61.88774
538.00,61.96604
539.00,61.97318
540.00,62.03340
541.00,62.09039
542.00,62.12491
543.00,62.09949
544.00,62.21884
545.00,62.20944
546.00,62.33166
547.00,62.48575
548.00,62.50851
549.00,62.60285
550.00,62.62140
551.00,62.84787
552.00,62.73388
553.00,62.89984
554.00,62.94078
555.00,63.00958
556.00,63.24223
557.00,63.16200
558.00,63.19136
559.00,63.30220
560.00,63.39825
561.00,63.44577
562.00,63.66757
563.00,63.64514
564.00,63.73057
565.00,63.76933
566.00,63.86391
567.00,63.89644
568.00,64.06503
569.00,64.02380
570.00,64.22398
571.00,64.10812
572.00,64.26281
573.00,64.40948
574.00,64.37109
575.00,64.44693
576.00,64.49115
577.00,64.56907
578.00,64.43617
579.00,64.52304
580.00,64.76454
581.00,64.63462
582.00,64.82462
583.00,64.80528
584.00,64.89478
585.00,64.84548
586.00,64.87480
587.00,64.99876
588.00,64.93558
589.00,64.93133
590.00,64.99427
591.00,64.95649
592.00,65.03372
593.00,65.00272
594.00,65.09597
595.00,65.06083
596.00,64.97685
597.00,65.00953
598.00,65.11043
599.00,65.09221
600.00,64.98995
601.00,64.90411
602.00,65.04707
603.00,64.97366
604.00,65.07855
605.00,65.03685
606.00,64.84016
607.00,64.89112
608.00,64.95814
609.00,64.83538
610.00,64.92901
611.00,64.83945
612.00,64.80989
613.00,64.74025
614.00,64.73213
615.00,64.74087
616.00,64.63853
617.00,64.60313
618.00,64.69988
619.00,64.58638
620.00,64.44317
621.00,64.47334
622.00,64.57468
623.00,64.37525
624.00,64.36332
625.00,64.32248
626.00,64.22638
627.00,64.31091
628.00,64.18143
629.00,64.15612
630.00,64.11779
631.00,64.09886
632.00,64.07582
633.00,64.01619
634.00,64.02111
635.00,63.91657
636.00,63.94929
637.00,63.83519
638.00,63.88704
639.00,63.76753
640.00,63.76297
641.00,63.64057
642.00,63.58907
643.00,63.73087
644.00,63.69344
645.00,63.51296
646.00,63.58795
647.00,63.56891
648.00,63.45446
649.00,63.48984
650.00,63.43734
651.00,63.52092
652.00,63.32644
653.00,63.42077
654.00,63.47065
655.00,63.33469
656.00,63.38245
657.00,63.46280
658.00,63.29976
659.00,63.25265
660.00,63.41085
661.00,63.22518
662.00,63.37189
663.00,63.30066
664.00,63.26355
665.00,63.32808
666.00,63.31528
667.00,63.21381
668.00,63.21641
669.00,63.27634
670.00,63.41219
671.00,63.29842
672.00,63.31697
673.00,63.35893
674.00,63.35453
675.00,63.31040
676.00,63.41271
677.00,63.43498
678.00,63.41342
679.00,63.49205
680.00,63.37834
681.00,63.60040
682.00,63.68263
683.00,63.57706
684.00,63.41403
685.00,63.77878
686.00,63.79406
687.00,63.66067
688.00,63.48983
689.00,63.71939
690.00,63.65058
691.00,63.61724
692.00,63.93709
693.00,63.82241
694.00,63.69226
695.00,63.85518
696.00,63.83748
697.00,63.92117
698.00,63.80644
699.00,64.14560
700.00,64.16650
701.00,64.18665
702.00,64.14337
703.00,64.07821
704.00,64.35103
705.00,64.39651
706.00,64.57013
707.00,64.57588
708.00,64.49212
709.00,64.46776
710.00,64.84626
711.00,64.83547
712.00,64.65555
713.00,64.53129
714.00,64.82248
715.00,64.92313
716.00,64.96879
717.00,65.06070
718.00,65.16249
719.00,65.00120
720.00,65.18267
721.00,65.18442
722.00,65.20876
723.00,65.45246
724.00,65.25175
725.00,65.19241
726.00,65.49492
727.00,65.41337
728.00,65.25753
729.00,65.41312
730.00,65.36525
731.00,65.75902
732.00,65.72422
733.00,65.67099
734.00,66.02764
735.00,65.78518
736.00,66.08211
737.00,66.29217
738.00,65.84743
739.00,66.00568
740.00,66.16431
741.00,66.15082
742.00,66.01920
743.00,66.35903
744.00,66.41476
745.00,66.32600
746.00,66.36937
747.00,66.35993
748.00,66.45079
749.00,66.47462
750.00,66.30492
751.00,66.63094
752.00,66.82469
753.00,66.54354
754.00,66.80375
755.00,66.73235
756.00,66.86537
757.00,66.81051
758.00,66.95159
759.00,66.99154
760.00,66.91853
761.00,67.11295
762.00,67.17952
763.00,66.75590
764.00,66.63502
765.00,67.13522
766.00,67.46092
767.00,66.89302
768.00,67.13744
769.00,66.87806
770.00,66.84529
771.00,67.12854
772.00,67.39169
773.00,67.59523
774.00,67.11041
775.00,67.58406
776.00,67.53300
777.00,67.88441
778.00,67.11136
779.00,67.47543
780.00,67.58969
781.00,67.23378
782.00,67.19701
783.00,66.89533
784.00,67.77807
785.00,67.65777
786.00,67.43865
787.00,67.43011
788.00,67.92943
789.00,67.29419
790.00,67.32720
791.00,67.44473
792.00,67.07382
793.00,67.58045
794.00,67.73993
795.00,67.48769
796.00,67.03489
797.00,67.32439
798.00,67.69615
799.00,67.87332
800.00,67.84399
