"AcutallyMN1534back - RawData"
"Wavelength nm.","T%"
200.00,0.34326
201.00,0.29401
202.00,0.19417
203.00,0.21755
204.00,0.17663
205.00,0.11854
206.00,0.12188
207.00,0.19162
208.00,0.13218
209.00,0.15716
210.00,0.11110
211.00,0.09308
212.00,0.10983
213.00,0.11309
214.00,0.09852
215.00,0.10187
216.00,0.09114
217.00,0.07892
218.00,0.12661
219.00,0.06818
220.00,0.08815
221.00,0.10704
222.00,0.08473
223.00,0.11504
224.00,0.10885
225.00,0.10462
226.00,0.11341
227.00,0.09265
228.00,0.12452
229.00,0.11656
230.00,0.11000
231.00,0.11952
232.00,0.11351
233.00,0.15240
234.00,0.24426
235.00,0.50682
236.00,1.17327
237.00,2.47431
238.00,4.81061
239.00,8.38553
240.00,13.10965
241.00,18.90053
242.00,24.83955
243.00,30.15022
244.00,35.54213
245.00,39.69232
246.00,42.50726
247.00,44.64417
248.00,47.07682
249.00,47.76362
250.00,48.60465
251.00,49.88471
252.00,50.99133
253.00,51.27695
254.00,51.54560
255.00,51.96809
256.00,53.17567
257.00,53.93296
258.00,53.78591
259.00,53.43887
260.00,53.78987
261.00,54.94480
262.00,55.60224
263.00,55.61171
264.00,55.36162
265.00,55.14646
266.00,56.11433
267.00,56.82357
268.00,57.05369
269.00,56.92209
270.00,56.28763
271.00,56.04798
272.00,56.85222
273.00,58.06348
274.00,57.83955
275.00,57.25341
276.00,56.92636
277.00,57.00418
278.00,57.63475
279.00,58.26952
280.00,58.55954
281.00,58.37353
282.00,57.82764
283.00,57.35427
284.00,57.87488
285.00,58.54595
286.00,59.13378
287.00,59.59109
288.00,59.36483
289.00,58.77656
290.00,58.34036
291.00,58.20576
292.00,58.78370
293.00,59.60550
294.00,60.51943
295.00,60.52148
296.00,60.14540
297.00,59.46690
298.00,58.98938
299.00,59.09455
300.00,59.54134
301.00,60.45852
302.00,61.50504
303.00,60.96694
304.00,60.96268
305.00,60.27410
306.00,59.78438
307.00,59.65871
308.00,59.43906
309.00,60.00268
310.00,60.84901
311.00,61.53002
312.00,62.02491
313.00,61.55503
314.00,61.00215
315.00,60.70027
316.00,60.28340
317.00,60.47016
318.00,60.08608
319.00,60.84639
320.00,62.06782
321.00,62.40678
322.00,62.69177
323.00,62.28251
324.00,61.50745
325.00,61.07733
326.00,60.77406
327.00,61.00006
328.00,60.78601
329.00,61.60610
330.00,62.51837
331.00,62.88601
332.00,63.21203
333.00,63.03545
334.00,62.54604
335.00,62.33562
336.00,61.63841
337.00,61.56157
338.00,61.26185
339.00,61.54551
340.00,62.00629
341.00,62.68159
342.00,63.37193
343.00,63.53654
344.00,63.81544
345.00,63.79606
346.00,63.19442
347.00,62.59448
348.00,62.16524
349.00,61.89422
350.00,61.86478
351.00,62.06818
352.00,62.35324
353.00,63.16636
354.00,63.64877
355.00,64.25670
356.00,64.55662
357.00,64.70283
358.00,64.07433
359.00,63.84177
360.00,63.29123
361.00,62.68747
362.00,62.65711
363.00,62.12074
364.00,62.57675
365.00,62.56843
366.00,63.02330
367.00,64.08882
368.00,64.60022
369.00,64.99245
370.00,64.75547
371.00,65.00502
372.00,64.78628
373.00,64.17779
374.00,63.63297
375.00,63.19561
376.00,62.96857
377.00,62.70030
378.00,62.74749
379.00,63.09298
380.00,63.57352
381.00,63.94517
382.00,64.67351
383.00,65.18900
384.00,65.35724
385.00,65.66525
386.00,65.66435
387.00,65.37555
388.00,65.06221
389.00,64.45934
390.00,64.04194
391.00,63.55030
392.00,63.13790
393.00,62.87363
394.00,63.08389
395.00,63.42181
396.00,63.75227
397.00,64.36697
398.00,64.85330
399.00,65.36784
400.00,65.99830
401.00,66.18588
402.00,66.32002
403.00,66.24524
404.00,65.86177
405.00,65.43534
406.00,65.01487
407.00,64.59600
408.00,64.07242
409.00,63.76048
410.00,63.63159
411.00,63.39462
412.00,63.48034
413.00,63.89767
414.00,64.26000
415.00,64.59461
416.00,65.43621
417.00,65.99500
418.00,66.56344
419.00,66.89016
420.00,67.03122
421.00,67.17794
422.00,66.98043
423.00,66.75487
424.00,66.38034
425.00,65.92237
426.00,65.59593
427.00,65.14310
428.00,64.88883
429.00,64.68287
430.00,64.58727
431.00,64.77287
432.00,64.96571
433.00,65.31926
434.00,65.52553
435.00,66.14213
436.00,66.65259
437.00,67.24908
438.00,67.65044
439.00,68.01027
440.00,68.15831
441.00,68.22007
442.00,68.40087
443.00,68.08318
444.00,67.66227
445.00,67.24125
446.00,66.84350
447.00,66.42733
448.00,66.08991
449.00,65.77286
450.00,65.56890
451.00,65.30854
452.00,65.24234
453.00,65.45873
454.00,65.51979
455.00,65.88202
456.00,66.27255
457.00,66.68259
458.00,67.15959
459.00,67.62007
460.00,68.06708
461.00,68.47067
462.00,68.82768
463.00,68.97371
464.00,68.98705
465.00,68.93011
466.00,68.53662
467.00,68.45713
468.00,68.12793
469.00,67.63651
470.00,67.27129
471.00,66.74538
472.00,66.35932
473.00,66.09074
474.00,65.82782
475.00,65.79916
476.00,65.61831
477.00,65.73004
478.00,65.80635
479.00,66.11422
480.00,66.39040
481.00,66.78879
482.00,67.21672
483.00,67.58687
484.00,68.01736
485.00,68.49031
486.00,68.83956
487.00,69.02655
488.00,69.34283
489.00,69.31226
490.00,69.32209
491.00,69.26894
492.00,69.08204
493.00,68.85092
494.00,68.49013
495.00,68.16177
496.00,67.72884
497.00,67.38673
498.00,66.93842
499.00,66.62828
500.00,66.42928
501.00,66.09824
502.00,65.90766
503.00,65.81284
504.00,65.75541
505.00,65.97517
506.00,66.22374
507.00,66.38165
508.00,66.80987
509.00,67.08224
510.00,67.48113
511.00,67.86627
512.00,68.22335
513.00,68.63641
514.00,68.93378
515.00,69.17553
516.00,69.43888
517.00,69.54476
518.00,69.74902
519.00,69.66645
520.00,69.48351
521.00,69.50708
522.00,69.14616
523.00,68.87878
524.00,68.56521
525.00,68.14924
526.00,67.88538
527.00,67.52083
528.00,67.21826
529.00,66.93518
530.00,66.49085
531.00,66.25060
532.00,66.07606
533.00,65.99579
534.00,65.96024
535.00,65.97164
536.00,66.05024
537.00,66.20756
538.00,66.40408
539.00,66.59468
540.00,67.01728
541.00,67.22631
542.00,67.60623
543.00,68.01941
544.00,68.28997
545.00,68.64965
546.00,69.06780
547.00,69.25242
548.00,69.54747
549.00,69.73697
550.00,69.87749
551.00,69.79134
552.00,70.01408
553.00,69.89948
554.00,69.66484
555.00,69.38192
556.00,69.35700
557.00,69.05667
558.00,68.63376
559.00,68.36814
560.00,68.02289
561.00,67.66935
562.00,67.35892
563.00,67.01357
564.00,66.84326
565.00,66.63736
566.00,66.42202
567.00,66.24829
568.00,66.21885
569.00,66.00623
570.00,66.15028
571.00,66.19677
572.00,66.26913
573.00,66.47981
574.00,66.72632
575.00,66.94258
576.00,67.22938
577.00,67.63024
578.00,67.87159
579.00,68.12399
580.00,68.47411
581.00,68.86905
582.00,69.09433
583.00,69.47999
584.00,69.56671
585.00,69.81786
586.00,70.08140
587.00,70.20669
588.00,70.41796
589.00,70.38803
590.00,70.34827
591.00,70.22011
592.00,70.08108
593.00,70.06598
594.00,69.90387
595.00,69.60779
596.00,69.42237
597.00,69.09558
598.00,68.78918
599.00,68.54064
600.00,68.25392
601.00,67.94146
602.00,67.63965
603.00,67.35418
604.00,67.17032
605.00,67.03230
606.00,66.77054
607.00,66.74832
608.00,66.60411
609.00,66.62360
610.00,66.57916
611.00,66.57236
612.00,66.62372
613.00,66.80206
614.00,67.01858
615.00,67.11481
616.00,67.35173
617.00,67.51703
618.00,67.82159
619.00,68.14246
620.00,68.41570
621.00,68.72612
622.00,69.01968
623.00,69.31784
624.00,69.72488
625.00,70.02832
626.00,70.13233
627.00,70.34672
628.00,70.69836
629.00,70.80026
630.00,70.95009
631.00,71.11070
632.00,71.14419
633.00,71.14816
634.00,71.08102
635.00,71.06201
636.00,71.02386
637.00,70.93981
638.00,70.74171
639.00,70.50255
640.00,70.30168
641.00,70.14992
642.00,69.90637
643.00,69.64048
644.00,69.33344
645.00,69.19766
646.00,68.83664
647.00,68.66558
648.00,68.36006
649.00,68.45747
650.00,68.12193
651.00,67.94031
652.00,67.81595
653.00,67.74890
654.00,67.69171
655.00,67.69834
656.00,67.60561
657.00,67.53951
658.00,67.52994
659.00,67.72493
660.00,67.87823
661.00,67.90704
662.00,67.97903
663.00,68.24499
664.00,68.45496
665.00,68.77595
666.00,68.89704
667.00,69.41218
668.00,69.51927
669.00,69.74285
670.00,70.11032
671.00,70.33541
