ItalySlowCustom13_2-RawData
Wavelength nm.,T%
200,0.35457
201,0.37636
202,0.41439
203,0.39236
204,0.25632
205,0.36112
206,0.36679
207,0.35395
208,0.29994
209,0.258
210,0.34192
211,0.2618
212,0.24695
213,0.29707
214,0.18946
215,0.23265
216,0.23839
217,0.24544
218,0.30699
219,0.24951
220,0.18989
221,0.23638
222,0.22849
223,0.25101
224,0.2696
225,0.22133
226,0.3085
227,0.26343
228,0.29985
229,0.29051
230,0.26784
231,0.28188
232,0.32034
233,0.31592
234,0.33798
235,0.36406
236,0.39726
237,0.41627
238,0.482
239,0.53376
240,0.64619
241,0.74213
242,0.91137
243,1.1144
244,1.36792
245,1.65057
246,2.05769
247,2.59188
248,3.1981
249,3.98237
250,4.88036
251,6.05802
252,7.29679
253,8.86121
254,10.57612
255,12.33878
256,14.3993
257,16.28224
258,18.4688
259,20.70422
260,22.88204
261,25.20714
262,27.66584
263,30.1674
264,32.40086
265,34.39128
266,36.64631
267,38.04065
268,39.50399
269,40.67338
270,41.43572
271,42.15492
272,43.02233
273,43.50241
274,43.93882
275,45.16129
276,45.61824
277,46.50467
278,47.65872
279,48.39068
280,49.59649
281,50.77488
282,51.26009
283,51.82634
284,52.73604
285,52.72924
286,53.3664
287,53.5561
288,53.69596
289,53.76427
290,53.31126
291,53.2262
292,53.11953
293,52.29279
294,52.57794
295,52.13276
296,52.14829
297,52.31639
298,52.07314
299,52.14892
300,52.65496
301,52.47489
302,53.10588
303,53.2536
304,53.81874
305,54.38826
306,54.6926
307,55.03803
308,55.21111
309,55.84059
310,56.39051
311,56.25795
312,56.75524
313,56.69964
314,56.95113
315,56.6209
316,56.85378
317,56.32299
318,55.92527
319,56.26343
320,56.03849
321,55.4992
322,55.34167
323,55.04836
324,54.72446
325,54.97862
326,54.3486
327,54.78323
328,54.32618
329,54.43916
330,54.30819
331,54.45658
332,54.60278
333,54.58438
334,54.73765
335,54.9329
336,55.43808
337,55.57752
338,56.05169
339,56.29653
340,56.70136
341,56.97331
342,57.21363
343,57.90793
344,58.02069
345,58.43861
346,58.94996
347,59.04812
348,59.1825
349,59.33398
350,59.43692
351,59.26554
352,59.23778
353,59.36218
354,59.17512
355,59.30451
356,58.98985
357,59.05145
358,58.66258
359,58.35447
360,58.40483
361,57.90631
362,57.59066
363,57.54504
364,57.35348
365,57.17877
366,57.03402
367,56.82075
368,56.87122
369,56.62891
370,56.60985
371,56.32257
372,56.63238
373,56.34421
374,56.38606
375,56.50206
376,56.57234
377,56.38177
378,56.60659
379,56.80953
380,56.78529
381,57.19671
382,57.29718
383,57.368
384,57.64783
385,57.86213
386,58.1113
387,58.32494
388,58.7048
389,58.83464
390,59.05132
391,59.28155
392,59.4925
393,59.68618
394,59.82653
395,60.15499
396,60.39039
397,60.49301
398,60.6069
399,60.65161
400,60.81479
401,60.80647
402,61.01523
403,60.95012
404,61.00961
405,60.94119
406,60.97738
407,61.04758
408,60.84989
409,60.75451
410,60.60067
411,60.63179
412,60.34424
413,60.19931043
414,60.00474002
415,60.03811314
416,59.99196256
417,59.77440216
418,59.65782242
419,59.45751345
420,59.31115424
421,59.14504038
422,58.9614696
423,58.97046666
424,58.77594314
425,58.7168153
426,58.5784425
427,58.49611368
428,58.60112616
429,58.43962524
430,58.30245948
431,58.37905548
432,58.29170658
433,58.27987348
434,58.38258086
435,58.3863321
436,58.49203458
437,58.42221438
438,58.3582185
439,58.5557919
440,58.57222365
441,58.73409846
442,58.83765282
443,58.80577032
444,59.01417396
445,59.1469298
446,59.2931654
447,59.3002312
448,59.4426252
449,59.6995322
450,59.8018344
451,60.0150628
452,60.0147002
453,60.47044884
454,60.54477921
455,60.67717497
456,60.96828672
457,61.025531
458,61.0883588
459,61.42803237
460,61.59079008
461,61.6832384
462,61.8383626
463,62.0459266
464,62.1550202
465,62.0727198
466,62.2429066
467,62.4916502
468,62.5711772
469,62.7130616
470,62.6422468
471,62.7718714
472,62.7900504
473,62.9063307
474,63.00047727
475,63.01301445
476,63.10814162
477,63.16318599
478,63.2136827
479,63.22094707
480,63.11559896
481,63.22625365
482,63.26785348
483,63.35246043
484,63.3335199
485,63.11668587
486,63.24240609
487,63.30773943
488,63.1627425
489,63.079137
490,62.9261523
491,62.93664602
492,62.81108632
493,62.91711341
494,62.53945322
495,62.51738365
496,62.40281152
497,62.33329549
498,62.21531694
499,62.13156753
500,62.05461638
501,61.88902028
502,61.7635072
503,61.71691296
504,61.58506624
505,61.39675488
506,61.35664832
507,61.2146832
508,61.11482848
509,61.04304648
510,61.01020797
511,60.92345949
512,60.82986924
513,60.79919286
514,60.7007909
515,60.81236364
516,60.77090016
517,60.64915505
518,60.64921487
519,60.68320038
520,60.73426494
521,60.6556836
522,60.60979953
523,60.57244692
524,60.49670274
525,60.49320624
526,60.62385546
527,60.63041889
528,60.49207737
529,60.49256688
530,60.698241
531,60.60469464
532,60.6239591
533,60.74996658
534,60.7415734
535,60.67134827
536,60.65223672
537,60.76214532
538,60.78534216
539,60.85824936
540,60.8115941
541,60.88280814
542,60.79425033
543,60.93259509
544,61.01406112
545,61.00422048
546,61.1048688
547,61.25090112
548,61.22297632
549,61.2434036
550,61.5162016
551,61.61100704
552,61.62711712
553,61.64979424
554,61.69095232
555,62.00166656
556,62.14447215
557,62.26170573
558,62.34692044
559,62.4432788
560,62.50110972
561,62.61765622
562,62.78200255
563,62.8784081
564,62.99991828
565,63.15360908
566,63.13583257
567,63.08580311
568,63.04354028
569,63.18413722
570,63.34027558
571,63.35143322
572,63.48426702
573,63.50529488
574,63.52552996
575,63.50348629
576,63.74107139
577,63.82372269
578,63.75825675
579,63.8054098
580,63.8096087
581,63.96442075
582,63.97092758
583,63.8026332
584,63.93932958
585,63.94702816
586,63.91117728
587,63.93801188
588,63.95488861
589,63.9449613
590,63.8790075
591,63.98113029
592,63.8930754
593,63.8619597
594,63.9706815
595,63.9077571
596,63.86063988
597,63.80678883
598,63.7878297
599,63.75429271
600,63.66349262
601,63.7885512
602,63.7308441
603,63.7503372
604,63.7123113
605,63.7090542
606,63.6544062
607,63.69815024
608,63.556794
609,63.53997673
610,63.6724128
611,63.5191317
612,63.57039528
613,63.58246244
614,63.54463025
615,63.4176782
616,63.51572676
617,63.44601672
618,63.42496128
619,63.3727908
620,63.33149382
621,63.15773448
622,63.01324476
623,63.05255688
624,62.98996824
625,63.05425008
626,62.8609464
627,62.92057692
628,62.85454212
629,62.86151412
630,62.74293036
631,62.50691468
632,62.51467782
633,62.54686354
634,62.25525123
635,62.18806336
636,62.22311072
637,62.03732343
638,62.11536468
639,61.9301232
640,61.9153326
641,61.80413306
642,61.77420592
643,61.61364612
644,61.61801308
645,61.4014245
646,61.49409864
647,61.48458374
648,61.2092987
649,61.3655985
650,61.27201704
651,61.15458648
652,61.19242827
653,61.15359828
654,61.00795786
655,61.03742768
656,60.92891919
657,61.00046352
658,61.00483878
659,61.00673211
660,60.86106342
661,60.89562405
662,61.05164229
663,61.07245911
664,61.08970509
665,61.11927243
666,61.07593185
667,61.21060353
668,61.23711015
669,61.2915066
670,61.22919348
671,61.27084674
672,61.53663888
673,61.36961382
674,61.515041
675,61.5337492
676,61.5624142
677,61.6969584
678,61.561934
679,61.93708114
680,61.89934069
681,61.85022612
682,62.0097966
683,62.06541546
684,62.10195961
685,62.35744032
686,62.24009025
687,62.26456684
688,62.46877568
689,62.52642004
690,62.55176669
691,62.63840407
692,62.72975575
693,62.8299361
694,63.01308162
695,62.88313003
696,62.89823064
697,62.97000312
698,62.86342662
699,63.09273152
700,63.46156661
701,63.42751198
702,63.37939274
703,63.44556867
704,63.69159756
705,63.73825665
706,63.61784298
707,63.82287968
708,63.74669022
709,63.7782785
710,64.18261616
711,63.89857878
712,64.06320514
713,63.97671735
714,64.23378144
715,64.25930164
716,64.33979634
717,64.37640716
718,64.5399488
719,64.488418
720,64.62936054
721,64.73262754
722,64.72521734
723,65.05832746
724,64.76995512
725,64.96553232
