ItalySlowCustom13-RawData
Wavelength nm.,T%
200,0.59101
201,0.58419
202,0.46875
203,0.46833
204,0.36604
205,0.3271
206,0.25395
207,0.32514
208,0.30282
209,0.35943
210,0.32214
211,0.26662
212,0.32079
213,0.25172
214,0.28989
215,0.31933
216,0.25975
217,0.22183
218,0.23698
219,0.2168
220,0.25871
221,0.25026
222,0.25679
223,0.27268
224,0.24435
225,0.24225
226,0.24549
227,0.26869
228,0.26927
229,0.3111
230,0.26622
231,0.31502
232,0.32
233,0.30319
234,0.32994
235,0.34266
236,0.37838
237,0.42997
238,0.48315
239,0.58332
240,0.66515
241,0.73498
242,0.92213
243,1.15037
244,1.39415
245,1.73871
246,2.14628
247,2.63496
248,3.31852
249,3.98748
250,5.01276
251,6.22647
252,7.49864
253,9.03996
254,10.75482
255,12.58294
256,14.46646
257,16.60539
258,18.76986
259,20.89697
260,23.14053
261,25.52099
262,27.93742
263,30.56944
264,32.94743
265,34.86254
266,36.71724
267,38.41045
268,39.71542
269,40.96961
270,41.87132
271,42.57236
272,43.23542
273,44.06854
274,44.67285
275,45.6255
276,46.58657
277,47.42456
278,48.68459
279,49.41078
280,50.50138
281,51.40297
282,52.39428
283,52.65942
284,53.23195
285,53.49292
286,53.6579
287,53.86837
288,54.11274
289,53.70425
290,53.2416
291,53.27125
292,53.29593
293,52.84406
294,52.62274
295,52.56828
296,52.6508
297,52.58988
298,52.5171
299,52.72369
300,53.0121
301,53.25699
302,53.64264
303,54.13575
304,54.39031
305,55.13314
306,55.18819
307,55.6438
308,55.95682
309,56.13691
310,56.80614
311,56.37152
312,56.70582
313,57.02559
314,57.14399
315,56.85254
316,57.14545
317,56.47302
318,56.2799
319,56.03722
320,55.82233
321,55.32386
322,55.43871
323,55.20588
324,54.42019
325,54.89503
326,54.4867
327,54.79555
328,54.39928
329,54.48959
330,54.72597
331,54.77804
332,54.33575
333,54.93774
334,55.17735
335,55.4759
336,55.75615
337,56.13418
338,56.52578
339,56.42403
340,56.86098
341,57.59786
342,57.60736
343,58.56686
344,58.52935
345,58.73955
346,58.9413
347,59.09017
348,59.09434
349,59.26993
350,59.18893
351,59.24481
352,59.21462
353,59.27919
354,59.09875
355,59.0863
356,58.81715
357,58.75906
358,58.32585
359,58.34169
360,58.10107
361,57.7848
362,57.34637
363,57.28261
364,56.90922
365,57.06311
366,56.57522
367,56.69516
368,56.4207
369,56.58292
370,56.68357
371,56.3143
372,56.29095
373,56.31322
374,56.48966
375,56.40613
376,56.6547
377,56.6317
378,56.95897
379,56.82808
380,57.08969
381,57.33052
382,57.54583
383,57.59811
384,57.88899
385,57.95704
386,58.19716
387,58.44832
388,58.90087
389,59.02701
390,59.36024
391,59.41156
392,59.49186
393,59.77427
394,59.96823
395,60.02813
396,60.34761
397,60.33338
398,60.45735
399,60.44458
400,60.60003
401,60.74875
402,60.75662
403,60.74856
404,60.80719
405,60.80373
406,60.72776
407,60.67479
408,60.52231
409,60.4928
410,60.13747
411,60.25447
412,60.04168
413,59.88576429
414,59.75808432
415,59.6637833
416,59.51095991
417,59.47346076
418,59.2578567
419,59.15359587
420,58.98658176
421,58.88964977
422,58.6498473
423,58.71637338
424,58.46118236
425,58.4506289
426,58.42394525
427,58.2367116
428,58.28983776
429,58.18507739
430,58.14685176
431,58.24553294
432,58.09296942
433,58.041601
434,58.199212
435,58.08346366
436,58.1887046
437,58.2844496
438,58.30146765
439,58.38782508
440,58.50795834
441,58.61646675
442,58.76854137
443,58.78151019
444,59.00774841
445,58.9827014
446,59.2475954
447,59.2094832
448,59.3098744
449,59.6096662
450,59.718407
451,59.9877502
452,59.9732266
453,60.43575087
454,60.43000221
455,60.6197178
456,60.85739448
457,60.892447
458,61.0337042
459,61.31264715
460,61.51476258
461,61.4278406
462,61.6067396
463,61.973485
464,61.8524942
465,61.9815308
466,62.1192796
467,62.2705524
468,62.343533
469,62.4898666
470,62.3070574
471,62.4796942
472,62.5759302
473,62.68552722
474,62.72755326
475,62.72359983
476,62.77774772
477,62.90497155
478,62.87823395
479,62.9020717
480,62.6936757
481,62.84080345
482,62.8202785
483,62.90864601
484,62.88401049
485,62.69310495
486,62.81648335
487,62.75635215
488,62.6372802
489,62.5676931
490,62.4043233
491,62.51301334
492,62.34230368
493,62.44014511
494,62.0832761
495,61.99501764
496,61.97547776
497,61.87755441
498,61.68428959
499,61.64895053
500,61.54680816
501,61.2865121
502,61.33504256
503,61.29405312
504,61.0909312
505,60.91059552
506,60.84822848
507,60.83793152
508,60.79451168
509,60.59879814
510,60.52134414
511,60.43466517
512,60.39293931
513,60.36345308
514,60.34015315
515,60.57675984
516,60.37743036
517,60.37271686
518,60.27367488
519,60.33298222
520,60.32518443
521,60.41051901
522,60.30491472
523,60.32750211
524,60.30496467
525,60.26396571
526,60.29989974
527,60.31933029
528,60.33033927
529,60.29332632
530,60.42359592
531,60.44466483
532,60.39498796
533,60.44734304
534,60.48275208
535,60.48079166
536,60.51862332
537,60.6088908
538,60.73505412
539,60.647187
540,60.75461045
541,60.67543986
542,60.68894268
543,60.83130909
544,60.83085856
545,60.82103776
546,60.92610048
547,61.10859872
548,61.19198624
549,61.19021663
550,61.31097664
551,61.38579328
552,61.48459648
553,61.60957856
554,61.63254336
555,61.82265024
556,62.0042109
557,62.1328044
558,62.16502838
559,62.31141476
560,62.50632822
561,62.52859382
562,62.6764231
563,62.87495545
564,62.98820532
565,63.18099667
566,63.04800684
567,63.23034817
568,63.16951123
569,63.40418509
570,63.4455546
571,63.53819894
572,63.53415704
573,63.69372726
574,63.70624618
575,63.74892775
576,63.88993346
577,63.98485783
578,63.7933106
579,63.8305435
