"SamDVSlowTrans - RawData"
"Wavelength nm.","T%"
190.00,1.33015
191.00,1.35917
192.00,0.65670
193.00,0.65529
194.00,0.38632
195.00,0.39548
196.00,0.39323
197.00,0.35322
198.00,0.38215
199.00,0.32179
200.00,0.33853
201.00,0.19917
202.00,0.28016
203.00,0.14561
204.00,0.21947
205.00,0.21322
206.00,0.19709
207.00,0.16022
208.00,0.16469
209.00,0.18492
210.00,0.17010
211.00,0.19364
212.00,0.13794
213.00,0.18476
214.00,0.15664
215.00,0.15573
216.00,0.15617
217.00,0.19491
218.00,0.16713
219.00,0.14359
220.00,0.15645
221.00,0.16455
222.00,0.14317
223.00,0.17585
224.00,0.16892
225.00,0.15149
226.00,0.16422
227.00,0.17714
228.00,0.18924
229.00,0.19396
230.00,0.19551
231.00,0.24386
232.00,0.26849
233.00,0.35361
234.00,0.40838
235.00,0.50737
236.00,0.65068
237.00,0.79368
238.00,0.92043
239.00,1.11630
240.00,1.31507
241.00,1.58012
242.00,1.87509
243.00,2.19713
244.00,2.59905
245.00,3.05396
246.00,3.59074
247.00,4.22036
248.00,4.96820
249.00,5.89143
250.00,7.06460
251.00,8.50745
252.00,10.21260
253.00,12.39086
254.00,14.96034
255.00,18.05350
256.00,21.64497
257.00,25.39967
258.00,29.45422
259.00,33.05998
260.00,36.55630
261.00,39.46902
262.00,41.66629
263.00,43.39959
264.00,44.88279
265.00,46.17021
266.00,47.71241
267.00,48.96080
268.00,50.44484
269.00,51.87019
270.00,53.08928
271.00,53.95944
272.00,54.58065
273.00,54.86156
274.00,54.98303
275.00,54.70811
276.00,54.44013
277.00,54.05213
278.00,53.68976
279.00,53.56596
280.00,53.58591
281.00,53.88852
282.00,54.24886
283.00,54.78513
284.00,55.34527
285.00,56.22616
286.00,56.75441
287.00,57.21129
288.00,57.90206
289.00,58.20837
290.00,58.33228
291.00,58.28400
292.00,58.35119
293.00,57.99870
294.00,57.62327
295.00,57.38384
296.00,56.89024
297.00,56.58054
298.00,56.39805
299.00,56.24037
300.00,56.17648
301.00,56.24146
302.00,56.55438
303.00,56.92523
304.00,57.28420
305.00,57.60027
306.00,58.11052
307.00,58.56339
308.00,59.07561
309.00,59.31049
310.00,59.71903
311.00,59.87225
312.00,60.03807
313.00,60.15148
314.00,60.07192
315.00,59.84280
316.00,59.64570
317.00,59.39445
318.00,59.26808
319.00,58.84740
320.00,58.59662
321.00,58.24953
322.00,58.02230
323.00,57.69264
324.00,56.98290
325.00,57.04301
326.00,56.90119
327.00,57.07295
328.00,57.04957
329.00,57.29682
330.00,57.54433
331.00,57.90291
332.00,58.01226
333.00,58.47121
334.00,58.68315
335.00,59.16262
336.00,59.51684
337.00,59.67991
338.00,59.83444
339.00,60.18465
340.00,60.37343
341.00,60.46350
342.00,60.47624
343.00,60.44942
344.00,60.35036
345.00,60.21760
346.00,60.04238
347.00,59.80291
348.00,59.56092
349.00,59.38267
350.00,59.03813
351.00,58.93688
352.00,58.73780
353.00,58.58716
354.00,58.30212
355.00,58.10945
356.00,58.15063
357.00,57.88060
358.00,57.96791
359.00,57.95597
360.00,57.89754
361.00,58.01011
362.00,58.17178
363.00,58.25412
364.00,58.33818
365.00,58.60865
366.00,58.84670
367.00,59.07544
368.00,59.26292
369.00,59.49298
370.00,59.76710
371.00,60.09717
372.00,60.37425
373.00,60.45265
374.00,60.62239
375.00,60.82138
376.00,60.90568
377.00,61.01605
378.00,61.08173
379.00,61.14326
380.00,61.02964
381.00,61.12735
382.00,61.00903
383.00,60.89643
384.00,60.73778
385.00,60.65890
386.00,60.55281
387.00,60.43610
388.00,60.13122
389.00,60.07936
390.00,59.87173
391.00,59.63385
392.00,59.52457
393.00,59.34737
394.00,59.19401
395.00,59.06988
396.00,58.88450
397.00,58.82583
398.00,58.75899
399.00,58.66615
400.00,58.63327
401.00,58.68613
402.00,58.63963
403.00,58.71575
404.00,58.74501
405.00,58.79107
406.00,58.88211
407.00,59.06069
408.00,59.17371
409.00,59.30898
410.00,59.46611
411.00,59.63556
412.00,59.85470
413.00,59.97888
414.00,60.15797
415.00,60.35078
416.00,60.60099
417.00,60.78442
418.00,60.91440
419.00,61.11251
420.00,61.24259
421.00,61.36932
422.00,61.51472
423.00,61.64246
424.00,61.70884
425.00,61.83556
426.00,61.84708
427.00,61.90066
428.00,61.91944
429.00,61.94823
430.00,61.94083
431.00,61.89597
432.00,61.86604
433.00,61.75724
434.00,61.76787
435.00,61.64729
436.00,61.56013
437.00,61.44298
438.00,61.29624
439.00,61.15507
440.00,61.07470
441.00,60.91124
442.00,60.78714
443.00,60.64922
444.00,60.49332
445.00,60.40181
446.00,60.27324
447.00,60.14881
448.00,60.01933
449.00,59.91235
450.00,59.83164
451.00,59.76558
452.00,59.71025
453.00,59.61660
454.00,59.57143
455.00,59.59569
456.00,59.52336
457.00,59.50131
458.00,59.49146
459.00,59.48731
460.00,59.48546
461.00,59.59432
462.00,59.60757
463.00,59.66296
464.00,59.75057
465.00,59.82156
466.00,59.90913
467.00,60.01765
468.00,60.16044
469.00,60.26689
470.00,60.33632
471.00,60.45745
472.00,60.55548
473.00,60.69034
474.00,60.79444
475.00,60.94757
476.00,61.07222
477.00,61.18994
478.00,61.30635
479.00,61.44144
480.00,61.57330
481.00,61.70146
482.00,61.78929
483.00,61.92753
484.00,62.04675
485.00,62.13944
486.00,62.22044
487.00,62.33626
488.00,62.42399
489.00,62.44290
490.00,62.52736
491.00,62.60761
492.00,62.61030
493.00,62.68143
494.00,62.66221
495.00,62.71788
496.00,62.70810
497.00,62.69683
498.00,62.71172
499.00,62.69344
500.00,62.65873
501.00,62.63326
502.00,62.56433
503.00,62.56773
504.00,62.43421
505.00,62.40379
506.00,62.36547
507.00,62.24973
508.00,62.16016
509.00,62.09285
510.00,61.99879
511.00,61.89366
512.00,61.81719
513.00,61.72358
514.00,61.64107
515.00,61.55397
516.00,61.48207
517.00,61.33966
518.00,61.25253
519.00,61.18852
520.00,61.11107
521.00,61.04937
522.00,60.97776
523.00,60.91082
524.00,60.80612
525.00,60.76989
526.00,60.67371
527.00,60.67353
528.00,60.60849
529.00,60.56834
530.00,60.53235
531.00,60.49839
532.00,60.48210
533.00,60.47121
534.00,60.45597
535.00,60.46282
536.00,60.42201
537.00,60.43571
538.00,60.45291
539.00,60.50822
540.00,60.49420
541.00,60.53426
542.00,60.57937
543.00,60.57402
544.00,60.64812
545.00,60.66899
546.00,60.76568
547.00,60.81589
548.00,60.88223
549.00,60.94189
550.00,61.06431
551.00,61.14109
552.00,61.22683
553.00,61.27471
554.00,61.37795
555.00,61.50787
556.00,61.59743
557.00,61.66142
558.00,61.77032
559.00,61.84330
560.00,62.00160
561.00,62.06831
562.00,62.18182
563.00,62.25361
564.00,62.40641
565.00,62.46549
566.00,62.56349
567.00,62.64796
568.00,62.71694
569.00,62.78592
570.00,62.91021
571.00,62.96685
572.00,63.02404
573.00,63.05330
574.00,63.14775
575.00,63.17652
576.00,63.25588
577.00,63.31355
578.00,63.37363
579.00,63.44343
580.00,63.47387
581.00,63.53700
582.00,63.55410
583.00,63.58051
584.00,63.63342
585.00,63.64777
586.00,63.67840
587.00,63.71611
588.00,63.74973
589.00,63.76195
590.00,63.79380
591.00,63.79567
592.00,63.78926
593.00,63.80168
594.00,63.78391
595.00,63.80126
596.00,63.75400
597.00,63.76079
598.00,63.74455
599.00,63.74283
600.00,63.68363
601.00,63.66202
602.00,63.64690
603.00,63.58397
604.00,63.57166
605.00,63.53387
606.00,63.49756
607.00,63.44963
608.00,63.38727
609.00,63.35860
610.00,63.26170
611.00,63.24734
612.00,63.18097
613.00,63.14735
614.00,63.09167
615.00,63.03235
616.00,62.97548
617.00,62.90017
618.00,62.85804
619.00,62.79380
620.00,62.69947
621.00,62.66142
622.00,62.64290
623.00,62.56978
624.00,62.49524
625.00,62.47015
626.00,62.38372
627.00,62.40891
628.00,62.34392
629.00,62.28050
630.00,62.22757
631.00,62.19400
632.00,62.13417
633.00,62.15768
634.00,62.05308
635.00,62.04312
636.00,61.97942
637.00,62.01342
638.00,61.96601
639.00,61.94065
640.00,61.88301
641.00,61.87081
642.00,61.88410
643.00,61.83943
644.00,61.84921
645.00,61.82653
646.00,61.80849
647.00,61.80677
648.00,61.83022
649.00,61.80580
650.00,61.84891
651.00,61.77594
652.00,61.80761
653.00,61.89566
654.00,61.84289
655.00,61.87226
656.00,61.93621
657.00,61.95250
658.00,61.96116
659.00,61.99529
660.00,62.02420
661.00,62.06463
662.00,62.03189
663.00,62.11981
664.00,62.16275
665.00,62.18512
