"SampleCVSlowTrans - RawData"
"Wavelength nm.","T%"
190.00,1.46923
191.00,0.78494
192.00,0.60637
193.00,0.50456
194.00,0.29971
195.00,0.31608
196.00,0.19617
197.00,0.22061
198.00,0.14727
199.00,0.18262
200.00,0.13520
201.00,0.10845
202.00,0.07136
203.00,0.12448
204.00,0.08690
205.00,0.07063
206.00,0.06903
207.00,0.08697
208.00,0.03625
209.00,0.05848
210.00,0.04602
211.00,0.05490
212.00,0.03334
213.00,0.04234
214.00,0.03208
215.00,0.05410
216.00,0.05082
217.00,0.04336
218.00,0.04233
219.00,0.04652
220.00,0.03597
221.00,0.04731
222.00,0.04921
223.00,0.04512
224.00,0.04131
225.00,0.04857
226.00,0.05135
227.00,0.04614
228.00,0.05933
229.00,0.07485
230.00,0.07735
231.00,0.11392
232.00,0.11977
233.00,0.15932
234.00,0.19055
235.00,0.24488
236.00,0.31318
237.00,0.35534
238.00,0.44187
239.00,0.55967
240.00,0.69079
241.00,0.84793
242.00,1.07595
243.00,1.35934
244.00,1.71885
245.00,2.16240
246.00,2.72817
247.00,3.37394
248.00,4.17927
249.00,5.12449
250.00,6.29075
251.00,7.72381
252.00,9.47320
253.00,11.56526
254.00,14.04794
255.00,16.83042
256.00,19.76104
257.00,22.88310
258.00,25.80585
259.00,28.59527
260.00,31.00101
261.00,33.02073
262.00,34.96918
263.00,36.40233
264.00,37.88629
265.00,39.06915
266.00,40.27868
267.00,41.19551
268.00,42.00411
269.00,42.65348
270.00,43.07242
271.00,43.26791
272.00,43.33344
273.00,43.45666
274.00,43.32291
275.00,43.15371
276.00,43.22361
277.00,43.12283
278.00,43.14959
279.00,43.26614
280.00,43.44772
281.00,43.65925
282.00,44.06908
283.00,44.31765
284.00,44.74811
285.00,45.10573
286.00,45.55281
287.00,45.85783
288.00,46.00931
289.00,46.17272
290.00,46.31352
291.00,46.22256
292.00,46.32554
293.00,46.22908
294.00,46.15020
295.00,46.03662
296.00,45.85459
297.00,45.77617
298.00,45.64098
299.00,45.55060
300.00,45.55016
301.00,45.60020
302.00,45.64413
303.00,45.83567
304.00,45.96670
305.00,46.19300
306.00,46.23018
307.00,46.55500
308.00,46.63559
309.00,46.96534
310.00,47.22093
311.00,47.44886
312.00,47.58046
313.00,47.71465
314.00,47.77173
315.00,47.79183
316.00,47.84112
317.00,47.87115
318.00,47.73232
319.00,47.58578
320.00,47.60956
321.00,47.36396
322.00,47.29498
323.00,47.17104
324.00,46.65822
325.00,46.60569
326.00,46.49746
327.00,46.30794
328.00,46.32014
329.00,46.41666
330.00,46.39517
331.00,46.45807
332.00,46.43196
333.00,46.58056
334.00,46.66500
335.00,46.87387
336.00,46.95498
337.00,47.11518
338.00,47.28828
339.00,47.42351
340.00,47.63170
341.00,47.87135
342.00,48.02371
343.00,48.03236
344.00,48.28943
345.00,48.33241
346.00,48.50186
347.00,48.47960
348.00,48.59900
349.00,48.70188
350.00,48.59836
351.00,48.61107
352.00,48.51288
353.00,48.52665
354.00,48.37613
355.00,48.33093
356.00,48.25059
357.00,48.11689
358.00,48.04806
359.00,47.94082
360.00,47.81120
361.00,47.78116
362.00,47.64825
363.00,47.64368
364.00,47.53630
365.00,47.38494
366.00,47.47354
367.00,47.46431
368.00,47.31856
369.00,47.45050
370.00,47.41480
371.00,47.50657
372.00,47.63648
373.00,47.63352
374.00,47.77436
375.00,47.86123
376.00,47.97718
377.00,48.09065
378.00,48.20504
379.00,48.39095
380.00,48.49449
381.00,48.63215
382.00,48.82025
383.00,48.83718
384.00,49.00597
385.00,49.17440
386.00,49.25041
387.00,49.40956
388.00,49.47636
389.00,49.55447
390.00,49.62749
391.00,49.67448
392.00,49.72630
393.00,49.69227
394.00,49.71249
395.00,49.77206
396.00,49.71942
397.00,49.67645
398.00,49.60701
399.00,49.53701
400.00,49.53843
401.00,49.46896
402.00,49.39119
403.00,49.35430
404.00,49.26714
405.00,49.24017
406.00,49.10983
407.00,49.04984
408.00,48.93852
409.00,48.82987
410.00,48.76511
411.00,48.74687
412.00,48.66219
413.00,48.58552
414.00,48.57312
415.00,48.49769
416.00,48.48836
417.00,48.48607
418.00,48.45912
419.00,48.43526
420.00,48.47278
421.00,48.48123
422.00,48.51371
423.00,48.55314
424.00,48.59128
425.00,48.66199
426.00,48.68047
427.00,48.76489
428.00,48.84124
429.00,48.96433
430.00,49.01454
431.00,49.13017
432.00,49.19215
433.00,49.29615
434.00,49.42628
435.00,49.53615
436.00,49.62640
437.00,49.73642
438.00,49.82668
439.00,49.93381
440.00,50.01428
441.00,50.14839
442.00,50.27100
443.00,50.33776
444.00,50.44402
445.00,50.53405
446.00,50.56236
447.00,50.62819
448.00,50.66493
449.00,50.76112
450.00,50.76393
451.00,50.81316
452.00,50.87188
453.00,50.87871
454.00,50.92149
455.00,50.90876
456.00,50.89495
457.00,50.90070
458.00,50.85704
459.00,50.85173
460.00,50.83219
461.00,50.79236
462.00,50.75967
463.00,50.68665
464.00,50.65476
465.00,50.62229
466.00,50.54358
467.00,50.46556
468.00,50.42087
469.00,50.36333
470.00,50.30938
471.00,50.23583
472.00,50.19996
473.00,50.08851
474.00,50.03663
475.00,49.96670
476.00,49.96393
477.00,49.86981
478.00,49.81695
479.00,49.79304
480.00,49.73895
481.00,49.67932
482.00,49.61160
483.00,49.64443
484.00,49.60033
485.00,49.56396
486.00,49.53272
487.00,49.52148
488.00,49.50077
489.00,49.49597
490.00,49.49702
491.00,49.51855
492.00,49.48649
493.00,49.50261
494.00,49.55841
495.00,49.56959
496.00,49.62840
497.00,49.62728
498.00,49.68228
499.00,49.71634
500.00,49.79333
501.00,49.81673
502.00,49.88001
503.00,49.97424
504.00,50.00575
505.00,50.08342
506.00,50.16421
507.00,50.21034
508.00,50.30661
509.00,50.37311
510.00,50.45398
511.00,50.52909
512.00,50.59400
513.00,50.67133
514.00,50.74698
515.00,50.86142
516.00,50.94334
517.00,51.02957
518.00,51.08188
519.00,51.17792
520.00,51.24717
521.00,51.35059
522.00,51.36232
523.00,51.48994
524.00,51.54244
525.00,51.61254
526.00,51.65078
527.00,51.74934
528.00,51.79959
529.00,51.82435
530.00,51.92197
531.00,51.94836
532.00,52.03492
533.00,52.06403
534.00,52.08641
535.00,52.10212
536.00,52.12703
537.00,52.18652
538.00,52.20959
539.00,52.23777
540.00,52.23492
541.00,52.28220
542.00,52.27406
543.00,52.27732
544.00,52.25809
545.00,52.25163
546.00,52.25462
547.00,52.24211
548.00,52.21244
549.00,52.20872
550.00,52.19724
551.00,52.15435
552.00,52.12012
553.00,52.11620
554.00,52.05120
555.00,52.02361
556.00,51.95517
557.00,51.98666
558.00,51.92461
559.00,51.88175
560.00,51.81658
561.00,51.79972
562.00,51.77013
563.00,51.71397
564.00,51.67093
565.00,51.63217
566.00,51.58557
567.00,51.54437
568.00,51.50509
569.00,51.45929
570.00,51.43174
571.00,51.40058
572.00,51.34826
573.00,51.28828
574.00,51.24282
575.00,51.18603
576.00,51.21406
577.00,51.12149
578.00,51.13199
579.00,51.06993
580.00,51.06252
581.00,51.00839
582.00,51.02241
583.00,50.97530
584.00,50.96026
585.00,50.95539
586.00,50.91795
587.00,50.91044
588.00,50.90796
589.00,50.91301
590.00,50.92295
591.00,50.89571
592.00,50.88088
593.00,50.89521
594.00,50.87548
595.00,50.90746
596.00,50.90749
597.00,50.92142
598.00,50.96326
599.00,50.92711
600.00,50.99359
601.00,50.99454
602.00,51.04104
603.00,51.05568
604.00,51.06205
605.00,51.10080
606.00,51.15800
607.00,51.18620
608.00,51.21094
609.00,51.24763
610.00,51.30020
611.00,51.35616
612.00,51.36195
613.00,51.42920
614.00,51.47519
615.00,51.54237
