"SapphireDoubleCoated - RawData"
"Wavelength nm.","T%"
200.00,80.86102
201.00,79.83100
202.00,78.81624
203.00,80.06129
204.00,82.26646
205.00,82.07954
206.00,80.19718
207.00,82.18224
208.00,81.49927
209.00,81.53179
210.00,80.38606
211.00,83.83661
212.00,81.00922
213.00,80.43278
214.00,81.35078
215.00,81.09223
216.00,81.98279
217.00,81.73420
218.00,81.00433
219.00,81.72217
220.00,83.34922
221.00,82.28070
222.00,81.59812
223.00,81.81267
224.00,82.14905
225.00,81.83764
226.00,82.52112
227.00,82.17906
228.00,81.99738
229.00,82.27822
230.00,82.71672
231.00,82.69795
232.00,82.14167
233.00,82.50801
234.00,83.83623
235.00,82.43179
236.00,82.46677
237.00,83.45260
238.00,83.39617
239.00,83.45100
240.00,83.44408
241.00,83.66028
242.00,83.57171
243.00,83.43579
244.00,83.71570
245.00,83.92064
246.00,84.34178
247.00,83.95323
248.00,83.39192
249.00,83.93288
250.00,84.51189
251.00,84.15214
252.00,84.08598
253.00,83.96029
254.00,83.42686
255.00,84.35931
256.00,84.35236
257.00,84.08897
258.00,84.06330
259.00,84.21775
260.00,84.30992
261.00,83.86341
262.00,83.67418
263.00,83.98635
264.00,83.95162
265.00,83.97945
266.00,84.53499
267.00,84.39983
268.00,84.43512
269.00,84.87105
270.00,84.37836
271.00,84.67133
272.00,84.34138
273.00,84.40878
274.00,84.51656
275.00,84.58031
276.00,84.15267
277.00,84.25525
278.00,84.89447
279.00,84.15406
280.00,84.74315
281.00,84.34303
282.00,84.74262
283.00,84.59070
284.00,84.31398
285.00,84.65217
286.00,84.72228
287.00,84.49993
288.00,84.66799
289.00,84.89974
290.00,84.79307
291.00,84.78229
292.00,84.66696
293.00,84.72116
294.00,84.65636
295.00,84.76946
296.00,84.71937
297.00,84.36908
298.00,84.07372
299.00,84.55017
300.00,84.55986
301.00,84.85391
302.00,85.17961
303.00,85.03788
304.00,85.36756
305.00,84.67546
306.00,84.86187
307.00,85.49101
308.00,85.27693
309.00,84.67159
310.00,85.17439
311.00,85.33766
312.00,85.21589
313.00,85.37292
314.00,85.17352
315.00,85.49012
316.00,85.51355
317.00,85.04477
318.00,84.92584
319.00,84.92069
320.00,84.86286
321.00,84.79992
322.00,85.09116
323.00,85.05622
324.00,85.27992
325.00,85.07148
326.00,85.30804
327.00,84.79149
328.00,84.90947
329.00,84.94333
330.00,85.01311
331.00,85.04845
332.00,85.19069
333.00,84.71385
334.00,84.63040
335.00,84.87461
336.00,84.76994
337.00,84.63956
338.00,85.10213
339.00,84.92174
340.00,85.17585
341.00,85.31734
342.00,85.03364
343.00,85.38917
344.00,85.18682
345.00,85.19590
346.00,85.18646
347.00,84.76595
348.00,84.91424
349.00,85.19176
350.00,85.07555
351.00,85.17276
352.00,85.34506
353.00,85.46519
354.00,85.28520
355.00,84.94042
356.00,85.44910
357.00,84.70376
358.00,84.96055
359.00,85.51171
360.00,85.31674
361.00,85.07065
362.00,85.10596
363.00,85.32293
364.00,85.05529
365.00,85.25338
366.00,85.01830
367.00,84.97299
368.00,85.21909
369.00,85.19583
370.00,85.73097
371.00,85.27696
372.00,84.70748
373.00,85.47860
374.00,85.37630
375.00,85.21623
376.00,85.29316
377.00,85.21248
378.00,85.22432
379.00,85.26081
380.00,85.42752
381.00,85.39625
382.00,85.23915
383.00,85.39771
384.00,85.38341
385.00,85.36204
386.00,85.25345
387.00,85.18311
388.00,84.99007
389.00,85.45043
390.00,85.50957
