"DPSapphireNormal - RawData"
"Wavelength nm.","T%"
200.00,78.87900
201.00,78.43326
202.00,79.71314
203.00,79.47687
204.00,82.68201
205.00,80.41482
206.00,80.57632
207.00,80.09657
208.00,79.54349
209.00,82.17186
210.00,80.55835
211.00,80.93613
212.00,81.36651
213.00,82.11378
214.00,82.19235
215.00,81.35768
216.00,81.67953
217.00,81.91464
218.00,81.53369
219.00,81.68954
220.00,81.81026
221.00,81.98317
222.00,82.50081
223.00,81.91879
224.00,81.72001
225.00,81.52469
226.00,81.39156
227.00,81.66344
228.00,81.96465
229.00,81.67123
230.00,82.64793
231.00,82.48253
232.00,82.61679
233.00,82.98324
234.00,82.49962
235.00,83.07275
236.00,82.86714
237.00,82.66993
238.00,82.62573
239.00,82.94473
240.00,83.14025
241.00,82.92384
242.00,83.33349
243.00,83.12784
244.00,83.27314
245.00,82.93502
246.00,83.36560
247.00,82.89542
248.00,82.93383
249.00,83.45389
250.00,82.94007
251.00,83.50738
252.00,83.39522
253.00,83.50452
254.00,83.47940
255.00,83.38535
256.00,83.36076
257.00,83.59849
258.00,83.48440
259.00,83.53374
260.00,83.73776
261.00,83.77489
262.00,83.48753
263.00,83.55890
264.00,83.59268
265.00,84.07409
266.00,83.64815
267.00,83.78686
268.00,84.14562
269.00,84.19613
270.00,84.00177
271.00,83.74064
272.00,84.24779
273.00,83.73040
274.00,83.86986
275.00,83.87829
276.00,84.33418
277.00,84.24551
278.00,84.20275
279.00,84.02594
280.00,84.27444
281.00,84.13414
282.00,84.12775
283.00,84.20812
284.00,84.09497
285.00,84.26660
286.00,84.26926
287.00,84.31112
288.00,84.58580
289.00,84.14339
290.00,84.48970
291.00,84.22930
292.00,84.40193
293.00,84.46844
294.00,84.53269
295.00,84.61968
296.00,84.49467
297.00,84.47087
298.00,84.28870
299.00,84.54349
300.00,84.64782
301.00,84.36366
302.00,84.47168
303.00,84.31695
304.00,84.67697
305.00,84.58778
306.00,84.25313
307.00,84.19808
308.00,84.62578
309.00,84.55846
310.00,84.51835
311.00,84.43022
312.00,84.83280
313.00,84.47224
314.00,84.42270
315.00,84.33789
316.00,84.54030
317.00,84.76372
318.00,84.71684
319.00,84.58498
320.00,84.76845
321.00,84.64569
322.00,84.84371
323.00,84.86653
324.00,84.79962
325.00,84.51653
326.00,84.27402
327.00,84.47854
328.00,84.34526
329.00,84.43945
330.00,84.46694
331.00,84.69453
332.00,84.50710
333.00,84.84010
334.00,84.29865
335.00,84.69285
336.00,84.77060
337.00,84.37644
338.00,84.62315
339.00,84.58902
340.00,84.43137
341.00,85.04571
342.00,84.94974
343.00,84.68651
344.00,84.78570
345.00,84.70023
346.00,84.63594
347.00,84.76587
348.00,84.81723
349.00,84.81447
350.00,84.71236
351.00,84.47989
352.00,84.94900
353.00,84.78088
354.00,84.90369
355.00,84.77241
356.00,84.69884
357.00,84.69543
358.00,84.78469
