"DPSapphireNormalVSlow - RawData"
"Wavelength nm.","T%"
200.00,79.28172
201.00,78.98415
202.00,79.61758
203.00,80.48179
204.00,81.30700
205.00,81.16918
206.00,80.45379
207.00,81.25005
208.00,81.67671
209.00,81.34163
210.00,81.30627
211.00,81.65035
212.00,81.86648
213.00,81.65514
214.00,82.20926
215.00,81.84221
216.00,81.79564
217.00,81.73242
218.00,82.06832
219.00,82.28005
220.00,82.20189
221.00,82.27183
222.00,82.33513
223.00,82.27806
224.00,82.44849
225.00,82.40644
226.00,82.64089
227.00,82.43880
228.00,82.75821
229.00,82.87992
230.00,82.83171
231.00,82.88849
232.00,83.14362
233.00,83.06587
234.00,83.09627
235.00,83.26568
236.00,83.34860
237.00,83.12451
238.00,83.57971
239.00,83.54742
240.00,83.55476
241.00,83.84249
242.00,83.64725
243.00,83.71577
244.00,83.62675
245.00,84.04467
246.00,84.02752
247.00,83.82518
248.00,83.79284
249.00,84.00024
250.00,83.84998
251.00,83.76836
252.00,84.04340
253.00,83.97579
254.00,83.83169
255.00,84.02712
256.00,84.28565
257.00,83.88699
258.00,83.86591
259.00,84.10223
260.00,84.17603
261.00,84.12776
262.00,84.37947
263.00,84.16658
264.00,84.32777
265.00,84.28375
266.00,84.13634
267.00,84.35861
268.00,84.24162
269.00,84.22962
270.00,84.40334
271.00,84.56618
272.00,84.34457
273.00,84.40474
274.00,84.45079
275.00,84.21671
276.00,84.48538
277.00,84.35730
278.00,84.52055
279.00,84.47790
280.00,84.34223
281.00,84.49503
282.00,84.39870
283.00,84.58946
284.00,84.64434
285.00,84.55862
286.00,84.47524
287.00,84.71119
288.00,84.67834
289.00,84.54574
290.00,84.64029
291.00,84.71604
292.00,84.64813
293.00,84.69509
294.00,84.79269
295.00,84.75330
296.00,84.70585
297.00,84.76726
298.00,84.92633
299.00,84.76652
300.00,84.81584
301.00,84.65685
302.00,85.01745
303.00,84.67475
304.00,84.89988
305.00,84.85765
306.00,84.89735
307.00,84.81110
308.00,84.84799
309.00,84.89947
310.00,84.79506
311.00,84.93462
312.00,84.92662
313.00,85.04980
314.00,84.96401
315.00,85.00413
316.00,85.04828
317.00,85.18018
318.00,85.07023
319.00,85.10380
320.00,85.13353
321.00,84.97164
322.00,85.23015
323.00,85.03134
324.00,85.09573
325.00,85.07470
326.00,85.12315
327.00,85.26964
328.00,85.09564
329.00,85.17371
330.00,85.10134
331.00,85.16508
332.00,85.16265
333.00,85.18935
334.00,85.15990
335.00,85.25369
336.00,85.20867
337.00,85.27568
338.00,85.37076
339.00,85.20284
340.00,85.16258
341.00,85.23691
342.00,85.15976
343.00,85.28729
344.00,85.32236
345.00,85.32578
346.00,85.29495
347.00,85.13395
348.00,85.25862
349.00,85.20523
350.00,85.32921
351.00,85.42830
352.00,85.21107
353.00,85.38374
354.00,85.33428
355.00,85.29558
356.00,85.27964
357.00,85.29308
358.00,85.35349
359.00,85.28502
360.00,85.37828
361.00,85.33393
362.00,85.38664
363.00,85.39469
364.00,85.37335
365.00,85.45371
366.00,85.43739
367.00,85.57184
368.00,85.58586
369.00,85.40864
370.00,85.47598
371.00,85.58347
372.00,85.43361
373.00,85.39614
374.00,85.34641
375.00,85.46748
376.00,85.47866
377.00,85.40257
378.00,85.59425
379.00,85.53953
380.00,85.57242
381.00,85.43902
382.00,85.50808
383.00,85.51424
384.00,85.59554
385.00,85.53458
386.00,85.53934
387.00,85.52723
388.00,85.53574
389.00,85.55536
390.00,85.48334
391.00,85.51714
392.00,85.57780
393.00,85.59744
394.00,85.52567
395.00,85.50838
396.00,85.57975
397.00,85.57622
398.00,85.56837
399.00,85.64743
400.00,85.57037
401.00,85.63043
402.00,85.60690
403.00,85.55834
404.00,85.59020
405.00,85.59604
406.00,85.61025
407.00,85.61842
408.00,85.52560
409.00,85.56736
410.00,85.63661
411.00,85.58138
412.00,85.60515
413.00,85.61303
414.00,85.59653
415.00,85.65601
416.00,85.60439
417.00,85.61953
418.00,85.61996
419.00,85.63094
420.00,85.61029
421.00,85.67164
422.00,85.62723
423.00,85.58412
424.00,85.67166
425.00,85.63864
426.00,85.57723
427.00,85.69102
428.00,85.65390
429.00,85.66702
430.00,85.66358
431.00,85.67970
432.00,85.68062
433.00,85.68844
434.00,85.65979
435.00,85.68266
436.00,85.71535
437.00,85.71909
438.00,85.68666
439.00,85.69306
440.00,85.72485
441.00,85.71627
442.00,85.62623
443.00,85.70566
444.00,85.71012
445.00,85.68955
446.00,85.67963
447.00,85.67285
448.00,85.73999
449.00,85.72010
450.00,85.74841
451.00,85.66289
452.00,85.72138
453.00,85.77706
454.00,85.73980
455.00,85.67491
456.00,85.79074
457.00,85.75495
458.00,85.73783
459.00,85.67966
460.00,85.71958
461.00,85.72987
462.00,85.74404
463.00,85.75237
464.00,85.77982
465.00,85.71672
466.00,85.74821
467.00,85.73769
468.00,85.78638
469.00,85.70530
470.00,85.74097
471.00,85.75836
472.00,85.73601
473.00,85.78554
474.00,85.76454
475.00,85.76652
476.00,85.77366
477.00,85.79851
478.00,85.77583
479.00,85.79344
480.00,85.77530
481.00,85.81772
482.00,85.74800
483.00,85.76931
484.00,85.79046
485.00,85.80300
486.00,85.84419
487.00,85.74706
488.00,85.76072
489.00,85.78252
490.00,85.81222
491.00,85.77492
492.00,85.77316
493.00,85.80883
494.00,85.80431
495.00,85.81801
496.00,85.80048
497.00,85.83162
498.00,85.80067
499.00,85.81915
500.00,85.82670
501.00,85.80582
502.00,85.80118
503.00,85.82778
504.00,85.78749
505.00,85.83988
506.00,85.84154
507.00,85.84259
508.00,85.80789
509.00,85.82528
510.00,85.84396
511.00,85.85405
512.00,85.82214
513.00,85.78747
514.00,85.83671
515.00,85.86648
516.00,85.88066
517.00,85.84397
518.00,85.85432
519.00,85.85671
520.00,85.87488
521.00,85.82081
522.00,85.81059
523.00,85.84926
524.00,85.90063
525.00,85.85519
526.00,85.81955
527.00,85.89736
528.00,85.84368
529.00,85.87510
530.00,85.86531
531.00,85.91304
532.00,85.91097
533.00,85.87350
534.00,85.91910
535.00,85.86664
536.00,85.91002
537.00,85.88573
538.00,85.85687
539.00,85.90528
540.00,85.84106
541.00,85.86739
542.00,85.91361
543.00,85.88724
544.00,85.90032
545.00,85.90310
546.00,85.85616
547.00,85.90189
548.00,85.89249
549.00,85.87338
550.00,85.88653
551.00,85.90395
552.00,85.92504
553.00,85.89815
554.00,85.86584
555.00,85.89585
556.00,85.94612
557.00,85.93352
558.00,85.91628
559.00,85.90263
560.00,85.86562
561.00,85.91007
562.00,85.88860
563.00,85.89763
564.00,85.87734
565.00,85.86882
566.00,85.88546
567.00,85.96190
568.00,85.93507
569.00,85.91257
570.00,85.94593
571.00,85.88619
572.00,85.91392
573.00,85.92117
574.00,85.91144
575.00,85.89011
576.00,85.89321
577.00,85.91803
578.00,85.93467
579.00,85.95289
580.00,85.87330
581.00,85.89729
582.00,85.93060
583.00,85.91660
584.00,85.93372
585.00,85.92010
586.00,85.91349
587.00,85.94895
588.00,85.91078
589.00,85.95312
590.00,85.90842
591.00,85.95872
592.00,85.93761
593.00,86.02034
594.00,85.93429
595.00,85.96115
596.00,85.93199
597.00,85.98682
598.00,85.94804
599.00,85.95902
600.00,85.93444
601.00,85.95377
602.00,85.94026
603.00,85.93701
604.00,85.95278
605.00,85.98101
606.00,85.93214
607.00,85.97375
608.00,85.93394
609.00,85.92356
610.00,85.99335
611.00,85.95279
612.00,85.93613
613.00,85.93902
614.00,85.92030
615.00,85.97661
616.00,85.95397
617.00,85.94426
618.00,85.97649
619.00,85.97344
620.00,85.97004
621.00,85.98357
622.00,86.02198
623.00,86.01759
624.00,85.98483
625.00,85.96035
626.00,85.98602
627.00,85.95986
628.00,86.00152
629.00,86.00791
630.00,85.97696
631.00,85.98713
632.00,86.00157
633.00,86.01913
634.00,85.97096
635.00,86.01528
636.00,85.98319
637.00,86.02443
638.00,86.01410
639.00,85.99709
640.00,85.98161
641.00,85.98927
642.00,86.00129
643.00,85.97804
644.00,85.97338
645.00,86.00895
646.00,85.97150
647.00,86.03365
648.00,86.06720
649.00,86.05182
650.00,86.00563
651.00,86.02459
652.00,86.02352
653.00,86.03457
654.00,86.05349
655.00,85.97549
656.00,86.03707
657.00,86.08447
658.00,85.98990
659.00,86.00357
660.00,86.07199
661.00,86.00251
662.00,85.98477
663.00,86.00624
664.00,86.00748
665.00,86.07071
666.00,86.03151
667.00,86.04667
668.00,86.02001
669.00,86.07743
670.00,85.99111
671.00,86.06207
672.00,86.04029
673.00,86.00681
674.00,86.07970
675.00,86.04814
676.00,85.99706
677.00,86.01254
678.00,86.11225
679.00,86.06217
680.00,86.06728
681.00,86.02915
682.00,85.98584
683.00,86.03455
684.00,86.04015
685.00,85.95880
686.00,86.04350
687.00,86.02907
688.00,86.07830
689.00,86.03282
690.00,86.04676
691.00,86.06954
692.00,86.07906
693.00,86.08726
694.00,86.02151
695.00,86.06807
696.00,86.01534
697.00,86.08795
698.00,85.99876
