"DPSapphireV10VSlow - RawData"
"Wavelength nm.","T%"
200.00,78.86642
201.00,79.35956
202.00,79.34183
203.00,79.38377
204.00,79.61642
205.00,81.96232
206.00,79.83804
207.00,80.73358
208.00,81.02212
209.00,80.66539
210.00,81.49612
211.00,81.04163
212.00,81.44869
213.00,81.34935
214.00,81.43189
215.00,81.60127
216.00,81.18864
217.00,81.47460
218.00,81.42832
219.00,81.66057
220.00,81.83435
221.00,81.89873
222.00,81.62057
223.00,82.20540
224.00,81.93052
225.00,82.17790
226.00,82.16787
227.00,82.10610
228.00,82.47645
229.00,82.28542
230.00,82.73639
231.00,82.63555
232.00,82.51319
233.00,82.74397
234.00,82.90338
235.00,83.11158
236.00,83.10823
237.00,83.08583
238.00,83.33548
239.00,83.04041
240.00,83.47645
241.00,83.33828
242.00,83.13656
243.00,83.39955
244.00,83.32961
245.00,83.39007
246.00,83.47546
247.00,83.12109
248.00,83.40275
249.00,83.31573
250.00,83.73852
251.00,83.40962
252.00,83.41850
253.00,83.73204
254.00,83.51713
255.00,83.66536
256.00,83.60028
257.00,83.90260
258.00,83.68633
259.00,83.83577
260.00,83.77141
261.00,83.51620
262.00,83.69997
263.00,83.78173
264.00,83.83222
265.00,83.70056
266.00,83.80989
267.00,84.01226
268.00,83.76448
269.00,84.00364
270.00,83.82275
271.00,84.16403
272.00,83.90301
273.00,84.01276
274.00,84.06359
275.00,83.98952
276.00,83.74749
277.00,84.04714
278.00,83.96501
279.00,84.06805
280.00,84.15530
281.00,84.15893
282.00,84.16786
283.00,84.23353
284.00,84.27674
285.00,84.10889
286.00,84.17217
287.00,84.29888
288.00,84.34157
289.00,84.27263
290.00,84.48659
291.00,84.40802
292.00,84.16998
293.00,84.56233
294.00,84.33937
295.00,84.26011
296.00,84.30832
297.00,84.14768
298.00,84.30172
299.00,84.35841
300.00,84.42386
301.00,84.48889
302.00,84.34185
303.00,84.31394
304.00,84.51622
305.00,84.54191
306.00,84.22986
307.00,84.33796
308.00,84.52318
309.00,84.68592
310.00,84.40069
311.00,84.38961
312.00,84.63334
313.00,84.39463
314.00,84.66356
315.00,84.45813
316.00,84.54903
317.00,84.64845
318.00,84.55312
319.00,84.38788
320.00,84.56770
321.00,84.41809
322.00,84.54314
323.00,84.61313
324.00,84.49623
325.00,84.20920
326.00,84.19547
327.00,84.39043
328.00,84.51942
329.00,84.46784
330.00,84.38494
331.00,84.14692
332.00,84.19836
333.00,84.30912
334.00,84.46028
335.00,84.54233
336.00,84.45116
337.00,84.31135
338.00,84.57071
339.00,84.50317
340.00,84.44247
341.00,84.52946
342.00,84.47528
343.00,84.44026
344.00,84.57302
345.00,84.68906
346.00,84.48089
347.00,84.55385
348.00,84.48353
349.00,84.67017
350.00,84.60893
351.00,84.63460
352.00,84.58340
353.00,84.64865
354.00,84.40077
355.00,84.64400
356.00,84.54049
357.00,84.83742
358.00,84.66451
359.00,84.74269
360.00,84.62794
361.00,84.61782
362.00,84.85129
363.00,84.68522
364.00,84.56452
365.00,84.76042
366.00,84.63919
367.00,84.64104
368.00,84.63388
369.00,84.83005
370.00,84.82479
371.00,84.88161
372.00,84.89191
373.00,84.70833
374.00,84.74743
375.00,84.74723
376.00,84.59503
377.00,84.84849
378.00,84.81308
379.00,84.74299
380.00,84.77653
381.00,84.69025
382.00,84.62610
383.00,84.75708
384.00,84.86708
385.00,84.68626
386.00,84.77618
387.00,84.65338
388.00,84.77083
389.00,84.70476
390.00,84.74628
391.00,84.75915
392.00,84.68074
393.00,84.79513
394.00,84.82304
395.00,84.80489
396.00,84.85081
397.00,84.72968
398.00,84.87107
399.00,84.71810
400.00,84.97825
401.00,84.86408
402.00,84.93936
403.00,84.84450
404.00,84.83958
