"SamDResinCoat - RawData"
"Wavelength nm.","T%"
200.00,0.63538
201.00,0.87144
202.00,0.83401
203.00,1.00043
204.00,0.82703
205.00,0.68678
206.00,0.75750
207.00,0.60500
208.00,0.53586
209.00,0.74786
210.00,0.63762
211.00,0.68378
212.00,0.70616
213.00,0.64227
214.00,0.64711
215.00,0.54645
216.00,0.56445
217.00,0.52544
218.00,0.59611
219.00,0.61981
220.00,0.62364
221.00,0.65021
222.00,0.74346
223.00,0.70000
224.00,0.69834
225.00,0.73974
226.00,0.66881
227.00,0.79086
228.00,0.84644
229.00,0.85569
230.00,0.83705
231.00,0.99006
232.00,1.05655
233.00,1.10566
234.00,1.20541
235.00,1.26516
236.00,1.44478
237.00,1.58367
238.00,1.72751
239.00,2.00398
240.00,2.22073
241.00,2.49919
242.00,2.90101
243.00,3.31509
244.00,3.84769
245.00,4.47270
246.00,5.15121
247.00,6.02966
248.00,6.99587
249.00,8.02229
250.00,9.32187
251.00,10.69509
252.00,12.31350
253.00,13.80116
254.00,15.48818
255.00,17.26549
256.00,19.17996
257.00,21.43967
258.00,23.34138
259.00,25.65618
260.00,27.83723
261.00,29.85405
262.00,31.93883
263.00,33.90018
264.00,35.69057
265.00,37.39311
266.00,38.86588
267.00,40.11719
268.00,40.91453
269.00,41.38047
270.00,42.10381
271.00,42.72594
272.00,43.15773
273.00,43.71507
274.00,43.80537
275.00,43.88412
276.00,44.81257
277.00,45.00214
278.00,45.61111
279.00,45.88619
280.00,46.61117
281.00,47.08562
282.00,47.58556
283.00,48.49824
284.00,49.12308
285.00,49.64215
286.00,50.28188
287.00,50.65742
288.00,51.31055
289.00,52.04013
290.00,52.76039
291.00,53.04926
292.00,53.37319
293.00,53.25004
294.00,53.97007
295.00,53.94703
296.00,54.14509
297.00,53.97043
298.00,54.27706
299.00,53.65421
300.00,53.63639
301.00,53.42938
302.00,53.08009
303.00,52.65111
304.00,52.24556
305.00,52.25805
306.00,52.13328
307.00,51.79813
308.00,52.07716
309.00,51.53245
310.00,51.27764
311.00,51.19149
312.00,51.21524
313.00,51.08393
314.00,51.30472
315.00,51.15691
316.00,51.38574
317.00,51.44631
318.00,51.59898
319.00,51.29626
320.00,51.88901
321.00,52.04524
322.00,51.73287
323.00,52.74366
324.00,53.03772
325.00,53.13887
326.00,53.41922
327.00,53.70240
328.00,53.99682
329.00,54.36098
330.00,54.65133
331.00,54.88046
332.00,54.94804
333.00,55.76499
334.00,55.57622
335.00,55.85215
336.00,56.09124
337.00,56.16843
338.00,56.40246
339.00,56.33677
340.00,56.67507
341.00,56.45617
342.00,56.70661
343.00,56.88388
344.00,56.53003
345.00,56.66687
346.00,57.03294
347.00,56.59276
348.00,56.57831
349.00,56.66988
350.00,55.89588
351.00,56.45688
352.00,56.24843
353.00,56.02779
354.00,55.95196
355.00,55.71516
356.00,55.43652
357.00,55.51657
358.00,55.18698
359.00,55.10299
360.00,54.88042
361.00,54.58880
362.00,54.68192
363.00,54.35435
364.00,54.70942
365.00,54.49628
366.00,54.14617
367.00,54.21073
368.00,54.00749
369.00,53.71453
370.00,54.08530
371.00,53.81671
372.00,53.96718
373.00,53.78035
374.00,53.74094
375.00,53.82830
376.00,53.82254
377.00,53.94866
378.00,53.88893
379.00,54.22410
380.00,54.16989
381.00,54.40186
382.00,54.33424
383.00,54.37065
384.00,54.71134
385.00,54.90437
386.00,54.73775
387.00,55.01577
388.00,55.16621
389.00,55.46416
390.00,55.52064
391.00,55.62505
392.00,55.79873
393.00,56.08227
394.00,56.13813
395.00,56.37034
396.00,56.56247
397.00,56.67917
398.00,56.95530
399.00,57.01880
400.00,57.31346
401.00,57.41370
402.00,57.59222
403.00,57.71537
404.00,57.94981
405.00,57.83830
406.00,58.00601
407.00,58.26238
408.00,58.46629
409.00,58.50126
410.00,58.64830
411.00,58.63381
412.00,58.65784
413.00,58.61720
414.00,58.79147
415.00,58.97167
416.00,59.03677
417.00,58.93571
418.00,58.97777
419.00,58.98591
420.00,58.84346
421.00,59.05157
422.00,58.90437
423.00,59.11013
424.00,59.01168
425.00,59.02873
426.00,58.88254
427.00,58.96948
428.00,58.80663
429.00,58.74348
430.00,58.69664
431.00,58.70441
432.00,58.65650
433.00,58.62378
434.00,58.53794
435.00,58.40642
436.00,58.19206
437.00,58.20305
438.00,58.12006
439.00,58.09563
440.00,58.00358
441.00,57.80405
