"SampleCVslow - RawData"
"Wavelength nm.","T%"
200.00,0.36161
201.00,0.24276
202.00,0.17754
203.00,0.28097
204.00,0.14485
205.00,0.15991
206.00,0.14119
207.00,0.12008
208.00,0.13266
209.00,0.12342
210.00,0.12225
211.00,0.13010
212.00,0.10399
213.00,0.11073
214.00,0.09255
215.00,0.10633
216.00,0.13781
217.00,0.12013
218.00,0.13583
219.00,0.12102
220.00,0.10141
221.00,0.08705
222.00,0.13383
223.00,0.12470
224.00,0.11685
225.00,0.11604
226.00,0.11019
227.00,0.14176
228.00,0.13339
229.00,0.10817
230.00,0.12932
231.00,0.13549
232.00,0.16181
233.00,0.17973
234.00,0.19104
235.00,0.20756
236.00,0.24095
237.00,0.31753
238.00,0.35618
239.00,0.45576
240.00,0.57500
241.00,0.73877
242.00,0.95770
243.00,1.26504
244.00,1.64459
245.00,2.13737
246.00,2.69508
247.00,3.37117
248.00,4.15109
249.00,5.09096
250.00,6.20949
251.00,7.60141
252.00,9.20979
253.00,11.14060
254.00,13.41902
255.00,15.98992
256.00,18.95649
257.00,21.99455
258.00,25.06003
259.00,28.09673
260.00,31.02798
261.00,33.82083
262.00,36.60795
263.00,39.09241
264.00,41.35084
265.00,43.31044
266.00,45.02405
267.00,46.73423
268.00,47.93018
269.00,48.80297
270.00,49.50143
271.00,49.97352
272.00,50.53254
273.00,50.59888
274.00,51.01663
275.00,51.10210
276.00,51.44425
277.00,51.90145
278.00,52.30473
279.00,52.82264
280.00,53.32925
281.00,54.11704
282.00,54.69602
283.00,55.24889
284.00,55.65987
285.00,56.12592
286.00,56.44361
287.00,56.79734
288.00,56.89076
289.00,57.00155
290.00,57.10502
291.00,57.07663
292.00,56.82750
293.00,56.64528
294.00,56.57677
295.00,56.50551
296.00,56.30316
297.00,56.36914
298.00,56.49289
299.00,56.48893
300.00,56.81110
301.00,57.01326
302.00,57.19040
303.00,57.54421
304.00,57.94784
305.00,58.35614
306.00,58.56146
307.00,58.96381
308.00,59.19728
309.00,59.30148
310.00,59.65561
311.00,59.66049
312.00,59.75731
313.00,59.92932
314.00,59.71509
315.00,59.69712
316.00,59.56536
317.00,59.45265
318.00,59.19216
319.00,59.07428
320.00,58.72971
321.00,58.82801
322.00,58.58603
323.00,58.22793
324.00,57.96242
325.00,57.96770
326.00,58.06921
327.00,58.07142
328.00,58.10535
329.00,58.31031
330.00,58.35295
331.00,58.56747
332.00,58.65728
333.00,58.93491
334.00,59.24796
335.00,59.31240
336.00,59.67485
337.00,59.87689
338.00,60.01997
339.00,60.42163
340.00,60.46786
341.00,60.53757
342.00,60.79136
343.00,60.79735
344.00,61.01524
345.00,60.94211
346.00,60.98285
347.00,60.84986
348.00,60.83145
349.00,60.83382
350.00,60.65519
351.00,60.51391
352.00,60.27466
353.00,60.07540
354.00,59.97040
355.00,59.74990
356.00,59.55780
357.00,59.54980
358.00,59.26520
359.00,59.16454
360.00,59.03131
361.00,58.97111
362.00,58.86924
363.00,58.80217
364.00,58.88281
365.00,58.88486
366.00,58.97758
367.00,59.05455
368.00,59.06700
369.00,59.27419
370.00,59.39581
371.00,59.48160
372.00,59.70823
373.00,59.89168
374.00,60.07041
375.00,60.28662
376.00,60.46643
377.00,60.62907
378.00,60.76274
379.00,61.01834
380.00,61.14463
381.00,61.35111
382.00,61.49501
383.00,61.59185
384.00,61.73521
385.00,61.77819
386.00,61.85651
387.00,61.93708
388.00,61.96116
389.00,61.90628
390.00,61.95329
391.00,61.87241
392.00,61.86987
393.00,61.84840
394.00,61.66633
395.00,61.63473
396.00,61.53956
397.00,61.30659
398.00,61.30378
399.00,61.07143
400.00,61.01356
401.00,60.87360
402.00,60.74434
403.00,60.66360
404.00,60.50513
405.00,60.36556
406.00,60.24688
407.00,60.17600
408.00,60.07705
409.00,59.95347
410.00,59.90963
411.00,59.82472
412.00,59.83106
413.00,59.79759
414.00,59.76847
415.00,59.81199
416.00,59.81425
417.00,59.82347
418.00,59.88150
419.00,59.92543
420.00,59.99699
421.00,60.11382
422.00,60.20908
423.00,60.31352
424.00,60.48678
425.00,60.58288
426.00,60.69928
427.00,60.81543
428.00,60.92217
429.00,61.12200
430.00,61.26463
431.00,61.41993
432.00,61.50627
433.00,61.71764
434.00,61.86463
435.00,61.98825
436.00,62.08555
437.00,62.26407
438.00,62.35951
439.00,62.49167
440.00,62.57842
441.00,62.69108
442.00,62.75030
443.00,62.86049
444.00,62.87357
445.00,62.95130
446.00,62.95676
447.00,63.01172
448.00,63.02796
449.00,63.04796
450.00,63.00933
451.00,63.01002
452.00,62.94894
453.00,62.91615
454.00,62.86395
455.00,62.78741
456.00,62.77276
457.00,62.68607
458.00,62.62411
459.00,62.48375
460.00,62.40242
461.00,62.36184
462.00,62.20633
463.00,62.14737
464.00,62.04719
465.00,61.90522
466.00,61.82825
467.00,61.74048
468.00,61.65630
469.00,61.53644
470.00,61.45322
471.00,61.31784
472.00,61.23218
473.00,61.16104
474.00,61.07261
475.00,61.03684
476.00,60.95306
477.00,60.92845
478.00,60.85314
479.00,60.79522
480.00,60.75545
481.00,60.76024
482.00,60.72737
483.00,60.73240
484.00,60.69813
485.00,60.74524
486.00,60.74287
487.00,60.77768
488.00,60.80118
489.00,60.83405
490.00,60.88064
491.00,60.94616
492.00,60.95616
493.00,61.04510
494.00,61.09375
495.00,61.16067
496.00,61.23435
497.00,61.36700
498.00,61.41543
499.00,61.47656
500.00,61.61960
501.00,61.71738
502.00,61.78541
503.00,61.92236
504.00,62.02191
505.00,62.13215
506.00,62.25738
507.00,62.35365
508.00,62.47453
509.00,62.58519
510.00,62.71557
511.00,62.79003
512.00,62.90793
513.00,63.00781
514.00,63.11498
515.00,63.21785
516.00,63.27662
517.00,63.44786
518.00,63.50966
519.00,63.58716
520.00,63.70462
521.00,63.79470
522.00,63.82438
523.00,63.88844
524.00,63.97637
525.00,63.98947
526.00,64.06847
527.00,64.11260
528.00,64.20462
529.00,64.19786
530.00,64.22567
531.00,64.22190
532.00,64.27601
533.00,64.27626
534.00,64.22910
535.00,64.26255
536.00,64.28568
537.00,64.26693
538.00,64.25142
539.00,64.21032
540.00,64.20443
541.00,64.17685
542.00,64.17785
543.00,64.10569
544.00,64.01958
545.00,64.03239
546.00,63.93761
547.00,63.92985
548.00,63.87797
549.00,63.80584
550.00,63.75400
551.00,63.69898
552.00,63.61845
553.00,63.57540
554.00,63.48500
555.00,63.41675
556.00,63.34350
557.00,63.27711
558.00,63.20187
559.00,63.15495
560.00,63.07423
561.00,63.02924
562.00,62.94764
563.00,62.90786
564.00,62.83057
565.00,62.75563
566.00,62.68079
567.00,62.66579
568.00,62.59456
569.00,62.53370
570.00,62.47596
571.00,62.46243
572.00,62.32764
573.00,62.32930
574.00,62.28113
575.00,62.24385
576.00,62.19347
577.00,62.15960
578.00,62.10351
579.00,62.10896
580.00,62.08106
581.00,62.07862
582.00,62.06819
583.00,62.05772
584.00,62.07081
585.00,62.08324
586.00,62.00936
587.00,62.04246
588.00,62.04826
589.00,62.06056
590.00,62.08121
591.00,62.07138
592.00,62.12037
593.00,62.11959
594.00,62.14346
595.00,62.15566
596.00,62.24595
597.00,62.26860
598.00,62.28579
599.00,62.32346
600.00,62.41617
