"SubsteateSapphireDoubleVslow2aResin - RawData"
"Wavelength nm.","T%"
200.00,79.46239
201.00,81.58484
202.00,81.36728
203.00,80.53368
204.00,81.65145
205.00,82.33965
206.00,81.84426
207.00,81.96383
208.00,82.06980
209.00,82.80747
210.00,82.70201
211.00,83.20835
212.00,83.16290
213.00,82.22095
214.00,82.36082
215.00,82.46245
216.00,82.85285
217.00,82.84509
218.00,83.27349
219.00,83.12317
220.00,83.02982
221.00,83.57524
222.00,83.38016
223.00,83.67501
224.00,83.54123
225.00,83.65846
226.00,83.66925
227.00,83.42639
228.00,83.17125
229.00,83.46611
230.00,83.89094
231.00,83.80378
232.00,84.20145
233.00,84.03447
234.00,84.08978
235.00,84.28450
236.00,84.27718
237.00,84.45761
238.00,84.70116
239.00,84.67667
240.00,84.59666
241.00,84.51589
242.00,84.93053
243.00,84.94971
244.00,84.84844
245.00,84.83126
246.00,84.98742
247.00,84.80101
248.00,84.82010
249.00,84.92596
250.00,85.05775
251.00,85.08884
252.00,85.03130
253.00,85.17631
254.00,85.23292
255.00,85.16209
256.00,85.19238
257.00,85.23797
258.00,85.18186
259.00,85.33412
260.00,85.47881
261.00,85.19506
262.00,85.27855
263.00,85.43329
264.00,85.37979
265.00,85.29354
266.00,85.42721
267.00,85.38839
268.00,85.27867
269.00,85.20639
270.00,85.47566
271.00,85.50642
272.00,85.59957
273.00,85.51258
274.00,85.57703
275.00,85.60345
276.00,85.57584
277.00,85.61735
278.00,85.41505
279.00,85.49165
280.00,85.66490
281.00,85.71985
282.00,85.79107
283.00,85.73197
284.00,85.71728
285.00,85.84688
286.00,85.81241
287.00,85.57780
288.00,85.88339
289.00,85.97733
290.00,85.79885
291.00,85.85423
292.00,85.75872
293.00,86.05419
294.00,86.05835
295.00,85.96027
296.00,85.98045
297.00,86.25727
298.00,85.98104
299.00,86.04162
300.00,86.04733
301.00,86.07101
302.00,85.99466
303.00,86.06694
304.00,86.21334
305.00,85.98730
306.00,86.60133
307.00,86.96228
308.00,86.48794
309.00,86.73673
310.00,86.62338
311.00,86.63504
312.00,86.56821
313.00,86.68936
314.00,86.71238
315.00,86.60761
316.00,86.58804
317.00,86.66164
318.00,87.08245
319.00,86.94276
320.00,86.65258
321.00,86.99339
322.00,86.77849
323.00,86.89596
324.00,85.38870
325.00,85.32822
326.00,85.32052
327.00,85.10837
328.00,85.30723
329.00,85.40131
330.00,85.33222
331.00,85.18495
332.00,85.21307
333.00,85.46044
334.00,85.37276
335.00,85.44529
336.00,85.54684
337.00,85.50510
338.00,85.36441
339.00,85.43519
340.00,85.44269
341.00,85.49988
342.00,85.53375
343.00,85.32640
344.00,85.36701
345.00,85.58244
346.00,85.41170
347.00,85.50529
348.00,85.48619
349.00,85.58462
350.00,85.56768
351.00,85.51974
352.00,85.68571
353.00,85.31543
354.00,85.50472
355.00,85.52942
356.00,85.61887
357.00,85.46341
358.00,85.28112
359.00,85.48496
360.00,85.46045
361.00,85.41456
362.00,85.38677
363.00,85.57938
364.00,85.62704
365.00,85.54366
366.00,85.58538
367.00,85.61820
368.00,85.59558
369.00,85.49452
370.00,85.32773
371.00,85.46304
372.00,85.48726
373.00,85.59248
374.00,85.55400
375.00,85.51751
376.00,85.49312
377.00,85.47642
378.00,85.64016
379.00,85.51764
380.00,85.61798
381.00,85.68546
382.00,85.62402
383.00,85.65036
384.00,85.53396
385.00,85.53146
386.00,85.60522
387.00,85.49330
388.00,85.73864
389.00,85.46811
390.00,85.64740
391.00,85.49188
392.00,85.65859
393.00,85.59932
394.00,85.63873
395.00,85.64099
396.00,85.60615
397.00,85.64413
398.00,85.69496
399.00,85.74688
400.00,85.70706
401.00,85.58982
402.00,85.53916
403.00,85.64245
404.00,85.55168
405.00,85.70328
406.00,85.60994
407.00,85.71609
408.00,85.63711
409.00,85.74340
410.00,85.65025
411.00,85.63950
412.00,85.67839
413.00,85.68243
414.00,85.72963
415.00,85.73104
416.00,85.64283
417.00,85.70490
418.00,85.68150
419.00,85.69849
420.00,85.69002
421.00,85.78560
422.00,85.74510
423.00,85.61097
424.00,85.69475
425.00,85.70831
426.00,85.73448
427.00,85.76350
428.00,85.73044
429.00,85.75566
430.00,85.76461
431.00,85.78438
432.00,85.71807
433.00,85.82421
434.00,85.81722
435.00,85.81564
436.00,85.79811
437.00,85.81938
438.00,85.78154
439.00,85.77740
440.00,85.78980
441.00,85.81045
442.00,85.83591
443.00,85.82250
444.00,85.79650
445.00,85.76385
446.00,85.80627
447.00,85.84483
448.00,85.78507
449.00,85.83683
450.00,85.84386
451.00,85.85594
452.00,85.86619
453.00,85.88884
454.00,85.75762
455.00,85.86553
456.00,85.94741
457.00,85.85874
458.00,85.86012
459.00,85.91108
460.00,85.89349
461.00,85.82382
462.00,85.84492
463.00,85.87771
464.00,85.88268
465.00,85.85890
466.00,85.88803
467.00,85.85044
468.00,85.88718
469.00,85.90758
470.00,85.93350
471.00,85.91694
472.00,85.87723
473.00,86.00958
474.00,85.91120
475.00,85.91530
476.00,86.00287
477.00,85.93081
478.00,85.93637
479.00,85.85663
480.00,85.91562
481.00,85.91706
482.00,85.87849
483.00,85.84046
484.00,85.89590
485.00,85.83703
486.00,85.86366
487.00,85.85919
488.00,85.76072
489.00,85.85402
490.00,85.83038
491.00,85.85565
492.00,85.88295
493.00,85.83248
494.00,85.86679
495.00,85.88015
496.00,85.84518
497.00,85.87661
498.00,85.89972
499.00,85.90220
500.00,85.87319
501.00,85.85297
502.00,85.87210
503.00,85.84581
504.00,85.90927
505.00,85.87861
506.00,85.84890
507.00,85.90270
508.00,85.88579
509.00,85.91536
510.00,85.85190
511.00,85.90036
512.00,85.88192
513.00,85.83459
514.00,85.88657
515.00,85.85041
516.00,85.91572
517.00,85.89542
518.00,85.97129
519.00,85.88991
520.00,85.97646
521.00,85.94959
522.00,85.97152
523.00,85.90206
524.00,85.91375
525.00,85.97347
526.00,85.97136
527.00,85.90553
528.00,85.99880
529.00,85.93213
530.00,85.88510
531.00,85.90013
532.00,85.92367
533.00,85.94061
534.00,86.03727
535.00,85.92231
536.00,85.93811
537.00,85.88139
538.00,85.84616
539.00,85.81101
540.00,85.86695
541.00,85.87053
542.00,85.79702
543.00,85.86698
544.00,85.88912
545.00,85.85647
546.00,85.85051
547.00,85.84995
548.00,85.85829
549.00,85.82761
550.00,85.86391
551.00,85.81464
552.00,85.89322
553.00,85.91320
554.00,85.90491
555.00,85.87654
556.00,85.87924
557.00,85.95197
558.00,85.96522
559.00,85.93334
560.00,85.90580
561.00,85.95007
562.00,85.86960
563.00,85.94167
564.00,86.00034
565.00,86.02163
566.00,85.98631
567.00,86.04904
568.00,85.94028
569.00,85.99327
570.00,86.04613
571.00,85.93274
572.00,85.98819
573.00,85.95293
574.00,85.99462
575.00,85.85657
576.00,85.91652
577.00,85.85692
578.00,85.94314
579.00,85.91091
580.00,85.78603
581.00,85.83892
582.00,85.81350
583.00,85.84069
584.00,85.81154
585.00,85.86981
586.00,85.78676
587.00,85.81539
588.00,85.79669
589.00,85.83612
590.00,85.81647
591.00,85.80016
592.00,85.82962
593.00,85.81878
594.00,85.82966
595.00,85.79624
596.00,85.82909
597.00,85.76143
598.00,85.82554
599.00,85.80772
600.00,85.85321
601.00,85.88974
602.00,85.84406
603.00,85.84804
604.00,85.84606
605.00,85.85467
606.00,85.82391
607.00,85.80983
608.00,85.89339
609.00,85.86447
610.00,85.86856
611.00,85.87254
612.00,85.91055
613.00,85.90020
614.00,85.97046
615.00,85.85156
616.00,85.90308
617.00,85.95354
618.00,85.91934
619.00,85.89926
620.00,85.96580
621.00,85.99876
622.00,85.89444
623.00,85.89309
624.00,85.91287
625.00,85.94463
626.00,85.92311
627.00,85.87981
628.00,85.95968
629.00,85.97662
630.00,85.99036
631.00,85.94334
632.00,86.04823
633.00,85.93856
634.00,85.94459
635.00,85.92354
636.00,85.93783
637.00,85.88030
638.00,85.95260
639.00,85.99380
640.00,85.99465
641.00,85.97000
642.00,86.02039
643.00,85.93600
644.00,86.05520
645.00,85.90475
646.00,85.96871
647.00,85.95548
648.00,85.99633
649.00,85.99372
650.00,86.01288
651.00,86.08336
652.00,86.00057
653.00,86.03095
654.00,86.12344
655.00,86.10085
656.00,86.01635
657.00,86.03923
658.00,85.95411
659.00,86.03585
660.00,86.07797
661.00,86.09035
662.00,86.06051
663.00,86.06597
664.00,86.05768
665.00,86.03764
