"SubsteateSapphireDoubleVslowResin - RawData"
"Wavelength nm.","T%"
200.00,79.17488
201.00,80.70849
202.00,79.39842
203.00,79.84216
204.00,79.68382
205.00,80.58754
206.00,80.54693
207.00,80.60052
208.00,81.41735
209.00,82.07863
210.00,81.76027
211.00,82.45904
212.00,81.82395
213.00,81.28033
214.00,81.99515
215.00,81.48499
216.00,82.07104
217.00,82.06375
218.00,82.16164
219.00,81.92893
220.00,82.25732
221.00,82.90109
222.00,82.06509
223.00,82.47953
224.00,82.21664
225.00,82.53254
226.00,82.74729
227.00,82.21706
228.00,82.97116
229.00,82.79165
230.00,82.94899
231.00,82.33421
232.00,83.23229
233.00,83.08743
234.00,83.63611
235.00,83.48320
236.00,83.54828
237.00,83.33403
238.00,83.68614
239.00,83.81127
240.00,83.45347
241.00,83.66148
242.00,83.74607
243.00,83.51312
244.00,83.65651
245.00,83.75475
246.00,83.78990
247.00,83.77694
248.00,84.01256
249.00,84.00360
250.00,84.00019
251.00,84.11110
252.00,83.95579
253.00,84.09285
254.00,84.18059
255.00,84.15193
256.00,84.15997
257.00,84.21683
258.00,84.31539
259.00,84.44434
260.00,84.37544
261.00,84.09069
262.00,84.20491
263.00,84.48025
264.00,84.23923
265.00,84.16122
266.00,84.35735
267.00,84.33574
268.00,84.27400
269.00,84.27206
270.00,84.47333
271.00,84.34484
272.00,84.60971
273.00,84.37641
274.00,84.62861
275.00,84.73755
276.00,84.57300
277.00,84.38648
278.00,84.73081
279.00,84.47694
280.00,84.61151
281.00,84.68803
282.00,84.95216
283.00,84.67754
284.00,84.56656
285.00,84.72513
286.00,84.73901
287.00,84.69555
288.00,84.77563
289.00,84.88796
290.00,85.03100
291.00,84.84492
292.00,84.87955
293.00,84.93278
294.00,84.93515
295.00,84.89817
296.00,84.84207
297.00,85.11531
298.00,84.98535
299.00,84.95976
300.00,85.05071
301.00,85.19419
302.00,85.05672
303.00,85.15465
304.00,85.04962
305.00,84.96200
306.00,85.74653
307.00,86.05017
308.00,85.99524
309.00,85.89689
310.00,85.80281
311.00,85.68801
312.00,85.78325
313.00,85.72133
314.00,85.67603
315.00,85.97982
316.00,85.80778
317.00,85.75829
318.00,86.00740
319.00,86.14138
320.00,86.11967
321.00,86.21721
322.00,85.92877
323.00,86.31260
324.00,84.43461
325.00,84.55718
326.00,84.37094
327.00,84.38933
328.00,84.46431
329.00,84.36423
330.00,84.58580
331.00,84.41982
332.00,84.62436
333.00,84.52097
334.00,84.54342
335.00,84.70630
336.00,84.67087
337.00,84.71428
338.00,84.58795
339.00,84.60459
340.00,84.56069
341.00,84.64103
342.00,84.66280
343.00,84.55918
344.00,84.49844
345.00,84.49633
346.00,84.60910
347.00,84.56455
348.00,84.78855
349.00,84.62474
350.00,84.65241
351.00,84.71796
352.00,84.76660
353.00,84.45734
354.00,84.70863
355.00,84.77011
356.00,84.71618
357.00,84.63309
358.00,84.53507
359.00,84.84589
360.00,84.57525
361.00,84.74665
362.00,84.53798
363.00,84.92558
364.00,84.69521
365.00,84.58729
366.00,84.59632
367.00,84.71186
368.00,84.74846
369.00,84.60906
370.00,84.57249
371.00,84.63196
372.00,84.72904
