"DiffRefSampleCVSlow070622 - RawData"
"Wavelength nm.","R%"
190.00,5.00201
191.00,4.53326
192.00,4.66193
193.00,4.56825
194.00,4.23092
195.00,4.54038
196.00,4.04436
197.00,4.17997
198.00,4.12060
199.00,4.03564
200.00,4.09401
201.00,4.18608
202.00,4.14928
203.00,4.09162
204.00,4.17271
205.00,4.12514
206.00,4.19431
207.00,4.24268
208.00,4.27058
209.00,4.26115
210.00,4.31558
211.00,4.32792
212.00,4.26605
213.00,4.27463
214.00,4.23497
215.00,4.27581
216.00,4.23601
217.00,4.19938
218.00,4.19617
219.00,4.15691
220.00,4.13305
221.00,4.08554
222.00,4.08978
223.00,4.05034
224.00,4.03284
225.00,4.03853
226.00,4.01762
227.00,3.99560
228.00,3.95990
229.00,3.96570
230.00,3.97303
231.00,3.94762
232.00,3.95184
233.00,3.95192
234.00,3.95560
235.00,3.96474
236.00,3.94534
237.00,3.96016
238.00,3.96487
239.00,3.98205
240.00,3.99016
241.00,3.96218
242.00,3.97305
243.00,3.95208
244.00,3.96785
245.00,3.96644
246.00,3.96416
247.00,3.98415
248.00,3.98102
249.00,3.98789
250.00,3.99572
251.00,4.04016
252.00,4.13026
253.00,4.29127
254.00,4.55105
255.00,4.98167
256.00,5.61133
257.00,6.33466
258.00,7.16103
259.00,7.94934
260.00,8.74286
261.00,9.50068
262.00,10.23608
263.00,10.97282
264.00,11.65086
265.00,12.40135
266.00,13.15660
267.00,13.93635
268.00,14.60775
269.00,15.23134
270.00,15.76767
271.00,16.14854
272.00,16.48373
273.00,16.65848
274.00,16.71847
275.00,16.77092
276.00,16.75899
277.00,16.67454
278.00,16.72307
279.00,16.73873
280.00,16.79180
281.00,16.85081
282.00,17.02693
283.00,17.23428
284.00,17.42888
285.00,17.66744
286.00,17.89143
287.00,18.03461
288.00,18.27172
289.00,18.41492
290.00,18.46712
291.00,18.52349
292.00,18.51066
293.00,18.50053
294.00,18.42730
295.00,18.30956
296.00,18.20635
297.00,18.08500
298.00,17.96410
299.00,17.84196
300.00,17.73034
301.00,17.65371
302.00,17.65592
303.00,17.59844
304.00,17.57346
305.00,17.69549
306.00,17.86414
307.00,17.91689
308.00,18.06107
309.00,18.07481
310.00,18.23006
311.00,18.33269
312.00,18.45364
313.00,18.48032
314.00,18.49994
315.00,18.65738
316.00,18.70107
317.00,18.61053
318.00,18.58653
319.00,18.54415
320.00,18.47885
321.00,18.35342
322.00,18.29625
323.00,18.13690
324.00,18.02939
325.00,17.87315
326.00,17.80669
327.00,17.70191
328.00,17.59440
329.00,17.56271
330.00,17.46490
331.00,17.40275
332.00,17.36345
333.00,17.35069
334.00,17.38397
335.00,17.38398
336.00,17.43092
337.00,17.50964
338.00,17.56475
339.00,17.58806
340.00,17.66900
341.00,17.70786
342.00,17.77251
343.00,17.87241
344.00,17.93411
345.00,18.00124
346.00,18.02214
347.00,18.04621
348.00,18.08825
349.00,18.06169
350.00,18.03955
351.00,18.02544
352.00,17.96605
353.00,17.93061
354.00,17.86778
355.00,17.80483
356.00,17.70900
357.00,17.62735
358.00,17.52893
359.00,17.43659
360.00,17.36781
361.00,17.25868
362.00,17.15490
363.00,17.06527
364.00,16.95897
365.00,16.89098
366.00,16.82166
367.00,16.74083
368.00,16.71533
369.00,16.68560
370.00,16.64509
371.00,16.64519
372.00,16.61807
373.00,16.67668
374.00,16.68315
375.00,16.69392
376.00,16.73473
377.00,16.75993
378.00,16.82579
379.00,16.85710
380.00,16.90955
381.00,16.95294
382.00,16.99182
383.00,17.02288
384.00,17.06239
385.00,17.12494
386.00,17.15277
387.00,17.17269
388.00,17.21372
389.00,17.23390
390.00,17.24672
391.00,17.24601
392.00,17.25730
393.00,17.24827
394.00,17.23577
395.00,17.20899
396.00,17.18374
397.00,17.13444
398.00,17.10024
399.00,17.04270
400.00,16.97675
401.00,16.93249
402.00,16.87640
403.00,16.81812
404.00,16.73513
405.00,16.67066
406.00,16.61388
407.00,16.53995
408.00,16.45865
409.00,16.40319
410.00,16.33826
411.00,16.25734
412.00,16.20324
413.00,16.14309
414.00,16.10253
415.00,16.05017
416.00,16.00894
417.00,15.95589
418.00,15.92746
419.00,15.91707
420.00,15.87081
421.00,15.86263
422.00,15.84314
423.00,15.82035
424.00,15.82419
425.00,15.82968
426.00,15.82781
427.00,15.84222
428.00,15.84119
429.00,15.86157
430.00,15.89820
431.00,15.90631
432.00,15.94383
433.00,15.96150
434.00,15.99696
435.00,16.01574
436.00,16.04250
437.00,16.07289
438.00,16.09846
439.00,16.13062
440.00,16.16463
441.00,16.18537
442.00,16.21683
443.00,16.24014
444.00,16.26176
445.00,16.26976
446.00,16.28908
447.00,16.29257
448.00,16.29905
449.00,16.31158
450.00,16.29730
451.00,16.29438
452.00,16.28738
453.00,16.27181
454.00,16.25253
455.00,16.22260
456.00,16.20539
457.00,16.17975
458.00,16.12528
459.00,16.10040
460.00,16.06132
461.00,16.02226
462.00,15.96859
463.00,15.93276
464.00,15.88153
465.00,15.82435
466.00,15.79756
467.00,15.73234
468.00,15.69033
469.00,15.64385
470.00,15.58650
471.00,15.54638
472.00,15.49049
473.00,15.45163
474.00,15.40362
475.00,15.35043
476.00,15.29924
477.00,15.26425
478.00,15.20674
479.00,15.16157
480.00,15.11293
481.00,15.08021
482.00,15.04604
483.00,15.01220
484.00,14.98506
485.00,14.94950
486.00,14.93703
487.00,14.90390
