"DPSubstrateStandardHolder - RawData"
"Wavelength nm.","T%"
190.00,79.89974
191.00,79.27263
192.00,80.11712
193.00,83.74932
194.00,79.94274
195.00,78.65152
196.00,77.42651
197.00,84.27098
198.00,78.88740
199.00,83.36465
200.00,80.36821
201.00,81.79323
202.00,80.31549
203.00,80.49619
204.00,77.26206
205.00,80.41177
206.00,79.75675
207.00,80.89554
208.00,80.78562
209.00,81.14694
210.00,81.26935
211.00,79.86567
212.00,83.05948
213.00,80.82455
214.00,81.18040
215.00,83.09284
216.00,82.87129
217.00,82.09674
218.00,80.82033
219.00,82.12855
220.00,81.68465
221.00,82.45857
222.00,82.30783
223.00,81.78151
224.00,82.67686
225.00,82.11603
226.00,81.81261
227.00,83.46688
228.00,82.74994
229.00,82.93977
230.00,82.12213
231.00,82.16905
232.00,82.80134
233.00,82.46519
234.00,82.19559
235.00,82.60888
236.00,83.30204
237.00,83.43569
238.00,82.94222
239.00,83.01855
240.00,83.49016
241.00,82.97175
242.00,83.59646
243.00,83.69370
244.00,83.73461
245.00,83.27711
246.00,83.79552
247.00,83.65914
248.00,83.88254
249.00,83.88454
250.00,84.03431
251.00,84.26514
252.00,83.49349
253.00,83.87266
254.00,83.75518
255.00,83.68834
256.00,83.60636
257.00,83.63087
258.00,83.77557
259.00,83.95029
260.00,83.65856
261.00,83.97711
262.00,84.27179
263.00,83.21176
264.00,83.88288
265.00,84.16104
266.00,84.12765
267.00,83.96843
268.00,83.99681
269.00,84.64729
270.00,83.65900
271.00,84.15104
272.00,84.64170
273.00,84.29430
274.00,84.06225
275.00,84.33930
276.00,84.57691
277.00,84.17491
278.00,83.93012
279.00,84.32814
280.00,84.14050
281.00,83.59864
282.00,84.60691
283.00,84.70564
284.00,84.57729
285.00,84.68803
286.00,84.62729
287.00,84.25647
288.00,84.29371
289.00,84.59948
290.00,84.62536
291.00,84.56667
292.00,84.54331
293.00,84.61081
294.00,84.15027
295.00,84.71456
296.00,84.36744
297.00,84.56594
298.00,84.79574
299.00,84.04071
300.00,84.84173
301.00,84.52119
302.00,84.07414
303.00,84.86412
304.00,84.77069
305.00,84.90447
306.00,84.58922
307.00,84.74216
308.00,85.33720
309.00,84.85487
310.00,84.33737
