"SapphireSingleCoatedA - RawData"
"Wavelength nm.","T%"
200.00,47.85513
201.00,46.62161
202.00,49.62248
203.00,49.92803
204.00,49.86377
205.00,49.19275
206.00,51.55498
207.00,51.05830
208.00,52.02538
209.00,51.43479
210.00,51.75492
211.00,54.25013
212.00,52.83564
213.00,52.58054
214.00,52.22865
215.00,52.83275
216.00,52.95088
217.00,52.41686
218.00,52.65207
219.00,52.72865
220.00,53.08974
221.00,53.73158
222.00,52.32342
223.00,52.87428
224.00,53.07204
225.00,52.73576
226.00,53.33299
227.00,53.71397
228.00,52.50764
229.00,53.12477
230.00,54.08948
231.00,54.18957
232.00,54.25982
233.00,54.89532
234.00,55.09056
235.00,55.00349
236.00,55.51419
237.00,55.71342
238.00,55.78162
239.00,56.24042
240.00,56.36634
241.00,56.66463
242.00,56.62499
243.00,56.98223
244.00,57.37028
245.00,58.04766
246.00,57.91615
247.00,57.39168
248.00,57.99489
249.00,58.30165
250.00,58.83296
251.00,58.49998
252.00,58.98936
253.00,59.03717
254.00,59.15606
255.00,59.38303
256.00,59.26622
257.00,59.52970
258.00,59.31576
259.00,59.56211
260.00,59.97800
261.00,59.68676
262.00,59.71777
263.00,59.93955
264.00,59.64189
265.00,59.90586
266.00,59.93209
267.00,59.87788
268.00,60.19156
269.00,60.13603
270.00,60.07739
271.00,60.27072
272.00,60.32999
273.00,60.13404
274.00,60.34340
275.00,60.21701
276.00,60.02108
277.00,60.37794
278.00,60.34161
279.00,60.35036
280.00,60.92384
281.00,60.47539
282.00,60.98593
283.00,60.65378
284.00,60.84241
285.00,60.76689
286.00,61.16391
287.00,60.85735
288.00,61.26886
289.00,61.80747
290.00,61.72744
291.00,61.92878
292.00,61.94029
293.00,61.62910
294.00,62.14167
295.00,61.98233
296.00,61.62151
297.00,62.05248
298.00,62.23025
299.00,62.20884
300.00,62.28095
301.00,62.63041
302.00,62.74478
303.00,62.94273
304.00,62.70207
305.00,62.80434
306.00,62.93197
307.00,63.19101
308.00,63.05031
309.00,63.35026
310.00,63.07847
311.00,63.53835
312.00,63.33742
313.00,63.48411
314.00,63.30159
315.00,63.76539
316.00,63.57858
317.00,63.97398
318.00,63.41038
319.00,63.95671
320.00,64.06891
321.00,63.82191
322.00,63.92407
323.00,63.47331
324.00,63.84383
325.00,64.31053
326.00,64.27352
327.00,63.55721
328.00,64.15178
329.00,64.32707
330.00,64.10252
331.00,64.02395
332.00,64.31669
333.00,64.11265
334.00,64.34767
335.00,64.46531
336.00,64.46736
337.00,64.40639
338.00,64.84777
339.00,64.48638
340.00,64.64779
341.00,64.72318
342.00,64.82586
343.00,64.97902
344.00,65.23880
345.00,64.91079
346.00,64.76906
347.00,64.81026
348.00,65.00579
349.00,64.88163
350.00,65.15427
351.00,64.92550
352.00,65.31118
353.00,65.27961
354.00,65.32140
355.00,65.01945
356.00,65.52610
357.00,64.82471
358.00,65.28606
359.00,65.18207
360.00,65.19335
361.00,65.39107
362.00,65.16936
363.00,65.33172
364.00,65.14017
365.00,65.33567
366.00,65.15142
367.00,64.93548
368.00,65.01061
369.00,65.24752
370.00,65.53940
371.00,64.90936
372.00,64.95403
373.00,65.31265
374.00,65.37729
375.00,65.39986
376.00,65.32204
377.00,65.48304
378.00,65.40838
379.00,65.61399
380.00,65.28301
381.00,65.32959
382.00,65.38913
383.00,65.59249
384.00,65.62545
385.00,65.68261
386.00,65.45969
387.00,65.59099
388.00,65.39621
389.00,65.41636
390.00,65.55122
391.00,65.60287
392.00,65.59653
393.00,65.71698
394.00,65.66380
395.00,65.65595
396.00,65.77997
397.00,65.75846
398.00,65.70423
399.00,65.78429
400.00,65.79773
401.00,65.75503
402.00,65.93431
403.00,65.89810
404.00,65.88089
405.00,65.84908
406.00,66.02635
407.00,65.90878
408.00,65.99309
409.00,65.91665
410.00,66.04773
411.00,65.85690
412.00,65.80299
413.00,65.85830
414.00,66.07981
415.00,66.06461
416.00,65.98537
417.00,66.07838
418.00,66.12004
419.00,66.18758
420.00,66.00160
421.00,66.21205
422.00,66.22015
423.00,66.17825
424.00,66.26971
425.00,66.34443
426.00,66.26483
427.00,66.41259
428.00,66.27778
429.00,66.36989
430.00,66.39221
431.00,66.34357
432.00,66.37833
433.00,66.56426
434.00,66.30415
435.00,66.46819
436.00,66.47074
437.00,66.53855
438.00,66.45962
439.00,66.51320
440.00,66.61123
441.00,66.57203
442.00,66.51606
443.00,66.50427
444.00,66.57534
445.00,66.67836
446.00,66.58841
447.00,66.73272
448.00,66.60111
449.00,66.57583
450.00,66.55663
451.00,66.54952
452.00,66.72823
453.00,66.75385
454.00,66.68000
455.00,66.70121
456.00,66.65860
457.00,66.75990
458.00,66.66295
459.00,66.68651
460.00,66.82031
461.00,66.72429
462.00,66.83342
463.00,66.73473
464.00,66.77526
465.00,66.85102
466.00,66.71116
467.00,66.74362
468.00,66.86715
469.00,66.71172
470.00,66.85534
471.00,66.90087
472.00,66.77319
473.00,67.01270
474.00,66.88058
475.00,66.83913
476.00,66.86180
477.00,67.04911
478.00,66.90791
479.00,66.85850
480.00,66.89805
481.00,67.06876
482.00,66.98129
483.00,67.04702
484.00,66.96066
485.00,66.93569
486.00,66.99011
487.00,67.10519
488.00,67.08829
489.00,66.98527
490.00,67.02413
491.00,67.17799
492.00,67.12690
493.00,67.09532
494.00,67.12338
495.00,67.06442
496.00,67.04674
497.00,67.07774
498.00,67.23578
499.00,67.12274
500.00,67.19502
501.00,67.22983
502.00,67.16917
503.00,67.25247
504.00,67.15168
505.00,67.33223
506.00,67.23730
507.00,67.24817
508.00,67.13535
509.00,67.20568
510.00,67.26404
511.00,67.17671
512.00,67.24785
513.00,67.24812
514.00,67.22844
515.00,67.29028
516.00,67.22379
517.00,67.53891
518.00,67.27780
519.00,67.27805
520.00,67.42750
521.00,67.35996
522.00,67.38610
523.00,67.37368
524.00,67.49777
525.00,67.42103
526.00,67.40406
527.00,67.43395
528.00,67.56427
529.00,67.47829
530.00,67.40527
531.00,67.50116
532.00,67.48713
533.00,67.49594
534.00,67.48222
535.00,67.39867
536.00,67.47341
537.00,67.42246
538.00,67.57550
539.00,67.59911
540.00,67.50824
541.00,67.56709
542.00,67.57253
543.00,67.64601
544.00,67.62749
545.00,67.62203
546.00,67.66193
547.00,67.64973
548.00,67.69297
549.00,67.66158
550.00,67.76745
551.00,67.67997
552.00,67.56594
553.00,67.73130
554.00,67.69764
555.00,67.71709
556.00,67.69850
557.00,67.74842
558.00,67.79152
559.00,67.75743
560.00,67.85116
561.00,67.79400
562.00,67.83335
563.00,67.73397
564.00,67.89330
565.00,67.90040
566.00,67.80254
567.00,67.97895
568.00,67.83327
569.00,67.81060
570.00,67.88720
571.00,67.88154
572.00,67.79774
573.00,67.89282
574.00,67.80028
575.00,67.87795
576.00,67.87589
577.00,67.93913
578.00,67.89976
579.00,67.92405
580.00,67.96757
581.00,68.08898
582.00,68.08494
583.00,68.06540
584.00,67.96715
585.00,68.13154
586.00,68.12540
587.00,68.00860
588.00,68.00411
589.00,68.05637
590.00,68.05494
591.00,68.12564
592.00,68.09356
593.00,68.15489
594.00,68.03972
595.00,68.03325
596.00,68.10126
597.00,68.15950
598.00,68.17197
599.00,68.08469
600.00,68.24957
601.00,68.10377
602.00,68.26213
603.00,68.24527
604.00,68.25407
605.00,68.15261
606.00,68.20984
607.00,68.23556
608.00,68.18966
609.00,68.32396
610.00,68.30384
611.00,68.28063
612.00,68.35437
613.00,68.26725
614.00,68.35507
615.00,68.26600
616.00,68.38694
617.00,68.42676
618.00,68.28829
619.00,68.39243
620.00,68.42800
621.00,68.35423
622.00,68.31186
623.00,68.50410
624.00,68.37444
625.00,68.44311
626.00,68.50623
627.00,68.36517
628.00,68.53676
629.00,68.51945
630.00,68.47793
631.00,68.53335
632.00,68.60662
633.00,68.54193
634.00,68.53297
635.00,68.50905
636.00,68.59649
637.00,68.64848
638.00,68.51114
639.00,68.47354
640.00,68.60743
641.00,68.54318
642.00,68.66403
643.00,68.59633
644.00,68.53335
645.00,68.73720
646.00,68.75045
647.00,68.63372
648.00,68.73767
649.00,68.74455
650.00,68.69995
651.00,68.74678
652.00,68.77726
653.00,68.66762
654.00,68.82240
655.00,68.70476
656.00,68.83804
657.00,68.78755
658.00,68.75427
659.00,68.80662
660.00,68.82915
661.00,68.71430
662.00,68.88039
663.00,68.80639
664.00,68.77432
665.00,68.95534
666.00,68.89040
667.00,68.92962
668.00,68.90678
669.00,68.76030
670.00,69.01987
671.00,68.83962
672.00,68.99927
673.00,69.05291
674.00,68.92526
675.00,68.97160
676.00,68.94832
677.00,69.05718
678.00,69.14281
679.00,69.06055
680.00,69.11209
681.00,69.08850
682.00,69.16636
683.00,69.06683
684.00,69.19918
685.00,69.07976
686.00,69.13732
687.00,69.12358
688.00,69.09462
689.00,69.24295
690.00,69.33786
691.00,69.09978
692.00,69.16967
693.00,69.15280
694.00,69.32097
695.00,69.38530
696.00,69.36860
697.00,69.33094
698.00,69.31620
699.00,69.07337
700.00,69.21043
701.00,69.24042
702.00,69.35275
703.00,69.21031
704.00,69.26253
705.00,69.48385
706.00,69.25210
707.00,69.41530
708.00,69.48043
709.00,69.51764
710.00,69.42967
711.00,69.45646
712.00,69.55401
713.00,69.48807
714.00,69.31695
715.00,69.57397
716.00,69.39495
717.00,69.65930
718.00,69.44454
719.00,69.53167
720.00,69.54147
721.00,69.39661
722.00,69.56326
723.00,69.84183
724.00,69.54961
725.00,69.49345
726.00,69.73754
727.00,69.65711
728.00,69.62016
729.00,69.51613
730.00,69.56881
731.00,69.83482
732.00,69.68062
733.00,69.40317
734.00,69.90724
735.00,69.55544
736.00,69.83016
737.00,69.61214
738.00,69.87181
739.00,69.80842
740.00,69.59646
741.00,69.87402
742.00,69.81089
743.00,69.77667
744.00,69.76364
745.00,69.92980
746.00,69.81258
747.00,69.67186
748.00,69.64782
749.00,69.94998
750.00,69.42651
751.00,69.78321
752.00,70.22290
753.00,70.04790
