"SapphireDoubleResin - RawData"
"Wavelength nm.","T%"
200.00,81.11885
201.00,79.60658
202.00,81.38962
203.00,80.38175
204.00,82.80523
205.00,83.34767
206.00,81.76665
207.00,81.10983
208.00,82.48160
209.00,81.95423
210.00,82.99243
211.00,83.08456
212.00,82.55827
213.00,83.48044
214.00,82.99063
215.00,81.37749
216.00,83.12967
217.00,82.75864
218.00,82.67040
219.00,83.55359
220.00,83.29933
221.00,82.73144
222.00,82.90877
223.00,82.97386
224.00,82.89571
225.00,83.17391
226.00,83.01086
227.00,82.96554
228.00,83.01343
229.00,83.48498
230.00,83.46317
231.00,83.28887
232.00,84.22180
233.00,83.72453
234.00,83.11410
235.00,83.08585
236.00,84.12371
237.00,84.23138
238.00,84.29009
239.00,84.13851
240.00,84.21952
241.00,84.53709
242.00,84.23726
243.00,84.86642
244.00,84.15352
245.00,84.39353
246.00,84.73244
247.00,84.75592
248.00,84.35485
249.00,84.38011
250.00,84.55187
251.00,84.36517
252.00,84.50171
253.00,84.67413
254.00,84.83688
255.00,84.74709
256.00,84.65502
257.00,84.46304
258.00,85.01933
259.00,84.34674
260.00,84.86053
261.00,85.22379
262.00,84.64200
263.00,84.77398
264.00,85.08088
265.00,85.22114
266.00,85.13930
267.00,85.21398
268.00,85.22890
269.00,84.89509
270.00,85.18625
271.00,85.11417
272.00,85.00710
273.00,85.01958
274.00,85.18561
275.00,85.03811
276.00,85.14445
277.00,85.23071
278.00,85.40198
279.00,85.20628
280.00,84.94857
281.00,84.95619
282.00,84.87012
283.00,85.37769
284.00,85.35542
285.00,85.45818
286.00,84.45529
287.00,85.78903
288.00,85.23266
289.00,85.56755
290.00,85.45028
291.00,85.39478
292.00,85.52153
293.00,85.16651
294.00,85.77017
295.00,85.45133
296.00,85.33766
297.00,85.31773
298.00,85.37296
299.00,85.53520
300.00,85.56074
301.00,85.69238
302.00,85.68422
303.00,85.13482
304.00,85.24172
305.00,85.39217
306.00,86.19190
307.00,85.94598
308.00,86.06177
309.00,85.36088
310.00,86.08444
311.00,85.85660
312.00,86.20560
313.00,86.27523
314.00,85.67040
315.00,86.29438
316.00,85.95674
317.00,85.95026
318.00,85.64153
319.00,85.57642
320.00,86.15587
321.00,85.70589
322.00,86.15546
323.00,86.26962
324.00,86.00534
325.00,86.18469
326.00,85.68056
327.00,85.96646
328.00,85.62319
329.00,86.32025
330.00,85.86348
331.00,85.55027
332.00,86.20481
333.00,86.19409
334.00,85.94205
335.00,85.76750
336.00,86.02314
337.00,85.60410
338.00,85.46597
339.00,85.81527
340.00,86.07318
341.00,86.16176
342.00,85.70068
343.00,86.11987
344.00,86.00944
345.00,85.97186
346.00,86.15858
347.00,86.08959
348.00,85.95421
349.00,85.96076
350.00,85.86859
351.00,85.54409
352.00,86.05987
353.00,85.75916
354.00,86.12247
355.00,86.20250
356.00,86.26670
357.00,85.92516
358.00,86.12337
359.00,85.93215
360.00,85.74700
361.00,85.98614
362.00,86.07140
363.00,86.15905
364.00,86.18768
365.00,85.99226
366.00,86.17017
367.00,86.34046
368.00,86.17268
369.00,86.07243
370.00,86.05184
371.00,86.35025
372.00,85.88588
373.00,85.90820
374.00,85.98801
375.00,85.98106
376.00,85.88198
377.00,85.89543
378.00,85.98210
379.00,85.77206
380.00,86.14348
381.00,86.41415
382.00,86.05099
383.00,86.17151
384.00,86.43237
385.00,86.02335
386.00,86.04742
387.00,86.02403
388.00,86.17097
389.00,86.25352
390.00,86.05438
391.00,86.16328
392.00,86.27766
393.00,86.35083
394.00,86.27222
395.00,86.01817
396.00,86.34746
397.00,86.10401
398.00,86.16061
399.00,86.28679
400.00,86.13651
401.00,86.18242
402.00,86.13751
403.00,86.33742
404.00,86.10981
405.00,86.04897
406.00,86.32129
407.00,86.21565
408.00,86.12149
409.00,86.08059
410.00,86.13006
411.00,86.26885
412.00,86.03508
413.00,86.23723
414.00,86.23357
415.00,86.33095
416.00,86.25320
417.00,86.20023
418.00,86.18298
419.00,86.24687
420.00,86.28814
421.00,86.39055
422.00,86.31024
423.00,86.32954
424.00,86.25903
425.00,86.24502
426.00,86.42006
427.00,86.29327
428.00,86.16118
429.00,86.35835
430.00,86.30306
431.00,86.30304
432.00,86.40152
433.00,86.34552
434.00,86.35089
