"PlainMix - RawData"
"Wavelength nm.","T%"
190.00,1.86625
191.00,1.64248
192.00,2.40733
193.00,0.68482
194.00,0.31307
195.00,0.45533
196.00,0.33996
197.00,0.11019
198.00,0.32446
199.00,0.18075
200.00,0.15907
201.00,0.06074
202.00,0.21366
203.00,0.19294
204.00,0.03313
205.00,0.23198
206.00,0.13583
207.00,0.06100
208.00,0.08810
209.00,0.05207
210.00,0.07241
211.00,0.07063
212.00,0.08621
213.00,0.12538
214.00,0.08878
215.00,0.05336
216.00,0.05159
217.00,0.03901
218.00,0.09828
219.00,0.01962
220.00,0.06267
221.00,0.07613
222.00,0.09394
223.00,0.08437
224.00,0.09965
225.00,0.06504
226.00,0.10096
227.00,0.08648
228.00,0.11419
229.00,0.17631
230.00,0.25189
231.00,0.28815
232.00,0.40010
233.00,0.48086
234.00,0.65365
235.00,0.75704
236.00,0.94168
237.00,1.19347
238.00,1.35597
239.00,1.71363
240.00,2.05557
241.00,2.41562
242.00,2.72349
243.00,3.23611
244.00,3.69255
245.00,4.25004
246.00,4.89761
247.00,5.76287
248.00,6.65190
249.00,7.80560
250.00,8.98624
251.00,10.52153
252.00,12.21185
253.00,14.30170
254.00,16.82030
255.00,19.34863
256.00,22.14022
257.00,24.94856
258.00,27.78369
259.00,30.37619
260.00,32.73545
261.00,35.12593
262.00,36.98499
263.00,38.84541
264.00,39.92271
265.00,41.27190
266.00,41.81500
267.00,42.27558
268.00,42.64337
269.00,42.56728
270.00,42.67400
271.00,42.43540
272.00,42.67808
273.00,42.96016
274.00,42.60575
275.00,42.76569
276.00,42.92800
277.00,43.24352
278.00,43.68715
279.00,43.97449
280.00,44.66264
281.00,44.78420
282.00,45.31616
283.00,45.59417
284.00,45.73357
285.00,45.72206
286.00,46.06389
287.00,45.98202
288.00,46.07786
289.00,46.01577
290.00,45.89600
291.00,45.80578
292.00,45.97402
293.00,45.83086
294.00,45.66911
295.00,45.50725
296.00,45.54603
297.00,45.56056
298.00,45.40936
299.00,45.54178
300.00,46.01495
301.00,46.18114
302.00,46.13072
303.00,46.50282
304.00,46.98511
305.00,46.99942
306.00,47.53821
307.00,47.46239
308.00,47.64064
309.00,47.82012
310.00,47.89592
311.00,48.49351
312.00,48.27343
313.00,48.97634
314.00,48.50560
315.00,48.41266
316.00,48.79256
317.00,48.87803
318.00,48.23684
319.00,48.13972
320.00,48.39348
321.00,48.10566
322.00,48.22698
323.00,47.84489
324.00,47.41513
325.00,46.90163
326.00,47.16726
327.00,47.04321
328.00,46.87623
329.00,47.13675
330.00,46.81096
331.00,47.08007
332.00,47.07391
333.00,47.33938
334.00,47.27468
335.00,47.39624
336.00,47.56365
337.00,47.76299
338.00,47.87766
339.00,48.07672
340.00,48.05404
341.00,48.37081
342.00,48.51105
343.00,48.69162
344.00,48.90589
345.00,49.03480
346.00,49.18653
347.00,49.42852
348.00,49.56068
349.00,49.69413
350.00,49.57795
351.00,49.52617
352.00,49.85705
353.00,49.73461
354.00,49.73120
355.00,49.43929
356.00,49.53891
357.00,49.59122
358.00,49.20508
359.00,49.43751
360.00,49.33216
361.00,49.09565
362.00,49.11592
363.00,48.98445
364.00,48.78631
365.00,48.76700
366.00,48.66956
367.00,48.77212
368.00,48.68277
369.00,48.75761
370.00,48.54027
371.00,48.36976
372.00,48.31051
373.00,48.39314
374.00,48.27920
375.00,48.25598
376.00,48.31846
377.00,48.61756
378.00,48.53546
379.00,48.67493
380.00,48.81735
381.00,48.85628
382.00,49.11112
383.00,49.05854
384.00,49.12893
385.00,49.41708
386.00,49.34488
387.00,49.62401
388.00,49.63779
389.00,49.92411
390.00,49.95520
391.00,50.21011
392.00,50.34479
393.00,50.35917
394.00,50.68208
395.00,50.49827
396.00,50.76377
397.00,50.76019
398.00,50.90789
399.00,50.91658
400.00,51.10950
401.00,51.05830
402.00,51.12476
403.00,51.18335
404.00,51.17515
405.00,51.24255
406.00,51.25036
407.00,51.14930
408.00,51.17883
409.00,51.16739
410.00,51.11526
411.00,50.98937
412.00,51.01443
413.00,50.89291
414.00,50.70600
415.00,50.88030
416.00,50.66199
417.00,50.67095
418.00,50.51486
419.00,50.43883
420.00,50.40040
421.00,50.38297
422.00,50.41232
423.00,50.21886
424.00,50.20347
425.00,50.19603
426.00,50.00159
427.00,49.99607
428.00,49.95971
429.00,49.89474
430.00,49.84614
431.00,49.97508
432.00,49.83457
