"Resin Sapphire Slow 4 - RawData"
"Wavelength nm.","T%"
200.00,49.87335
200.20,49.64661
200.40,49.59496
200.60,49.49847
200.80,49.69552
201.00,49.87292
201.20,50.04648
201.40,50.24958
201.60,50.15728
201.80,50.45552
202.00,50.42856
202.20,50.23752
202.40,49.73305
202.60,50.24754
202.80,50.39281
203.00,50.36638
203.20,50.86843
203.40,51.02171
203.60,50.75571
203.80,50.87195
204.00,51.03218
204.20,50.46718
204.40,50.81478
204.60,50.60224
204.80,50.45698
205.00,50.86144
205.20,51.22646
205.40,51.22825
205.60,51.47796
205.80,51.49382
206.00,51.43860
206.20,51.48780
206.40,51.69755
206.60,51.87840
206.80,52.14867
207.00,52.17541
207.20,52.18605
207.40,51.90714
207.60,51.78466
207.80,51.74366
208.00,51.75189
208.20,52.00316
208.40,52.14838
208.60,52.24084
208.80,52.39177
209.00,52.48728
209.20,52.54706
209.40,52.87478
209.60,52.91636
209.80,52.94699
210.00,53.00714
210.20,52.77013
210.40,52.56986
210.60,52.45690
210.80,52.56918
211.00,52.71422
211.20,52.99801
211.40,52.92825
211.60,53.23325
211.80,53.15592
212.00,53.05717
212.20,52.79652
212.40,52.95634
212.60,52.97651
212.80,53.09145
213.00,53.18090
213.20,53.30199
213.40,53.33359
213.60,53.19061
213.80,53.06507
214.00,53.04489
214.20,53.26789
214.40,53.21031
214.60,53.48699
214.80,53.56746
215.00,53.51865
215.20,53.38054
215.40,53.25486
215.60,52.95590
215.80,53.02807
216.00,53.08361
216.20,52.98001
216.40,53.29058
216.60,53.50458
216.80,53.37479
217.00,53.13480
217.20,53.28909
217.40,52.97714
217.60,52.89207
217.80,53.07478
218.00,53.30438
218.20,53.21659
218.40,53.40974
218.60,53.55254
218.80,53.40523
219.00,53.54655
219.20,53.59479
219.40,53.54090
219.60,53.36515
219.80,53.45394
220.00,53.50276
220.20,53.66212
220.40,53.66079
220.60,53.68378
220.80,53.62515
221.00,53.44961
221.20,53.34038
221.40,53.51467
221.60,53.68127
221.80,53.78379
222.00,53.92202
222.20,54.07813
222.40,54.14593
222.60,54.18688
222.80,54.30254
223.00,54.30150
223.20,54.14475
223.40,54.04461
223.60,54.00239
223.80,53.87560
224.00,53.94556
224.20,54.12245
224.40,54.12541
224.60,54.17324
224.80,54.33818
225.00,54.18048
225.20,54.05532
225.40,54.06008
225.60,54.20411
225.80,54.21288
226.00,54.37977
226.20,54.56336
226.40,54.73607
226.60,54.43731
226.80,54.39721
227.00,54.40927
227.20,54.41813
227.40,54.28959
227.60,54.53457
227.80,54.50282
228.00,54.59107
228.20,54.58052
228.40,54.56342
228.60,54.46244
228.80,54.48935
229.00,54.42857
229.20,54.39894
229.40,54.47097
229.60,54.49826
229.80,54.56343
230.00,54.69068
230.20,54.66931
230.40,54.75409
230.60,54.82438
230.80,54.80816
231.00,54.69978
231.20,54.83651
231.40,54.88876
