"GSW9 - RawData"
"Wavelength nm.","T%"
200.00,0.51536
201.00,0.29527
202.00,0.46014
203.00,0.34407
204.00,0.37264
205.00,0.35253
206.00,0.27593
207.00,0.17930
208.00,0.25210
209.00,0.34743
210.00,0.29930
211.00,0.35282
212.00,0.32559
213.00,0.24325
214.00,0.29928
215.00,0.34154
216.00,0.55488
217.00,0.48574
218.00,0.56897
219.00,0.61779
220.00,0.76220
221.00,0.83645
222.00,1.14090
223.00,1.25929
224.00,1.48720
225.00,1.73741
226.00,2.12682
227.00,2.39624
228.00,2.88476
229.00,3.37586
230.00,3.96302
231.00,4.76098
232.00,5.53632
233.00,6.47817
234.00,7.53140
235.00,8.61442
236.00,9.93480
237.00,11.38066
238.00,13.07889
239.00,14.73756
240.00,16.71155
241.00,18.65616
242.00,20.98430
243.00,23.35839
244.00,25.83642
245.00,28.30007
246.00,30.58628
247.00,32.74581
248.00,34.87075
249.00,36.66040
250.00,38.27002
251.00,39.73594
252.00,40.99492
253.00,42.17166
254.00,42.95243
255.00,43.92064
256.00,44.93989
257.00,45.73047
258.00,46.75145
259.00,47.50628
260.00,48.23579
261.00,49.53989
262.00,49.82856
263.00,51.03871
264.00,52.01491
265.00,52.64937
266.00,53.50895
267.00,54.10615
268.00,54.73958
269.00,54.91259
270.00,55.54509
271.00,55.95238
272.00,55.58099
273.00,56.04827
274.00,55.74535
275.00,55.86878
276.00,55.81853
277.00,55.58674
278.00,55.55811
279.00,55.22828
280.00,55.28146
281.00,54.93993
282.00,54.55367
283.00,54.50291
284.00,54.64792
285.00,54.16837
286.00,54.29815
287.00,54.73592
288.00,54.33234
289.00,54.47206
290.00,54.82548
291.00,55.09731
292.00,54.82916
293.00,55.23533
294.00,55.24173
295.00,55.99961
296.00,55.65364
297.00,56.27685
298.00,56.86771
299.00,56.96436
300.00,57.16046
301.00,57.53196
302.00,57.79604
303.00,58.09525
304.00,58.43602
305.00,58.50899
306.00,59.03209
307.00,59.00987
308.00,59.50655
309.00,59.54008
310.00,59.81988
311.00,59.84980
312.00,60.39006
313.00,60.15058
314.00,60.51451
315.00,60.52077
316.00,60.17319
317.00,60.10867
318.00,60.03089
319.00,60.00456
320.00,59.69176
321.00,59.88693
322.00,59.71198
323.00,59.49699
324.00,59.36499
325.00,58.85377
326.00,59.03430
327.00,59.07434
328.00,59.09055
329.00,58.72558
330.00,58.66755
331.00,58.48703
332.00,58.72285
333.00,58.06062
334.00,58.35288
335.00,58.03267
336.00,58.25813
337.00,57.42146
338.00,57.62230
339.00,57.57410
340.00,57.64431
341.00,57.57257
342.00,57.62702
343.00,57.72571
344.00,57.69988
345.00,57.59335
346.00,57.51854
347.00,57.47018
348.00,57.97523
349.00,58.07648
350.00,57.80614
351.00,58.17480
352.00,58.47554
353.00,58.51143
354.00,58.20115
355.00,58.72410
356.00,58.98511
357.00,59.00785
358.00,59.18818
359.00,59.01648
360.00,59.40906
361.00,59.31857
362.00,59.36145
363.00,59.59718
364.00,59.86341
365.00,60.07733
366.00,60.19599
367.00,60.42485
368.00,60.57091
369.00,60.61739
370.00,60.92405
371.00,60.54184
372.00,61.11599
373.00,61.28822
374.00,61.26320
375.00,61.14554
376.00,61.26225
377.00,61.42049
378.00,61.40526
379.00,61.62700
380.00,61.45473
381.00,61.59362
382.00,61.79092
383.00,61.81090
384.00,61.58861
385.00,61.67165
386.00,61.58655
387.00,61.60054
388.00,61.95156
389.00,61.66467
390.00,61.79870
391.00,61.62587
392.00,61.59008
393.00,61.52828
394.00,61.59470
395.00,61.32677
396.00,61.23639
397.00,61.27536
398.00,61.42743
399.00,61.13623
400.00,61.17772
401.00,60.94630
402.00,60.86409
403.00,60.90224
404.00,60.84403
405.00,60.64900
406.00,60.54475
407.00,60.44484
408.00,60.43538
409.00,60.43134
410.00,60.22204
411.00,60.24086
412.00,60.15496
413.00,60.15313
414.00,60.02220
415.00,59.94295
416.00,59.84041
417.00,59.66265
418.00,59.62951
419.00,59.77477
420.00,59.77434
421.00,59.68735
422.00,59.53071
423.00,59.58640
424.00,59.49275
425.00,59.51347
426.00,59.54131
427.00,59.49419
428.00,59.43248
429.00,59.51951
430.00,59.49858
431.00,59.36940
432.00,59.47054
433.00,59.42619
434.00,59.45773
435.00,59.42180
436.00,59.57443
437.00,59.58996
438.00,59.47855
439.00,59.69738
440.00,59.58992
441.00,59.58652
442.00,59.67634
443.00,59.77696
444.00,59.74292
445.00,59.85573
446.00,59.85243
447.00,59.92820
448.00,59.96325
449.00,60.10811
450.00,60.08441
451.00,60.20383
452.00,60.22791
453.00,60.28986
454.00,60.39817
455.00,60.50776
456.00,60.54007
457.00,60.63946
458.00,60.70188
459.00,60.72367
460.00,60.80862
461.00,60.94208
462.00,61.04695
463.00,61.12654
464.00,61.30186
465.00,61.37856
466.00,61.49429
467.00,61.36160
468.00,61.50778
469.00,61.65042
470.00,61.61755
471.00,61.77447
472.00,61.74676
473.00,61.84700
474.00,61.99024
475.00,61.96224
476.00,62.05143
477.00,62.17955
478.00,62.12142
479.00,62.22678
480.00,62.38622
481.00,62.36485
482.00,62.52440
483.00,62.62181
484.00,62.59593
485.00,62.79065
486.00,62.74011
487.00,62.82328
488.00,62.82272
489.00,62.87436
490.00,62.95506
491.00,63.00076
492.00,63.11813
493.00,63.02233
494.00,63.01799
495.00,63.08190
496.00,63.18076
497.00,63.11370
498.00,63.22427
499.00,63.19590
500.00,63.16006
501.00,63.21994
502.00,63.21825
503.00,63.33617
504.00,63.34054
505.00,63.27574
506.00,63.36650
507.00,63.26797
508.00,63.38539
509.00,63.26264
510.00,63.16065
511.00,63.39229
512.00,63.44274
513.00,63.37510
514.00,63.26970
515.00,63.29128
516.00,63.30720
517.00,63.18662
518.00,63.27822
519.00,63.18516
520.00,63.26445
521.00,63.24180
522.00,63.23991
523.00,63.16005
524.00,63.18191
525.00,63.06707
526.00,63.19231
527.00,63.13859
528.00,62.90956
529.00,63.14299
530.00,62.96994
531.00,63.06991
532.00,62.86215
533.00,62.88066
534.00,62.83834
535.00,62.81660
536.00,62.75338
537.00,62.75735
538.00,62.73460
539.00,62.72872
540.00,62.64848
541.00,62.70854
542.00,62.68278
543.00,62.68739
544.00,62.57818
545.00,62.61826
546.00,62.58194
547.00,62.42254
548.00,62.45301
549.00,62.47908
550.00,62.36170
551.00,62.36736
552.00,62.31707
553.00,62.33692
554.00,62.31465
555.00,62.26772
556.00,62.20152
557.00,62.20768
558.00,62.10012
559.00,62.08807
560.00,62.14307
561.00,62.09196
562.00,62.08177
563.00,62.08985
564.00,61.92241
565.00,61.98449
566.00,61.94770
567.00,62.07395
568.00,61.87795
569.00,61.90954
570.00,61.90895
571.00,61.89191
572.00,61.96049
573.00,61.80044
574.00,61.90369
575.00,61.92254
576.00,61.82385
577.00,61.78744
578.00,61.78511
579.00,61.82283
580.00,61.74451
581.00,61.76196
582.00,61.80691
