"Sapphire Paint 2 - RawData"
"Wavelength nm.","T%"
200.00,46.77362
201.00,47.43269
202.00,48.91256
203.00,49.17739
204.00,48.92937
205.00,49.63915
206.00,49.74674
207.00,49.91877
208.00,51.10157
209.00,51.49505
210.00,51.55986
211.00,53.38688
212.00,53.01260
213.00,53.37747
214.00,53.60625
215.00,53.48173
216.00,53.43459
217.00,53.30899
218.00,52.32238
219.00,53.84817
220.00,52.46091
221.00,53.10513
222.00,53.75360
223.00,53.08139
224.00,53.88625
225.00,53.72675
226.00,54.36255
227.00,54.10810
228.00,54.93342
229.00,54.89168
230.00,54.96885
231.00,55.28463
232.00,55.34858
233.00,55.42269
234.00,55.64734
235.00,56.01046
236.00,56.08380
237.00,57.05775
238.00,57.14485
239.00,57.27338
240.00,57.55348
241.00,57.97867
242.00,58.06245
243.00,58.59292
244.00,58.20618
245.00,58.70985
246.00,58.99475
247.00,59.38408
248.00,59.52441
249.00,59.63569
250.00,59.94395
251.00,60.16336
252.00,60.33480
253.00,60.34914
254.00,60.68877
255.00,60.63495
256.00,60.77678
257.00,60.85360
258.00,61.08304
259.00,60.98033
260.00,61.01845
261.00,61.29773
262.00,61.21310
263.00,61.17884
264.00,61.46910
265.00,61.26137
266.00,61.24967
267.00,61.57549
268.00,61.61146
269.00,61.43724
270.00,61.70449
271.00,61.82669
272.00,61.39318
273.00,61.93264
274.00,61.73610
275.00,62.06288
276.00,61.96398
277.00,61.58953
278.00,61.91760
279.00,61.83831
280.00,62.02484
281.00,61.96173
282.00,62.06095
283.00,62.16820
284.00,62.37629
285.00,62.04937
286.00,62.18888
287.00,62.87113
288.00,62.55491
289.00,62.77488
290.00,63.25103
291.00,63.35529
292.00,63.35846
293.00,63.40774
294.00,63.38786
295.00,63.49680
296.00,63.37764
297.00,63.56351
298.00,63.82552
299.00,63.79687
300.00,63.58364
301.00,63.89682
302.00,64.22541
303.00,63.84922
304.00,64.30902
305.00,63.85893
306.00,64.33191
307.00,63.98095
308.00,64.21518
309.00,64.04962
310.00,64.35931
311.00,64.33895
312.00,64.34729
313.00,64.67015
314.00,64.94678
315.00,64.72452
316.00,64.87171
317.00,64.72706
318.00,64.76233
319.00,64.76833
320.00,64.73538
321.00,64.62629
322.00,65.08652
323.00,64.62010
324.00,65.12554
325.00,64.41990
326.00,64.86430
327.00,65.12580
328.00,65.17265
329.00,65.17310
330.00,64.94564
331.00,65.25960
332.00,65.64336
333.00,65.46360
