"Sam9 - RawData"
"Wavelength nm.","T%"
200.00,0.35026
201.00,0.23120
202.00,0.10516
203.00,0.28465
204.00,0.21299
205.00,0.23308
206.00,0.07572
207.00,0.06923
208.00,0.16886
209.00,0.05735
210.00,0.16212
211.00,0.13649
212.00,0.08329
213.00,0.07067
214.00,0.08779
215.00,0.10386
216.00,0.13290
217.00,0.05591
218.00,0.15458
219.00,0.09113
220.00,0.12726
221.00,0.13922
222.00,0.06281
223.00,0.11807
224.00,0.11626
225.00,0.07739
226.00,0.09382
227.00,0.07088
228.00,0.09775
229.00,0.10424
230.00,0.10979
231.00,0.08759
232.00,0.07990
233.00,0.10607
234.00,0.09111
235.00,0.10425
236.00,0.12986
237.00,0.14792
238.00,0.18197
239.00,0.23193
240.00,0.30473
241.00,0.35053
242.00,0.43944
243.00,0.49525
244.00,0.61796
245.00,0.79105
246.00,0.94454
247.00,1.10931
248.00,1.34951
249.00,1.58351
250.00,1.98600
251.00,2.41128
252.00,3.03680
253.00,3.85442
254.00,5.09750
255.00,6.70782
256.00,8.96179
257.00,11.88833
258.00,15.32830
259.00,19.03685
260.00,23.00596
261.00,27.03291
262.00,31.06974
263.00,34.01706
264.00,36.63734
265.00,39.10393
266.00,41.53362
267.00,43.83414
268.00,45.35003
269.00,46.33018
270.00,46.53721
271.00,47.31587
272.00,48.56453
273.00,50.09857
274.00,50.98832
275.00,51.49211
276.00,51.39159
277.00,51.35978
278.00,51.51702
279.00,51.72539
280.00,52.76560
281.00,53.73568
282.00,54.46337
283.00,54.72746
284.00,54.52448
285.00,54.20092
286.00,53.89720
287.00,54.07114
288.00,54.33918
289.00,55.28714
290.00,56.17943
291.00,56.82883
292.00,56.97395
293.00,56.97838
294.00,56.42167
295.00,56.00777
296.00,55.66875
297.00,56.09293
298.00,56.45839
299.00,56.89078
300.00,57.46849
301.00,58.52255
302.00,58.75272
303.00,58.55874
304.00,58.13546
305.00,57.60100
306.00,57.09733
307.00,56.78698
308.00,56.63494
309.00,57.19292
310.00,57.67225
311.00,58.59874
312.00,59.15767
313.00,59.41859
314.00,59.37563
315.00,59.25383
316.00,58.97784
317.00,58.37971
318.00,57.66808
319.00,57.36104
320.00,57.36149
321.00,57.70867
322.00,58.17111
323.00,58.63315
324.00,59.60859
325.00,59.54093
326.00,60.10723
327.00,59.96436
328.00,59.85283
329.00,59.43003
330.00,59.04208
331.00,58.77630
332.00,58.21123
333.00,58.22341
334.00,57.96419
335.00,58.12995
336.00,58.84396
337.00,59.23645
338.00,59.68572
339.00,60.05888
340.00,60.40346
341.00,60.59103
342.00,60.70073
343.00,60.36847
344.00,60.04766
345.00,59.44744
346.00,59.05753
347.00,58.65908
348.00,58.55271
349.00,58.43228
350.00,58.46103
351.00,58.83043
352.00,59.11612
353.00,59.66972
354.00,60.00590
355.00,60.54965
356.00,60.82078
357.00,60.98587
358.00,61.03104
359.00,60.97171
360.00,60.80328
361.00,60.24985
362.00,59.87952
363.00,59.42578
364.00,59.17445
365.00,58.90541
366.00,58.62766
367.00,58.68524
368.00,58.81717
369.00,59.08856
370.00,59.54382
371.00,59.79967
372.00,60.37338
373.00,60.72221
374.00,61.03373
375.00,61.21288
376.00,61.15516
377.00,61.20266
378.00,61.09175
379.00,60.69054
380.00,60.46976
381.00,60.10450
382.00,59.75009
383.00,59.52117
384.00,59.29460
385.00,59.07413
386.00,59.05443
387.00,58.94743
388.00,59.15139
389.00,59.41285
390.00,59.84580
391.00,60.15822
392.00,60.39839
393.00,60.77449
394.00,61.19030
395.00,61.38073
396.00,61.60485
397.00,61.66395
398.00,61.68565
399.00,61.48606
400.00,61.39522
401.00,61.08603
402.00,60.78556
403.00,60.56234
404.00,60.29661
405.00,60.01245
406.00,59.72893
407.00,59.55805
408.00,59.44985
409.00,59.42608
410.00,59.46776
411.00,59.68223
412.00,59.87003
413.00,60.12505
414.00,60.44561
415.00,60.72178
416.00,61.02393
417.00,61.40853
418.00,61.65748
419.00,61.79643
420.00,62.02028
421.00,62.14522
422.00,62.12482
423.00,62.04133
424.00,61.86196
425.00,61.74163
426.00,61.50525
427.00,61.20597
428.00,60.86262
429.00,60.70304
430.00,60.44332
431.00,60.28557
432.00,60.08649
433.00,59.92888
434.00,59.86348
435.00,59.90270
436.00,59.91899
437.00,60.01543
438.00,60.22955
439.00,60.43490
440.00,60.69959
441.00,61.06344
442.00,61.26821
443.00,61.62627
444.00,61.88817
445.00,62.14253
446.00,62.26341
447.00,62.48165
448.00,62.60492
449.00,62.65150
450.00,62.72286
451.00,62.69001
452.00,62.55284
453.00,62.28462
454.00,62.07914
455.00,61.91121
456.00,61.67443
457.00,61.40646
458.00,61.12403
459.00,60.96539
460.00,60.67768
461.00,60.57137
462.00,60.44597
463.00,60.33486
464.00,60.31238
465.00,60.22546
466.00,60.31640
467.00,60.39200
468.00,60.62883
469.00,60.83674
470.00,60.97382
471.00,61.22220
472.00,61.46726
473.00,61.75154
474.00,61.97851
475.00,62.12791
476.00,62.46459
477.00,62.62044
478.00,62.81490
479.00,62.99313
480.00,63.06047
481.00,63.10787
482.00,63.20977
483.00,63.08959
484.00,63.01726
485.00,62.86095
486.00,62.76467
487.00,62.59135
488.00,62.33840
489.00,62.15711
490.00,62.02756
491.00,61.81657
492.00,61.55270
493.00,61.40433
494.00,61.21272
495.00,61.09675
496.00,60.96559
497.00,60.82921
498.00,60.80283
499.00,60.80382
500.00,60.85541
501.00,60.84813
502.00,60.88325
503.00,61.02659
504.00,61.14079
505.00,61.31878
506.00,61.51904
507.00,61.64759
508.00,61.95067
509.00,62.15914
510.00,62.48003
511.00,62.61389
512.00,62.81647
513.00,63.04258
514.00,63.25984
515.00,63.38191
516.00,63.53030
517.00,63.59140
518.00,63.62379
519.00,63.72303
520.00,63.71197
521.00,63.65497
522.00,63.65982
523.00,63.63217
524.00,63.48196
525.00,63.35565
526.00,63.21085
527.00,63.07849
528.00,62.83355
529.00,62.72879
530.00,62.50380
531.00,62.30159
532.00,62.09860
533.00,61.91899
534.00,61.84382
535.00,61.66128
536.00,61.53483
537.00,61.48569
538.00,61.42471
539.00,61.36965
540.00,61.38048
541.00,61.37608
542.00,61.38976
543.00,61.36783
544.00,61.47624
545.00,61.64516
546.00,61.69297
547.00,61.88427
548.00,62.03986
549.00,62.20096
550.00,62.34387
551.00,62.64072
552.00,62.84975
553.00,63.05773
554.00,63.13485
555.00,63.32640
556.00,63.54146
557.00,63.72069
558.00,63.88265
559.00,63.93663
560.00,64.14632
561.00,64.25092
562.00,64.21908
563.00,64.31762
564.00,64.38748
565.00,64.37330
566.00,64.40553
567.00,64.27134
568.00,64.25136
569.00,64.13807
570.00,64.11086
571.00,64.02099
572.00,63.85621
573.00,63.75563
574.00,63.58443
575.00,63.48181
576.00,63.30091
577.00,63.13265
578.00,62.97340
579.00,62.77410
580.00,62.70745
581.00,62.51416
582.00,62.37895
583.00,62.33852
584.00,62.18937
585.00,62.20367
586.00,62.08959
587.00,62.02673
588.00,62.01226
589.00,61.99589
590.00,61.92936
591.00,62.03182
592.00,62.03658
593.00,62.16471
594.00,62.18398
595.00,62.29286
596.00,62.30367
597.00,62.50021
598.00,62.59605
599.00,62.80975
600.00,62.91811
601.00,63.07994
602.00,63.19984
603.00,63.35210
604.00,63.60164
605.00,63.70651
606.00,63.86812
607.00,64.04880
608.00,64.18618
609.00,64.25896
610.00,64.46615
611.00,64.60272
612.00,64.68248
613.00,64.74041
614.00,64.83477
615.00,64.97186
616.00,65.01644
617.00,65.01424
618.00,65.10967
619.00,65.17045
620.00,65.15099
621.00,65.15881
622.00,65.11539
623.00,64.98051
624.00,64.93618
625.00,64.90713
626.00,64.86000
627.00,64.68177
628.00,64.64124
629.00,64.37017
630.00,64.39708
631.00,64.29969
632.00,64.08943
633.00,64.01569
634.00,63.89194
635.00,63.78584
636.00,63.62170
637.00,63.49202
638.00,63.48208
639.00,63.26380
640.00,63.18730
641.00,63.12391
642.00,63.01720
643.00,62.86551
644.00,62.83951
645.00,62.82192
646.00,62.77134
647.00,62.85225
648.00,62.75554
649.00,62.81177
650.00,62.69610
651.00,62.82028
652.00,62.78472
653.00,62.92685
654.00,62.91172
655.00,63.05405
656.00,62.96596
657.00,63.10896
658.00,63.25579
659.00,63.38639
660.00,63.45623
661.00,63.53431
662.00,63.70560
663.00,63.82311
664.00,63.97853
665.00,64.03719
666.00,64.27991
667.00,64.43065
668.00,64.45403
669.00,64.67168
670.00,64.66805
671.00,64.85417
672.00,65.05103
673.00,65.07111
674.00,65.30987
675.00,65.40719
676.00,65.41823
677.00,65.48274
678.00,65.55650
679.00,65.73484
680.00,65.79661
681.00,65.76450
682.00,65.92641
683.00,65.96509
684.00,65.91220
685.00,66.00831
686.00,66.05416
687.00,65.99343
688.00,66.05899
689.00,65.93252
690.00,65.87773
691.00,65.86378
692.00,65.74856
693.00,65.81352
694.00,65.70116
695.00,65.66840
696.00,65.53085
697.00,65.33685
698.00,65.53768
699.00,65.27541
700.00,65.25343
701.00,65.15365
702.00,64.88379
703.00,64.79585
704.00,64.86606
705.00,64.67478
706.00,64.65872
707.00,64.58939
708.00,64.40629
709.00,64.25651
710.00,64.13674
711.00,64.07472
712.00,64.19034
713.00,63.94279
714.00,63.86900
715.00,63.94019
716.00,63.90605
717.00,63.70807
718.00,63.96676
719.00,63.77298
720.00,63.62266
721.00,63.68473
722.00,63.79909
723.00,63.72168
724.00,63.68819
725.00,63.80039
726.00,63.83481
727.00,63.85629
728.00,63.78633
729.00,63.97271
730.00,63.77863
731.00,64.06615
732.00,63.99143
733.00,64.00429
734.00,64.11289
735.00,64.28860
736.00,64.43517
737.00,64.47596
738.00,64.74373
739.00,64.63075
740.00,64.80702
741.00,64.84907
742.00,65.13790
743.00,65.03044
744.00,65.22331
745.00,65.19477
746.00,65.53340
747.00,65.39952
748.00,65.60898
749.00,65.83326
750.00,66.00111
751.00,65.96987
752.00,66.25580
753.00,66.32644
754.00,66.25102
755.00,66.12448
756.00,66.26039
757.00,66.57812
758.00,66.80206
759.00,66.77585
760.00,66.86590
761.00,66.71990
762.00,67.04674
763.00,66.86527
764.00,66.94677
765.00,67.00838
766.00,67.05941
767.00,66.86596
768.00,67.04478
769.00,67.08242
770.00,67.03531
771.00,66.86757
772.00,67.17020
773.00,66.94186
774.00,67.30116
775.00,67.15322
776.00,67.22372
777.00,66.98184
778.00,67.00857
779.00,66.93776
780.00,66.83112
781.00,66.57625
782.00,66.57591
783.00,66.84473
784.00,66.46072
785.00,66.41304
786.00,66.56824
787.00,66.22802
788.00,66.27886
789.00,65.83878
790.00,66.16247
791.00,66.02830
792.00,66.11836
793.00,65.80570
794.00,65.72514
795.00,65.74892
796.00,65.65773
797.00,65.61680
798.00,65.46329
799.00,65.47058
800.00,65.37779
