"SamB - RawData"
"Wavelength nm.","T%"
200.00,0.27826
201.00,0.07972
202.00,0.08913
203.00,0.37906
204.00,0.02158
205.00,0.17269
206.00,0.04212
207.00,0.09520
208.00,0.11846
209.00,0.03948
210.00,0.15616
211.00,0.18401
212.00,0.09918
213.00,0.16468
214.00,0.08323
215.00,0.07669
216.00,0.11491
217.00,0.11441
218.00,0.05357
219.00,0.10377
220.00,0.10276
221.00,0.07205
222.00,0.07619
223.00,0.05925
224.00,0.09776
225.00,0.09478
226.00,0.05781
227.00,0.11339
228.00,0.14477
229.00,0.11213
230.00,0.17504
231.00,0.18374
232.00,0.19352
233.00,0.20168
234.00,0.26860
235.00,0.30453
236.00,0.42063
237.00,0.51065
238.00,0.60420
239.00,0.71165
240.00,0.89185
241.00,1.07871
242.00,1.35155
243.00,1.67725
244.00,2.10538
245.00,2.63687
246.00,3.29292
247.00,4.03409
248.00,4.96192
249.00,6.00869
250.00,7.47528
251.00,9.18815
252.00,11.13447
253.00,13.59950
254.00,16.30664
255.00,19.45372
256.00,22.86097
257.00,26.24624
258.00,29.55741
259.00,32.49499
260.00,35.37233
261.00,37.71717
262.00,40.19262
263.00,42.14364
264.00,43.88308
265.00,45.78248
266.00,47.53580
267.00,49.06045
268.00,50.29559
269.00,51.15460
270.00,51.84294
271.00,52.20315
272.00,52.38389
273.00,52.51396
274.00,52.36607
275.00,52.57804
276.00,52.52418
277.00,52.82980
278.00,52.87125
279.00,53.21534
280.00,53.68202
281.00,54.00058
282.00,54.39609
283.00,54.97480
284.00,55.47898
285.00,56.08943
286.00,56.40170
287.00,56.77016
288.00,56.87463
289.00,57.24522
290.00,57.14687
291.00,57.10901
292.00,57.15063
293.00,57.11651
294.00,56.84068
295.00,56.61830
296.00,56.74874
297.00,56.77261
298.00,56.63112
299.00,56.30402
300.00,56.02362
301.00,56.53459
302.00,56.92585
303.00,57.04706
304.00,57.40740
305.00,57.59441
306.00,57.80552
307.00,58.10062
308.00,58.57804
309.00,58.51001
310.00,59.00201
311.00,59.05467
312.00,59.43816
313.00,59.38913
314.00,59.55024
315.00,59.36241
316.00,59.41617
317.00,59.45008
318.00,59.30589
319.00,59.07615
320.00,59.00440
321.00,58.88902
322.00,58.65988
323.00,58.33210
324.00,58.57320
325.00,58.25366
326.00,58.19481
327.00,57.81366
328.00,57.93754
329.00,58.21031
330.00,58.24032
331.00,58.34488
332.00,58.11252
333.00,58.30587
334.00,58.64931
335.00,58.59098
336.00,59.12873
337.00,59.26172
338.00,59.29793
339.00,59.67349
340.00,60.00331
341.00,60.05284
342.00,60.33986
343.00,60.39992
344.00,60.56995
345.00,60.54290
346.00,60.68557
347.00,60.74359
348.00,60.97685
349.00,60.88958
350.00,60.67650
351.00,60.66947
352.00,60.54125
353.00,60.50847
354.00,60.39014
355.00,60.16198
356.00,59.82806
357.00,59.93897
358.00,59.74010
359.00,59.63305
360.00,59.50341
361.00,59.35137
362.00,59.24140
363.00,58.96996
364.00,58.86065
365.00,59.08183
366.00,58.94520
367.00,58.78432
368.00,58.81199
369.00,58.71983
370.00,58.90933
371.00,58.82983
372.00,59.26010
373.00,59.20500
374.00,59.55071
375.00,59.59570
376.00,59.50956
377.00,59.86707
378.00,59.93891
379.00,60.10289
380.00,60.44374
381.00,60.57932
382.00,60.58746
383.00,60.79739
384.00,60.97823
385.00,61.15165
386.00,61.22400
387.00,61.35167
388.00,61.37900
389.00,61.67991
390.00,61.66330
391.00,61.59399
392.00,61.66140
393.00,61.67501
394.00,61.67279
395.00,61.53234
396.00,61.53191
397.00,61.41589
398.00,61.42727
399.00,61.30188
400.00,61.16257
401.00,61.18749
402.00,60.98217
403.00,60.89020
404.00,60.86517
405.00,60.79633
406.00,60.57750
407.00,60.45674
408.00,60.44696
409.00,60.27042
410.00,60.14157
411.00,60.03740
412.00,59.93162
413.00,59.97079
414.00,59.87976
415.00,59.80071
416.00,59.78417
417.00,59.76971
418.00,59.78613
419.00,59.76818
420.00,59.78439
421.00,59.83815
422.00,59.85404
423.00,59.90104
424.00,59.94091
425.00,60.05234
426.00,60.10730
427.00,60.15882
428.00,60.27023
429.00,60.44637
430.00,60.56919
431.00,60.73369
432.00,60.86489
433.00,60.97757
434.00,61.04087
435.00,61.23082
436.00,61.34640
437.00,61.43201
438.00,61.63450
439.00,61.71833
440.00,61.91292
441.00,61.99685
442.00,62.06378
443.00,62.26160
444.00,62.30947
445.00,62.44733
446.00,62.46346
447.00,62.55203
448.00,62.57217
449.00,62.66255
450.00,62.73587
451.00,62.84992
452.00,62.68886
453.00,62.77244
454.00,62.73655
455.00,62.70206
456.00,62.73344
457.00,62.67242
458.00,62.62228
459.00,62.57235
460.00,62.47536
461.00,62.50528
462.00,62.48256
463.00,62.32790
464.00,62.25157
465.00,62.19584
466.00,62.10265
467.00,62.01947
468.00,61.94731
469.00,61.91067
470.00,61.77995
471.00,61.64328
472.00,61.54605
473.00,61.45088
474.00,61.46977
475.00,61.28679
476.00,61.33073
477.00,61.15542
478.00,61.13294
479.00,61.05540
480.00,61.01704
481.00,60.88036
482.00,60.96551
483.00,60.78349
484.00,60.74197
485.00,60.76663
486.00,60.76442
487.00,60.80569
488.00,60.69248
489.00,60.72180
490.00,60.71902
491.00,60.80068
492.00,60.72697
493.00,60.80024
494.00,60.81998
495.00,60.82942
496.00,60.83406
497.00,60.92347
498.00,60.99758
499.00,61.11040
500.00,61.16747
501.00,61.15819
502.00,61.27424
503.00,61.44635
504.00,61.40804
505.00,61.47669
506.00,61.63424
507.00,61.69533
508.00,61.83361
509.00,61.94366
510.00,62.06000
511.00,62.11022
512.00,62.16437
513.00,62.39200
514.00,62.41894
515.00,62.52866
516.00,62.65059
517.00,62.74956
518.00,62.87570
519.00,62.88967
520.00,63.06781
521.00,63.04369
522.00,63.19906
523.00,63.26880
524.00,63.35831
525.00,63.46774
526.00,63.53776
527.00,63.63760
528.00,63.65930
529.00,63.77341
530.00,63.79666
531.00,63.86018
532.00,63.86231
533.00,63.87425
534.00,63.97176
535.00,63.94284
536.00,63.93586
537.00,64.02164
538.00,64.11225
539.00,64.02901
540.00,64.11698
541.00,64.08615
542.00,64.05731
543.00,64.04570
544.00,64.03028
545.00,64.04672
546.00,63.97318
547.00,63.96865
548.00,63.94363
549.00,63.91694
550.00,63.86821
551.00,63.87806
552.00,63.76010
553.00,63.78356
554.00,63.62650
555.00,63.60716
556.00,63.54495
557.00,63.56871
558.00,63.54048
559.00,63.38128
560.00,63.31154
561.00,63.29770
562.00,63.25316
563.00,63.16370
564.00,63.08388
565.00,63.06240
566.00,62.99825
567.00,62.86763
568.00,62.88561
569.00,62.80734
570.00,62.83536
571.00,62.60543
572.00,62.70311
573.00,62.57057
574.00,62.59785
575.00,62.46499
576.00,62.45574
577.00,62.38072
578.00,62.31397
579.00,62.23926
580.00,62.21772
581.00,62.18420
582.00,62.17083
583.00,62.14240
584.00,62.06736
585.00,62.13536
586.00,62.09978
587.00,62.07834
588.00,62.09128
589.00,62.06310
590.00,61.99458
591.00,62.04531
592.00,62.03983
593.00,62.10466
594.00,62.04075
595.00,62.12201
596.00,62.02465
597.00,62.10116
598.00,62.03873
599.00,62.19023
600.00,62.13496
601.00,62.15779
602.00,62.18106
603.00,62.17938
604.00,62.27204
605.00,62.36942
606.00,62.35971
607.00,62.39821
608.00,62.43250
609.00,62.46277
610.00,62.51796
611.00,62.59960
612.00,62.61359
613.00,62.73423
614.00,62.75583
615.00,62.80895
616.00,62.88971
617.00,62.91454
618.00,63.01974
619.00,63.07510
620.00,63.16057
621.00,63.25676
622.00,63.31230
623.00,63.36012
624.00,63.41152
625.00,63.53769
626.00,63.54848
627.00,63.67350
628.00,63.74620
629.00,63.67731
630.00,63.80961
631.00,63.96220
632.00,63.96852
633.00,64.08849
634.00,64.07855
635.00,64.24596
636.00,64.28478
637.00,64.35139
638.00,64.41470
639.00,64.54804
640.00,64.55445
641.00,64.61778
642.00,64.67037
643.00,64.74200
644.00,64.81485
645.00,64.92126
646.00,64.93382
647.00,65.07849
648.00,65.08018
649.00,65.12372
650.00,65.13160
651.00,65.21426
652.00,65.27072
653.00,65.30483
654.00,65.28658
655.00,65.38991
656.00,65.42462
657.00,65.42624
658.00,65.50754
659.00,65.56671
660.00,65.53456
661.00,65.57999
662.00,65.70074
663.00,65.65515
664.00,65.68588
665.00,65.66786
666.00,65.77643
667.00,65.81172
668.00,65.73795
669.00,65.78287
670.00,65.69072
671.00,65.76235
672.00,65.81036
673.00,65.69881
674.00,65.82857
675.00,65.79002
676.00,65.71156
677.00,65.74676
678.00,65.73718
679.00,65.78988
680.00,65.73443
681.00,65.58732
682.00,65.83262
683.00,65.74268
684.00,65.64056
685.00,65.67166
686.00,65.73816
687.00,65.59639
688.00,65.65807
689.00,65.56141
690.00,65.66865
691.00,65.57698
692.00,65.51786
693.00,65.61154
694.00,65.40631
695.00,65.37641
696.00,65.38813
697.00,65.30998
698.00,65.36885
699.00,65.41854
700.00,65.24041
701.00,65.12051
702.00,65.26898
703.00,65.16178
704.00,65.08830
705.00,65.11171
706.00,65.05833
707.00,65.12510
708.00,65.06412
709.00,64.94481
710.00,64.98255
711.00,64.83849
712.00,64.99163
713.00,64.84647
714.00,64.67792
715.00,64.85010
716.00,64.87901
717.00,64.51120
718.00,64.85159
719.00,64.66801
720.00,64.65210
721.00,64.55657
722.00,64.60557
723.00,64.35562
724.00,64.43474
725.00,64.36911
726.00,64.45690
727.00,64.46021
728.00,64.39900
729.00,64.34791
730.00,64.21220
731.00,64.30514
732.00,64.15949
733.00,64.24101
734.00,63.85331
735.00,64.26362
736.00,64.20342
737.00,64.11591
738.00,64.15301
739.00,63.98224
740.00,64.10514
741.00,64.00478
742.00,64.00048
743.00,63.99018
744.00,63.98222
745.00,64.00712
746.00,63.98324
747.00,64.03798
748.00,63.95325
749.00,63.93005
750.00,64.06044
751.00,64.06202
752.00,64.02296
753.00,63.90619
754.00,64.18488
755.00,63.84542
756.00,63.91115
757.00,63.94724
758.00,64.00959
759.00,63.97231
760.00,64.07926
761.00,63.85341
762.00,64.09801
763.00,64.10963
764.00,64.09394
765.00,64.25773
766.00,64.06419
767.00,64.13591
768.00,64.06186
769.00,64.18697
770.00,64.29867
771.00,63.94662
772.00,64.16901
773.00,64.43419
774.00,64.33675
775.00,64.41980
776.00,64.68086
777.00,64.51831
778.00,64.43630
779.00,63.99456
780.00,64.65185
781.00,64.23987
782.00,64.46275
783.00,64.75168
784.00,64.48196
785.00,64.64167
786.00,64.83530
787.00,64.81297
788.00,64.77628
789.00,64.68042
790.00,64.85566
791.00,64.68471
792.00,64.95410
793.00,65.05044
794.00,64.93733
795.00,64.88254
796.00,65.05621
797.00,65.10102
798.00,65.24292
799.00,65.13999
800.00,65.11682
