"SamD - RawData"
"Wavelength nm.","T%"
200.00,0.13963
201.00,0.20551
202.00,0.31187
203.00,0.10220
204.00,0.10384
205.00,0.11145
206.00,0.06017
207.00,0.15117
208.00,0.06736
209.00,0.15134
210.00,0.08623
211.00,0.05990
212.00,0.11421
213.00,0.07876
214.00,0.08070
215.00,0.08321
216.00,0.05802
217.00,0.08531
218.00,0.08502
219.00,0.06629
220.00,0.04901
221.00,0.10747
222.00,0.04108
223.00,0.06031
224.00,0.07653
225.00,0.08199
226.00,0.12193
227.00,0.09995
228.00,0.09874
229.00,0.13224
230.00,0.13891
231.00,0.19938
232.00,0.22196
233.00,0.27066
234.00,0.38868
235.00,0.48359
236.00,0.60428
237.00,0.76707
238.00,0.91433
239.00,1.10914
240.00,1.30674
241.00,1.57118
242.00,1.81366
243.00,2.19458
244.00,2.58322
245.00,3.08956
246.00,3.65086
247.00,4.26952
248.00,5.04646
249.00,5.92695
250.00,7.09980
251.00,8.59929
252.00,10.35108
253.00,12.53080
254.00,15.28023
255.00,18.30600
256.00,21.95716
257.00,25.57180
258.00,29.56317
259.00,33.12047
260.00,36.37301
261.00,39.15295
262.00,41.03319
263.00,42.89474
264.00,44.42201
265.00,45.82175
266.00,47.35164
267.00,49.19410
268.00,50.59482
269.00,52.01122
270.00,53.02292
271.00,53.94961
272.00,54.11572
273.00,54.41163
274.00,53.88975
275.00,53.76590
276.00,53.29880
277.00,53.26564
278.00,53.01347
279.00,52.93884
280.00,53.15669
281.00,53.35423
282.00,54.13230
283.00,54.57688
284.00,55.27928
285.00,56.25332
286.00,56.87045
287.00,57.16355
288.00,57.36858
289.00,57.95204
290.00,57.71638
291.00,57.72099
292.00,57.39667
293.00,57.20980
294.00,56.67272
295.00,56.43726
296.00,56.28664
297.00,56.22973
298.00,56.02942
299.00,55.85726
300.00,55.76568
301.00,56.01084
302.00,56.40004
303.00,56.95971
304.00,57.41367
305.00,57.67559
306.00,58.52569
307.00,58.49843
308.00,59.14130
309.00,59.42764
310.00,59.56234
311.00,59.88699
312.00,60.04788
313.00,59.71853
314.00,59.55003
315.00,59.33345
316.00,59.15958
317.00,58.88271
318.00,58.24373
319.00,58.11541
320.00,58.07679
321.00,57.62936
322.00,57.35834
323.00,57.61307
324.00,57.66686
325.00,57.08665
326.00,57.55590
327.00,57.43747
328.00,57.94768
329.00,57.86380
330.00,58.51234
331.00,58.68138
332.00,59.04010
333.00,59.39699
334.00,59.79787
335.00,59.94622
336.00,60.26686
337.00,60.60335
338.00,60.49372
339.00,60.74603
340.00,60.94128
341.00,60.90287
342.00,60.98090
343.00,60.63682
344.00,60.76235
345.00,60.42325
346.00,60.32490
347.00,59.86580
348.00,59.92572
349.00,59.41516
350.00,59.25696
351.00,59.14539
352.00,58.71599
353.00,58.63871
354.00,58.50502
355.00,58.34422
356.00,58.33788
357.00,58.25835
358.00,58.28492
359.00,58.46393
360.00,58.42730
361.00,58.50642
362.00,58.64092
363.00,58.72073
364.00,59.04251
365.00,59.38587
366.00,59.37113
367.00,59.69684
368.00,59.94661
369.00,60.14732
370.00,60.46646
371.00,60.44350
372.00,60.87855
373.00,61.06804
374.00,61.34562
375.00,61.34848
376.00,61.29082
377.00,61.43432
378.00,61.59794
379.00,61.42763
380.00,61.46528
381.00,61.16750
382.00,61.19780
383.00,61.12303
384.00,60.95038
385.00,60.76449
386.00,60.59039
387.00,60.27825
388.00,60.14429
389.00,60.06631
390.00,59.88501
391.00,59.70807
392.00,59.40017
393.00,59.43404
394.00,59.24050
395.00,59.01362
396.00,58.91434
397.00,58.82474
398.00,58.89135
399.00,58.79739
400.00,58.85776
401.00,58.88274
402.00,58.80414
403.00,58.92066
404.00,59.11014
405.00,59.17003
406.00,59.23851
407.00,59.45017
408.00,59.49854
409.00,59.74278
410.00,59.93246
411.00,60.18890
412.00,60.26664
413.00,60.51599
414.00,60.68493
415.00,60.79663
416.00,61.06445
417.00,61.19864
418.00,61.42570
419.00,61.48698
420.00,61.56303
421.00,61.81957
422.00,61.87837
423.00,61.93276
424.00,61.97958
425.00,62.14284
426.00,62.10997
427.00,62.11733
428.00,62.10366
429.00,62.23046
430.00,62.14569
431.00,62.05547
432.00,61.96799
433.00,61.91797
434.00,61.75570
435.00,61.68630
436.00,61.49581
437.00,61.42888
438.00,61.30245
439.00,61.20252
440.00,61.05133
441.00,60.93044
442.00,60.74232
443.00,60.61122
444.00,60.60988
445.00,60.37419
446.00,60.22184
447.00,60.18955
448.00,60.06308
449.00,59.95333
450.00,59.96839
451.00,59.88169
452.00,59.78577
453.00,59.74497
454.00,59.71839
455.00,59.62442
456.00,59.67440
457.00,59.67381
458.00,59.74005
459.00,59.72049
460.00,59.76054
461.00,59.82435
462.00,59.95310
463.00,59.95631
464.00,60.12167
465.00,60.13802
466.00,60.28560
467.00,60.38490
468.00,60.60624
469.00,60.76083
470.00,60.86432
471.00,60.90522
472.00,61.01742
473.00,61.22959
474.00,61.39933
475.00,61.46544
476.00,61.65671
477.00,61.75484
478.00,61.93328
479.00,62.04835
480.00,62.21460
481.00,62.25147
482.00,62.50441
483.00,62.53490
484.00,62.61654
485.00,62.72879
486.00,62.87020
487.00,62.88759
488.00,62.91426
489.00,62.99479
490.00,63.11342
491.00,63.18846
492.00,63.11243
493.00,63.17171
494.00,63.20271
495.00,63.19425
496.00,63.15995
497.00,63.14039
498.00,63.08842
499.00,63.10208
500.00,63.11343
501.00,62.96919
502.00,62.94946
503.00,62.92295
504.00,62.82848
505.00,62.75586
506.00,62.65517
507.00,62.54716
508.00,62.50491
509.00,62.41446
510.00,62.36128
511.00,62.22702
512.00,62.10135
513.00,62.08414
514.00,61.95206
515.00,61.78550
516.00,61.73896
517.00,61.69634
518.00,61.57102
519.00,61.48838
520.00,61.51216
521.00,61.29759
522.00,61.27681
523.00,61.28018
524.00,61.14509
525.00,61.15435
526.00,61.05729
