"SapphirePaintVSlow - RawData"
"Wavelength nm.","T%"
200.00,46.02297
201.00,46.08492
202.00,46.62013
203.00,49.08479
204.00,49.29056
205.00,49.63486
206.00,50.48490
207.00,51.51533
208.00,51.35056
209.00,51.68728
210.00,52.43217
211.00,52.68763
212.00,52.85504
213.00,52.74709
214.00,52.86376
215.00,53.21230
216.00,53.06049
217.00,53.52938
218.00,53.27324
219.00,53.68041
220.00,53.28702
221.00,53.87977
222.00,53.53956
223.00,53.69086
224.00,53.77786
225.00,54.11272
226.00,54.30872
227.00,54.56554
228.00,54.63920
229.00,55.18202
230.00,55.10061
231.00,55.50786
232.00,55.68101
233.00,56.39666
234.00,56.29985
235.00,56.63887
236.00,57.09409
237.00,57.20682
238.00,57.73245
239.00,58.05110
240.00,58.40988
241.00,58.47017
242.00,58.66955
243.00,58.92679
244.00,59.13729
245.00,59.43404
246.00,59.70525
247.00,59.87437
248.00,59.85403
249.00,60.37387
250.00,60.41453
251.00,60.57555
252.00,60.83306
253.00,60.95340
254.00,60.92713
255.00,60.97049
256.00,61.19795
257.00,61.34812
258.00,61.44887
259.00,61.48171
260.00,61.52355
261.00,61.60095
262.00,61.81768
263.00,62.01798
264.00,61.83125
265.00,61.72717
266.00,61.85781
267.00,61.97672
268.00,61.97320
269.00,61.89136
270.00,61.92469
271.00,62.12904
272.00,62.00980
273.00,62.07920
274.00,62.13069
275.00,62.17719
276.00,62.12929
277.00,62.17884
278.00,62.27969
279.00,62.31391
280.00,62.37657
281.00,62.46951
282.00,62.59989
283.00,62.55202
284.00,62.68545
285.00,62.77001
286.00,62.93072
287.00,63.19489
288.00,63.27567
289.00,63.39599
290.00,63.44002
291.00,63.29066
292.00,63.54589
293.00,63.72527
294.00,63.85257
295.00,64.00734
296.00,63.89834
297.00,63.98918
298.00,63.97217
299.00,64.21806
300.00,64.28646
301.00,64.25506
302.00,64.44846
303.00,64.45853
304.00,64.42656
305.00,64.63079
306.00,64.79574
307.00,64.71802
308.00,64.64108
309.00,64.97498
310.00,64.95405
311.00,64.77939
312.00,64.89267
313.00,64.71450
314.00,64.99675
315.00,65.23488
316.00,65.00070
317.00,65.21683
318.00,65.42507
319.00,65.14016
320.00,65.37037
321.00,65.55452
322.00,65.16561
323.00,65.36328
324.00,65.58780
325.00,65.28744
326.00,65.65852
327.00,65.32298
328.00,65.43810
329.00,65.46066
330.00,65.52725
331.00,65.62205
332.00,65.51874
333.00,65.77833
334.00,65.71555
335.00,65.77502
336.00,65.76903
337.00,65.73002
338.00,66.01074
339.00,65.94952
340.00,65.85272
341.00,65.92813
342.00,65.97986
343.00,66.05370
344.00,66.03950
345.00,65.94322
346.00,66.10888
347.00,66.11231
348.00,66.12930
349.00,66.12751
350.00,66.12637
351.00,66.14500
352.00,66.21132
353.00,66.23908
354.00,66.27482
355.00,66.24604
356.00,66.33692
357.00,66.37233
358.00,66.36612
359.00,66.43696
360.00,66.29776
361.00,66.22113
362.00,66.27516
363.00,66.42081
364.00,66.20545
365.00,66.42835
366.00,66.44705
367.00,66.34576
368.00,66.43656
369.00,66.50428
370.00,66.40655
371.00,66.60228
372.00,66.41452
373.00,66.56073
374.00,66.59136
375.00,66.62524
376.00,66.52675
377.00,66.50237
378.00,66.58431
379.00,66.60827
380.00,66.68713
381.00,66.69983
382.00,66.62891
383.00,66.62981
384.00,66.69794
385.00,66.67306
386.00,66.75731
387.00,66.71425
388.00,66.81157
389.00,66.75067
390.00,66.65996
391.00,66.67102
392.00,66.82032
393.00,66.77166
394.00,66.85854
