"DPSapphireNormal - RawData"
"Wavelength nm.","T%"
200.00,80.00687
201.00,80.33483
202.00,81.24428
203.00,81.43498
204.00,80.48885
205.00,80.89265
206.00,80.57023
207.00,81.86564
208.00,81.53498
209.00,82.29778
210.00,80.95750
211.00,81.45275
212.00,81.99522
213.00,81.82483
214.00,82.14833
215.00,82.76209
216.00,81.31691
217.00,81.87039
218.00,82.83476
219.00,82.08403
220.00,82.36334
221.00,83.10102
222.00,82.41640
223.00,82.39667
224.00,81.99283
225.00,82.70119
226.00,82.79566
227.00,83.06152
228.00,82.23225
229.00,82.46971
230.00,82.71977
231.00,82.88779
232.00,82.74283
233.00,83.04321
234.00,83.21002
235.00,82.39163
236.00,83.37732
237.00,83.13482
238.00,83.29291
239.00,83.85216
240.00,83.66829
241.00,83.71216
242.00,83.38631
243.00,83.60320
244.00,83.49087
245.00,83.53714
246.00,83.46665
247.00,83.64902
248.00,83.67149
249.00,83.46613
250.00,83.79532
251.00,83.67401
252.00,83.62990
253.00,83.55797
254.00,83.90751
255.00,83.60359
256.00,83.61878
257.00,83.78901
258.00,83.81873
259.00,83.91502
260.00,83.65456
261.00,83.90739
262.00,83.79738
263.00,84.16700
264.00,84.06757
265.00,83.93581
266.00,84.03009
267.00,84.00669
268.00,83.97359
269.00,84.25048
270.00,84.07195
271.00,84.15184
272.00,84.06408
273.00,84.04710
274.00,84.14572
275.00,84.08813
276.00,84.09509
277.00,84.51934
278.00,84.16612
279.00,84.46112
280.00,84.26670
281.00,84.18576
282.00,84.50065
283.00,84.46815
284.00,84.54227
285.00,84.29399
286.00,84.37093
287.00,84.60633
288.00,84.51576
289.00,84.53981
290.00,84.37446
291.00,84.65236
292.00,84.25070
293.00,84.67085
294.00,84.26951
295.00,84.51303
296.00,85.01793
297.00,84.13221
298.00,84.38747
299.00,84.60247
300.00,84.69568
301.00,84.68799
302.00,84.47926
303.00,84.62478
304.00,84.64662
305.00,84.48450
306.00,84.36365
307.00,84.39416
308.00,84.55847
309.00,84.98601
310.00,84.44269
311.00,84.55708
312.00,84.69438
313.00,84.66802
314.00,85.03678
315.00,84.61040
316.00,84.94099
317.00,85.13697
318.00,85.08829
319.00,85.12365
320.00,84.98250
321.00,84.56196
322.00,84.85401
323.00,84.96969
324.00,84.76974
325.00,84.84611
326.00,85.09805
327.00,84.84826
328.00,84.97653
329.00,85.16202
330.00,85.14659
331.00,85.05632
332.00,85.32311
333.00,85.03582
334.00,84.94799
335.00,84.79065
336.00,85.06825
337.00,84.92353
338.00,85.08314
339.00,84.88768
340.00,84.89102
341.00,84.75428
342.00,85.27273
343.00,85.29335
344.00,85.49164
345.00,84.83354
346.00,85.07799
347.00,85.00302
348.00,85.13657
349.00,85.42614
350.00,85.00769
351.00,85.20395
352.00,85.00580
353.00,85.10462
354.00,85.19390
355.00,84.99668
356.00,85.17978
357.00,85.19740
358.00,85.23508
359.00,85.21980
360.00,85.12399
361.00,85.19056
362.00,85.05608
363.00,85.43205
364.00,85.04813
365.00,85.39774
366.00,85.36919
367.00,85.19533
368.00,85.25961
369.00,85.21184
370.00,85.18878
371.00,85.28048
372.00,85.21645
373.00,85.33070
374.00,85.10270
375.00,85.35690
376.00,85.51980
377.00,85.29984
378.00,85.31888
379.00,85.38605
380.00,85.39474
381.00,85.38384
382.00,85.43444
383.00,85.29880
384.00,85.38333
385.00,85.36056
386.00,85.39944
387.00,85.39168
388.00,85.34104
389.00,85.38695
390.00,85.36461
391.00,85.25311
392.00,85.26201
393.00,85.41402
394.00,85.34759
395.00,85.52274
396.00,85.51164
397.00,85.27244
398.00,85.50802
399.00,85.42812
400.00,85.20209
401.00,85.31581
402.00,85.37689
403.00,85.39997
404.00,85.35472
405.00,85.41242
406.00,85.41532
407.00,85.38972
408.00,85.46970
409.00,85.43876
410.00,85.49349
411.00,85.52019
412.00,85.51452
413.00,85.42905
414.00,85.51810
415.00,85.60879
416.00,85.53289
417.00,85.52769
418.00,85.48544
419.00,85.44065
420.00,85.41990
421.00,85.50109
422.00,85.42314
423.00,85.50174
424.00,85.60668
425.00,85.55998
426.00,85.50088
427.00,85.50252
428.00,85.51612
429.00,85.54984
430.00,85.52486
431.00,85.44428
432.00,85.51406
433.00,85.60191
434.00,85.56693
435.00,85.52147
436.00,85.53993
437.00,85.56786
438.00,85.58003
439.00,85.55803
440.00,85.51766
441.00,85.54112
442.00,85.53129
443.00,85.43902
444.00,85.49894
445.00,85.63120
446.00,85.54285
447.00,85.48450
448.00,85.58162
449.00,85.58788
450.00,85.59702
451.00,85.62668
452.00,85.49007
453.00,85.66508
454.00,85.67494
455.00,85.66862
456.00,85.58297
457.00,85.65545
458.00,85.58252
459.00,85.60780
460.00,85.59330
461.00,85.60606
462.00,85.65774
463.00,85.61261
464.00,85.56413
465.00,85.66719
466.00,85.56846
467.00,85.62256
468.00,85.64832
469.00,85.66719
470.00,85.64970
471.00,85.51532
472.00,85.63276
473.00,85.61432
474.00,85.68456
475.00,85.69249
476.00,85.69726
477.00,85.64646
478.00,85.69597
479.00,85.74204
480.00,85.63022
481.00,85.72977
482.00,85.58252
483.00,85.60793
484.00,85.66702
485.00,85.81306
486.00,85.64808
487.00,85.72714
488.00,85.71991
489.00,85.70072
490.00,85.60143
491.00,85.73754
492.00,85.74712
493.00,85.61048
494.00,85.61395
495.00,85.72586
496.00,85.64488
497.00,85.65485
498.00,85.74560
499.00,85.69711
500.00,85.73261
501.00,85.68432
502.00,85.75402
503.00,85.68003
504.00,85.71745
505.00,85.75423
506.00,85.73065
507.00,85.73828
508.00,85.76610
509.00,85.75917
510.00,85.76857
511.00,85.74300
512.00,85.78824
513.00,85.79040
514.00,85.79472
515.00,85.85356
516.00,85.80673
517.00,85.82767
518.00,85.75045
519.00,85.80484
520.00,85.80120
521.00,85.77293
522.00,85.72505
523.00,85.80511
524.00,85.87079
525.00,85.82117
526.00,85.65835
527.00,85.73005
528.00,85.83536
529.00,85.70821
530.00,85.79746
531.00,85.80134
532.00,85.76081
533.00,85.88032
534.00,85.75562
535.00,85.83834
536.00,85.89188
537.00,85.77718
538.00,85.82526
539.00,85.77958
540.00,85.76116
541.00,85.76107
542.00,85.73597
543.00,85.84050
544.00,85.79335
545.00,85.77555
546.00,85.82771
547.00,85.79128
548.00,85.83742
549.00,85.81628
550.00,85.80924
551.00,85.83212
552.00,85.83794
553.00,85.78886
554.00,85.77824
555.00,85.81784
556.00,85.82795
557.00,85.81868
558.00,85.75890
559.00,85.82714
560.00,85.81108
561.00,85.78384
562.00,85.73124
563.00,85.78601
564.00,85.87096
565.00,85.79847
566.00,85.87619
567.00,85.85560
568.00,85.84771
569.00,85.83515
570.00,85.82522
571.00,85.78573
572.00,85.79392
573.00,85.76667
574.00,85.83581
575.00,85.79523
576.00,85.79333
577.00,85.81894
578.00,85.82849
579.00,85.82270
580.00,85.85665
581.00,85.91856
582.00,85.83434
583.00,85.79689
584.00,85.78529
585.00,85.86028
586.00,85.76235
587.00,85.83293
588.00,85.86875
589.00,85.88715
590.00,85.86723
591.00,85.87595
592.00,85.92879
593.00,85.90671
594.00,85.91635
595.00,85.90815
596.00,85.85150
597.00,85.84489
598.00,85.77129
599.00,85.89016
600.00,85.88109
601.00,85.98726
602.00,85.84192
603.00,85.89504
604.00,85.87412
605.00,85.89939
606.00,85.90003
607.00,85.85977
608.00,85.84853
609.00,85.93439
610.00,85.88612
611.00,85.80467
612.00,85.87319
613.00,85.90448
614.00,85.93228
615.00,85.88107
616.00,85.81319
617.00,85.90877
618.00,85.79592
619.00,85.95142
620.00,85.93453
621.00,85.93365
622.00,85.96127
623.00,85.99648
624.00,86.01556
625.00,85.97903
626.00,85.92715
627.00,85.82886
628.00,86.00585
629.00,85.88249
630.00,85.92682
631.00,85.84054
632.00,85.94810
633.00,86.02303
634.00,85.93015
635.00,85.98763
636.00,85.96563
637.00,85.97673
638.00,85.89981
639.00,85.88140
640.00,85.93338
641.00,85.93284
642.00,85.95725
643.00,85.91985
644.00,85.97455
645.00,86.06060
646.00,85.87731
647.00,85.86213
648.00,85.86043
649.00,85.91069
650.00,85.85300
651.00,85.91453
652.00,85.94534
653.00,85.83437
654.00,85.94307
655.00,85.92145
656.00,85.97147
657.00,86.03998
658.00,85.89131
659.00,85.87769
660.00,86.00821
661.00,85.99327
662.00,86.02954
663.00,86.03974
664.00,85.95292
665.00,86.09878
666.00,85.94041
667.00,85.96984
668.00,85.95993
669.00,85.89966
670.00,85.89380
671.00,85.92673
672.00,86.04659
673.00,86.06484
674.00,85.85770
675.00,85.98950
676.00,86.02911
677.00,85.99962
678.00,85.90910
679.00,85.84314
680.00,86.10758
681.00,85.95999
682.00,85.95663
683.00,85.98665
684.00,85.97811
685.00,86.01782
686.00,85.91158
687.00,85.92293
688.00,85.85640
689.00,85.80287
690.00,86.12992
691.00,86.01040
692.00,86.11962
693.00,85.98263
694.00,85.95578
695.00,85.96235
696.00,86.10428
697.00,85.97776
698.00,85.92269
699.00,86.12965
700.00,85.95075
701.00,86.01900
702.00,86.04686
703.00,86.03081
704.00,86.02631
705.00,85.84767
706.00,86.01544
707.00,85.89665
708.00,85.98310
709.00,86.02074
710.00,85.99793
711.00,86.14972
712.00,85.89966
713.00,85.94158
714.00,86.07454
715.00,86.18793
716.00,86.06668
717.00,85.91702
718.00,86.03821
719.00,85.89819
720.00,86.04664
721.00,86.20670
722.00,86.27303
723.00,85.96486
724.00,86.07811
725.00,86.06772
726.00,86.07682
727.00,86.10210
728.00,86.06665
729.00,86.12728
730.00,85.80413
731.00,85.86109
732.00,85.95952
733.00,86.02302
734.00,85.96671
735.00,85.97634
736.00,86.13228
737.00,86.30846
738.00,86.15884
739.00,85.93054
740.00,86.18443
741.00,85.88030
742.00,86.07631
743.00,86.18259
744.00,86.27532
745.00,86.23629
746.00,86.15007
747.00,85.95583
748.00,86.12823
749.00,86.10705
750.00,86.05913
751.00,86.14398
752.00,85.81346
753.00,85.86447
754.00,85.94839
755.00,85.90834
756.00,85.82340
757.00,86.26505
758.00,86.13608
759.00,86.13249
760.00,86.17179
761.00,85.88586
762.00,85.82674
763.00,85.94832
764.00,85.91728
765.00,86.28507
766.00,85.86506
767.00,86.00401
768.00,86.15677
769.00,85.97064
770.00,86.13307
771.00,86.37549
772.00,86.07485
773.00,86.07485
774.00,86.42244
775.00,86.13921
776.00,85.96795
777.00,85.90249
778.00,86.12975
779.00,86.39195
780.00,86.13333
781.00,86.34971
782.00,86.33679
783.00,86.14524
784.00,86.32545
785.00,86.00112
786.00,86.25666
787.00,86.15357
788.00,86.13287
789.00,86.11878
790.00,86.26415
791.00,86.17043
792.00,86.01139
793.00,85.96458
794.00,85.77359
795.00,86.21789
796.00,86.18541
797.00,86.13661
798.00,85.65977
799.00,85.91341
800.00,86.14565
