"SapphireNormal - RawData"
"Wavelength nm.","T%"
200.00,52.05702
201.00,51.40527
202.00,52.29989
203.00,54.09940
204.00,52.50637
205.00,53.42117
206.00,53.36069
207.00,55.55596
208.00,54.56219
209.00,54.53532
210.00,54.30095
211.00,55.09436
212.00,54.67824
213.00,54.90819
214.00,55.43610
215.00,56.05537
216.00,55.34505
217.00,55.27309
218.00,56.34611
219.00,55.81955
220.00,55.83476
221.00,56.60402
222.00,56.05352
223.00,55.69487
224.00,55.66593
225.00,56.27217
226.00,56.32700
227.00,56.55631
228.00,56.39887
229.00,56.48346
230.00,56.83993
231.00,56.46788
232.00,56.84424
233.00,57.15101
234.00,57.28773
235.00,57.06831
236.00,57.71272
237.00,57.60256
238.00,57.72324
239.00,58.53282
240.00,58.27678
241.00,58.86145
242.00,58.44342
243.00,58.80600
244.00,59.32053
245.00,59.44800
246.00,59.77633
247.00,59.65645
248.00,59.76431
249.00,59.67618
250.00,60.12657
251.00,60.27306
252.00,60.45815
253.00,60.44958
254.00,60.87165
255.00,60.70811
256.00,60.91003
257.00,61.01896
258.00,61.16901
259.00,61.51480
260.00,61.41577
261.00,61.37221
262.00,61.29647
263.00,61.56633
264.00,61.88676
265.00,61.44590
266.00,61.64763
267.00,61.78191
268.00,61.80303
269.00,61.79541
270.00,61.84397
271.00,61.74617
272.00,62.12497
273.00,61.79479
274.00,61.80003
275.00,62.10461
276.00,61.90603
277.00,62.04938
278.00,62.36882
279.00,62.12739
280.00,62.14238
281.00,62.16170
282.00,62.45425
283.00,62.51621
284.00,62.58818
285.00,62.50592
286.00,62.99714
287.00,62.85120
288.00,62.94221
289.00,63.20774
290.00,63.09788
291.00,63.41357
292.00,63.16065
293.00,63.57700
294.00,63.55264
295.00,63.51705
296.00,63.80683
297.00,63.52603
298.00,63.80988
299.00,63.81546
300.00,63.79483
301.00,63.97415
302.00,63.91765
303.00,64.09582
304.00,64.11068
305.00,64.19563
306.00,64.49564
307.00,64.28700
308.00,64.36147
309.00,64.58584
310.00,64.35295
311.00,64.47138
312.00,64.36067
313.00,64.43855
314.00,64.66484
315.00,64.76412
316.00,65.09908
317.00,64.63720
318.00,64.96674
319.00,64.91222
320.00,65.02364
321.00,64.93588
322.00,65.20711
323.00,64.88662
324.00,64.94517
325.00,64.93704
326.00,65.39420
327.00,65.12645
328.00,65.32586
329.00,65.29462
330.00,65.30883
331.00,65.45124
332.00,65.57328
333.00,65.28010
334.00,65.17765
335.00,65.23206
336.00,65.57521
337.00,65.40040
338.00,65.45547
339.00,65.54653
340.00,65.54077
341.00,65.26692
342.00,65.66429
343.00,65.76107
344.00,65.70832
345.00,65.81337
346.00,65.71104
347.00,65.65875
348.00,65.56064
349.00,65.94070
350.00,65.70055
351.00,65.68515
352.00,65.73686
353.00,65.63413
354.00,65.70337
355.00,65.81239
356.00,65.85963
357.00,65.99105
358.00,66.05940
359.00,65.94959
360.00,65.91251
361.00,65.95153
362.00,66.12229
363.00,66.22464
364.00,66.00337
365.00,66.09465
366.00,66.22218
367.00,65.91816
368.00,65.93961
369.00,66.28265
370.00,66.03214
371.00,65.96539
372.00,66.15808
373.00,66.07811
374.00,66.11739
375.00,66.16208
376.00,66.19307
377.00,66.16061
378.00,66.17932
379.00,66.33176
380.00,66.25597
381.00,66.20562
382.00,66.37289
383.00,66.28315
384.00,66.40351
385.00,66.43529
386.00,66.39921
387.00,66.43293
388.00,66.43912
389.00,66.44126
390.00,66.50808
391.00,66.41696
392.00,66.43300
393.00,66.50694
394.00,66.38697
395.00,66.59936
396.00,66.58105
397.00,66.51126
398.00,66.61592
399.00,66.54258
400.00,66.54327
401.00,66.68249
402.00,66.63787
403.00,66.77493
404.00,66.70119
405.00,66.53743
406.00,66.68919
407.00,66.71087
408.00,66.71963
409.00,66.83646
410.00,66.80567
411.00,66.85526
