"SampleBVSlowTrans - RawData"
"Wavelength nm.","T%"
190.00,1.29789
191.00,0.91130
192.00,0.59401
193.00,0.43563
194.00,0.27924
195.00,0.27642
196.00,0.27393
197.00,0.22734
198.00,0.25594
199.00,0.16911
200.00,0.20714
201.00,0.13315
202.00,0.12183
203.00,0.11575
204.00,0.11861
205.00,0.13509
206.00,0.12150
207.00,0.10329
208.00,0.07290
209.00,0.09946
210.00,0.10577
211.00,0.08418
212.00,0.09708
213.00,0.07170
214.00,0.08100
215.00,0.07176
216.00,0.09947
217.00,0.09672
218.00,0.08298
219.00,0.08875
220.00,0.08909
221.00,0.10921
222.00,0.12421
223.00,0.12203
224.00,0.12887
225.00,0.14940
226.00,0.15650
227.00,0.19637
228.00,0.24066
229.00,0.28256
230.00,0.36065
231.00,0.43664
232.00,0.54727
233.00,0.67047
234.00,0.81242
235.00,0.95972
236.00,1.13713
237.00,1.32199
238.00,1.55201
239.00,1.79591
240.00,2.08422
241.00,2.44281
242.00,2.84456
243.00,3.31164
244.00,3.91978
245.00,4.57814
246.00,5.35804
247.00,6.20271
248.00,7.19330
249.00,8.34112
250.00,9.69352
251.00,11.21613
252.00,13.01106
253.00,14.99534
254.00,17.13326
255.00,19.44781
256.00,21.79233
257.00,24.06481
258.00,26.29383
259.00,28.22544
260.00,30.06666
261.00,31.71074
262.00,33.32407
263.00,34.57856
264.00,35.81853
265.00,36.89858
266.00,37.87127
267.00,38.62709
268.00,39.14727
269.00,39.62559
270.00,39.97719
271.00,40.00029
272.00,39.96514
273.00,40.01651
274.00,39.92190
275.00,39.70702
276.00,39.54852
277.00,39.36760
278.00,39.28161
279.00,39.28338
280.00,39.24590
281.00,39.24589
282.00,39.38533
283.00,39.55531
284.00,39.74520
285.00,40.05208
286.00,40.39585
287.00,40.69227
288.00,41.10760
289.00,41.48934
290.00,41.89104
291.00,42.16219
292.00,42.57011
293.00,42.82534
294.00,43.02617
295.00,43.18803
296.00,43.38212
297.00,43.47077
298.00,43.55141
299.00,43.51302
300.00,43.43509
301.00,43.40473
302.00,43.33225
303.00,43.14025
304.00,43.05957
305.00,42.89533
306.00,42.74029
307.00,42.60843
308.00,42.40912
309.00,42.37946
310.00,42.35477
311.00,42.25250
312.00,42.07674
313.00,42.15515
314.00,42.15961
315.00,42.21903
316.00,42.26743
317.00,42.30708
318.00,42.47286
319.00,42.61369
320.00,42.79475
321.00,42.91390
322.00,43.16391
323.00,43.33786
324.00,43.21161
325.00,43.41223
326.00,43.65210
327.00,43.78645
328.00,43.90835
329.00,44.18606
330.00,44.33558
331.00,44.47866
332.00,44.65599
333.00,44.85510
334.00,44.95639
335.00,45.09562
336.00,45.01252
337.00,45.06879
338.00,45.14055
339.00,45.21539
340.00,45.11444
341.00,45.15575
342.00,45.10896
343.00,45.06119
344.00,44.98027
345.00,44.87437
346.00,44.84796
347.00,44.65718
348.00,44.69463
349.00,44.55811
350.00,44.40506
351.00,44.35190
352.00,44.31206
353.00,44.17325
354.00,44.07074
355.00,44.00926
356.00,43.93319
357.00,43.89443
358.00,43.82404
359.00,43.78631
360.00,43.83962
361.00,43.85399
362.00,43.82731
363.00,43.85240
364.00,43.83203
365.00,43.83571
366.00,43.98526
367.00,44.10409
368.00,44.10728
369.00,44.21904
370.00,44.30157
371.00,44.46435
372.00,44.51805
373.00,44.66957
374.00,44.78618
375.00,44.97697
376.00,45.04105
377.00,45.20415
378.00,45.28925
379.00,45.41759
380.00,45.62353
381.00,45.70830
382.00,45.93371
383.00,45.98274
384.00,46.11021
385.00,46.27828
386.00,46.35929
387.00,46.51708
388.00,46.57112
389.00,46.64966
390.00,46.78298
391.00,46.82218
392.00,46.92932
393.00,46.98305
394.00,47.02781
395.00,47.07574
396.00,47.09521
397.00,47.11003
398.00,47.11100
399.00,47.11724
400.00,47.13395
401.00,47.15029
402.00,47.14153
403.00,47.08557
404.00,47.02569
405.00,47.05701
406.00,46.97948
407.00,46.95929
408.00,46.90321
409.00,46.84433
410.00,46.77624
411.00,46.76156
412.00,46.69280
413.00,46.62213
414.00,46.55371
415.00,46.50417
416.00,46.39993
417.00,46.37259
418.00,46.31850
419.00,46.29859
420.00,46.24795
421.00,46.18628
422.00,46.11771
423.00,46.10015
424.00,46.06881
425.00,46.05238
426.00,45.99285
427.00,45.95929
428.00,45.97119
429.00,45.95010
430.00,45.92643
431.00,45.93862
432.00,45.93064
433.00,45.90729
434.00,45.94957
435.00,45.96511
436.00,45.95132
437.00,46.02583
438.00,46.05667
439.00,46.07972
440.00,46.11314
441.00,46.19493
442.00,46.21380
443.00,46.26686
444.00,46.32833
445.00,46.38187
446.00,46.45414
447.00,46.53466
448.00,46.60203
449.00,46.69387
450.00,46.71635
451.00,46.82892
452.00,46.93363
453.00,47.01722
454.00,47.10327
455.00,47.18686
456.00,47.27086
457.00,47.35154
458.00,47.44439
459.00,47.54131
460.00,47.62202
461.00,47.69880
462.00,47.81034
463.00,47.89765
464.00,47.98666
465.00,48.11156
466.00,48.15842
